DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,22325.20,22351.05,22550.00,21800.00,21871.00,21846.45,22165.97,48756,13978,20790,42.64
03-Aug-2016,21846.45,21979.95,22160.85,21240.05,21340.00,21368.40,21686.98,63364,16920,35055,55.32
04-Aug-2016,21368.40,21582.05,21641.50,21005.00,21548.00,21404.00,21300.83,47594,12843,21044,44.22
05-Aug-2016,21404.00,21600.00,22299.00,21516.45,22131.00,22223.15,22016.99,48333,12305,14692,30.40
08-Aug-2016,22223.15,22430.90,22480.80,22079.15,22345.00,22431.65,22311.11,28994,7157,12411,42.81
09-Aug-2016,22431.65,22489.00,22489.00,21765.85,21990.05,22082.40,22102.71,25730,7010,9213,35.81
10-Aug-2016,22082.40,22082.40,22087.35,21620.30,21620.30,21739.70,21818.03,31457,10356,14305,45.47
11-Aug-2016,21739.70,21735.00,22400.00,21525.15,22349.95,22268.30,22054.26,44439,11473,16760,37.71
12-Aug-2016,22268.30,22359.95,22523.00,22079.25,22170.00,22321.60,22366.81,32342,11348,14972,46.29
16-Aug-2016,22321.60,22334.80,22649.00,22141.15,22449.00,22461.65,22407.42,41238,14469,17794,43.15
17-Aug-2016,22461.65,22500.00,22500.00,22212.10,22344.90,22348.05,22345.66,22529,7544,11700,51.93
18-Aug-2016,22348.05,22348.00,22480.95,22078.05,22159.00,22174.80,22328.88,20215,6623,10683,52.85
19-Aug-2016,22174.80,22279.00,22399.95,21713.00,21755.00,21777.30,21991.32,30560,10439,14235,46.58
22-Aug-2016,21777.30,21795.00,21959.95,21547.30,21794.00,21795.00,21735.61,32520,7570,17815,54.78
23-Aug-2016,21795.00,21749.00,22061.00,21654.00,22061.00,22009.85,21930.05,23027,8627,11545,50.14
24-Aug-2016,22009.85,22168.00,22230.00,21890.00,22077.00,22132.25,22099.19,28828,9269,14469,50.19
25-Aug-2016,22132.25,22230.00,22353.50,21971.35,22045.25,22090.60,22196.60,40151,8509,22797,56.78
26-Aug-2016,22090.60,22122.00,22350.00,22100.00,22280.00,22331.00,22281.94,23347,6545,13532,57.96
