DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,260.30,261.10,264.80,249.85,251.50,253.40,259.53,217701,4691,102366,47.02
03-Aug-2016,253.40,253.45,269.40,250.00,261.75,262.15,261.64,377410,6946,140610,37.26
04-Aug-2016,262.15,262.10,263.90,255.55,258.00,259.40,259.62,153870,4041,71498,46.47
05-Aug-2016,259.40,261.00,270.80,255.60,257.25,258.10,263.57,1173573,16856,260338,22.18
08-Aug-2016,258.10,260.00,260.00,249.00,250.70,250.40,253.39,203574,4214,104668,51.42
09-Aug-2016,250.40,249.95,250.95,240.55,247.50,245.95,245.41,260609,3878,172443,66.17
10-Aug-2016,245.95,249.00,257.30,240.50,255.00,255.55,251.61,327275,7836,134662,41.15
11-Aug-2016,255.55,254.50,259.00,253.00,255.25,255.85,256.40,108678,2299,54049,49.73
12-Aug-2016,255.85,259.25,259.75,252.25,253.30,254.50,254.95,122298,5572,50344,41.17
16-Aug-2016,254.50,254.50,254.50,246.00,248.00,248.65,249.57,62529,1500,22017,35.21
17-Aug-2016,248.65,248.65,252.00,245.05,250.70,249.75,249.28,123785,2687,50932,41.15
18-Aug-2016,249.75,247.10,261.00,247.10,258.90,257.10,256.13,240869,6178,78117,32.43
19-Aug-2016,257.10,256.90,260.90,255.80,256.65,257.75,258.61,126144,4139,52827,41.88
22-Aug-2016,257.75,257.20,259.00,250.15,252.00,251.65,252.12,97066,2706,39367,40.56
23-Aug-2016,251.65,251.40,256.00,249.05,252.00,253.75,253.21,112575,3005,46732,41.51
24-Aug-2016,253.75,252.80,256.75,251.60,253.20,253.90,253.50,95581,2446,46408,48.55
25-Aug-2016,253.90,253.85,258.25,249.00,250.40,250.75,254.64,127927,2448,62691,49.01
26-Aug-2016,250.75,251.00,253.00,246.00,247.10,248.25,250.67,189237,2741,99902,52.79
29-Aug-2016,248.25,248.25,252.00,246.30,250.80,250.75,248.78,55242,1809,27598,49.96
30-Aug-2016,250.75,252.00,254.20,250.55,252.45,253.30,252.45,56687,1609,24547,43.30
31-Aug-2016,253.30,252.95,260.00,251.15,253.00,253.40,255.38,126640,2824,48060,37.95
01-Sep-2016,253.40,253.00,257.60,246.55,249.00,248.05,250.82,183561,2261,133449,72.70
02-Sep-2016,248.05,248.05,251.90,234.55,239.50,235.95,240.58,406657,4500,313750,77.15
