DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,118.65,119.00,119.95,114.50,117.00,116.40,118.09,95126,1404,62746,65.96
03-Aug-2016,116.40,113.70,113.70,111.00,111.70,111.70,112.13,221207,2773,135643,61.32
04-Aug-2016,111.70,110.80,112.60,110.15,111.30,110.70,111.09,130325,2463,112787,86.54
05-Aug-2016,110.70,111.10,112.00,109.70,111.00,111.00,110.92,100572,1489,84216,83.74
08-Aug-2016,111.00,111.95,112.00,110.30,110.95,110.95,110.95,78505,2690,70104,89.30
09-Aug-2016,110.95,110.05,111.80,109.95,110.70,110.20,110.32,122956,915,96307,78.33
10-Aug-2016,110.20,109.55,110.65,109.55,110.05,110.15,110.12,14974,201,11150,74.46
11-Aug-2016,110.15,109.55,111.50,109.10,110.00,109.70,109.86,47705,618,34694,72.73
12-Aug-2016,109.70,110.00,114.00,108.60,112.80,113.10,110.42,170219,1662,125925,73.98
16-Aug-2016,113.10,112.95,114.00,112.05,113.30,113.70,113.39,22255,493,16539,74.32
17-Aug-2016,113.70,113.75,114.45,110.15,110.25,110.30,111.36,153359,1376,133577,87.10
18-Aug-2016,110.30,111.45,112.80,109.50,110.00,110.20,110.58,127937,3974,86721,67.78
19-Aug-2016,110.20,109.25,114.40,109.25,112.50,112.55,112.59,109930,1316,44240,40.24
22-Aug-2016,112.55,113.85,114.00,111.65,113.40,113.25,113.47,38521,762,27590,71.62
23-Aug-2016,113.25,113.15,117.50,113.00,114.90,115.00,114.90,184483,862,134828,73.08
24-Aug-2016,115.00,114.05,115.15,112.75,114.50,114.55,114.37,36052,873,27092,75.15
25-Aug-2016,114.55,114.95,115.00,112.00,114.00,113.95,113.79,32919,640,26877,81.65
26-Aug-2016,113.95,114.00,114.20,112.30,112.50,112.60,112.99,24534,193,22063,89.93
29-Aug-2016,112.60,111.55,114.00,111.55,112.50,113.15,113.16,31060,1852,19574,63.02
30-Aug-2016,113.15,114.40,114.45,111.70,112.00,112.15,112.69,41578,733,31050,74.68
31-Aug-2016,112.15,112.10,112.90,109.25,110.00,110.00,110.20,119946,1044,89785,74.85
01-Sep-2016,110.00,110.00,111.30,108.50,109.40,108.95,110.16,81525,676,59217,72.64
02-Sep-2016,108.95,108.95,109.45,108.15,108.70,108.50,108.65,18554,217,12719,68.55
06-Sep-2016,108.50,108.95,114.75,108.00,114.50,114.40,111.43,277818,1703,216174,77.81
07-Sep-2016,114.40,114.05,115.40,112.15,115.05,114.95,114.64,142762,1060,105218,73.70
08-Sep-2016,114.95,115.65,115.65,111.50,112.00,111.85,112.28,64973,716,51024,78.53
09-Sep-2016,111.85,112.00,114.60,111.10,112.55,112.80,112.99,63628,892,23807,37.42
12-Sep-2016,112.80,112.70,112.70,110.00,112.00,111.40,111.43,85830,790,53022,61.78
14-Sep-2016,111.40,111.35,112.00,110.55,111.40,111.35,111.24,28441,366,19540,68.70
15-Sep-2016,111.35,112.50,112.50,109.60,110.10,110.05,110.30,42694,364,30300,70.97
16-Sep-2016,110.05,110.75,111.45,108.30,108.85,108.55,109.59,58994,607,46621,79.03
19-Sep-2016,108.55,109.50,110.90,108.55,108.65,108.85,109.45,45116,423,28630,63.46
20-Sep-2016,108.85,108.65,109.70,107.00,108.50,108.50,108.08,60305,506,41852,69.40
21-Sep-2016,108.50,108.00,109.90,108.00,108.50,108.60,108.93,28968,303,18526,63.95
22-Sep-2016,108.60,109.10,110.30,108.15,108.75,108.85,109.25,36591,970,21456,58.64
23-Sep-2016,108.85,109.60,112.40,108.20,112.00,112.00,110.62,165658,1373,87612,52.89
26-Sep-2016,112.00,112.00,112.65,108.80,110.00,109.50,109.74,63893,709,37118,58.09
27-Sep-2016,109.50,109.25,111.00,108.50,109.00,108.85,109.14,17580,450,10343,58.83
28-Sep-2016,108.85,109.75,114.00,109.10,111.60,111.45,112.03,85352,1066,44458,52.09
29-Sep-2016,111.45,110.10,112.40,107.10,107.20,108.15,109.10,58345,535,40993,70.26
30-Sep-2016,108.15,107.00,110.50,106.55,110.00,110.15,108.63,68372,871,37972,55.54
03-Oct-2016,110.15,110.15,112.25,109.30,111.50,111.40,110.61,82543,1245,51437,62.32
04-Oct-2016,111.40,110.50,112.65,109.35,111.20,110.95,110.23,58419,448,36190,61.95
05-Oct-2016,110.95,111.50,111.50,109.85,110.00,110.35,110.59,27242,443,18452,67.73
06-Oct-2016,110.35,110.00,111.40,110.00,111.40,110.90,110.87,15802,203,12292,77.79
07-Oct-2016,110.90,109.40,111.30,109.40,110.75,110.75,110.75,17916,214,10747,59.99
10-Oct-2016,110.75,110.25,111.45,109.10,109.15,109.25,109.94,30545,243,19528,63.93
13-Oct-2016,109.25,109.60,110.90,108.00,108.00,108.55,108.98,113822,172,111483,97.95
14-Oct-2016,108.55,109.60,110.45,107.65,109.95,110.00,109.51,26350,641,16325,61.95
17-Oct-2016,110.00,109.30,110.95,107.65,107.70,108.35,108.98,21380,174,16822,78.68
18-Oct-2016,108.35,109.35,109.35,107.55,108.00,108.15,108.29,36404,360,23915,65.69
19-Oct-2016,108.15,108.40,110.00,107.80,108.10,108.65,108.61,43175,548,23582,54.62
20-Oct-2016,108.65,109.10,110.55,108.60,109.15,109.30,109.65,35359,522,19676,55.65
21-Oct-2016,109.30,108.60,110.00,108.05,108.75,109.20,108.98,29244,366,18858,64.49
24-Oct-2016,109.20,109.60,110.20,108.70,109.00,109.55,109.49,45140,313,32819,72.70
25-Oct-2016,109.55,109.45,109.90,109.00,109.50,109.40,109.24,13620,206,10957,80.45
26-Oct-2016,109.40,109.60,120.60,109.60,113.60,113.75,113.45,2468459,9316,1781317,72.16
27-Oct-2016,113.75,112.90,114.25,109.75,111.55,111.80,112.36,146283,1541,55092,37.66
28-Oct-2016,111.80,111.65,113.15,110.30,110.70,111.15,111.87,69558,816,44069,63.36
30-Oct-2016,111.15,110.45,112.90,109.95,111.55,111.45,110.85,35967,377,18760,52.16
01-Nov-2016,111.45,111.95,114.00,110.65,110.85,111.20,111.68,52084,638,29043,55.76
02-Nov-2016,111.20,110.00,111.00,108.50,108.90,109.05,109.44,72220,1550,42993,59.53
03-Nov-2016,109.05,109.00,110.80,107.60,108.00,108.10,109.26,44865,1363,28730,64.04
04-Nov-2016,108.10,107.00,109.95,104.00,108.00,107.90,107.11,113453,3119,55889,49.26
07-Nov-2016,107.90,107.90,109.50,107.00,107.25,108.05,107.93,33990,957,18111,53.28
08-Nov-2016,108.05,108.00,108.60,107.10,107.75,107.80,107.63,30325,826,20563,67.81
09-Nov-2016,107.80,100.00,107.75,91.25,107.75,107.00,105.00,224821,3990,176968,78.72
10-Nov-2016,107.00,106.55,108.45,104.60,105.00,105.30,106.51,46182,582,28403,61.50
11-Nov-2016,105.30,104.00,105.95,104.00,105.70,105.40,105.40,107339,977,85227,79.40
15-Nov-2016,105.40,104.00,106.00,100.00,106.00,104.90,103.53,145982,3261,96393,66.03
16-Nov-2016,104.90,106.90,106.90,100.30,104.20,104.70,103.19,77586,1731,36794,47.42
17-Nov-2016,104.70,104.95,104.95,101.00,101.00,101.30,102.24,26286,607,12488,47.51
18-Nov-2016,101.30,102.00,104.00,101.00,104.00,103.80,102.63,34958,738,16670,47.69
21-Nov-2016,103.80,103.00,104.00,98.05,99.75,100.70,100.59,150350,1415,107313,71.38
22-Nov-2016,100.70,100.00,102.50,99.00,102.50,102.15,100.91,57471,1222,33424,58.16
23-Nov-2016,102.15,102.45,102.50,101.00,101.05,101.55,101.71,10149,145,5182,51.06
24-Nov-2016,101.55,102.25,102.30,100.55,101.00,101.05,101.13,9821,291,3223,32.82
25-Nov-2016,101.05,101.90,102.00,100.00,101.00,101.05,100.84,44576,488,31287,70.19
28-Nov-2016,101.05,100.50,101.85,100.10,101.00,100.95,101.06,12104,235,7091,58.58
29-Nov-2016,100.95,100.30,102.15,98.00,99.15,98.95,100.15,49210,603,39959,81.20
30-Nov-2016,98.95,99.90,103.70,99.40,102.35,102.50,101.37,72224,3527,53839,74.54
01-Dec-2016,102.50,102.50,103.00,101.20,102.00,102.05,102.04,13774,386,10098,73.31
02-Dec-2016,102.05,101.25,102.25,100.15,102.00,102.00,101.53,43071,724,25750,59.79
05-Dec-2016,102.00,102.00,102.00,99.50,100.30,100.05,100.25,77581,1469,59685,76.93
06-Dec-2016,100.05,100.95,101.00,99.60,100.05,100.20,100.43,13396,331,7777,58.05
07-Dec-2016,100.20,100.75,100.95,99.60,99.65,99.80,100.07,26097,1015,16787,64.33
08-Dec-2016,99.80,99.65,100.40,99.55,100.25,99.80,99.84,36402,954,27127,74.52
09-Dec-2016,99.80,99.80,100.85,98.60,99.00,99.20,99.20,40482,387,26999,66.69
12-Dec-2016,99.20,100.00,100.00,98.25,99.00,99.05,99.20,19585,283,10189,52.02
13-Dec-2016,99.05,99.00,100.40,99.00,100.00,100.00,99.69,13120,294,9970,75.99
14-Dec-2016,100.00,99.70,102.80,99.65,100.00,100.05,100.90,52525,894,29981,57.08
15-Dec-2016,100.05,99.05,102.50,99.05,100.30,100.65,100.51,32678,634,23810,72.86
16-Dec-2016,100.65,101.00,101.40,100.10,100.80,100.60,100.63,36025,994,24545,68.13
19-Dec-2016,100.60,100.80,100.85,99.00,100.00,100.00,99.99,189909,215,184059,96.92
20-Dec-2016,100.00,99.30,100.25,97.30,97.45,97.95,98.70,24964,304,16836,67.44
21-Dec-2016,97.95,98.00,98.30,96.10,96.10,96.35,97.15,21440,289,16749,78.12
22-Dec-2016,96.35,97.35,97.35,95.35,95.65,95.95,96.02,25642,192,22372,87.25
23-Dec-2016,95.95,95.30,96.95,94.30,95.00,94.95,95.36,16753,244,10199,60.88
26-Dec-2016,94.95,94.00,94.80,92.00,92.90,92.35,93.24,41210,420,29594,71.81
27-Dec-2016,92.35,92.35,94.80,91.25,93.55,93.80,93.42,28543,337,16575,58.07
28-Dec-2016,93.80,94.50,94.90,92.90,93.00,93.25,93.81,24195,786,15711,64.93
29-Dec-2016,93.25,93.95,93.95,92.50,92.80,93.05,93.12,24916,346,14268,57.26
30-Dec-2016,93.05,93.95,95.45,93.25,95.45,95.05,94.66,20108,194,13864,68.95
02-Jan-2017,95.05,95.95,98.00,94.50,96.60,97.20,96.34,15989,195,11946,74.71
03-Jan-2017,97.20,96.60,98.00,95.70,96.65,96.95,96.83,48344,302,30179,62.43
04-Jan-2017,96.95,97.90,97.90,95.00,96.00,95.85,95.99,39157,394,28861,73.71
05-Jan-2017,95.85,96.00,97.00,95.80,96.05,96.20,96.36,34830,283,24834,71.30
06-Jan-2017,96.20,96.90,97.20,96.00,97.00,96.60,96.55,30630,297,20158,65.81
09-Jan-2017,96.60,97.45,97.50,96.50,97.35,97.10,97.19,11011,138,6573,59.69
10-Jan-2017,97.10,97.45,100.60,96.20,98.70,98.75,99.19,114812,945,26136,22.76
11-Jan-2017,98.75,98.90,99.70,97.00,97.10,97.45,98.23,20575,374,16536,80.37
12-Jan-2017,97.45,97.00,98.00,96.60,97.10,97.15,97.17,31794,207,23569,74.13
13-Jan-2017,97.15,97.00,97.80,95.10,96.50,96.25,96.12,52269,868,36886,70.57
16-Jan-2017,96.25,96.25,96.70,95.10,96.00,96.35,96.03,14396,256,9920,68.91
17-Jan-2017,96.35,95.35,96.85,95.35,96.50,96.45,96.25,15628,606,12933,82.76
18-Jan-2017,96.45,96.95,99.25,96.30,99.05,98.90,98.30,31571,280,25441,80.58
19-Jan-2017,98.90,99.45,99.75,98.30,99.15,99.50,99.09,14739,194,9985,67.75
20-Jan-2017,99.50,99.95,100.40,98.50,98.90,98.70,99.43,23504,284,11350,48.29
23-Jan-2017,98.70,99.45,100.00,96.20,99.90,99.50,98.24,42624,478,22889,53.70
24-Jan-2017,99.50,99.15,100.50,98.60,99.05,99.30,99.21,62803,641,49590,78.96
25-Jan-2017,99.30,99.50,101.00,98.10,99.05,99.05,99.24,40534,490,25858,63.79
27-Jan-2017,99.05,98.60,100.75,98.60,100.30,99.80,99.88,41020,347,27450,66.92
30-Jan-2017,99.80,100.00,101.00,99.50,100.00,100.30,100.41,65271,448,41456,63.51
31-Jan-2017,100.30,100.90,100.90,98.75,99.50,99.45,99.16,39279,281,35324,89.93
01-Feb-2017,99.45,99.05,101.50,99.00,101.00,100.80,100.23,33796,268,24575,72.72
02-Feb-2017,100.80,101.10,101.90,99.65,100.00,100.25,100.78,42760,410,31967,74.76
03-Feb-2017,100.25,100.85,103.90,100.00,103.70,103.45,102.42,140900,1179,103346,73.35
06-Feb-2017,103.45,104.00,108.00,104.00,105.20,105.00,105.75,118598,1383,68905,58.10
07-Feb-2017,105.00,105.05,105.50,104.10,104.95,104.45,104.55,54927,510,37487,68.25
08-Feb-2017,104.45,104.45,106.00,104.25,104.40,104.55,104.99,33881,509,21702,64.05
09-Feb-2017,104.55,104.65,108.35,104.20,104.70,104.55,105.68,132278,902,102016,77.12
10-Feb-2017,104.55,105.30,106.85,104.70,105.00,105.15,105.52,448533,1091,424207,94.58
13-Feb-2017,105.15,104.60,105.50,104.25,105.40,105.25,104.98,84853,332,71092,83.78
14-Feb-2017,105.25,106.20,108.00,104.25,104.25,105.00,106.27,373865,1382,329382,88.10
15-Feb-2017,105.00,104.55,105.35,102.50,102.60,102.90,104.12,43807,604,35193,80.34
16-Feb-2017,102.90,102.85,103.25,101.35,102.45,102.25,102.19,111773,695,78533,70.26
17-Feb-2017,102.25,104.00,104.70,102.10,102.25,102.70,103.21,262531,5399,231579,88.21
20-Feb-2017,102.70,102.25,102.75,101.20,102.00,101.65,101.94,52387,375,43875,83.75
21-Feb-2017,101.65,102.45,103.35,101.50,101.65,101.80,102.47,42749,339,29838,69.80
22-Feb-2017,101.80,101.70,103.45,101.70,102.00,102.25,102.55,62746,457,40010,63.77
23-Feb-2017,102.25,102.05,104.35,102.00,102.90,103.05,103.40,89800,473,69078,76.92
27-Feb-2017,103.05,102.65,104.10,102.00,102.05,103.00,102.94,105818,766,84376,79.74
28-Feb-2017,103.00,102.60,103.10,102.00,102.10,102.45,102.33,177180,2839,157346,88.81
01-Mar-2017,102.45,103.65,107.40,103.05,106.15,106.05,105.60,271254,1697,171644,63.28
02-Mar-2017,106.05,106.85,107.90,104.25,107.90,107.05,106.31,146165,925,100257,68.59
03-Mar-2017,107.05,107.00,110.50,106.00,110.50,109.90,109.30,156990,1867,113623,72.38
06-Mar-2017,109.90,109.90,111.45,105.00,106.05,105.10,106.87,302613,2789,222990,73.69
07-Mar-2017,105.10,106.50,107.50,106.00,106.75,106.65,106.68,25121,321,17078,67.98
08-Mar-2017,106.65,106.65,107.00,103.80,106.65,106.20,105.47,221619,1034,157868,71.23
09-Mar-2017,106.20,105.95,110.70,105.45,106.85,106.70,108.17,203494,2056,131902,64.82
10-Mar-2017,106.70,107.00,107.60,104.50,105.10,105.25,105.51,83790,442,51404,61.35
14-Mar-2017,105.25,107.00,111.90,106.40,111.00,111.05,109.23,289647,2175,227036,78.38
15-Mar-2017,111.05,111.05,111.05,108.55,109.30,108.95,109.32,55064,1376,40526,73.60
16-Mar-2017,108.95,108.50,109.85,107.85,108.80,108.50,108.55,49171,997,34084,69.32
17-Mar-2017,108.50,109.05,110.00,106.25,108.00,107.80,108.32,117139,1687,83470,71.26
20-Mar-2017,107.80,108.50,108.50,105.60,106.00,106.15,106.85,97650,839,69682,71.36
21-Mar-2017,106.15,106.50,108.00,105.55,105.60,106.00,106.52,87946,5967,63756,72.49
