DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1148.60,1159.90,1159.90,1137.00,1142.50,1144.70,1145.73,77418,5573,60902,78.67
03-Aug-2016,1144.70,1144.00,1170.90,1080.00,1150.00,1151.65,1136.72,527366,30648,145411,27.57
04-Aug-2016,1151.65,1165.00,1168.75,1141.20,1160.00,1162.00,1156.50,138016,8702,83248,60.32
05-Aug-2016,1162.00,1163.00,1168.00,1135.00,1148.00,1147.20,1153.27,48589,3906,27866,57.35
08-Aug-2016,1147.20,1159.90,1162.75,1143.60,1148.00,1148.80,1150.39,38413,3043,19653,51.16
09-Aug-2016,1148.80,1150.10,1153.95,1120.10,1125.25,1128.70,1129.65,45324,4445,30132,66.48
10-Aug-2016,1128.70,1128.00,1135.00,1109.00,1125.00,1123.80,1127.67,47413,2306,30228,63.75
11-Aug-2016,1123.80,1123.00,1129.00,1110.00,1126.00,1124.45,1122.12,102468,1699,75221,73.41
12-Aug-2016,1124.45,1126.10,1140.00,1114.70,1131.05,1134.65,1128.25,19599,1085,10793,55.07
16-Aug-2016,1134.65,1140.30,1173.90,1130.45,1162.70,1166.55,1157.79,95264,5515,61604,64.67
17-Aug-2016,1166.55,1166.90,1197.00,1164.15,1183.85,1187.50,1183.75,145458,14348,72729,50.00
18-Aug-2016,1187.50,1187.00,1199.00,1170.00,1175.90,1180.80,1189.85,40594,4796,24234,59.70
19-Aug-2016,1180.80,1180.00,1194.80,1170.20,1182.00,1181.55,1175.22,127527,2164,117419,92.07
22-Aug-2016,1181.55,1184.50,1196.00,1156.00,1160.00,1172.10,1186.36,108622,2830,79396,73.09
23-Aug-2016,1172.10,1170.85,1170.85,1138.00,1141.05,1144.10,1148.76,255184,4157,234814,92.02
24-Aug-2016,1144.10,1144.70,1167.00,1130.00,1139.95,1137.20,1142.51,103288,12527,63876,61.84
25-Aug-2016,1137.20,1145.00,1152.55,1130.00,1130.15,1132.55,1137.23,31614,4289,14958,47.31
26-Aug-2016,1132.55,1132.00,1144.00,1121.60,1126.00,1125.15,1126.10,43486,5146,29814,68.56
29-Aug-2016,1125.15,1125.15,1160.00,1124.25,1135.00,1135.55,1136.16,572070,4219,420331,73.48
30-Aug-2016,1135.55,1136.20,1158.00,1135.00,1144.00,1148.90,1139.27,145567,4265,112998,77.63
31-Aug-2016,1148.90,1148.90,1156.75,1137.30,1145.00,1146.70,1147.76,42560,5829,18555,43.60
01-Sep-2016,1146.70,1146.70,1180.00,1140.00,1165.00,1172.45,1157.21,107752,6574,60777,56.40
02-Sep-2016,1172.45,1182.00,1182.05,1156.00,1157.05,1160.50,1168.02,50521,4261,24976,49.44
06-Sep-2016,1160.50,1171.00,1227.00,1159.85,1221.00,1222.00,1196.45,265096,14960,159625,60.21
07-Sep-2016,1222.00,1227.30,1229.65,1186.00,1214.00,1209.85,1204.69,106216,9388,57953,54.56
08-Sep-2016,1209.85,1210.00,1225.00,1192.65,1199.00,1200.90,1202.83,53891,5231,29919,55.52
09-Sep-2016,1200.90,1200.85,1214.90,1180.00,1202.00,1201.15,1198.91,237377,8218,193974,81.72
12-Sep-2016,1201.15,1185.00,1209.00,1176.15,1196.00,1197.60,1197.35,56774,6078,23662,41.68
14-Sep-2016,1197.60,1195.00,1204.85,1175.05,1180.00,1179.65,1184.58,55271,10365,30192,54.63
15-Sep-2016,1179.65,1179.60,1194.95,1154.00,1171.00,1169.95,1177.96,145184,4177,120055,82.69
16-Sep-2016,1169.95,1180.80,1213.45,1180.00,1210.00,1209.60,1198.46,84566,7123,53988,63.84
19-Sep-2016,1209.60,1212.00,1248.00,1201.55,1225.00,1226.30,1223.47,153071,10676,71698,46.84
20-Sep-2016,1226.30,1221.00,1225.40,1195.85,1207.05,1206.40,1205.72,59766,7364,35002,58.57
21-Sep-2016,1206.40,1206.00,1212.05,1174.05,1181.00,1180.95,1185.51,144801,11881,81078,55.99
22-Sep-2016,1180.95,1199.80,1215.05,1191.00,1200.00,1200.65,1198.05,140873,4490,113826,80.80
23-Sep-2016,1200.65,1201.00,1210.00,1178.00,1187.00,1184.10,1181.72,218116,7678,189171,86.73
26-Sep-2016,1184.10,1190.00,1195.00,1166.00,1171.20,1176.85,1182.19,44154,3612,22692,51.39
27-Sep-2016,1176.85,1179.00,1184.70,1151.00,1155.50,1157.45,1158.47,102758,7133,69883,68.01
28-Sep-2016,1157.45,1155.10,1177.00,1152.05,1170.00,1171.35,1163.16,296020,7975,238957,80.72
