DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
19-Oct-2016,472.00,572.00,654.40,572.00,654.40,646.90,606.82,36506028,597583,9318499,25.53
20-Oct-2016,646.90,660.00,674.50,608.00,617.00,613.45,637.39,8610390,154389,1632387,18.96
21-Oct-2016,613.45,614.00,632.00,605.15,626.50,626.25,620.68,3193161,81743,512220,16.04
24-Oct-2016,626.25,631.90,634.00,620.05,628.00,627.40,627.85,942296,20059,284491,30.19
25-Oct-2016,627.40,627.40,634.45,618.75,627.00,626.40,627.37,633022,13224,141743,22.39
26-Oct-2016,626.40,622.55,627.45,607.00,615.05,615.15,617.70,514571,9383,249117,48.41
27-Oct-2016,615.15,615.00,617.95,605.00,617.15,612.05,610.27,359111,9434,144979,40.37
28-Oct-2016,612.05,612.05,628.70,612.05,621.00,624.40,621.97,401342,10010,137046,34.15
30-Oct-2016,624.40,622.00,624.95,616.00,617.60,619.15,621.02,76807,2016,45870,59.72
01-Nov-2016,619.15,618.00,621.75,606.10,606.80,608.65,611.55,214674,6794,116151,54.11
02-Nov-2016,608.65,604.90,614.40,588.20,599.10,601.90,603.53,644219,22866,235251,36.52
03-Nov-2016,601.90,599.10,619.40,599.10,605.00,604.55,610.52,354758,11879,128706,36.28
04-Nov-2016,604.55,605.10,608.75,582.00,596.10,594.05,596.14,322506,12230,147082,45.61
07-Nov-2016,594.05,603.00,621.85,598.00,614.00,614.35,611.17,532110,17832,220506,41.44
08-Nov-2016,614.35,615.00,632.00,606.25,621.50,624.30,620.67,398604,11283,134350,33.71
09-Nov-2016,624.30,548.00,646.95,526.00,632.00,633.30,604.82,685896,21651,325545,47.46
10-Nov-2016,633.30,644.40,648.25,624.00,635.00,632.35,636.83,341773,12023,153385,44.88
11-Nov-2016,632.35,620.00,629.00,588.00,601.00,595.40,606.17,337195,11556,217939,64.63
15-Nov-2016,595.40,599.95,599.95,548.50,585.10,586.45,568.98,552423,31162,324254,58.70
16-Nov-2016,586.45,595.10,598.70,558.50,565.00,567.05,573.25,260799,11303,135330,51.89
17-Nov-2016,567.05,567.05,573.00,543.30,546.00,547.80,552.63,382901,19731,299024,78.09
18-Nov-2016,547.80,547.90,554.00,527.00,535.00,542.40,541.15,472679,18372,276071,58.41
21-Nov-2016,542.40,538.75,538.75,518.75,524.00,522.95,524.04,514445,13891,387068,75.24
22-Nov-2016,522.95,527.85,534.70,522.00,528.00,529.75,529.12,268588,13165,173218,64.49
23-Nov-2016,529.75,534.25,550.30,528.00,548.65,545.45,540.24,264459,7705,164204,62.09
24-Nov-2016,545.45,543.00,548.00,534.00,540.40,540.60,541.38,174139,4141,106889,61.38
25-Nov-2016,540.60,548.00,555.00,541.30,544.50,545.40,547.26,165067,6334,83486,50.58
28-Nov-2016,545.40,548.90,576.85,542.45,558.00,562.65,561.50,246027,8427,107252,43.59
29-Nov-2016,562.65,564.40,594.85,559.20,580.50,583.70,577.80,520680,17041,331871,63.74
30-Nov-2016,583.70,584.00,601.75,580.30,590.75,593.20,591.03,309485,11009,173704,56.13
01-Dec-2016,593.20,596.00,597.55,577.10,585.00,584.45,584.67,92939,3260,34833,37.48
02-Dec-2016,584.45,584.45,586.30,565.10,571.00,572.90,576.32,98655,4014,36052,36.54
05-Dec-2016,572.90,570.00,583.75,559.00,564.30,566.35,567.87,151236,5598,67784,44.82
06-Dec-2016,566.35,569.45,574.45,563.50,567.50,566.55,565.72,103540,2934,75995,73.40
07-Dec-2016,566.55,571.00,600.45,569.95,590.00,590.45,589.82,586912,16939,374564,63.82
08-Dec-2016,590.45,593.90,600.75,582.10,582.90,584.10,590.38,193847,8247,128371,66.22
09-Dec-2016,584.10,585.40,590.85,577.00,579.80,579.25,583.89,43010,1843,17352,40.34
12-Dec-2016,579.25,575.30,582.50,568.55,569.00,571.85,574.28,70120,1942,45459,64.83
13-Dec-2016,571.85,571.00,580.00,568.10,569.00,569.25,573.63,35633,1915,13726,38.52
14-Dec-2016,569.25,573.95,578.00,567.00,572.00,570.20,570.88,75435,2971,54562,72.33
15-Dec-2016,570.20,566.65,574.45,562.60,566.50,564.55,568.67,35556,2252,14464,40.68
16-Dec-2016,564.55,565.25,580.50,565.25,573.00,573.15,574.41,115222,3351,71848,62.36
19-Dec-2016,573.15,576.95,583.85,568.10,574.90,574.00,573.92,81711,3972,42023,51.43
20-Dec-2016,574.00,575.00,576.50,566.00,569.20,569.65,570.63,20829,2085,12641,60.69
21-Dec-2016,569.65,574.00,574.90,563.50,568.80,567.75,567.61,68476,2510,60178,87.88
22-Dec-2016,567.75,569.00,570.00,554.20,560.00,558.10,560.78,29454,2305,17425,59.16
23-Dec-2016,558.10,562.10,568.00,556.00,562.05,561.45,560.59,26758,2537,15553,58.12
26-Dec-2016,561.45,560.90,561.00,536.50,538.70,542.55,549.28,22773,1570,14307,62.82
27-Dec-2016,542.55,535.10,552.90,535.10,544.00,548.45,545.73,32053,2159,18413,57.45
28-Dec-2016,548.45,549.50,578.80,547.30,567.20,570.25,567.50,88237,5989,43622,49.44
29-Dec-2016,570.25,565.00,577.80,565.00,568.00,569.80,571.46,41959,2865,25554,60.90
30-Dec-2016,569.80,565.05,589.70,559.05,582.05,576.75,571.36,100004,3434,55868,55.87
02-Jan-2017,576.75,580.00,587.30,573.00,579.00,578.55,579.36,29239,1648,16072,54.97
03-Jan-2017,578.55,581.90,583.95,570.90,571.75,572.75,576.92,22090,1114,13841,62.66
04-Jan-2017,572.75,568.00,579.80,568.00,571.00,571.30,574.49,14696,758,6423,43.71
05-Jan-2017,571.30,573.90,586.00,570.55,571.60,573.55,579.28,42381,2431,21335,50.34
06-Jan-2017,573.55,573.55,578.10,561.15,563.90,562.85,569.28,31005,1905,19055,61.46
09-Jan-2017,562.85,560.00,572.40,558.00,562.50,563.70,563.72,22751,1420,9853,43.31
10-Jan-2017,563.70,564.85,567.90,555.55,556.40,558.15,559.49,77279,1304,67068,86.79
11-Jan-2017,558.15,579.50,592.00,570.10,574.90,574.20,581.17,208118,7726,50672,24.35
12-Jan-2017,574.20,577.80,608.00,568.95,600.80,600.25,587.99,475175,12679,252248,53.09
13-Jan-2017,600.25,602.00,605.90,584.00,585.00,587.05,592.83,88396,2987,39575,44.77
16-Jan-2017,587.05,586.20,589.55,580.00,584.00,584.25,585.77,46087,1057,32728,71.01
17-Jan-2017,584.25,586.30,597.40,578.25,584.50,583.25,584.90,568160,3192,533140,93.84
18-Jan-2017,583.25,585.30,604.00,585.30,595.85,594.00,596.02,88258,3619,36489,41.34
19-Jan-2017,594.00,596.00,609.80,590.55,601.35,601.35,601.51,111362,6266,56400,50.65
20-Jan-2017,601.35,595.10,600.35,582.50,582.50,586.35,591.43,27828,1957,15366,55.22
23-Jan-2017,586.35,586.00,592.50,581.00,581.00,584.30,586.50,36243,1220,24485,67.56
24-Jan-2017,584.30,580.20,603.90,580.20,601.00,596.55,596.15,66236,2246,34243,51.70
25-Jan-2017,596.55,599.90,617.45,598.05,608.80,612.20,608.19,217281,4332,127576,58.71
27-Jan-2017,612.20,614.00,619.45,605.05,609.25,608.90,612.72,62223,4333,37037,59.52
30-Jan-2017,608.90,601.65,630.00,601.65,626.20,625.65,620.84,95612,3582,53380,55.83
31-Jan-2017,625.65,627.00,633.70,596.00,622.00,614.90,612.56,219576,6330,144393,65.76
01-Feb-2017,614.90,620.00,635.00,608.00,629.70,633.05,627.42,88030,4508,46219,52.50
02-Feb-2017,633.05,630.00,644.40,625.00,639.50,640.70,637.13,76203,4261,43879,57.58
