DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
29-Jun-2017,603.00,611.00,628.00,593.25,599.50,601.50,609.07,7123148,182560,1802597,25.31
30-Jun-2017,601.50,598.80,605.80,589.90,600.00,601.30,599.17,545024,16832,162190,29.76
03-Jul-2017,601.30,599.00,612.00,596.00,600.00,601.45,602.33,342564,10859,124023,36.20
04-Jul-2017,601.45,602.00,607.00,597.05,598.50,599.10,600.26,248827,8390,137707,55.34
05-Jul-2017,599.10,600.80,604.70,595.55,601.10,602.45,600.28,279189,5210,175623,62.90
06-Jul-2017,602.45,604.00,616.70,595.05,596.00,597.45,604.41,491197,10511,152926,31.13
07-Jul-2017,597.45,597.60,603.00,593.10,595.90,596.75,597.99,193182,4673,63019,32.62
10-Jul-2017,596.75,600.00,602.00,550.05,595.00,598.00,596.66,42290,1309,21217,50.17
11-Jul-2017,598.00,596.05,632.00,595.45,609.80,607.55,617.21,1556007,38202,478464,30.75
12-Jul-2017,607.55,612.00,627.50,608.95,619.50,618.35,617.24,551157,15184,200998,36.47
13-Jul-2017,618.35,624.45,698.90,616.10,696.90,679.25,660.57,3673770,67740,913419,24.86
14-Jul-2017,679.25,707.00,728.00,621.00,673.85,683.50,680.45,4672241,102255,777901,16.65
17-Jul-2017,683.50,676.10,688.85,645.40,659.00,660.80,666.68,907124,25417,157518,17.36
18-Jul-2017,660.80,652.15,673.00,637.10,641.00,643.60,656.20,546062,15835,107361,19.66
19-Jul-2017,643.60,645.00,662.50,645.00,653.90,653.40,655.47,387365,12196,156057,40.29
20-Jul-2017,653.40,653.90,663.05,642.15,646.70,649.55,652.70,333763,8687,69850,20.93
21-Jul-2017,649.55,651.30,656.30,632.25,634.20,636.25,644.64,177971,5727,59709,33.55
24-Jul-2017,636.25,637.80,638.65,610.00,615.00,615.35,623.74,183919,6177,79054,42.98
25-Jul-2017,615.35,617.00,630.00,612.50,614.10,614.55,621.45,213647,7112,64619,30.25
26-Jul-2017,614.55,617.30,620.00,608.20,609.00,610.50,613.94,113685,4760,41788,36.76
27-Jul-2017,610.50,612.00,612.05,585.00,592.00,589.30,596.81,229771,12902,110560,48.12
28-Jul-2017,589.30,575.00,612.20,575.00,606.70,608.25,601.50,302337,9167,113986,37.70
31-Jul-2017,608.25,608.25,610.75,591.75,600.25,601.35,600.36,132167,5312,79057,59.82
01-Aug-2017,601.35,601.45,603.35,590.10,590.20,592.80,596.49,71565,2582,41876,58.51
02-Aug-2017,592.80,593.00,598.00,580.00,580.50,580.95,585.91,91161,5753,46862,51.41
03-Aug-2017,580.95,582.00,587.40,568.90,570.90,570.80,577.31,71446,3483,31685,44.35
04-Aug-2017,570.80,571.00,573.40,563.80,571.00,568.30,569.15,75716,2038,47041,62.13
07-Aug-2017,568.30,570.00,581.95,557.00,558.00,561.00,567.87,233028,14488,137145,58.85
08-Aug-2017,561.00,562.05,564.80,545.00,560.00,556.05,554.49,105378,9616,64976,61.66
09-Aug-2017,556.05,550.00,564.00,545.00,545.10,548.10,553.86,48594,2450,21817,44.90
10-Aug-2017,548.10,546.80,554.45,525.50,530.00,530.50,533.83,118922,4733,69513,58.45
11-Aug-2017,530.50,525.00,544.00,510.00,532.00,528.25,527.07,178480,8336,135875,76.13
14-Aug-2017,528.25,532.00,548.70,532.00,542.00,541.20,540.54,48659,2653,29992,61.64
16-Aug-2017,541.20,546.95,597.80,540.00,591.35,587.90,576.14,288807,11886,95424,33.04
17-Aug-2017,587.90,593.20,605.95,571.70,588.00,582.00,590.57,294836,11069,70004,23.74
18-Aug-2017,582.00,580.50,594.90,570.00,591.50,590.20,583.89,124222,6261,60204,48.46
21-Aug-2017,590.20,589.00,605.50,581.00,596.90,600.40,595.62,162176,6226,89186,54.99
22-Aug-2017,600.40,600.00,607.00,582.00,584.90,585.55,591.93,53293,3699,17123,32.13
23-Aug-2017,585.55,596.00,607.50,589.05,597.00,599.05,597.81,203476,9668,78310,38.49
24-Aug-2017,599.05,600.00,607.75,592.00,601.40,602.70,601.87,142044,10177,69469,48.91
28-Aug-2017,602.70,604.00,607.00,594.00,600.40,603.20,602.69,92891,11314,54268,58.42
29-Aug-2017,603.20,599.00,611.85,589.05,597.55,599.05,599.33,111640,6662,54744,49.04
30-Aug-2017,599.05,602.00,605.40,586.50,587.00,591.35,597.67,55900,3582,34374,61.49
31-Aug-2017,591.35,590.85,595.45,584.50,590.00,591.00,590.25,130910,4292,107007,81.74
01-Sep-2017,591.00,593.05,596.00,580.50,580.70,581.65,588.50,61593,5117,33460,54.32
04-Sep-2017,581.65,582.40,589.40,569.05,573.00,576.20,579.28,30197,2354,9458,31.32
05-Sep-2017,576.20,578.90,590.00,576.95,586.00,586.20,584.03,49840,2263,23053,46.25
06-Sep-2017,586.20,580.60,584.95,575.00,577.00,576.90,579.48,27166,1562,11625,42.79
07-Sep-2017,576.90,579.80,583.90,559.50,560.00,561.55,570.56,73458,2312,49203,66.98
08-Sep-2017,561.55,563.00,591.00,563.00,585.00,586.65,581.03,116857,6403,57577,49.27
11-Sep-2017,586.65,587.75,590.00,580.00,584.90,585.40,585.04,39842,2443,21532,54.04
12-Sep-2017,585.40,584.00,602.00,576.60,596.25,596.10,591.60,98166,4429,39232,39.96
13-Sep-2017,596.10,604.00,604.00,587.00,587.10,589.45,590.98,47678,2632,23578,49.45
14-Sep-2017,589.45,587.00,593.45,570.10,573.70,574.65,582.01,50182,2346,25343,50.50
15-Sep-2017,574.65,574.90,582.00,565.15,565.15,568.35,572.22,30526,1685,17993,58.94
18-Sep-2017,568.35,575.70,588.80,569.20,585.00,585.10,576.09,630544,10010,570323,90.45
19-Sep-2017,585.10,586.00,589.05,576.00,581.50,580.80,581.13,20775,1172,11218,54.00
20-Sep-2017,580.80,580.80,585.00,578.00,583.90,579.80,580.49,27287,1146,17678,64.79
21-Sep-2017,579.80,578.10,584.75,571.05,578.05,576.55,577.14,38858,1963,23982,61.72
22-Sep-2017,576.55,577.10,579.90,564.00,564.00,565.80,570.68,26157,1629,18317,70.03
25-Sep-2017,565.80,560.00,566.95,557.00,561.50,561.90,561.38,28095,1818,14877,52.95
