DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,248.10,249.30,254.80,242.00,247.00,244.45,248.06,31320,1078,17630,56.29
03-Aug-2016,244.45,248.50,249.20,245.00,245.30,246.25,246.67,30946,696,21008,67.89
04-Aug-2016,246.25,250.00,250.00,243.00,243.65,245.05,245.93,37277,877,23543,63.16
05-Aug-2016,245.05,247.85,255.80,240.15,242.85,243.25,246.53,542923,7091,134910,24.85
08-Aug-2016,243.25,244.00,250.90,240.15,250.60,249.70,245.93,599126,3441,451609,75.38
09-Aug-2016,249.70,249.80,267.95,246.00,264.25,265.05,254.82,990514,7253,635753,64.18
10-Aug-2016,265.05,266.10,266.40,255.00,260.05,259.95,260.43,435994,3077,310688,71.26
11-Aug-2016,259.95,261.45,264.80,257.05,263.60,263.65,262.66,149719,1840,76714,51.24
12-Aug-2016,263.65,263.60,263.60,258.25,260.05,260.20,260.37,73593,1052,62243,84.58
16-Aug-2016,260.20,260.45,261.35,257.30,258.45,258.20,258.93,33942,543,26711,78.70
17-Aug-2016,258.20,258.60,261.00,256.10,256.75,257.45,258.23,51165,1260,38099,74.46
18-Aug-2016,257.45,257.50,264.00,257.05,260.00,261.25,261.47,86667,2057,67738,78.16
19-Aug-2016,261.25,260.10,265.00,259.80,264.25,264.45,262.29,476865,2367,391888,82.18
22-Aug-2016,264.45,265.50,267.00,261.15,265.00,264.75,264.02,112002,2762,55127,49.22
23-Aug-2016,264.75,264.00,273.10,261.55,268.80,270.05,269.95,199658,4408,98747,49.46
24-Aug-2016,270.05,270.70,279.00,270.70,278.00,277.05,274.29,632190,4288,436605,69.06
25-Aug-2016,277.05,277.00,284.00,272.00,279.60,278.15,280.36,154905,3620,88155,56.91
26-Aug-2016,278.15,278.25,283.00,266.25,275.00,275.10,273.87,163360,4291,48492,29.68
29-Aug-2016,275.10,274.00,286.40,271.85,285.50,285.20,283.68,383285,3279,315353,82.28
