DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,177.30,177.30,180.75,174.55,176.10,175.95,177.62,1792809,11924,441433,24.62
03-Aug-2016,175.95,176.20,176.90,172.70,174.50,173.60,175.04,1189960,8497,506064,42.53
04-Aug-2016,173.60,177.00,177.60,172.10,172.85,173.05,174.07,1699486,10056,737669,43.41
05-Aug-2016,173.05,174.10,176.50,173.65,175.30,175.05,175.16,1157195,9086,434477,37.55
08-Aug-2016,175.05,175.65,176.40,173.75,174.80,174.25,175.29,2404963,23606,1597720,66.43
09-Aug-2016,174.25,174.00,179.70,168.50,178.70,178.35,170.58,62096088,51703,43299273,69.73
10-Aug-2016,178.35,181.00,181.00,174.10,175.70,176.05,177.55,6682915,38274,1565691,23.43
11-Aug-2016,176.05,176.00,178.50,170.55,174.95,174.80,174.69,3495006,21451,918788,26.29
12-Aug-2016,174.80,175.00,176.40,172.50,173.25,173.05,174.34,1620215,11324,693595,42.81
16-Aug-2016,173.05,173.00,175.70,172.15,174.50,174.95,174.04,1651566,11302,623983,37.78
17-Aug-2016,174.95,174.00,177.00,173.40,176.40,176.00,175.77,1498810,8816,493859,32.95
18-Aug-2016,176.00,176.75,178.05,176.05,176.65,177.20,177.05,1742111,11425,992965,57.00
19-Aug-2016,177.20,177.50,180.90,176.05,178.70,178.55,178.68,2442371,17780,794127,32.51
22-Aug-2016,178.55,178.65,180.00,174.65,175.30,175.40,176.66,1864978,11513,714163,38.29
23-Aug-2016,175.40,175.10,177.15,173.20,175.15,175.00,175.66,1806157,9903,780780,43.23
24-Aug-2016,175.00,175.30,176.05,173.50,174.75,174.95,174.67,1136739,11055,518696,45.63
25-Aug-2016,174.95,176.00,178.35,173.85,176.60,176.60,176.52,4952196,15026,2755466,55.64
26-Aug-2016,176.60,176.50,178.35,174.25,174.70,174.60,176.04,952392,8630,318040,33.39
29-Aug-2016,174.60,174.20,180.75,173.25,180.30,179.05,177.18,1984526,12781,696751,35.11
30-Aug-2016,179.05,181.90,184.35,180.10,183.00,183.50,182.25,4669576,25595,1290076,27.63
31-Aug-2016,183.50,184.00,187.70,181.80,184.80,185.30,185.55,5277888,28643,1687845,31.98
01-Sep-2016,185.30,185.60,187.50,183.55,185.45,184.75,185.65,2533254,18918,1184711,46.77
02-Sep-2016,184.75,185.85,188.85,185.05,187.05,187.10,187.19,2266730,14663,882288,38.92
06-Sep-2016,187.10,188.95,191.50,187.00,189.35,189.75,189.68,2578183,22198,1019229,39.53
07-Sep-2016,189.75,190.00,193.20,187.05,191.00,190.85,190.47,2157263,17830,662300,30.70
08-Sep-2016,190.85,191.00,194.00,190.65,193.45,192.90,192.38,1560908,17274,585029,37.48
09-Sep-2016,192.90,193.95,196.25,186.60,190.70,190.75,192.13,5023436,31508,2207656,43.95
12-Sep-2016,190.75,186.30,187.95,183.40,184.50,184.20,185.70,3137889,25248,1843188,58.74
14-Sep-2016,184.20,185.90,189.00,184.55,188.25,188.05,187.05,2140466,24946,1263646,59.04
15-Sep-2016,188.05,188.00,195.70,186.75,195.15,194.70,191.47,4076544,29023,1540571,37.79
16-Sep-2016,194.70,196.00,199.50,190.70,193.00,193.45,196.25,4534526,32131,1882688,41.52
19-Sep-2016,193.45,194.95,195.90,190.70,193.55,194.05,192.98,2091804,16251,513204,24.53
20-Sep-2016,194.05,194.15,196.70,192.75,194.20,195.10,194.85,2267840,19508,419966,18.52
21-Sep-2016,195.10,194.70,196.55,191.40,192.40,192.10,194.12,1797980,13444,558766,31.08
22-Sep-2016,192.10,196.50,197.85,193.95,194.65,194.95,195.50,4533720,21247,2355508,51.96
23-Sep-2016,194.95,195.70,195.80,192.35,193.00,193.05,194.16,4567335,17266,3231522,70.75
26-Sep-2016,193.05,192.50,195.75,191.65,191.85,192.45,193.75,2194534,10655,720765,32.84
27-Sep-2016,192.45,192.50,194.45,188.15,188.60,189.00,191.74,1843443,12095,632948,34.34
28-Sep-2016,189.00,190.00,192.25,188.50,189.80,190.05,190.32,2178342,11092,994558,45.66
29-Sep-2016,190.05,192.00,192.00,176.50,182.25,181.35,182.80,4729193,17248,2387052,50.47
30-Sep-2016,181.35,183.75,185.25,177.25,183.10,183.00,180.05,7648513,22234,3133789,40.97
03-Oct-2016,183.00,184.00,189.15,184.00,189.00,188.50,187.61,1928025,13217,996530,51.69
04-Oct-2016,188.50,189.90,191.75,187.85,189.05,190.20,190.06,1903422,10810,864244,45.40
05-Oct-2016,190.20,190.40,195.30,189.20,194.00,194.40,192.58,3273245,17571,1537237,46.96
06-Oct-2016,194.40,195.50,197.80,191.20,193.05,193.05,195.17,3025837,24856,1315217,43.47
07-Oct-2016,193.05,193.70,194.70,191.50,194.70,193.25,192.66,1379905,10011,561790,40.71
10-Oct-2016,193.25,194.70,195.90,192.35,192.75,192.95,193.87,1086835,13251,484166,44.55
13-Oct-2016,192.95,192.50,194.10,185.70,187.70,188.10,190.15,2314329,25591,902026,38.98
14-Oct-2016,188.10,188.30,191.85,187.70,191.15,191.05,190.07,1405202,11936,547574,38.97
17-Oct-2016,191.05,191.20,192.80,184.75,185.35,185.35,187.62,1622876,15304,561559,34.60
18-Oct-2016,185.35,186.00,193.80,185.95,193.20,193.35,190.51,1815245,15878,636852,35.08
19-Oct-2016,193.35,194.45,197.00,191.20,196.90,195.80,194.10,1858926,23819,508185,27.34
20-Oct-2016,195.80,198.95,202.00,197.70,198.80,199.15,199.73,3351828,25454,815687,24.34
21-Oct-2016,199.15,199.85,205.00,196.50,203.80,204.05,201.19,3759596,25337,1095647,29.14
24-Oct-2016,204.05,204.90,206.50,201.40,202.50,202.25,203.88,2429876,16474,737544,30.35
25-Oct-2016,202.25,202.25,204.15,201.30,203.70,203.50,203.11,1320176,11037,439232,33.27
26-Oct-2016,203.50,203.50,207.65,201.35,203.05,202.50,205.18,3797554,22181,1318645,34.72
27-Oct-2016,202.50,205.90,207.00,189.50,191.20,191.10,195.98,7311151,51142,2386024,32.64
28-Oct-2016,191.10,192.80,197.50,192.00,196.00,195.75,195.77,2993229,33232,1422824,47.53
30-Oct-2016,195.75,197.60,199.90,197.00,198.30,198.45,198.64,851565,7305,420196,49.34
01-Nov-2016,198.45,198.90,204.80,197.50,203.00,202.95,202.55,3198670,23900,1273338,39.81
02-Nov-2016,202.95,200.75,201.80,196.20,197.35,197.70,198.66,2840408,12591,587577,20.69
03-Nov-2016,197.70,196.80,198.65,192.00,192.45,192.80,195.52,1454647,10877,547764,37.66
04-Nov-2016,192.80,192.00,195.45,186.60,188.65,188.80,190.21,3801480,30915,1425117,37.49
07-Nov-2016,188.80,192.00,195.35,191.20,193.00,193.35,193.55,1248976,8128,292296,23.40
08-Nov-2016,193.35,195.95,195.95,191.60,194.70,194.20,193.36,1267951,10975,318968,25.16
09-Nov-2016,194.20,180.00,192.00,174.80,191.30,190.30,183.81,5232128,31569,2114285,40.41
10-Nov-2016,190.30,192.50,198.00,192.50,193.40,193.60,195.41,1656389,18870,328890,19.86
11-Nov-2016,193.60,190.50,193.50,179.65,181.95,181.05,185.66,2669109,25415,891950,33.42
15-Nov-2016,181.05,180.50,180.90,168.45,172.20,172.85,173.81,3543943,18760,1544786,43.59
16-Nov-2016,172.85,176.00,182.00,172.10,178.75,178.25,177.15,3881207,24893,1960990,50.53
17-Nov-2016,178.25,178.00,181.45,175.30,178.80,178.20,178.42,2363238,25051,995575,42.13
18-Nov-2016,178.20,179.95,181.00,176.45,178.30,178.35,178.85,1267009,13055,274670,21.68
21-Nov-2016,178.35,178.50,179.40,169.30,171.25,170.65,171.74,2401072,22712,1024099,42.65
22-Nov-2016,170.65,172.50,177.90,169.80,177.00,174.70,172.59,1410444,11329,507097,35.95
23-Nov-2016,174.70,177.00,177.45,173.30,174.40,175.00,175.00,1523936,12142,641333,42.08
24-Nov-2016,175.00,173.60,174.30,170.10,171.05,171.05,171.92,1992879,11000,952380,47.79
25-Nov-2016,171.05,172.20,176.70,171.45,176.00,175.70,174.68,1019090,13614,312403,30.66
28-Nov-2016,175.70,176.85,177.90,173.85,174.70,174.40,175.69,1090792,10702,294598,27.01
29-Nov-2016,174.40,175.00,179.50,174.50,178.80,178.20,177.58,2098950,15241,612258,29.17
30-Nov-2016,178.20,179.20,181.80,177.10,181.30,181.15,179.05,2180206,16825,1216905,55.82
01-Dec-2016,181.15,182.00,183.80,178.20,179.45,179.05,180.77,1975865,47184,941516,47.65
02-Dec-2016,179.05,177.50,178.95,175.45,175.75,175.95,176.62,965717,10345,533498,55.24
05-Dec-2016,175.95,175.60,178.15,174.50,176.45,176.70,176.57,754343,7058,263854,34.98
