DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,21.95,22.10,22.20,21.70,21.85,21.75,21.87,868950,2309,457533,52.65
03-Aug-2016,21.75,21.90,21.90,21.10,21.25,21.20,21.41,869213,2266,492574,56.67
04-Aug-2016,21.20,21.65,21.65,21.10,21.25,21.20,21.30,1084422,2377,535962,49.42
05-Aug-2016,21.20,21.40,21.75,21.20,21.60,21.60,21.50,1242713,3214,467676,37.63
08-Aug-2016,21.60,21.85,22.50,21.75,21.85,21.85,22.03,1375701,3348,679316,49.38
09-Aug-2016,21.85,21.90,22.00,21.60,21.65,21.70,21.75,697915,1328,337929,48.42
10-Aug-2016,21.70,21.90,22.10,21.20,21.45,21.50,21.58,1315517,2819,551958,41.96
11-Aug-2016,21.50,21.70,22.05,21.25,21.40,21.40,21.57,1264081,2499,481232,38.07
12-Aug-2016,21.40,21.55,21.70,21.40,21.45,21.50,21.54,930153,1968,464947,49.99
16-Aug-2016,21.50,22.00,22.00,21.40,21.75,21.65,21.58,903191,2236,428478,47.44
17-Aug-2016,21.65,21.80,21.85,21.40,21.45,21.50,21.60,766798,1564,464198,60.54
18-Aug-2016,21.50,21.95,21.95,21.30,21.50,21.50,21.62,1390720,2957,670435,48.21
19-Aug-2016,21.50,21.60,21.90,21.30,21.35,21.40,21.56,1708220,3401,648240,37.95
22-Aug-2016,21.40,21.40,22.05,21.15,21.95,21.90,21.68,3133216,4098,1249225,39.87
23-Aug-2016,21.90,22.00,22.35,21.40,22.10,22.00,21.83,2647893,3904,1400590,52.89
24-Aug-2016,22.00,22.25,22.25,21.60,22.00,22.00,21.89,1509411,2906,620695,41.12
25-Aug-2016,22.00,22.05,22.20,21.75,22.05,22.05,21.94,1623246,2891,768861,47.37
26-Aug-2016,22.05,22.00,22.40,21.85,21.90,22.05,22.08,1775259,3210,860951,48.50
29-Aug-2016,22.05,22.00,22.25,21.45,21.65,21.70,21.75,2380015,3822,957934,40.25
30-Aug-2016,21.70,21.70,21.75,21.30,21.40,21.35,21.47,1675136,2706,809691,48.34
31-Aug-2016,21.35,21.40,21.45,20.55,20.60,20.70,20.89,2754462,4136,1430527,51.93
01-Sep-2016,20.70,20.70,20.95,19.90,20.30,20.20,20.48,2445474,4524,997529,40.79
02-Sep-2016,20.20,20.20,20.55,20.05,20.15,20.25,20.28,1459462,3141,613267,42.02
06-Sep-2016,20.25,20.30,20.50,20.15,20.25,20.30,20.34,1110149,2227,610106,54.96
