DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,65.00,65.20,65.50,63.00,63.25,63.35,64.31,10020546,15636,5686830,56.75
03-Aug-2016,63.35,63.50,63.75,61.65,61.80,61.90,62.61,6635181,11426,2649783,39.94
04-Aug-2016,61.90,62.50,63.25,61.40,63.00,62.75,62.66,6881864,11377,3111885,45.22
05-Aug-2016,62.75,63.50,64.60,62.90,64.10,64.15,63.89,9250859,14668,4977482,53.81
08-Aug-2016,64.15,64.40,64.60,63.25,63.40,63.55,63.78,2776798,7246,876164,31.55
09-Aug-2016,63.55,63.65,64.30,62.95,63.95,63.95,63.68,4180054,8782,1231341,29.46
10-Aug-2016,63.95,64.20,64.25,62.40,62.55,62.70,63.04,3839950,10176,1410119,36.72
11-Aug-2016,62.70,62.70,63.25,62.10,63.00,63.05,62.79,5117810,7675,2609818,50.99
12-Aug-2016,63.05,63.10,64.70,62.70,63.40,63.60,63.79,6347431,13098,3202189,50.45
16-Aug-2016,63.60,63.95,65.25,62.90,65.10,64.95,64.15,6299094,13418,2660248,42.23
17-Aug-2016,64.95,64.95,65.45,63.70,64.10,64.25,64.46,6168234,13595,2622899,42.52
18-Aug-2016,64.25,64.50,65.20,64.40,65.00,64.95,64.94,4980747,24969,2781042,55.84
19-Aug-2016,64.95,65.50,66.85,64.65,66.70,66.50,65.85,8033269,15892,3271950,40.73
22-Aug-2016,66.50,67.00,67.45,65.70,66.35,66.50,66.49,7304279,26405,3151930,43.15
23-Aug-2016,66.50,66.35,67.45,66.10,67.25,66.95,66.73,5160447,12698,2508170,48.60
24-Aug-2016,66.95,67.20,67.90,66.75,67.60,67.75,67.45,4920304,12297,2321146,47.17
25-Aug-2016,67.75,67.80,68.25,66.40,66.85,66.80,67.20,6674726,9654,3701048,55.45
26-Aug-2016,66.80,66.85,67.20,65.55,66.75,66.55,66.26,3980860,8165,1743141,43.79
29-Aug-2016,66.55,66.70,67.40,66.00,66.90,67.05,66.78,3045376,10042,1175196,38.59
30-Aug-2016,67.05,67.40,68.00,67.10,67.60,67.80,67.54,3209370,13298,1454156,45.31
31-Aug-2016,67.80,68.45,70.00,67.95,68.90,68.75,68.96,13307890,28903,7582040,56.97
01-Sep-2016,68.75,68.75,70.65,68.55,69.55,69.65,69.72,9047870,21873,4040593,44.66
02-Sep-2016,69.65,69.75,70.45,69.20,70.15,70.10,69.81,3622856,10171,1172945,32.38
06-Sep-2016,70.10,70.30,72.20,70.30,72.15,71.80,71.42,8454682,17300,5260541,62.22
07-Sep-2016,71.80,72.25,76.30,72.00,74.35,74.40,74.46,26037892,45658,15044842,57.78
08-Sep-2016,74.40,74.45,74.60,72.80,73.85,73.80,73.57,7022254,15324,4071949,57.99
09-Sep-2016,73.80,73.70,74.05,72.60,73.50,73.45,73.26,5164459,10736,2067751,40.04
12-Sep-2016,73.45,70.50,72.30,70.25,71.10,70.90,71.36,5177860,15295,2391162,46.18
14-Sep-2016,70.90,71.00,73.10,71.00,72.45,72.40,72.27,11568286,24034,8548275,73.89
15-Sep-2016,72.40,72.75,72.90,70.20,71.75,71.55,71.01,7865539,20510,4471032,56.84
16-Sep-2016,71.55,72.00,73.55,71.90,72.70,72.45,72.72,11056353,18160,7601105,68.75
19-Sep-2016,72.45,72.65,74.45,72.20,74.25,74.05,73.22,5894406,15222,3507407,59.50
20-Sep-2016,74.05,74.10,74.15,71.50,71.75,71.90,72.75,6794459,19191,4198748,61.80
21-Sep-2016,71.90,72.35,72.45,70.70,70.95,71.00,71.37,6666568,18291,3792636,56.89
22-Sep-2016,71.00,71.90,73.95,71.65,73.35,73.20,72.95,24121594,35932,14401259,59.70
23-Sep-2016,73.20,73.75,73.85,72.40,72.45,72.90,73.23,6961736,15485,3826417,54.96
26-Sep-2016,72.90,72.35,74.20,72.20,72.90,72.95,73.41,6201472,15948,2663761,42.95
27-Sep-2016,72.95,73.30,73.65,72.30,72.45,72.40,72.91,5441100,15032,2333546,42.89
28-Sep-2016,72.40,72.45,75.85,72.40,75.65,75.55,74.49,29019523,48695,14590437,50.28
29-Sep-2016,75.55,76.60,76.65,68.15,71.00,70.30,72.43,18495629,36254,7750874,41.91
30-Sep-2016,70.30,70.20,72.60,69.55,71.85,72.00,71.43,6218299,17728,1883209,30.28
03-Oct-2016,72.00,73.00,74.70,72.45,74.60,74.30,73.68,4341550,11340,1513183,34.85
04-Oct-2016,74.30,74.90,75.80,73.95,75.50,75.40,74.90,7429132,28928,2025982,27.27
05-Oct-2016,75.40,75.60,75.95,73.95,74.15,74.30,74.62,6759451,33175,2718854,40.22
06-Oct-2016,74.30,74.35,74.70,72.50,73.35,73.05,73.88,4579197,14788,1067167,23.30
07-Oct-2016,73.05,73.35,73.60,72.65,73.15,73.20,73.08,3069265,8458,1100692,35.86
10-Oct-2016,73.20,73.30,73.60,72.50,73.20,73.00,73.04,2972760,7388,963658,32.42
13-Oct-2016,73.00,72.65,72.80,69.25,70.50,70.55,71.13,5978148,31144,2429729,40.64
14-Oct-2016,70.55,70.75,71.20,69.90,71.10,70.95,70.58,6368612,13450,3237000,50.83
17-Oct-2016,70.95,71.30,71.70,69.65,70.10,70.10,70.55,5675890,14188,1747306,30.78
18-Oct-2016,70.10,70.20,72.35,70.20,71.95,71.90,71.23,3867227,11864,1079319,27.91
19-Oct-2016,71.90,72.20,72.20,70.40,70.50,70.60,71.12,4782306,10336,2675644,55.95
20-Oct-2016,70.60,71.95,73.75,70.80,73.25,73.25,72.61,6750740,20276,2543022,37.67
21-Oct-2016,73.25,73.00,73.50,71.55,72.95,73.15,72.60,3738067,14925,1012233,27.08
24-Oct-2016,73.15,73.80,75.40,72.70,75.25,75.00,74.32,6862511,18376,3264331,47.57
25-Oct-2016,75.00,75.00,81.80,74.10,81.15,81.20,78.74,31819592,72282,9601676,30.18
26-Oct-2016,81.20,81.05,85.95,79.85,81.90,82.00,82.76,32173604,88809,12914127,40.14
27-Oct-2016,82.00,81.75,82.30,80.15,81.40,81.55,81.44,10643052,24377,4966216,46.66
28-Oct-2016,81.55,81.30,83.30,80.75,81.75,81.95,82.38,6723102,19597,2265105,33.69
30-Oct-2016,81.95,82.55,82.75,82.10,82.15,82.30,82.45,914865,4035,433786,47.42
01-Nov-2016,82.30,82.60,83.20,80.80,81.90,81.90,82.19,11624949,18859,7715652,66.37
02-Nov-2016,81.90,80.00,80.75,78.70,79.65,79.45,79.67,5538960,15318,1856585,33.52
03-Nov-2016,79.45,79.15,80.30,76.65,77.00,76.85,78.20,10153031,53466,5356314,52.76
04-Nov-2016,76.85,77.45,78.40,75.05,76.60,76.60,76.80,6653592,20336,1715911,25.79
07-Nov-2016,76.60,78.25,78.30,77.00,77.25,77.25,77.57,7582760,19219,5087136,67.09
08-Nov-2016,77.25,77.90,78.15,76.75,77.10,77.10,77.49,12990195,27602,7949656,61.20
09-Nov-2016,77.10,70.00,76.80,69.40,76.10,76.20,73.47,19145196,41468,6589293,34.42
10-Nov-2016,76.20,77.40,82.00,77.40,80.50,80.30,80.36,26573364,49270,14147965,53.24
11-Nov-2016,80.30,81.00,83.10,76.75,77.00,77.30,79.76,24565702,76187,9546969,38.86
15-Nov-2016,77.30,77.70,78.50,70.60,73.90,73.80,75.35,16479006,38721,7274200,44.14
16-Nov-2016,73.80,75.75,76.25,71.75,72.70,72.35,73.93,12966546,29040,5352610,41.28
17-Nov-2016,72.35,73.00,74.25,72.15,73.80,73.05,73.16,11953021,53773,5723955,47.89
18-Nov-2016,73.05,73.80,74.00,70.80,71.30,71.10,72.37,11193629,37925,4732980,42.28
21-Nov-2016,71.10,71.85,71.85,65.60,67.25,66.95,67.65,17945593,58472,7387460,41.17
22-Nov-2016,66.95,68.45,69.90,66.55,69.45,69.65,68.29,13321421,37717,5718710,42.93
23-Nov-2016,69.65,70.10,70.70,68.65,69.15,69.60,69.63,7841378,22105,3034060,38.69
24-Nov-2016,69.60,69.00,69.15,67.55,67.85,67.90,68.18,10846663,23528,4749715,43.79
25-Nov-2016,67.90,68.50,71.45,68.00,70.55,70.65,69.96,9039700,21677,3252518,35.98
28-Nov-2016,70.65,68.85,70.50,68.55,70.35,69.95,69.52,8137813,20053,3445786,42.34
29-Nov-2016,69.95,70.45,71.00,69.35,69.60,69.55,70.25,5027929,22477,2365235,47.04
30-Nov-2016,69.55,70.00,71.30,69.60,70.75,70.80,70.49,8407205,18837,4769476,56.73
