DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,401.60,403.70,404.70,390.05,392.05,393.25,395.79,77812,3711,56352,72.42
03-Aug-2016,393.25,398.90,398.90,375.00,385.00,383.15,385.50,35783,1910,22598,63.15
04-Aug-2016,383.15,386.15,397.45,386.15,396.40,390.85,391.54,50414,2297,24841,49.27
05-Aug-2016,390.85,397.90,406.00,390.60,402.50,392.10,392.27,251125,1794,237731,94.67
08-Aug-2016,392.10,402.45,404.70,392.20,395.20,396.00,396.73,48236,2237,33515,69.48
09-Aug-2016,396.00,398.85,402.80,371.00,392.00,390.75,389.89,175264,6905,54675,31.20
10-Aug-2016,390.75,392.00,407.00,392.00,404.80,405.20,402.61,183438,6727,84696,46.17
11-Aug-2016,405.20,409.00,413.00,403.05,404.15,404.70,408.38,136265,3561,87805,64.44
12-Aug-2016,404.70,407.75,415.90,403.95,414.05,414.30,412.29,126511,4028,103360,81.70
16-Aug-2016,414.30,418.00,422.50,409.05,414.00,417.40,417.23,159644,9555,102703,64.33
17-Aug-2016,417.40,417.90,432.25,417.00,427.60,427.40,428.73,312946,6958,223827,71.52
18-Aug-2016,427.40,435.00,435.00,428.00,429.75,429.20,429.88,156546,3159,133575,85.33
19-Aug-2016,429.20,432.60,438.00,429.00,436.90,436.70,433.29,142444,2755,124113,87.13
22-Aug-2016,436.70,437.80,440.05,432.30,434.10,435.20,437.93,246854,2395,223701,90.62
23-Aug-2016,435.20,437.00,438.50,422.65,427.30,429.05,433.07,29657,2289,20612,69.50
24-Aug-2016,429.05,431.00,436.20,426.65,431.00,431.30,431.82,47618,1937,31250,65.63
25-Aug-2016,431.30,433.30,437.00,425.05,427.10,427.10,430.25,42587,1998,28017,65.79
26-Aug-2016,427.10,427.50,438.00,425.10,428.60,429.20,432.99,141130,4151,50702,35.93
29-Aug-2016,429.20,431.00,437.00,428.00,429.00,430.45,432.37,33241,1986,14236,42.83
30-Aug-2016,430.45,432.15,439.50,431.45,439.00,437.30,437.14,51104,1837,36323,71.08
31-Aug-2016,437.30,440.00,446.50,439.70,446.50,444.15,444.66,216248,3246,175074,80.96
01-Sep-2016,444.15,448.50,450.00,431.25,435.90,435.60,439.30,46204,4061,22069,47.76
02-Sep-2016,435.60,435.60,435.70,425.10,426.00,425.70,428.38,43515,3137,26081,59.94
06-Sep-2016,425.70,427.60,429.90,420.35,425.00,424.85,424.20,47269,3962,32879,69.56
07-Sep-2016,424.85,426.00,433.00,425.10,428.50,427.60,430.18,65464,3948,35692,54.52
08-Sep-2016,427.60,429.95,436.00,429.95,434.00,433.85,433.17,35666,1892,19668,55.14
09-Sep-2016,433.85,434.70,437.00,415.10,422.90,420.45,425.65,54457,1896,38583,70.85
12-Sep-2016,420.45,415.60,444.00,405.75,429.50,431.10,432.97,121752,6947,51118,41.99
14-Sep-2016,431.10,435.70,439.90,424.85,430.00,428.35,433.34,49947,3078,19319,38.68
15-Sep-2016,428.35,435.00,435.90,428.00,429.00,429.10,431.64,26802,2124,14045,52.40
16-Sep-2016,429.10,433.85,449.70,428.00,443.00,443.30,439.09,110312,6266,76624,69.46
19-Sep-2016,443.30,445.00,449.90,431.75,432.90,432.70,437.71,32796,4257,19173,58.46
20-Sep-2016,432.70,431.75,441.90,431.75,440.00,439.15,437.78,25225,1573,15013,59.52
21-Sep-2016,439.15,444.60,444.60,432.15,435.00,434.65,439.08,43201,1499,35003,81.02
22-Sep-2016,434.65,443.00,443.00,433.20,439.40,436.95,436.48,20353,2139,13630,66.97
23-Sep-2016,436.95,440.00,443.00,436.10,442.00,442.25,441.09,26177,3255,20277,77.46
26-Sep-2016,442.25,444.65,447.00,430.00,433.05,431.90,437.60,48452,4377,23985,49.50
27-Sep-2016,431.90,438.00,439.00,430.10,437.50,437.10,435.54,34498,4530,23737,68.81
28-Sep-2016,437.10,440.00,442.30,431.25,435.30,436.85,436.32,37531,3911,20425,54.42
29-Sep-2016,436.85,439.00,458.95,434.25,445.00,445.30,445.24,242140,8711,194932,80.50
30-Sep-2016,445.30,448.00,449.00,435.10,443.95,442.00,443.31,39896,5041,22828,57.22
03-Oct-2016,442.00,447.80,447.80,431.00,438.20,440.05,440.33,78430,4577,45232,57.67
04-Oct-2016,440.05,440.50,452.00,435.25,445.55,447.50,444.25,37268,2393,19214,51.56
05-Oct-2016,447.50,444.00,452.70,444.00,450.00,449.65,449.83,35594,2166,22030,61.89
06-Oct-2016,449.65,442.60,451.95,439.10,444.20,444.75,444.15,36214,2179,20562,56.78
07-Oct-2016,444.75,449.00,449.00,438.00,438.90,438.95,441.10,21415,1078,14909,69.62
10-Oct-2016,438.95,440.05,444.95,436.00,436.00,439.25,440.25,23130,2862,13979,60.44
13-Oct-2016,439.25,438.80,442.80,433.10,441.60,439.10,437.89,38787,2900,24377,62.85
14-Oct-2016,439.10,439.90,442.00,435.10,441.00,438.40,437.43,19384,2408,13348,68.86
17-Oct-2016,438.40,444.90,444.90,433.35,437.50,438.55,436.40,38668,2979,17267,44.65
