DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,127.05,126.10,130.95,126.10,127.00,127.40,128.84,42001,960,31882,75.91
03-Aug-2016,127.40,126.50,128.55,122.05,123.95,123.45,124.43,63467,809,54896,86.50
04-Aug-2016,123.45,128.90,128.90,119.80,123.50,123.55,123.75,133092,612,129714,97.46
05-Aug-2016,123.55,123.55,128.95,123.55,124.00,127.00,126.66,61030,482,43747,71.68
08-Aug-2016,127.00,126.65,133.40,122.35,130.00,129.65,130.48,558179,6081,108487,19.44
09-Aug-2016,129.65,130.90,132.70,127.00,130.00,130.00,129.72,90306,1935,56457,62.52
10-Aug-2016,130.00,129.05,131.00,124.95,128.00,128.00,127.29,28222,914,15137,53.64
11-Aug-2016,128.00,128.00,128.95,126.00,127.00,127.60,127.50,21364,583,6117,28.63
12-Aug-2016,127.60,128.00,129.45,125.90,126.50,126.60,128.18,38791,498,29660,76.46
16-Aug-2016,126.60,127.55,129.30,123.20,129.00,127.70,125.86,43581,672,32773,75.20
17-Aug-2016,127.70,126.25,127.95,126.25,127.50,126.65,126.88,6404,232,3374,52.69
18-Aug-2016,126.65,128.75,130.00,124.35,130.00,129.40,127.41,51966,1137,27175,52.29
19-Aug-2016,129.40,128.10,129.70,125.60,126.35,126.15,127.00,16574,521,10927,65.93
22-Aug-2016,126.15,126.20,129.25,124.10,125.00,125.85,125.96,33509,643,23582,70.38
23-Aug-2016,125.85,125.80,129.95,124.85,126.00,126.05,127.24,69370,816,26910,38.79
24-Aug-2016,126.05,127.35,127.35,124.00,124.35,124.90,125.40,58789,2112,38063,64.75
25-Aug-2016,124.90,124.85,126.10,123.50,125.50,124.10,125.06,15862,359,10664,67.23
26-Aug-2016,124.10,124.50,142.40,123.20,134.00,137.65,136.07,283599,4391,76451,26.96
29-Aug-2016,137.65,135.65,135.65,125.70,127.50,127.50,129.93,96431,2347,39288,40.74
30-Aug-2016,127.50,127.55,131.75,124.25,129.05,129.90,128.93,280071,4425,85686,30.59
31-Aug-2016,129.90,130.90,131.40,126.10,128.75,128.75,128.16,57288,1756,28044,48.95
01-Sep-2016,128.75,126.60,129.40,125.45,125.60,126.05,126.95,28455,629,17621,61.93
02-Sep-2016,126.05,126.10,128.50,125.05,127.00,126.30,126.98,12609,316,7591,60.20
06-Sep-2016,126.30,126.00,127.60,126.00,127.25,127.00,126.91,11218,200,8584,76.52
07-Sep-2016,127.00,127.00,127.00,126.00,126.00,126.05,126.04,25805,231,23692,91.81
08-Sep-2016,126.05,127.15,127.15,124.00,126.00,126.05,125.99,32305,210,30603,94.73
09-Sep-2016,126.05,128.50,128.50,124.00,124.00,124.10,124.86,8367,241,6261,74.83
12-Sep-2016,124.10,122.70,122.95,119.75,122.60,121.60,120.98,19785,326,13660,69.04
14-Sep-2016,121.60,122.50,126.00,119.50,121.50,120.85,121.27,40999,1219,33543,81.81
15-Sep-2016,120.85,120.80,131.65,120.25,126.55,126.60,124.09,1258331,2973,1084134,86.16
16-Sep-2016,126.60,127.40,129.25,127.00,128.45,128.00,128.50,189664,920,163425,86.17
19-Sep-2016,128.00,128.95,131.15,122.90,128.15,128.15,128.09,76610,986,36837,48.08
20-Sep-2016,128.15,127.25,129.00,126.35,128.00,128.15,128.06,20670,577,12574,60.83
21-Sep-2016,128.15,128.15,129.10,125.50,129.00,128.65,128.01,313546,887,290398,92.62
22-Sep-2016,128.65,128.95,130.40,127.40,128.00,127.95,128.79,50275,530,39630,78.83
23-Sep-2016,127.95,127.55,129.25,126.00,126.05,126.40,127.25,16905,478,7372,43.61
26-Sep-2016,126.40,126.40,130.00,125.30,130.00,128.70,127.36,49406,406,31758,64.28
27-Sep-2016,128.70,130.00,138.00,128.00,132.00,131.65,132.38,178486,2078,96322,53.97
28-Sep-2016,131.65,131.50,135.90,130.30,135.70,135.15,134.77,95053,1793,73463,77.29
29-Sep-2016,135.15,135.00,135.80,127.25,133.00,131.00,132.20,65311,1580,49620,75.97
