DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,48.40,48.70,49.40,47.60,48.25,48.25,48.54,4126642,10124,2325396,56.35
03-Aug-2016,48.25,48.40,48.40,46.80,47.10,47.10,47.46,1917751,7262,1121132,58.46
04-Aug-2016,47.10,47.50,48.30,47.00,47.45,47.45,47.66,2626893,6596,1616491,61.54
05-Aug-2016,47.45,47.45,47.90,46.65,46.90,46.85,47.20,1534266,3617,819212,53.39
08-Aug-2016,46.85,47.40,48.30,46.70,47.90,48.05,47.42,3484279,7919,2148415,61.66
09-Aug-2016,48.05,48.10,48.30,47.15,47.20,47.30,47.56,1452531,4458,759168,52.27
10-Aug-2016,47.30,47.50,47.70,46.20,46.40,46.35,46.67,1782022,5242,1019659,57.22
11-Aug-2016,46.35,46.75,46.75,43.10,44.70,44.85,44.81,3637332,8614,2163388,59.48
12-Aug-2016,44.85,45.00,45.95,44.25,44.80,44.80,45.01,1540955,4587,674680,43.78
16-Aug-2016,44.80,45.05,45.20,44.45,44.60,44.60,44.71,737294,2990,351960,47.74
17-Aug-2016,44.60,44.65,44.65,43.45,43.90,44.10,44.05,1191443,3529,500768,42.03
18-Aug-2016,44.10,44.40,45.50,44.15,44.45,44.60,44.79,1083835,3519,529344,48.84
19-Aug-2016,44.60,44.90,45.55,44.50,45.25,45.15,44.95,2085518,4791,1128015,54.09
22-Aug-2016,45.15,45.00,45.70,43.65,43.85,43.85,44.33,1742391,5178,893948,51.31
23-Aug-2016,43.85,44.15,44.90,43.60,44.00,43.95,44.34,2102903,5364,841939,40.04
24-Aug-2016,43.95,44.20,44.55,43.70,43.85,43.80,44.03,1012653,2632,474343,46.84
25-Aug-2016,43.80,44.15,44.20,43.45,43.80,43.75,43.85,1008279,4363,491691,48.77
26-Aug-2016,43.75,43.95,43.95,42.55,42.80,42.95,43.09,1231381,4141,673185,54.67
