DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,265.50,266.95,274.90,265.70,273.40,273.20,271.86,176125,7678,95551,54.25
03-Aug-2016,273.20,274.95,277.50,265.10,267.85,267.10,271.78,154582,5163,70808,45.81
04-Aug-2016,267.10,272.00,275.50,268.70,271.25,272.45,272.82,122986,12401,77851,63.30
05-Aug-2016,272.45,273.85,274.90,268.50,272.75,272.90,272.16,74449,2169,43587,58.55
08-Aug-2016,272.90,267.45,269.80,261.10,268.30,268.00,267.67,483813,5610,402486,83.19
09-Aug-2016,268.00,270.35,270.45,261.95,262.50,263.60,266.43,86604,9010,60119,69.42
10-Aug-2016,263.60,263.00,267.50,255.50,257.30,257.05,259.85,115241,4863,86060,74.68
11-Aug-2016,257.05,259.80,263.45,256.95,262.50,260.95,261.23,98724,6478,61894,62.69
12-Aug-2016,260.95,262.90,270.00,261.80,267.25,267.55,267.80,136332,13939,95633,70.15
16-Aug-2016,267.55,268.75,271.40,265.45,267.00,266.70,268.97,51709,2175,33392,64.58
17-Aug-2016,266.70,266.60,277.00,265.20,275.30,275.50,272.58,89036,8628,60720,68.20
18-Aug-2016,275.50,278.00,284.95,275.75,284.00,283.60,280.80,107253,12619,67623,63.05
19-Aug-2016,283.60,283.75,285.00,280.80,284.00,284.10,283.25,49255,1344,27813,56.47
22-Aug-2016,284.10,283.15,284.85,274.80,275.10,275.55,277.50,27132,870,19546,72.04
23-Aug-2016,275.55,276.00,277.30,268.20,270.00,270.00,270.18,150829,2297,140496,93.15
24-Aug-2016,270.00,274.75,284.00,273.05,283.00,283.20,281.18,78356,2538,45704,58.33
25-Aug-2016,283.20,284.70,288.80,278.50,279.80,279.10,283.79,84275,4279,48554,57.61
26-Aug-2016,279.10,280.05,282.90,271.00,273.00,271.95,274.71,43109,1120,29730,68.96
29-Aug-2016,271.95,273.05,282.40,272.50,280.20,280.00,279.60,57907,5164,28348,48.95
30-Aug-2016,280.00,280.35,282.40,274.25,275.05,275.65,276.81,32100,1757,18817,58.62
31-Aug-2016,275.65,275.65,284.95,273.10,281.75,280.70,280.39,108639,4272,60507,55.70
01-Sep-2016,280.70,280.05,281.95,275.10,275.55,276.80,277.71,21527,1552,10640,49.43
02-Sep-2016,276.80,275.30,280.15,268.20,272.00,271.55,272.29,50057,1741,38401,76.71
06-Sep-2016,271.55,271.55,279.90,270.10,279.00,279.05,276.66,89987,6748,65001,72.23
07-Sep-2016,279.05,278.90,279.40,272.10,273.00,272.85,275.29,22078,1963,14509,65.72
08-Sep-2016,272.85,273.00,280.00,272.85,277.65,278.40,278.02,28473,1328,16023,56.27
09-Sep-2016,278.40,279.00,288.00,278.00,283.50,284.55,285.09,159472,9248,75716,47.48
12-Sep-2016,284.55,280.50,280.50,272.10,275.30,274.95,276.97,24505,825,14972,61.10
14-Sep-2016,274.95,273.50,278.15,271.25,272.50,272.70,273.04,75152,5402,54972,73.15
15-Sep-2016,272.70,273.15,277.75,271.80,272.00,273.10,274.97,297739,2536,287028,96.40
16-Sep-2016,273.10,273.65,275.50,256.00,258.80,257.65,263.88,195341,8737,157826,80.80
19-Sep-2016,257.65,260.00,270.00,260.00,263.35,263.25,266.03,84988,2031,25789,30.34
20-Sep-2016,263.25,266.95,266.95,260.10,262.30,261.35,262.88,28257,957,14478,51.24
21-Sep-2016,261.35,261.15,266.80,259.00,261.00,260.30,262.25,33036,2012,19351,58.58
22-Sep-2016,260.30,265.65,265.65,260.00,264.50,263.25,261.89,417073,3307,359216,86.13
23-Sep-2016,263.25,265.90,265.90,256.70,258.85,258.30,261.72,162860,1475,145593,89.40
26-Sep-2016,258.30,259.85,262.80,250.60,256.00,254.80,258.03,178527,1915,154223,86.39
27-Sep-2016,254.80,254.80,264.00,254.80,260.00,260.25,260.20,211426,7208,196505,92.94
28-Sep-2016,260.25,262.00,262.65,255.00,258.50,258.70,258.90,27989,1166,19332,69.07
29-Sep-2016,258.70,263.40,263.95,250.00,255.00,255.60,256.43,61360,2645,36610,59.66
30-Sep-2016,255.60,253.05,258.05,246.00,252.00,251.70,250.90,89903,6139,70216,78.10
03-Oct-2016,251.70,254.00,258.60,254.00,254.65,255.00,255.12,153327,5383,137406,89.62
04-Oct-2016,255.00,258.30,260.80,248.00,250.95,249.80,254.28,125837,3918,93497,74.30
05-Oct-2016,249.80,247.35,264.70,247.35,264.00,264.00,258.38,143082,9269,84308,58.92
06-Oct-2016,264.00,262.80,266.70,260.20,264.00,264.00,264.10,89057,5078,54424,61.11
