DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,613.45,619.00,619.00,610.00,616.50,612.00,611.58,10570,882,6958,65.83
03-Aug-2016,612.00,616.05,616.05,606.05,615.10,610.15,610.53,5688,628,2572,45.22
04-Aug-2016,610.15,610.10,622.80,606.05,610.45,612.55,612.39,8833,731,4586,51.92
05-Aug-2016,612.55,618.55,618.55,561.05,600.00,602.50,592.05,39142,2004,18127,46.31
08-Aug-2016,602.50,603.00,627.95,603.00,621.80,618.50,614.70,28332,1043,23775,83.92
09-Aug-2016,618.50,623.00,625.00,611.95,625.00,621.15,618.08,9498,638,7029,74.01
10-Aug-2016,621.15,613.00,622.90,613.00,622.90,617.95,618.02,6470,457,4004,61.89
11-Aug-2016,617.95,607.00,623.00,607.00,614.95,614.10,616.48,44463,1080,28364,63.79
12-Aug-2016,614.10,614.55,624.80,601.00,602.00,605.70,614.38,26190,876,21426,81.81
16-Aug-2016,605.70,615.05,623.80,608.10,617.00,615.10,616.78,25090,1287,22459,89.51
17-Aug-2016,615.10,628.00,628.00,603.00,615.00,615.70,617.73,6116,503,3076,50.29
18-Aug-2016,615.70,615.05,618.80,605.00,615.00,608.50,612.61,7267,601,6163,84.81
19-Aug-2016,608.50,617.00,617.95,603.75,605.05,607.45,612.78,5823,639,1789,30.72
22-Aug-2016,607.45,610.00,613.00,608.20,608.20,610.85,610.41,4408,182,3372,76.50
23-Aug-2016,610.85,605.60,615.00,600.00,601.00,601.45,606.11,5916,474,4172,70.52
24-Aug-2016,601.45,595.00,605.00,593.50,596.20,597.95,599.38,5906,420,4387,74.28
25-Aug-2016,597.95,602.55,603.85,597.00,597.50,599.25,599.50,6321,693,4122,65.21
26-Aug-2016,599.25,598.00,606.80,597.00,605.00,600.15,600.04,27349,1496,24333,88.97
29-Aug-2016,600.15,615.00,615.00,599.05,607.15,609.65,605.65,8315,659,6054,72.81
30-Aug-2016,609.65,619.30,623.05,604.00,605.05,607.20,613.51,18600,476,16040,86.24
31-Aug-2016,607.20,605.00,618.00,605.00,608.00,613.80,612.33,10511,1094,8293,78.90
01-Sep-2016,613.80,606.60,614.90,596.50,600.00,603.65,603.87,9752,773,4842,49.65
02-Sep-2016,603.65,597.10,604.60,595.00,595.00,598.55,599.30,158089,936,153774,97.27
06-Sep-2016,598.55,595.00,598.00,592.50,593.50,593.40,594.34,15897,1289,10741,67.57
07-Sep-2016,593.40,590.00,595.55,587.00,591.50,588.35,593.17,45330,1155,41715,92.03
08-Sep-2016,588.35,594.50,594.50,582.50,586.00,584.05,587.57,37010,634,33756,91.21
09-Sep-2016,584.05,586.90,586.90,577.50,580.00,578.35,580.20,32519,513,29807,91.66
12-Sep-2016,578.35,579.00,582.60,574.00,574.25,575.10,577.44,9190,823,4919,53.53
14-Sep-2016,575.10,574.00,579.00,556.80,560.00,560.40,564.78,17529,979,13591,77.53
15-Sep-2016,560.40,559.90,570.00,559.85,570.00,565.85,564.21,5402,266,3491,64.62
