DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,350.95,350.00,355.00,350.00,353.45,353.75,353.38,89066,4127,60430,67.85
03-Aug-2016,353.75,353.00,355.85,335.00,350.20,349.95,349.57,136524,5161,117942,86.39
04-Aug-2016,349.95,356.70,357.95,347.60,357.30,356.00,354.93,52771,5126,34792,65.93
05-Aug-2016,356.00,357.00,365.00,357.00,362.10,363.00,362.78,283152,15106,248664,87.82
08-Aug-2016,363.00,364.00,368.00,361.20,365.00,365.20,365.32,105109,3549,88414,84.12
09-Aug-2016,365.20,365.25,367.60,360.00,362.10,363.40,364.48,53129,3300,38029,71.58
10-Aug-2016,363.40,361.20,366.45,351.00,353.30,352.45,354.46,131589,4718,113429,86.20
11-Aug-2016,352.45,352.00,356.00,338.25,346.00,347.50,346.36,312370,5934,142593,45.65
12-Aug-2016,347.50,345.25,345.35,338.50,342.00,341.25,340.95,44596,1364,30040,67.36
16-Aug-2016,341.25,343.35,345.00,339.50,341.50,340.30,340.64,70893,1890,59469,83.89
17-Aug-2016,340.30,340.00,350.50,340.00,350.00,349.00,348.31,45441,3747,28504,62.73
18-Aug-2016,349.00,349.00,355.70,345.90,348.75,350.15,350.59,67846,3694,44871,66.14
19-Aug-2016,350.15,354.80,354.80,343.40,349.50,347.55,346.81,40643,2215,15699,38.63
22-Aug-2016,347.55,345.30,350.05,344.65,346.90,348.40,347.08,68668,2218,49613,72.25
23-Aug-2016,348.40,352.65,352.65,340.00,341.65,341.50,344.50,25375,1550,15366,60.56
24-Aug-2016,341.50,342.00,347.40,340.20,341.25,341.75,343.27,23960,1819,14186,59.21
25-Aug-2016,341.75,341.55,344.70,340.20,343.90,343.90,342.59,18320,1137,12804,69.89
26-Aug-2016,343.90,346.45,346.45,340.00,340.45,341.25,342.21,26406,1890,17691,67.00
29-Aug-2016,341.25,344.30,344.30,340.00,343.90,341.65,341.38,17464,1041,7847,44.93
30-Aug-2016,341.65,341.55,363.75,341.55,361.50,360.85,353.55,208255,3684,99057,47.57
31-Aug-2016,360.85,360.85,373.30,360.85,368.55,368.85,368.09,127152,3963,81474,64.08
01-Sep-2016,368.85,368.85,369.80,356.60,357.55,359.25,363.82,50270,2155,32539,64.73
02-Sep-2016,359.25,359.25,371.00,355.50,370.00,369.90,366.21,59725,1894,30876,51.70
06-Sep-2016,369.90,375.00,375.00,361.05,364.00,363.60,365.14,53119,1921,26124,49.18
07-Sep-2016,363.60,363.60,369.80,358.00,358.00,359.05,362.02,25873,1349,17164,66.34
08-Sep-2016,359.05,358.00,374.00,357.95,366.50,365.95,366.89,350583,2904,272163,77.63
09-Sep-2016,365.95,362.00,368.00,357.50,363.90,361.70,361.08,40000,2138,25443,63.61
12-Sep-2016,361.70,358.10,364.80,355.05,358.75,356.95,357.34,34320,2546,27952,81.45
14-Sep-2016,356.95,352.00,363.60,352.00,358.60,361.20,359.65,29619,2302,21372,72.16
15-Sep-2016,361.20,356.05,368.00,356.05,367.50,366.85,365.29,33353,1372,22189,66.53
16-Sep-2016,366.85,369.00,374.20,360.15,365.60,364.75,365.22,580942,5410,536561,92.36
19-Sep-2016,364.75,363.00,367.90,358.80,366.80,365.00,364.62,27728,985,21145,76.26
20-Sep-2016,365.00,366.80,379.00,366.80,371.00,372.35,374.71,253694,8946,190751,75.19
21-Sep-2016,372.35,370.60,374.80,367.75,371.00,371.45,370.05,46705,3441,33450,71.62
22-Sep-2016,371.45,371.05,387.00,371.05,374.50,374.65,378.26,219853,3831,142956,65.02
23-Sep-2016,374.65,375.00,379.95,367.50,370.20,371.75,370.38,240660,4201,221777,92.15
26-Sep-2016,371.75,370.00,375.00,369.00,371.00,370.25,370.94,36749,2007,29821,81.15
27-Sep-2016,370.25,370.00,374.00,367.25,370.20,369.95,369.90,209524,2270,192001,91.64
28-Sep-2016,369.95,368.10,373.50,368.10,370.00,370.20,370.18,26544,1080,21161,79.72
29-Sep-2016,370.20,370.20,373.50,341.55,352.50,350.50,361.00,90067,2731,63517,70.52
30-Sep-2016,350.50,350.00,359.80,349.95,353.90,352.15,354.66,44030,7931,26254,59.63
03-Oct-2016,352.15,352.95,369.80,352.95,366.50,367.10,361.29,60100,5233,43897,73.04
04-Oct-2016,367.10,372.00,372.00,361.00,370.00,367.20,365.68,21605,1678,14191,65.68
05-Oct-2016,367.20,358.00,374.50,358.00,369.30,370.65,367.69,37979,3660,21466,56.52
06-Oct-2016,370.65,369.05,375.00,368.75,374.25,373.20,372.60,29412,2255,20445,69.51
07-Oct-2016,373.20,375.00,377.60,371.00,376.00,376.10,374.84,27043,1933,18235,67.43
