DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,239.40,241.05,244.50,229.10,239.00,236.85,239.25,911293,12841,303922,33.35
03-Aug-2016,236.85,237.00,239.05,230.00,232.65,232.25,233.76,411374,6772,136257,33.12
04-Aug-2016,232.25,236.20,239.00,230.00,237.00,236.00,233.89,379605,6810,132351,34.87
05-Aug-2016,236.00,237.45,245.00,236.00,242.00,242.80,241.59,650337,7658,250102,38.46
08-Aug-2016,242.80,244.40,245.55,236.10,237.60,237.70,240.58,339410,5054,154001,45.37
09-Aug-2016,237.70,238.45,239.10,231.45,232.10,232.70,234.56,313099,4231,117159,37.42
10-Aug-2016,232.70,232.15,238.60,232.15,234.00,234.70,234.89,262664,5114,96153,36.61
11-Aug-2016,234.70,234.90,239.35,232.70,236.00,236.70,236.58,383031,5578,135555,35.39
12-Aug-2016,236.70,237.85,243.40,232.65,236.50,235.10,237.22,253401,3386,78619,31.03
16-Aug-2016,235.10,235.00,247.25,235.00,246.00,246.15,242.78,690792,8100,322086,46.63
17-Aug-2016,246.15,247.50,260.00,245.10,259.50,258.95,255.41,1226760,13071,451007,36.76
18-Aug-2016,258.95,266.50,268.00,259.05,261.20,260.75,263.51,1545699,18711,486822,31.50
19-Aug-2016,260.75,261.00,262.35,255.25,259.00,258.00,258.49,412439,10887,148679,36.05
22-Aug-2016,258.00,261.05,264.20,258.55,262.10,262.70,261.63,672851,11128,206296,30.66
23-Aug-2016,262.70,263.00,263.75,253.10,254.95,255.45,258.28,421879,7340,208696,49.47
24-Aug-2016,255.45,254.95,257.30,251.55,253.85,254.15,254.34,321126,9157,125440,39.06
25-Aug-2016,254.15,253.50,255.00,244.00,245.00,244.80,248.88,455536,7456,254501,55.87
26-Aug-2016,244.80,245.40,249.00,240.20,244.90,244.85,244.64,545740,7222,244296,44.76
29-Aug-2016,244.85,245.05,246.90,237.80,242.40,242.80,242.86,468861,7677,171723,36.63
30-Aug-2016,242.80,243.10,252.70,243.10,250.40,250.55,249.87,507592,7452,179491,35.36
31-Aug-2016,250.55,251.90,258.85,249.25,252.20,252.10,255.26,557478,8274,166016,29.78
01-Sep-2016,252.10,252.85,266.90,252.15,264.75,263.65,258.39,2093966,12673,1556556,74.34
02-Sep-2016,263.65,266.15,269.80,258.30,261.90,260.75,264.34,807757,11526,247138,30.60
06-Sep-2016,260.75,263.00,264.70,254.05,256.00,255.35,257.73,351370,5935,179367,51.05
07-Sep-2016,255.35,255.40,261.00,253.15,253.15,254.35,256.45,308026,5754,123491,40.09
08-Sep-2016,254.35,254.00,256.35,250.05,251.50,251.50,252.46,287605,5025,125814,43.75
09-Sep-2016,251.50,251.50,254.15,245.55,246.00,246.70,249.64,319269,5124,127196,39.84
12-Sep-2016,246.70,240.00,249.00,237.10,240.75,241.25,243.69,487241,8316,194447,39.91
14-Sep-2016,241.25,242.70,254.45,241.40,253.25,253.30,250.04,505220,9183,191066,37.82
15-Sep-2016,253.30,252.50,262.40,245.00,260.85,259.65,258.39,738798,12558,266672,36.10
16-Sep-2016,259.65,260.45,265.35,252.25,256.05,257.10,259.96,1104565,15779,281771,25.51
19-Sep-2016,257.10,257.00,257.90,251.00,252.60,252.80,254.07,310094,3668,129368,41.72
20-Sep-2016,252.80,254.00,257.25,250.25,251.50,251.65,253.19,318635,3241,142203,44.63
21-Sep-2016,251.65,253.00,256.35,251.65,253.20,253.35,254.49,233545,2539,122234,52.34
22-Sep-2016,253.35,255.25,258.50,254.00,255.00,255.10,255.93,334262,3420,144105,43.11
23-Sep-2016,255.10,256.00,256.80,252.05,254.55,253.75,254.58,289110,2171,193477,66.92
26-Sep-2016,253.75,253.95,257.20,250.00,252.95,253.05,254.62,224291,3227,97282,43.37
27-Sep-2016,253.05,254.70,256.90,251.90,253.00,253.00,254.68,167661,2055,83419,49.75
28-Sep-2016,253.00,254.00,259.00,253.50,255.00,255.05,256.03,380643,3290,223785,58.79
29-Sep-2016,255.05,257.40,268.00,241.40,246.00,245.85,256.33,1334186,16292,511719,38.35
30-Sep-2016,245.85,243.00,254.70,242.15,253.85,252.15,251.28,303113,6498,135383,44.66
03-Oct-2016,252.15,257.70,263.90,254.10,261.00,260.85,260.38,452767,5067,249765,55.16
04-Oct-2016,260.85,261.10,276.45,259.00,275.65,275.10,269.73,1109541,15560,423550,38.17
05-Oct-2016,275.10,277.00,284.70,275.10,278.40,278.85,279.95,1040790,12513,376232,36.15
06-Oct-2016,278.85,279.50,283.40,271.35,276.00,274.95,278.60,531440,6974,288514,54.29
07-Oct-2016,274.95,276.00,277.00,268.05,269.65,270.65,270.80,343732,4598,171411,49.87
10-Oct-2016,270.65,272.00,274.95,268.00,269.20,269.15,270.72,205592,3182,97916,47.63
13-Oct-2016,269.15,268.80,287.00,267.50,283.30,284.75,278.73,1329898,23276,414376,31.16
14-Oct-2016,284.75,284.75,288.80,281.00,284.50,284.95,284.93,784505,12348,291734,37.19
17-Oct-2016,284.95,284.00,295.00,284.00,293.00,291.80,291.57,843029,9835,325469,38.61
18-Oct-2016,291.80,294.45,297.30,291.50,294.25,295.75,294.70,473617,6592,191184,40.37
19-Oct-2016,295.75,297.75,297.75,291.70,294.00,292.95,293.83,420088,5029,248674,59.20
20-Oct-2016,292.95,295.00,299.00,290.00,295.90,295.10,295.67,466813,6191,205591,44.04
21-Oct-2016,295.10,297.60,298.00,275.55,276.00,278.00,285.99,2429269,27010,777014,31.99
24-Oct-2016,278.00,280.00,283.60,270.25,273.65,273.75,276.52,595772,6903,303838,51.00
25-Oct-2016,273.75,273.95,283.00,273.90,279.50,278.80,279.17,468595,5954,186792,39.86
26-Oct-2016,278.80,279.50,282.30,272.40,274.55,273.50,276.18,425755,3329,268449,63.05
27-Oct-2016,273.50,273.50,278.50,272.00,278.00,275.70,275.35,206938,2665,90819,43.89
28-Oct-2016,275.70,275.70,279.90,274.15,275.00,275.65,277.24,306134,4342,114342,37.35
30-Oct-2016,275.65,276.95,279.80,276.95,278.95,278.15,278.28,56131,925,31896,56.82
01-Nov-2016,278.15,280.00,283.95,274.30,274.60,275.55,279.18,265616,2964,114413,43.07
02-Nov-2016,275.55,274.20,275.00,264.00,265.20,265.60,268.89,299933,4231,167535,55.86
03-Nov-2016,265.60,266.00,271.00,260.00,262.00,261.95,264.88,270517,3893,113026,41.78
04-Nov-2016,261.95,261.50,263.00,247.60,256.40,255.05,252.26,638782,6413,349917,54.78
07-Nov-2016,255.05,258.05,261.20,253.60,254.50,254.75,257.70,174979,2406,95320,54.48
08-Nov-2016,254.75,256.00,258.65,249.25,250.85,250.60,252.79,163601,3354,86371,52.79
09-Nov-2016,250.60,225.00,245.00,206.00,239.00,239.25,226.96,1157819,10967,668820,57.77
10-Nov-2016,239.25,248.90,248.90,233.35,239.80,240.25,243.22,302346,5366,166588,55.10
11-Nov-2016,240.25,234.00,240.20,223.50,236.00,231.40,232.36,352069,6656,177700,50.47
15-Nov-2016,231.40,233.00,233.00,214.00,217.05,217.90,220.10,382876,4442,237687,62.08
16-Nov-2016,217.90,221.05,228.70,215.05,225.85,224.85,223.95,412404,3726,264717,64.19
