DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
25-Oct-2017,912.00,850.00,899.00,780.00,898.00,874.30,844.84,27556221,406110,12270384,44.53
26-Oct-2017,874.30,879.50,879.50,845.00,848.00,852.15,858.96,2045983,59551,667906,32.64
27-Oct-2017,852.15,850.00,858.00,830.00,838.90,834.85,842.64,561271,17200,316638,56.41
30-Oct-2017,834.85,834.85,860.05,826.25,858.00,855.45,844.68,894609,26678,429379,48.00
31-Oct-2017,855.45,850.00,875.00,844.05,866.00,861.95,864.69,1380572,45868,624958,45.27
01-Nov-2017,861.95,865.00,868.00,844.55,845.00,848.00,856.31,268587,11184,134617,50.12
02-Nov-2017,848.00,845.00,852.50,835.00,836.00,837.80,843.46,165896,8133,95515,57.58
03-Nov-2017,837.80,832.00,842.00,827.50,829.00,830.05,834.97,172227,7225,106496,61.83
06-Nov-2017,830.05,828.00,831.95,815.00,816.95,817.80,823.82,199889,9889,119292,59.68
07-Nov-2017,817.80,817.80,830.00,802.55,810.00,806.75,814.38,239129,9590,137445,57.48
08-Nov-2017,806.75,806.00,811.05,799.05,801.00,800.05,804.96,157748,6727,103904,65.87
09-Nov-2017,800.05,801.00,810.00,790.00,792.00,791.40,795.83,268063,9076,205878,76.80
10-Nov-2017,791.40,790.10,830.00,790.10,829.20,822.05,813.58,460788,14299,297402,64.54
13-Nov-2017,822.05,825.05,849.00,807.50,810.60,811.85,829.39,626837,22460,141469,22.57
14-Nov-2017,811.85,823.50,833.85,816.05,822.10,824.85,825.01,238195,9287,124834,52.41
15-Nov-2017,824.85,825.00,825.00,796.10,798.40,799.95,808.10,101299,5642,63771,62.95
16-Nov-2017,799.95,800.60,813.00,800.00,801.05,802.65,805.21,89209,4418,52517,58.87
17-Nov-2017,802.65,803.75,810.10,792.00,792.00,793.75,800.37,204024,8586,129620,63.53
20-Nov-2017,793.75,795.00,802.30,792.05,798.55,799.85,799.47,281824,9265,224289,79.58
21-Nov-2017,799.85,796.15,820.80,793.00,796.00,796.50,805.30,351467,12632,143278,40.77
22-Nov-2017,796.50,800.00,808.80,797.00,800.00,798.50,801.92,113027,5908,55419,49.03
23-Nov-2017,798.50,797.15,804.70,791.65,792.50,794.20,798.38,116569,5788,70025,60.07
24-Nov-2017,794.20,799.80,799.80,792.65,795.00,795.80,795.84,81887,3858,59443,72.59
27-Nov-2017,795.80,796.00,797.40,785.00,785.60,787.20,790.93,197791,8391,127377,64.40
28-Nov-2017,787.20,786.00,800.00,786.00,796.00,798.10,793.22,156129,7638,88425,56.64
29-Nov-2017,798.10,797.50,805.90,794.50,800.75,801.45,800.63,127947,6778,91179,71.26
30-Nov-2017,801.45,803.00,812.00,795.10,800.15,803.25,805.56,145010,4568,92351,63.69
01-Dec-2017,803.25,806.40,806.40,795.00,797.00,796.95,800.35,96736,6059,64099,66.26
04-Dec-2017,796.95,797.00,799.95,786.10,795.35,795.85,794.78,74054,8544,46568,62.88
05-Dec-2017,795.85,795.80,798.00,790.05,797.80,793.30,792.13,61386,3461,36647,59.70
06-Dec-2017,793.30,795.00,801.75,786.00,801.00,800.80,799.47,109219,8213,77781,71.22
07-Dec-2017,800.80,795.55,806.00,795.55,800.00,802.65,800.96,92495,8655,61730,66.74
08-Dec-2017,802.65,799.00,804.60,795.50,800.00,801.40,801.00,64572,3234,39731,61.53
11-Dec-2017,801.40,801.90,803.05,790.00,790.35,791.75,797.92,127370,3748,101820,79.94
12-Dec-2017,791.75,790.00,798.00,790.00,790.00,790.35,791.17,57287,3191,37040,64.66
13-Dec-2017,790.35,788.25,794.60,785.00,787.00,786.95,788.50,44143,2721,32000,72.49
14-Dec-2017,786.95,785.35,788.35,777.00,778.00,778.90,781.06,61968,3465,45707,73.76
15-Dec-2017,778.90,782.30,786.00,775.00,778.50,780.40,779.49,75233,4513,50446,67.05
18-Dec-2017,780.40,780.00,784.85,767.00,784.00,782.00,779.06,75037,4269,50954,67.91
19-Dec-2017,782.00,782.55,789.50,777.55,785.00,782.40,783.94,126378,4988,80396,63.62
20-Dec-2017,782.40,779.05,790.00,779.05,785.00,785.10,785.44,62459,4808,40867,65.43
21-Dec-2017,785.10,787.00,790.00,780.00,780.10,780.60,782.12,77568,3157,56508,72.85
22-Dec-2017,780.60,778.00,782.20,773.10,773.55,773.80,775.91,100409,4511,73389,73.09
26-Dec-2017,773.80,775.00,781.80,771.00,779.00,779.55,776.99,132431,5076,92784,70.06
27-Dec-2017,779.55,780.00,780.00,763.50,764.00,765.35,772.44,243888,7006,205890,84.42
28-Dec-2017,765.35,765.35,773.20,760.60,761.00,761.40,764.73,81062,4650,57895,71.42
29-Dec-2017,761.40,762.00,762.60,752.50,753.00,753.70,756.06,110137,6790,77441,70.31
01-Jan-2018,753.70,753.00,767.05,752.30,765.05,764.75,763.48,99009,4065,60336,60.94
02-Jan-2018,764.75,764.75,770.00,760.00,763.00,762.75,764.41,63302,2559,36841,58.20
03-Jan-2018,762.75,762.90,769.75,762.80,766.00,765.85,766.64,58158,2344,35652,61.30
04-Jan-2018,765.85,765.00,777.85,762.00,768.00,767.80,770.42,91645,3935,46606,50.85
05-Jan-2018,767.80,768.00,774.00,764.00,764.80,764.35,767.18,63778,2795,47398,74.32
08-Jan-2018,764.35,764.45,774.95,764.45,771.55,772.10,771.50,262194,3201,231342,88.23
09-Jan-2018,772.10,774.00,774.90,769.95,772.00,772.20,771.97,81769,4599,58475,71.51
10-Jan-2018,772.20,770.00,773.90,769.05,772.00,770.90,770.75,102855,8843,71258,69.28
11-Jan-2018,770.90,768.00,772.00,768.00,772.00,770.45,770.65,45196,2636,31745,70.24
12-Jan-2018,770.45,770.00,804.75,770.00,800.00,801.85,790.48,369116,12038,186560,50.54
15-Jan-2018,801.85,806.00,809.50,797.50,799.65,800.00,802.98,212384,6092,149169,70.24
16-Jan-2018,800.00,793.65,807.05,777.00,800.05,799.95,798.01,249637,5016,200764,80.42
17-Jan-2018,799.95,802.00,807.00,790.00,795.00,795.05,797.35,83982,4054,52943,63.04
18-Jan-2018,795.05,803.00,803.80,785.50,791.00,792.80,797.94,97273,5013,66803,68.68
19-Jan-2018,792.80,793.00,798.50,777.00,778.00,782.75,782.98,75981,4651,47384,62.36
22-Jan-2018,782.75,780.30,792.10,777.30,784.00,784.80,786.55,61458,4043,39867,64.87
23-Jan-2018,784.80,784.15,787.90,778.10,780.00,780.00,780.96,90348,4708,64088,70.93
24-Jan-2018,780.00,780.00,780.85,772.45,775.05,775.15,775.52,66988,2605,49128,73.34
25-Jan-2018,775.15,776.15,789.05,769.95,771.00,772.00,775.35,160024,4020,132586,82.85
29-Jan-2018,772.00,769.15,773.85,765.00,765.00,766.75,770.02,658615,2291,640950,97.32
30-Jan-2018,766.75,765.15,778.75,759.00,762.10,762.00,769.89,1516749,2744,1488486,98.14
31-Jan-2018,762.00,762.15,767.40,755.00,758.90,756.65,760.28,40118,2451,28802,71.79
01-Feb-2018,756.65,765.85,775.95,750.00,752.40,753.25,760.13,214636,5655,126873,59.11
02-Feb-2018,753.25,750.15,759.00,727.75,728.90,729.35,740.46,108863,5400,75272,69.14
05-Feb-2018,729.35,726.55,765.90,718.35,760.10,754.85,741.04,168525,7234,113550,67.38
06-Feb-2018,754.85,731.00,760.00,721.00,756.50,754.15,741.03,148926,8104,93070,62.49
07-Feb-2018,754.15,761.50,767.40,753.00,764.05,764.95,760.46,69317,3983,40987,59.13
08-Feb-2018,764.95,765.00,768.75,750.50,753.00,753.65,759.60,36612,2511,22360,61.07
09-Feb-2018,753.65,743.80,758.20,738.15,743.90,745.20,740.41,347036,6200,314126,90.52
12-Feb-2018,745.20,750.00,762.00,734.20,744.00,746.85,747.59,106639,3780,58184,54.56
14-Feb-2018,746.85,759.95,785.00,755.00,780.60,780.60,769.86,181848,8189,109550,60.24
15-Feb-2018,780.60,778.50,793.65,775.00,784.00,784.30,785.97,98804,5432,56828,57.52
16-Feb-2018,784.30,784.00,789.45,765.00,766.05,770.45,774.82,43266,2158,24659,56.99
19-Feb-2018,770.45,768.20,773.95,750.80,761.00,768.40,762.70,81930,3506,49675,60.63
20-Feb-2018,768.40,765.00,768.00,755.00,756.30,756.00,759.20,18995,1525,11771,61.97
21-Feb-2018,756.00,756.10,762.40,727.75,730.00,731.00,738.68,82316,4515,55669,67.63
22-Feb-2018,731.00,731.00,736.45,725.00,725.50,726.65,728.71,40269,2517,22453,55.76
23-Feb-2018,726.65,725.25,741.35,725.25,734.25,737.90,737.89,43069,3588,22241,51.64
26-Feb-2018,737.90,740.00,742.25,733.30,735.75,734.55,736.91,25133,1880,14558,57.92
27-Feb-2018,734.55,735.30,741.00,726.50,728.00,727.90,733.17,26726,1806,14895,55.73
28-Feb-2018,727.90,729.00,732.90,720.00,720.25,721.15,723.45,63489,4503,41675,65.64
01-Mar-2018,721.15,721.00,733.40,721.00,731.00,732.70,730.22,52709,2662,34477,65.41
05-Mar-2018,732.70,727.20,731.80,720.80,724.80,724.85,725.14,42023,3013,26063,62.02
06-Mar-2018,724.85,725.00,729.35,718.40,720.00,720.80,723.86,36022,2896,22378,62.12
07-Mar-2018,720.80,721.00,722.70,703.00,707.90,704.95,710.65,57125,3093,36419,63.75
08-Mar-2018,704.95,710.00,712.00,700.55,703.50,702.40,704.16,99488,4993,71515,71.88
09-Mar-2018,702.40,704.00,711.60,700.25,702.00,702.95,707.04,83036,2164,51568,62.10
12-Mar-2018,702.95,703.00,707.00,699.10,702.00,700.40,701.95,42164,2064,30154,71.52
13-Mar-2018,700.40,700.40,709.50,700.25,703.80,704.75,705.45,42850,2404,26774,62.48
14-Mar-2018,704.75,698.25,703.80,698.25,701.00,700.35,700.53,38579,2002,28284,73.31
15-Mar-2018,700.35,700.25,709.90,700.00,709.90,708.05,706.81,57969,2211,40802,70.39
16-Mar-2018,708.05,708.40,715.00,700.00,701.00,701.10,706.47,59767,3970,39218,65.62
19-Mar-2018,701.10,700.25,705.75,697.00,705.00,705.00,703.38,65730,2816,50548,76.90
20-Mar-2018,705.00,705.00,705.95,700.00,705.00,705.05,704.39,45353,2834,35147,77.50
21-Mar-2018,705.05,705.00,707.00,704.75,705.15,705.05,705.24,42794,1631,33964,79.37
22-Mar-2018,705.05,705.05,707.40,700.25,705.05,705.05,704.20,47290,1730,37029,78.30
23-Mar-2018,705.05,700.30,702.50,695.30,700.40,700.00,700.03,152283,3551,132532,87.03
26-Mar-2018,700.00,697.10,704.60,697.10,700.00,700.05,700.29,139323,2811,125230,89.88
27-Mar-2018,700.05,700.10,707.00,700.00,705.00,705.20,704.85,73088,2445,48351,66.15
28-Mar-2018,705.20,701.15,750.00,700.20,740.00,734.10,722.70,191360,6889,159546,83.37
02-Apr-2018,734.10,734.10,754.75,734.10,743.00,739.60,742.13,41613,1956,20135,48.39
03-Apr-2018,739.60,736.15,750.00,736.15,746.00,746.70,743.96,30061,1859,16263,54.10
04-Apr-2018,746.70,747.50,748.40,736.00,739.40,737.60,742.52,30063,1989,17405,57.90
05-Apr-2018,737.60,736.90,741.80,727.65,730.00,732.05,734.34,29188,2048,20077,68.79
06-Apr-2018,732.05,728.15,739.50,722.25,736.30,736.85,729.39,38791,2647,21760,56.10
09-Apr-2018,736.85,736.00,741.90,731.95,736.15,738.45,736.23,24483,1753,15338,62.65
10-Apr-2018,738.45,737.10,744.00,734.20,735.05,735.40,737.10,17569,1414,10755,61.22
11-Apr-2018,735.40,736.00,737.25,726.55,729.10,729.65,730.51,29941,3585,18891,63.09
12-Apr-2018,729.65,729.95,733.80,722.25,724.40,723.95,726.86,28139,1952,19262,68.45
13-Apr-2018,723.95,723.15,728.85,723.00,725.00,725.20,725.50,20160,1852,12089,59.97
