DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,4806.40,4849.95,4850.00,4616.60,4623.80,4646.80,4704.22,7169,1755,5117,71.38
03-Aug-2016,4646.80,4645.00,4725.00,4631.10,4725.00,4678.75,4667.80,1751,452,1188,67.85
04-Aug-2016,4678.75,4748.70,4748.70,4622.30,4662.00,4676.85,4663.42,2434,434,1133,46.55
05-Aug-2016,4676.85,4687.00,4768.00,4661.10,4760.00,4742.90,4715.98,2200,511,1317,59.86
08-Aug-2016,4742.90,4735.00,4897.90,4701.05,4889.95,4857.90,4828.27,4065,920,2430,59.78
09-Aug-2016,4857.90,4860.00,4860.00,4740.00,4742.00,4751.85,4765.26,5529,1788,3565,64.48
10-Aug-2016,4751.85,4752.00,4810.00,4670.05,4673.00,4702.00,4717.46,1994,546,981,49.20
11-Aug-2016,4702.00,4702.00,4800.00,4670.50,4798.00,4746.20,4718.15,2699,875,1593,59.02
12-Aug-2016,4746.20,4772.80,4818.95,4750.50,4801.00,4794.20,4782.82,1885,505,1078,57.19
16-Aug-2016,4794.20,4795.00,4845.15,4751.00,4839.00,4832.30,4805.01,2878,851,1946,67.62
17-Aug-2016,4832.30,4807.85,4840.00,4675.00,4678.00,4705.60,4738.72,5436,1048,3363,61.87
18-Aug-2016,4705.60,4744.90,4780.00,4703.00,4777.95,4765.25,4751.55,1857,499,1196,64.40
19-Aug-2016,4765.25,4765.00,4778.00,4710.05,4715.25,4728.90,4731.62,3544,873,2107,59.45
22-Aug-2016,4728.90,4730.00,4799.00,4730.00,4760.00,4782.75,4755.47,2706,493,2136,78.94
23-Aug-2016,4782.75,4783.00,4847.00,4575.20,4575.20,4678.70,4694.57,28722,4459,7965,27.73
24-Aug-2016,4678.70,4628.00,4645.00,4524.00,4529.00,4541.80,4578.91,10042,1674,7125,70.95
25-Aug-2016,4541.80,4551.10,4574.00,4459.55,4500.00,4495.65,4495.49,10207,1540,7802,76.44
26-Aug-2016,4495.65,4496.00,4549.95,4470.00,4480.00,4499.65,4495.48,2372,466,1526,64.33
29-Aug-2016,4499.65,4567.55,4568.00,4477.00,4538.00,4520.85,4504.72,1340,681,813,60.67
30-Aug-2016,4520.85,4476.00,4542.60,4460.10,4470.00,4481.35,4486.45,7992,975,6411,80.22
31-Aug-2016,4481.35,4541.95,4542.00,4451.00,4465.10,4469.40,4490.88,21033,701,19722,93.77
01-Sep-2016,4469.40,4475.00,4488.95,4446.05,4450.00,4460.70,4459.57,4447,503,4050,91.07
