DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,3222.55,3224.00,3272.00,3192.45,3198.00,3198.50,3226.05,7453,1029,5009,67.21
03-Aug-2016,3198.50,3199.55,3223.90,3100.00,3150.00,3142.65,3142.25,10729,1840,7903,73.66
04-Aug-2016,3142.65,3142.00,3198.00,3078.25,3086.60,3094.25,3113.35,11966,1853,8589,71.78
05-Aug-2016,3094.25,3094.00,3170.00,3094.00,3145.00,3140.50,3125.92,6015,1237,3767,62.63
08-Aug-2016,3140.50,3152.00,3156.00,3108.10,3125.00,3121.10,3121.23,5913,840,4022,68.02
09-Aug-2016,3121.10,3121.00,3139.05,3100.00,3110.00,3108.20,3113.51,6529,931,4540,69.54
10-Aug-2016,3108.20,3108.00,3149.00,3040.00,3060.00,3063.50,3079.66,11650,1766,8290,71.16
11-Aug-2016,3063.50,3060.00,3143.05,3051.00,3138.00,3119.80,3089.42,4967,1399,3202,64.47
12-Aug-2016,3119.80,3130.00,3140.00,3036.10,3111.65,3118.85,3110.93,5148,884,2879,55.92
16-Aug-2016,3118.85,3118.00,3138.50,3045.00,3065.85,3050.90,3065.36,11395,2787,8106,71.14
17-Aug-2016,3050.90,3065.00,3176.00,3050.00,3172.00,3168.45,3133.43,9423,1386,5869,62.28
18-Aug-2016,3168.45,3176.00,3188.00,3101.50,3154.95,3143.05,3133.68,6046,1255,3372,55.77
19-Aug-2016,3143.05,3145.00,3160.05,3102.20,3120.00,3121.60,3122.49,4058,1128,2428,59.83
22-Aug-2016,3121.60,3121.00,3148.50,3066.65,3080.05,3075.60,3089.20,5169,1255,3369,65.18
23-Aug-2016,3075.60,3075.00,3110.00,3066.20,3066.20,3081.95,3091.99,4126,957,2662,64.52
24-Aug-2016,3081.95,3081.00,3094.00,3041.00,3047.00,3051.15,3056.23,11444,2746,8300,72.53
25-Aug-2016,3051.15,3042.00,3056.00,2990.05,3005.00,3012.65,3031.58,14145,3376,10851,76.71
26-Aug-2016,3012.65,3013.05,3043.45,2971.40,2984.95,2981.70,2992.90,12888,3359,10067,78.11
29-Aug-2016,2981.70,2982.00,2995.40,2962.10,2983.00,2979.25,2976.12,5939,1385,3695,62.22
30-Aug-2016,2979.25,2970.00,3040.00,2969.00,3040.00,3010.45,3002.85,4603,923,2847,61.85
31-Aug-2016,3010.45,3010.00,3323.00,2972.05,3036.60,3033.95,3141.06,86171,13316,28641,33.24
01-Sep-2016,3033.95,3062.00,3089.95,2971.55,2981.00,2985.15,3008.07,25854,4907,16198,62.65
02-Sep-2016,2985.15,3000.00,3053.95,2965.00,2970.00,2974.05,2993.23,19297,4091,10561,54.73
06-Sep-2016,2974.05,2974.00,3019.00,2974.00,3009.00,3000.05,2994.55,11029,1590,7643,69.30
07-Sep-2016,3000.05,3024.80,3024.80,3001.40,3004.85,3010.60,3012.10,6283,881,4216,67.10
08-Sep-2016,3010.60,3020.00,3020.00,2982.00,3000.00,3003.40,3001.38,8677,1569,6662,76.78
09-Sep-2016,3003.40,3003.00,3033.00,2990.00,3019.95,3001.05,3008.23,5977,1263,3690,61.74
12-Sep-2016,3001.05,2990.00,3008.45,2975.00,2985.00,2986.35,2984.53,6391,1079,4327,67.70
14-Sep-2016,2986.35,2986.00,3005.00,2950.10,2957.00,2957.25,2963.03,12254,3309,8489,69.28
15-Sep-2016,2957.25,2974.00,2999.00,2951.25,2965.05,2968.25,2967.49,7047,1397,4249,60.30
16-Sep-2016,2968.25,2985.00,2985.00,2799.95,2802.10,2826.45,2837.95,343527,17517,299624,87.22
19-Sep-2016,2826.45,2836.35,2877.00,2836.35,2840.00,2841.50,2852.42,20160,3703,15405,76.41
20-Sep-2016,2841.50,2841.50,2850.00,2825.00,2836.80,2828.80,2832.83,12004,2307,8956,74.61
21-Sep-2016,2828.80,2828.80,2848.00,2801.00,2804.50,2810.55,2819.07,13545,3229,10176,75.13
22-Sep-2016,2810.55,2834.80,2835.00,2786.25,2793.00,2794.85,2799.33,34401,3161,28398,82.55
23-Sep-2016,2794.85,2800.05,2826.45,2793.35,2802.00,2805.25,2809.12,41160,2129,36274,88.13
26-Sep-2016,2805.25,2808.00,2821.90,2790.00,2799.80,2798.35,2804.07,56247,1502,53074,94.36
27-Sep-2016,2798.35,2819.00,2845.00,2795.00,2821.00,2822.90,2812.67,15395,1614,12973,84.27
28-Sep-2016,2822.90,2822.90,2850.00,2820.00,2850.00,2839.75,2836.98,23206,1547,20583,88.70
29-Sep-2016,2839.75,2850.00,2870.00,2775.00,2807.95,2807.25,2812.84,62678,2991,53778,85.80
30-Sep-2016,2807.25,2807.00,2810.00,2752.00,2800.00,2780.95,2783.97,35018,3376,26282,75.05
03-Oct-2016,2780.95,2790.00,2828.80,2780.50,2810.05,2820.10,2803.15,6986,1396,4262,61.01
04-Oct-2016,2820.10,2815.00,2914.70,2813.35,2905.00,2868.35,2852.75,10483,1541,7641,72.89
05-Oct-2016,2868.35,2835.00,2880.00,2835.00,2872.45,2874.60,2866.92,8863,1527,5742,64.79
06-Oct-2016,2874.60,2897.95,2945.80,2851.50,2940.00,2918.90,2912.68,11685,1838,8514,72.86
07-Oct-2016,2918.90,2918.90,2945.00,2862.35,2914.20,2919.60,2906.33,9347,1521,5639,60.33
10-Oct-2016,2919.60,2919.00,2936.55,2900.00,2935.20,2927.30,2916.12,6664,1318,4666,70.02
13-Oct-2016,2927.30,2920.00,2949.90,2907.70,2927.00,2937.65,2930.25,8918,992,7275,81.58
14-Oct-2016,2937.65,2935.00,2969.00,2920.55,2960.00,2956.25,2950.26,16880,2109,15228,90.21
17-Oct-2016,2956.25,2951.00,2999.90,2929.95,2971.05,2975.40,2962.25,6113,886,4559,74.58
18-Oct-2016,2975.40,2956.35,2996.75,2956.00,2970.00,2971.10,2973.73,5957,1037,4152,69.70
19-Oct-2016,2971.10,2980.00,2990.00,2946.80,2970.00,2977.25,2973.31,6402,1243,4878,76.19
20-Oct-2016,2977.25,2989.00,3000.00,2960.05,2972.00,2980.40,2979.35,7352,1327,4099,55.75
