DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,81.40,81.40,87.65,80.65,86.00,85.95,85.22,1567881,11410,654264,41.73
03-Aug-2016,85.95,86.00,86.00,83.00,83.85,83.50,84.46,398399,2722,234547,58.87
04-Aug-2016,83.50,84.40,86.20,82.55,85.35,85.15,84.82,315955,4314,166762,52.78
05-Aug-2016,85.15,85.25,87.40,85.00,85.55,85.85,86.30,348653,7983,200517,57.51
08-Aug-2016,85.85,86.45,87.30,85.05,85.60,85.35,86.07,190940,5258,109967,57.59
09-Aug-2016,85.35,85.45,85.75,84.10,84.60,85.00,85.13,156965,2326,97380,62.04
10-Aug-2016,85.00,85.30,85.40,83.50,83.90,84.00,84.08,129775,1369,81839,63.06
11-Aug-2016,84.00,84.00,84.40,83.25,83.70,83.60,83.68,148198,1199,122819,82.87
12-Aug-2016,83.60,84.50,84.50,83.25,83.70,83.75,83.91,103837,893,67516,65.02
16-Aug-2016,83.75,84.95,84.95,83.55,83.70,83.75,83.88,126441,2427,99853,78.97
17-Aug-2016,83.75,83.95,86.30,83.55,84.95,85.25,85.05,159124,1606,68251,42.89
18-Aug-2016,85.25,85.60,86.90,85.15,85.40,85.35,85.90,151650,1746,102671,67.70
19-Aug-2016,85.35,85.05,88.70,85.05,86.85,86.85,86.95,461298,3338,186143,40.35
22-Aug-2016,86.85,87.00,91.30,86.00,90.20,90.05,89.63,1272649,7010,452375,35.55
23-Aug-2016,90.05,90.25,92.00,89.00,90.15,90.00,90.45,805811,5736,443759,55.07
24-Aug-2016,90.00,90.70,93.60,90.25,91.20,90.85,91.83,623362,5392,286070,45.89
25-Aug-2016,90.85,91.45,93.90,90.00,90.10,90.05,91.94,728434,4416,429781,59.00
26-Aug-2016,90.05,90.10,91.90,89.20,89.70,89.80,90.41,875881,2289,667642,76.23
29-Aug-2016,89.80,92.70,92.70,88.55,90.85,90.70,90.71,536626,4268,304981,56.83
30-Aug-2016,90.70,97.20,100.50,96.10,97.55,97.85,98.22,5600133,38173,1864460,33.29
31-Aug-2016,97.85,99.00,99.75,95.95,96.80,96.85,98.09,1222129,8224,695448,56.90
01-Sep-2016,96.85,97.35,97.35,93.10,93.60,93.65,94.86,464139,3890,240056,51.72
02-Sep-2016,93.65,93.20,94.75,92.25,92.45,92.75,93.08,411649,3752,283822,68.95
06-Sep-2016,92.75,93.80,94.60,91.80,92.60,92.15,92.94,509136,11643,332678,65.34
07-Sep-2016,92.15,92.80,94.35,92.55,93.00,93.45,93.47,936153,4877,613272,65.51
08-Sep-2016,93.45,94.20,94.70,92.65,92.90,93.15,93.44,890590,9122,603392,67.75
09-Sep-2016,93.15,93.40,95.20,92.50,93.90,94.05,94.37,835392,5488,512345,61.33
12-Sep-2016,94.05,92.65,93.15,90.60,90.85,90.90,91.75,629793,3508,421143,66.87
14-Sep-2016,90.90,91.20,92.60,91.00,92.00,92.00,91.90,277297,2074,175099,63.14
15-Sep-2016,92.00,92.50,93.00,91.65,92.15,92.25,92.17,370206,1981,250296,67.61
16-Sep-2016,92.25,92.60,93.80,91.25,91.55,91.50,92.65,501884,2930,334730,66.69
19-Sep-2016,91.50,92.00,92.80,91.55,91.95,91.85,92.03,479717,4579,335887,70.02
20-Sep-2016,91.85,92.30,92.30,90.75,91.00,91.00,91.28,434312,2326,332946,76.66
21-Sep-2016,91.00,88.00,89.50,87.55,88.50,88.50,88.56,935440,4820,668677,71.48
22-Sep-2016,88.50,89.90,89.90,87.05,88.00,87.95,88.22,700834,3333,573516,81.83
23-Sep-2016,87.95,88.80,88.80,85.65,86.00,86.00,86.77,866481,6049,489064,56.44
26-Sep-2016,86.00,86.40,88.00,85.30,85.75,85.70,86.78,335479,5136,176767,52.69
27-Sep-2016,85.70,86.25,88.90,85.80,87.00,87.15,87.71,760405,7297,265095,34.86
28-Sep-2016,87.15,87.95,88.85,87.30,88.50,88.45,88.20,400523,2986,267956,66.90
29-Sep-2016,88.45,88.45,89.90,76.70,84.10,84.65,86.28,1015078,6923,646514,63.69
30-Sep-2016,84.65,84.00,86.00,79.60,85.20,84.15,84.26,459601,3943,236589,51.48
03-Oct-2016,84.15,85.55,86.80,85.00,86.00,86.05,86.08,239161,3594,168478,70.45
04-Oct-2016,86.05,86.50,88.30,86.05,87.65,87.10,87.09,315653,3093,188994,59.87
05-Oct-2016,87.10,87.75,92.75,87.30,92.00,92.40,91.08,1124236,7701,550072,48.93
06-Oct-2016,92.40,93.35,97.40,92.55,94.00,93.95,95.23,2038397,12878,876906,43.02
07-Oct-2016,93.95,94.50,97.20,94.50,97.00,96.95,96.12,1288723,5520,763220,59.22
10-Oct-2016,96.95,97.20,101.80,96.95,99.65,99.35,99.52,1885223,12529,940981,49.91
13-Oct-2016,99.35,99.25,99.25,94.85,96.70,96.70,96.42,640281,4579,341353,53.31
14-Oct-2016,96.70,97.65,97.85,96.05,97.85,97.20,96.90,326683,1988,157134,48.10
17-Oct-2016,97.20,100.80,104.40,100.10,103.90,103.50,102.34,2478412,15783,1067488,43.07
18-Oct-2016,103.50,104.60,105.80,104.40,105.10,104.80,104.88,1083696,10686,556785,51.38
19-Oct-2016,104.80,105.50,107.30,103.05,103.65,103.95,105.19,996940,7311,467060,46.85
20-Oct-2016,103.95,104.70,105.70,101.50,102.30,102.15,102.98,681777,8599,423450,62.11
21-Oct-2016,102.15,102.75,103.95,101.00,103.70,103.50,102.97,377270,4035,177025,46.92
24-Oct-2016,103.50,104.45,108.50,103.50,107.00,107.60,107.10,1555396,10069,779142,50.09
25-Oct-2016,107.60,107.60,107.80,104.00,106.50,106.00,105.75,548852,5524,224615,40.92
26-Oct-2016,106.00,106.00,111.30,104.15,109.20,109.05,108.58,1384622,10336,562611,40.63
27-Oct-2016,109.05,110.85,110.85,105.50,107.70,107.95,107.99,677548,6353,316828,46.76
28-Oct-2016,107.95,107.95,114.80,106.35,111.05,110.95,111.38,1951182,13554,799953,41.00
30-Oct-2016,110.95,111.80,114.00,111.50,113.80,113.25,112.70,459164,2825,281259,61.25
01-Nov-2016,113.25,114.40,119.25,112.50,114.70,114.95,116.15,1903106,12106,987817,51.91
02-Nov-2016,114.95,113.60,117.40,112.20,114.90,114.00,114.95,962593,9054,366152,38.04
03-Nov-2016,114.00,113.00,117.55,109.50,110.00,110.75,114.32,1016334,8592,427217,42.04
04-Nov-2016,110.75,110.75,111.45,101.60,103.35,103.70,104.49,1082475,7379,417847,38.60
07-Nov-2016,103.70,105.00,107.95,104.50,104.85,105.20,105.71,521783,4010,248240,47.58
08-Nov-2016,105.20,106.00,107.60,104.40,105.50,105.35,105.98,397933,3785,166941,41.95
09-Nov-2016,105.35,99.00,105.80,91.25,105.00,104.35,101.13,912603,6602,446153,48.89
10-Nov-2016,104.35,105.65,110.65,102.50,105.85,104.20,106.81,847028,7113,429420,50.70
11-Nov-2016,104.20,105.80,108.50,101.20,103.00,102.35,105.32,960541,8138,510277,53.12
15-Nov-2016,102.35,103.05,104.00,98.35,99.00,98.80,99.67,426440,5291,253351,59.41
16-Nov-2016,98.80,100.15,101.80,96.60,98.70,98.45,99.58,384854,3531,113468,29.48
17-Nov-2016,98.45,98.70,100.90,95.15,96.20,95.85,97.56,318657,3536,118101,37.06
18-Nov-2016,95.85,96.80,98.45,94.25,96.95,95.95,96.51,415423,4372,173812,41.84
