DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,149.55,149.25,150.85,144.00,145.10,144.75,146.70,348418,4540,198868,57.08
03-Aug-2016,144.75,145.30,147.40,142.10,144.50,145.15,144.04,409947,6966,218690,53.35
04-Aug-2016,145.15,146.40,148.10,141.60,142.80,142.50,144.70,174270,6520,70344,40.36
05-Aug-2016,142.50,143.25,146.95,143.25,145.75,145.35,145.26,246900,2568,116094,47.02
08-Aug-2016,145.35,145.75,151.50,144.00,145.05,145.25,148.19,482591,5021,247004,51.18
09-Aug-2016,145.25,145.75,146.45,140.55,140.75,141.35,142.83,207253,3646,118579,57.21
10-Aug-2016,141.35,141.35,143.00,137.65,138.75,138.15,138.94,368722,2570,283865,76.99
11-Aug-2016,138.15,138.20,142.30,138.15,142.00,139.70,140.00,447366,3088,302345,67.58
12-Aug-2016,139.70,140.45,147.55,139.20,147.00,146.20,143.61,571452,7210,347679,60.84
16-Aug-2016,146.20,145.00,161.70,145.00,151.95,151.65,153.54,1053179,10997,389943,37.03
17-Aug-2016,151.65,151.75,157.50,151.00,156.00,156.05,155.51,374004,5367,129538,34.64
18-Aug-2016,156.05,155.10,158.40,154.50,155.70,155.95,156.58,242172,2146,145217,59.96
19-Aug-2016,155.95,155.90,160.90,155.00,155.20,155.75,157.20,475642,4480,242888,51.07
22-Aug-2016,155.75,156.05,160.40,155.55,159.95,159.10,157.78,540745,4218,301444,55.75
23-Aug-2016,159.10,159.75,165.70,158.35,160.50,160.65,162.03,996186,9394,457559,45.93
24-Aug-2016,160.65,160.95,165.20,160.60,161.85,161.70,162.63,932536,8320,420624,45.11
25-Aug-2016,161.70,160.85,162.90,158.10,159.55,159.00,160.71,314102,5069,171168,54.49
26-Aug-2016,159.00,159.60,160.40,152.00,153.00,153.05,154.79,377181,4134,201039,53.30
29-Aug-2016,153.05,152.65,156.40,150.15,154.00,153.55,153.73,273190,3348,191593,70.13
30-Aug-2016,153.55,154.10,156.40,152.45,152.70,153.00,154.13,206412,2320,148712,72.05
31-Aug-2016,153.00,153.05,157.55,153.00,154.45,154.45,155.25,264332,3953,127155,48.10
01-Sep-2016,154.45,153.60,155.00,148.40,150.95,150.00,151.57,128989,1783,77586,60.15
02-Sep-2016,150.00,150.00,151.85,148.15,150.00,149.80,149.93,183887,2583,112629,61.25
06-Sep-2016,149.80,150.10,158.00,150.00,155.70,155.25,154.39,414534,4334,228102,55.03
07-Sep-2016,155.25,155.40,157.80,153.50,154.20,153.90,155.51,300607,3736,127517,42.42
08-Sep-2016,153.90,154.50,155.40,152.10,153.50,154.00,153.70,267486,4653,110037,41.14
09-Sep-2016,154.00,154.00,155.35,150.00,150.20,150.40,152.47,216550,3245,99519,45.96
12-Sep-2016,150.40,146.95,154.15,146.15,151.50,150.00,150.06,306451,5277,144495,47.15
14-Sep-2016,150.00,148.25,162.90,148.25,161.80,161.70,158.90,798533,6807,375967,47.08
