DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1169.40,1177.85,1177.85,1125.00,1149.90,1148.05,1148.11,77646,4253,28583,36.81
03-Aug-2016,1148.05,1148.00,1148.00,1092.05,1107.10,1102.65,1112.29,76448,4143,29916,39.13
04-Aug-2016,1102.65,1104.00,1163.80,1082.00,1152.00,1148.80,1132.80,185484,9314,38517,20.77
05-Aug-2016,1148.80,1158.80,1186.90,1150.00,1171.50,1175.15,1174.16,109333,4914,32380,29.62
08-Aug-2016,1175.15,1184.00,1225.00,1155.00,1222.00,1220.40,1206.02,174365,7823,61922,35.51
09-Aug-2016,1220.40,1218.00,1304.95,1218.00,1268.50,1266.95,1271.77,431984,17819,162492,37.62
10-Aug-2016,1266.95,1276.00,1278.90,1205.30,1245.00,1243.10,1239.80,167982,8931,41818,24.89
11-Aug-2016,1243.10,1243.50,1267.80,1235.10,1246.00,1250.60,1249.34,58825,3322,17092,29.06
12-Aug-2016,1250.60,1257.00,1259.95,1205.00,1205.00,1214.65,1227.79,49009,3149,18815,38.39
16-Aug-2016,1214.65,1223.05,1247.85,1194.95,1202.90,1204.50,1218.55,35845,2366,13077,36.48
17-Aug-2016,1204.50,1203.05,1227.90,1175.00,1191.00,1185.90,1205.75,36684,2701,8984,24.49
18-Aug-2016,1185.90,1193.65,1227.00,1158.05,1192.05,1193.00,1192.71,83884,6096,24763,29.52
19-Aug-2016,1193.00,1185.00,1226.00,1182.05,1193.00,1195.55,1206.05,62394,3773,15697,25.16
22-Aug-2016,1195.55,1196.00,1208.00,1156.05,1166.90,1165.35,1183.55,48998,2672,26411,53.90
23-Aug-2016,1165.35,1175.40,1189.50,1158.00,1164.55,1165.25,1173.45,46502,2720,12332,26.52
24-Aug-2016,1165.25,1171.15,1180.00,1161.20,1165.00,1165.05,1171.29,39908,3435,13582,34.03
25-Aug-2016,1165.05,1167.10,1231.95,1165.50,1197.00,1199.80,1210.24,259319,11896,75198,29.00
26-Aug-2016,1199.80,1200.55,1215.00,1188.00,1192.00,1194.30,1201.19,53613,2861,15936,29.72
29-Aug-2016,1194.30,1181.30,1204.90,1169.95,1172.05,1177.10,1178.00,35683,2578,15317,42.93
30-Aug-2016,1177.10,1180.00,1223.00,1180.00,1189.00,1190.95,1205.64,124186,6315,47315,38.10
31-Aug-2016,1190.95,1190.00,1235.00,1180.10,1206.30,1207.35,1220.60,225559,7790,91159,40.41
01-Sep-2016,1207.35,1215.00,1288.35,1215.00,1251.00,1244.25,1254.05,453384,16868,116442,25.68
02-Sep-2016,1244.25,1256.00,1359.00,1247.40,1355.00,1343.90,1313.14,694126,25284,184774,26.62
06-Sep-2016,1343.90,1371.00,1434.00,1362.05,1410.00,1411.85,1409.07,409301,15598,118953,29.06
07-Sep-2016,1411.85,1425.45,1487.70,1400.00,1485.90,1461.35,1437.56,349571,12655,106607,30.50
08-Sep-2016,1461.35,1493.40,1525.00,1478.25,1510.00,1512.15,1501.87,358725,13169,73863,20.59
09-Sep-2016,1512.15,1510.00,1518.00,1451.05,1465.00,1467.25,1474.71,178803,8311,49141,27.48
12-Sep-2016,1467.25,1435.00,1464.85,1411.10,1458.00,1446.35,1437.84,127864,6380,39216,30.67
14-Sep-2016,1446.35,1374.85,1446.00,1301.10,1320.00,1331.20,1367.48,769952,33348,196945,25.58
15-Sep-2016,1331.20,1334.95,1394.00,1332.95,1366.00,1368.50,1374.90,252930,10299,55924,22.11
16-Sep-2016,1368.50,1370.00,1394.80,1335.00,1342.00,1350.00,1369.32,235451,6998,132440,56.25
19-Sep-2016,1350.00,1345.00,1363.50,1310.35,1315.35,1316.90,1327.46,75506,4300,37662,49.88
20-Sep-2016,1316.90,1320.00,1356.20,1310.10,1318.50,1319.05,1332.51,121750,8951,36803,30.23
21-Sep-2016,1319.05,1316.10,1340.00,1311.85,1314.00,1316.65,1326.86,84155,3671,27675,32.89
22-Sep-2016,1316.65,1330.80,1340.00,1292.80,1294.00,1297.30,1310.21,84117,3755,29485,35.05
23-Sep-2016,1297.30,1300.00,1310.45,1291.00,1291.05,1295.35,1299.63,51933,2871,21245,40.91
26-Sep-2016,1295.35,1295.00,1363.00,1264.00,1316.65,1326.30,1332.22,375346,16134,65297,17.40
27-Sep-2016,1326.30,1327.00,1336.65,1284.00,1298.10,1294.35,1312.64,85808,5033,19857,23.14
28-Sep-2016,1294.35,1299.05,1325.00,1271.00,1273.10,1278.15,1290.12,82111,4739,33170,40.40
29-Sep-2016,1278.15,1288.30,1303.00,1129.00,1223.00,1218.55,1241.00,180142,8954,80294,44.57
30-Sep-2016,1218.55,1218.55,1296.00,1200.00,1290.00,1286.60,1267.31,151413,9081,36103,23.84
03-Oct-2016,1286.60,1295.00,1346.20,1278.00,1313.20,1319.90,1321.69,211486,8961,77727,36.75
04-Oct-2016,1319.90,1320.00,1338.00,1303.60,1320.00,1320.70,1324.70,94759,4533,28762,30.35
05-Oct-2016,1320.70,1320.70,1350.00,1302.85,1309.00,1312.10,1329.43,113380,6510,20779,18.33
06-Oct-2016,1312.10,1323.80,1325.00,1282.25,1287.00,1290.80,1302.01,94456,4494,37748,39.96
07-Oct-2016,1290.80,1290.00,1347.00,1284.00,1336.20,1339.00,1327.08,155764,7457,52280,33.56
10-Oct-2016,1339.00,1345.00,1349.80,1306.00,1316.00,1313.20,1323.55,56349,3692,17389,30.86
13-Oct-2016,1313.20,1320.00,1384.00,1292.30,1343.00,1345.45,1347.00,307231,15392,85888,27.96
14-Oct-2016,1345.45,1351.00,1442.50,1351.00,1442.50,1406.70,1393.42,235974,9533,80326,34.04
17-Oct-2016,1406.70,1430.05,1517.70,1430.05,1489.00,1490.95,1484.50,603500,30169,123271,20.43
18-Oct-2016,1490.95,1495.00,1542.50,1473.20,1514.00,1513.95,1513.51,369331,19796,75838,20.53
19-Oct-2016,1513.95,1500.10,1512.00,1451.10,1454.00,1459.30,1480.08,127819,6140,42668,33.38
20-Oct-2016,1459.30,1466.00,1489.50,1445.00,1460.00,1458.55,1470.33,113474,4350,46921,41.35
21-Oct-2016,1458.55,1464.80,1508.80,1441.00,1482.00,1487.25,1471.80,116412,4738,40572,34.85
24-Oct-2016,1487.25,1473.00,1515.00,1460.55,1496.80,1499.55,1498.54,196086,8992,49675,25.33
25-Oct-2016,1499.55,1507.00,1507.00,1455.00,1470.00,1469.85,1479.39,76027,5590,16116,21.20
26-Oct-2016,1469.85,1462.55,1513.90,1432.00,1437.00,1445.80,1473.93,123352,7224,24644,19.98
27-Oct-2016,1445.80,1445.80,1470.00,1386.60,1405.20,1412.50,1434.68,95294,5648,27960,29.34
28-Oct-2016,1412.50,1419.00,1469.90,1405.00,1455.00,1459.00,1445.89,120758,7671,25040,20.74
30-Oct-2016,1459.00,1448.00,1458.00,1434.95,1437.50,1438.80,1443.74,15086,875,6857,45.45
01-Nov-2016,1438.80,1448.40,1459.85,1392.05,1408.00,1415.90,1435.10,50950,3504,15040,29.52
02-Nov-2016,1415.90,1407.00,1445.00,1397.10,1428.00,1426.15,1421.10,77071,4343,20410,26.48
03-Nov-2016,1426.15,1431.00,1461.30,1384.80,1394.00,1398.00,1434.95,163627,9327,30074,18.38
04-Nov-2016,1398.00,1465.00,1491.00,1375.55,1383.90,1389.05,1420.45,229894,12917,45104,19.62
07-Nov-2016,1389.05,1409.80,1419.90,1370.00,1380.90,1377.00,1397.99,54647,3843,17024,31.15
08-Nov-2016,1377.00,1386.55,1396.80,1330.70,1333.00,1343.15,1358.54,71472,4075,35085,49.09
09-Nov-2016,1343.15,1240.00,1299.40,1074.55,1293.00,1276.80,1213.67,169100,9707,45237,26.75
10-Nov-2016,1276.80,1320.00,1329.00,1280.10,1285.00,1289.55,1302.65,53891,3657,21602,40.08
11-Nov-2016,1289.55,1279.70,1279.70,1185.00,1235.00,1220.70,1236.32,86888,6352,29583,34.05
15-Nov-2016,1220.70,1230.00,1230.00,1145.00,1148.95,1150.80,1166.54,67093,7375,31443,46.86
16-Nov-2016,1150.80,1168.00,1189.80,920.65,920.65,951.95,986.74,420269,16689,122190,29.07
17-Nov-2016,951.95,919.00,973.20,871.15,931.00,930.40,930.83,902513,37591,120345,13.33
18-Nov-2016,930.40,946.00,978.00,932.50,945.00,943.15,960.32,336695,15939,45581,13.54
21-Nov-2016,943.15,968.95,973.95,930.00,948.00,944.85,947.90,110616,8839,31737,28.69
22-Nov-2016,944.85,959.00,963.00,932.70,944.00,941.85,946.63,55483,3587,17588,31.70
23-Nov-2016,941.85,946.00,958.30,941.85,955.45,950.95,949.98,49655,3378,14585,29.37
24-Nov-2016,950.95,957.00,975.95,907.00,947.00,942.90,940.00,258319,12913,29841,11.55
25-Nov-2016,942.90,950.00,964.90,940.00,943.30,948.05,954.22,93074,5006,31204,33.53
28-Nov-2016,948.05,950.15,957.65,934.45,935.10,937.60,942.72,52574,3115,23972,45.60
29-Nov-2016,937.60,945.80,949.90,920.00,921.00,922.75,934.53,65467,3445,29740,45.43
30-Nov-2016,922.75,924.00,944.95,920.65,925.00,928.95,930.05,186781,8438,124073,66.43
01-Dec-2016,928.95,930.00,942.15,920.00,922.10,923.15,929.97,41515,2273,17149,41.31
02-Dec-2016,923.15,925.00,928.00,900.00,906.00,906.75,911.42,37763,2551,16520,43.75
05-Dec-2016,906.75,915.00,932.00,906.10,920.00,920.35,920.52,73604,3716,24367,33.11
06-Dec-2016,920.35,928.00,934.00,910.75,913.75,912.95,918.91,46826,1745,25807,55.11
07-Dec-2016,912.95,923.00,924.75,913.00,920.00,917.05,918.00,41655,1716,26296,63.13
08-Dec-2016,917.05,917.00,940.00,914.50,917.25,918.35,926.88,77794,3086,38836,49.92
09-Dec-2016,918.35,920.55,927.45,915.05,915.50,916.40,921.56,30410,1455,15968,52.51
12-Dec-2016,916.40,923.40,930.00,910.00,913.00,913.80,919.84,42771,1899,17168,40.14
13-Dec-2016,913.80,917.30,924.95,909.00,910.00,910.90,915.60,21833,1287,7587,34.75
14-Dec-2016,910.90,917.00,930.00,896.00,896.15,904.80,918.27,92708,4164,39641,42.76
15-Dec-2016,904.80,896.25,918.00,894.00,896.05,898.35,904.90,42971,2715,18068,42.05
16-Dec-2016,898.35,906.40,909.90,875.00,882.90,882.85,891.59,42516,2383,22199,52.21
19-Dec-2016,882.85,882.90,900.00,876.00,886.00,886.70,890.78,38768,2719,14603,37.67
20-Dec-2016,886.70,892.75,894.00,867.00,873.00,874.15,877.23,44140,3286,26058,59.03
21-Dec-2016,874.15,876.20,880.00,868.10,873.00,871.60,872.49,16981,1541,7375,43.43
22-Dec-2016,871.60,871.60,871.65,840.00,840.55,843.40,850.67,37386,3247,19848,53.09
23-Dec-2016,843.40,843.40,874.90,840.00,849.70,852.35,858.11,59127,4186,15724,26.59
26-Dec-2016,852.35,851.00,854.20,822.95,830.00,833.10,835.03,35207,2526,8727,24.79
27-Dec-2016,833.10,839.95,999.70,831.50,999.70,999.70,955.05,947508,36829,160834,16.97
28-Dec-2016,999.70,1040.00,1103.30,1014.45,1029.00,1025.80,1061.91,1050219,44585,127403,12.13
29-Dec-2016,1025.80,1029.70,1031.00,971.50,1008.00,1012.60,1002.46,466191,23621,39849,8.55
30-Dec-2016,1012.60,1014.90,1058.30,1005.50,1016.00,1021.90,1034.97,318327,16239,55818,17.53
02-Jan-2017,1021.90,1013.00,1043.40,1007.00,1016.00,1014.10,1020.28,134080,8822,27316,20.37
