DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
16-Oct-2017,460.00,615.60,630.00,563.40,592.00,595.65,600.54,24000049,425920,8422033,35.09
17-Oct-2017,595.65,596.20,599.95,582.80,587.15,587.80,589.86,2285512,46257,813083,35.58
18-Oct-2017,587.80,584.50,605.80,580.00,599.00,600.15,595.23,2299835,65199,977759,42.51
19-Oct-2017,600.15,600.00,601.70,588.10,588.10,592.60,596.87,321920,8382,201231,62.51
23-Oct-2017,592.60,594.35,596.90,580.00,580.50,581.75,585.67,504465,14519,266554,52.84
24-Oct-2017,581.75,581.20,587.00,575.00,577.00,577.60,580.60,443099,11862,270699,61.09
25-Oct-2017,577.60,577.80,582.00,555.00,559.05,558.15,564.29,688096,20383,463769,67.40
26-Oct-2017,558.15,562.95,562.95,542.90,543.00,545.25,549.70,466716,12967,297525,63.75
27-Oct-2017,545.25,548.00,572.00,548.00,562.50,560.35,562.58,554111,17023,262432,47.36
30-Oct-2017,560.35,566.80,575.00,561.25,574.00,571.30,570.29,407389,14214,260726,64.00
31-Oct-2017,571.30,572.90,582.00,571.00,575.00,575.20,576.47,249070,7611,129529,52.01
01-Nov-2017,575.20,576.05,582.80,571.05,571.80,572.95,576.14,306144,9956,179786,58.73
02-Nov-2017,572.95,572.95,578.00,562.75,565.00,567.55,570.87,251514,8248,145306,57.77
03-Nov-2017,567.55,570.00,575.80,565.40,568.50,569.45,570.30,235204,7322,126479,53.77
06-Nov-2017,569.45,546.00,560.00,546.00,548.00,549.10,553.57,438116,10797,311730,71.15
07-Nov-2017,549.10,551.00,555.00,541.00,545.10,545.10,545.79,280595,8275,179296,63.90
08-Nov-2017,545.10,545.90,554.80,538.10,546.00,547.50,543.74,254410,16189,171904,67.57
09-Nov-2017,547.50,550.00,554.00,542.40,546.85,545.95,546.71,128730,5906,86851,67.47
10-Nov-2017,545.95,543.00,552.00,542.00,550.45,548.75,548.78,179443,9493,98760,55.04
13-Nov-2017,548.75,549.95,550.00,535.00,536.40,538.45,538.79,409381,9493,347119,84.79
14-Nov-2017,538.45,536.50,540.95,522.15,533.00,528.80,529.77,461424,26071,319086,69.15
15-Nov-2017,528.80,530.80,535.00,527.15,530.00,529.65,530.69,192711,8558,134528,69.81
16-Nov-2017,529.65,530.00,535.00,522.35,531.90,531.65,528.09,131780,4648,78348,59.45
17-Nov-2017,531.65,534.90,540.00,530.20,538.00,538.40,537.10,270076,5226,215839,79.92
20-Nov-2017,538.40,542.00,550.60,538.10,550.50,546.00,545.01,374190,9012,292141,78.07
21-Nov-2017,546.00,550.70,565.00,550.70,560.00,558.10,558.30,205973,7119,98499,47.82
22-Nov-2017,558.10,562.25,565.00,554.45,555.60,556.70,559.96,136575,5133,83831,61.38
23-Nov-2017,556.70,563.60,563.60,547.60,548.00,548.90,552.87,73355,3556,41298,56.30
24-Nov-2017,548.90,549.00,553.40,545.05,550.00,549.70,549.21,70294,3365,34051,48.44
27-Nov-2017,549.70,551.00,551.50,542.00,543.10,544.05,545.49,124151,4108,86592,69.75
28-Nov-2017,544.05,546.00,546.00,540.00,543.95,542.55,542.83,151912,6541,102413,67.42
29-Nov-2017,542.55,544.00,544.85,537.50,538.20,538.40,540.88,68265,2615,45948,67.31
30-Nov-2017,538.40,537.80,564.50,535.25,555.00,552.80,551.86,249099,6962,149146,59.87
01-Dec-2017,552.80,554.95,559.65,553.00,554.75,555.05,555.88,145409,4385,94159,64.75
04-Dec-2017,555.05,560.00,560.00,546.55,555.00,554.55,553.84,90786,6742,54023,59.51
05-Dec-2017,554.55,553.70,555.00,544.15,545.00,546.35,549.80,985008,4402,950506,96.50
06-Dec-2017,546.35,546.30,548.35,538.70,541.80,542.95,544.33,175935,4463,138368,78.65
07-Dec-2017,542.95,544.85,549.40,540.00,543.00,542.00,542.31,163361,4873,117775,72.09
08-Dec-2017,542.00,546.90,549.00,543.00,549.00,547.50,545.91,178547,9414,134000,75.05
11-Dec-2017,547.50,554.00,554.00,544.00,548.00,546.65,547.67,102085,11664,65498,64.16
12-Dec-2017,546.65,548.95,554.90,545.35,551.00,553.00,551.14,173152,4723,120127,69.38
13-Dec-2017,553.00,550.05,554.75,547.00,548.00,548.60,549.94,69029,3722,41478,60.09
14-Dec-2017,548.60,553.90,553.90,543.55,546.00,546.40,548.86,84189,3764,49134,58.36
15-Dec-2017,546.40,551.00,553.00,549.10,550.20,550.85,551.04,84291,3631,54186,64.28
18-Dec-2017,550.85,553.00,558.00,545.00,555.00,555.20,552.21,120514,3753,67163,55.73
19-Dec-2017,555.20,556.00,563.25,554.60,559.00,558.90,559.86,114684,3713,70394,61.38
20-Dec-2017,558.90,563.95,567.00,559.05,565.20,564.45,563.26,296757,5171,255344,86.04
21-Dec-2017,564.45,565.05,578.10,564.00,573.10,574.15,573.87,252281,9422,156138,61.89
22-Dec-2017,574.15,578.95,579.90,566.00,568.00,568.05,573.09,119931,3984,77084,64.27
26-Dec-2017,568.05,573.00,575.00,563.10,569.00,568.75,570.55,84277,2789,43871,52.06
27-Dec-2017,568.75,569.00,572.80,559.00,560.30,559.90,563.46,95850,8592,67302,70.22
28-Dec-2017,559.90,560.30,566.80,560.00,562.00,560.75,561.66,134793,2679,103888,77.07
29-Dec-2017,560.75,562.00,589.00,560.00,580.00,579.25,575.74,323392,6956,200379,61.96
01-Jan-2018,579.25,581.45,596.70,581.00,591.00,591.25,590.84,310670,8224,172436,55.50
02-Jan-2018,591.25,592.75,605.00,591.95,601.00,600.00,598.67,368426,9292,213016,57.82
03-Jan-2018,600.00,605.00,615.65,602.00,609.00,610.15,609.62,423166,10454,212059,50.11
04-Jan-2018,610.15,615.40,621.90,607.15,615.05,613.95,615.75,237303,5975,139510,58.79
05-Jan-2018,613.95,618.90,621.00,607.60,609.95,609.85,614.34,200669,5179,138085,68.81
08-Jan-2018,609.85,621.00,625.00,614.00,618.10,616.10,619.47,306683,7351,189842,61.90
09-Jan-2018,616.10,620.50,620.50,610.00,611.40,611.15,612.74,152094,6234,88277,58.04
10-Jan-2018,611.15,615.00,636.00,605.25,622.75,621.35,623.15,403981,8577,166776,41.28
11-Jan-2018,621.35,624.90,629.90,615.00,621.00,618.05,622.41,244339,7433,147172,60.23
12-Jan-2018,618.05,622.70,625.70,611.00,621.50,620.75,618.83,171433,4790,93095,54.30
15-Jan-2018,620.75,624.90,627.00,618.50,623.50,624.05,623.75,192754,7168,129484,67.18
16-Jan-2018,624.05,625.05,625.55,609.15,611.95,610.90,613.77,146184,5025,89571,61.27
17-Jan-2018,610.90,610.00,612.75,590.45,609.00,606.00,602.07,165663,4791,78685,47.50
18-Jan-2018,606.00,612.00,624.80,595.00,600.55,598.90,607.96,154080,4351,89767,58.26
19-Jan-2018,598.90,605.00,607.95,588.50,594.90,592.50,594.44,227221,4154,170406,75.00
22-Jan-2018,592.50,588.50,607.80,588.50,598.15,599.75,599.65,83897,2535,51257,61.10
23-Jan-2018,599.75,601.55,606.80,591.00,595.95,596.25,599.98,114881,2937,81687,71.11
24-Jan-2018,596.25,596.95,596.95,580.00,590.00,588.30,587.58,128389,4923,85455,66.56
25-Jan-2018,588.30,591.75,591.75,580.00,583.50,582.70,584.28,77250,2361,49387,63.93
29-Jan-2018,582.70,589.80,592.60,579.50,582.00,582.25,585.89,94436,2730,62680,66.37
30-Jan-2018,582.25,585.95,585.95,570.00,574.95,571.30,576.44,221958,3953,175005,78.85
31-Jan-2018,571.30,572.00,579.00,562.10,566.00,570.40,572.23,104169,4882,67038,64.36
01-Feb-2018,570.40,575.00,609.70,567.70,582.45,584.80,592.44,691894,16720,274591,39.69
02-Feb-2018,584.80,584.80,599.00,575.75,583.00,585.50,589.79,540626,11930,334553,61.88
05-Feb-2018,585.50,585.00,594.00,575.00,584.45,584.45,584.97,328343,15470,208806,63.59
06-Feb-2018,584.45,570.00,579.00,561.00,564.00,563.90,568.58,567764,16466,456572,80.42
07-Feb-2018,563.90,578.00,590.00,569.25,584.45,587.10,578.16,270895,10939,157016,57.96
08-Feb-2018,587.10,580.00,594.90,570.00,589.80,589.75,587.27,419751,12275,223087,53.15
09-Feb-2018,589.75,576.00,591.00,575.00,591.00,588.20,584.83,148076,4014,93251,62.98
12-Feb-2018,588.20,588.00,597.90,585.00,593.00,591.05,590.89,83079,2861,46913,56.47
14-Feb-2018,591.05,592.05,595.00,586.15,587.90,589.95,590.45,131734,2919,93729,71.15
15-Feb-2018,589.95,594.60,594.60,585.15,587.00,587.05,589.40,70050,3043,44668,63.77
16-Feb-2018,587.05,583.10,588.95,573.00,576.50,576.70,578.75,101319,5114,58768,58.00
19-Feb-2018,576.70,584.40,584.40,566.00,580.00,580.50,579.12,357747,6258,293391,82.01
20-Feb-2018,580.50,584.35,584.35,567.50,568.00,568.60,570.71,107744,5100,74448,69.10
21-Feb-2018,568.60,571.05,590.90,566.40,588.90,588.00,578.46,348230,16429,264569,75.98
22-Feb-2018,588.00,582.00,594.00,575.95,577.50,580.25,582.77,225211,8481,114484,50.83
23-Feb-2018,580.25,581.00,589.95,581.00,585.00,585.05,585.95,73815,2492,28058,38.01
26-Feb-2018,585.05,587.00,609.50,582.00,607.00,603.70,597.58,171300,4376,98811,57.68
27-Feb-2018,603.70,609.00,610.00,593.15,604.80,605.10,602.98,131078,4333,71933,54.88
28-Feb-2018,605.10,600.35,608.00,595.00,605.90,605.20,602.72,220547,4430,117135,53.11
01-Mar-2018,605.20,606.00,670.40,606.00,654.50,654.70,651.92,2535520,52270,633371,24.98
05-Mar-2018,654.70,648.50,677.00,643.85,665.00,668.00,665.45,1177604,28584,307168,26.08
06-Mar-2018,668.00,670.00,687.85,664.05,667.00,669.10,676.24,926270,20541,346778,37.44
07-Mar-2018,669.10,667.90,674.90,648.00,654.00,653.50,657.47,406320,9153,205934,50.68
08-Mar-2018,653.50,660.00,669.40,641.25,645.25,649.05,651.51,274463,8243,87744,31.97
