DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1590.10,1591.80,1612.55,1578.65,1597.00,1598.00,1595.14,172893,17385,119480,69.11
03-Aug-2016,1598.00,1610.00,1613.00,1556.00,1560.20,1566.95,1575.44,126679,17416,77609,61.26
04-Aug-2016,1566.95,1583.00,1601.95,1569.00,1586.00,1585.70,1583.28,94411,20353,63019,66.75
05-Aug-2016,1585.70,1595.00,1598.50,1582.30,1586.60,1589.60,1591.12,139111,12329,114324,82.18
08-Aug-2016,1589.60,1600.00,1600.00,1561.60,1569.85,1568.45,1568.87,135776,23808,100976,74.37
09-Aug-2016,1568.45,1570.00,1576.50,1522.00,1530.20,1530.00,1535.53,273996,38778,193434,70.60
10-Aug-2016,1530.00,1530.00,1530.00,1494.00,1500.00,1501.90,1505.93,312564,41678,211618,67.70
11-Aug-2016,1501.90,1505.85,1525.00,1478.25,1517.60,1510.30,1495.01,236451,10371,181178,76.62
12-Aug-2016,1510.30,1524.50,1555.60,1508.55,1548.15,1550.05,1535.74,355253,33653,262843,73.99
16-Aug-2016,1550.05,1564.90,1564.90,1519.05,1533.05,1527.95,1539.10,264563,28956,159784,60.40
17-Aug-2016,1527.95,1531.40,1537.00,1511.10,1524.00,1525.60,1524.68,142204,21047,55423,38.97
18-Aug-2016,1525.60,1528.00,1539.00,1521.00,1535.00,1529.50,1529.24,103511,11433,72769,70.30
19-Aug-2016,1529.50,1540.00,1564.95,1531.50,1542.00,1545.05,1550.19,125078,10404,83309,66.61
22-Aug-2016,1545.05,1546.95,1558.55,1525.10,1528.00,1529.60,1535.36,158392,19928,106037,66.95
23-Aug-2016,1529.60,1523.70,1528.95,1490.60,1506.70,1499.10,1504.02,207492,25422,153241,73.85
24-Aug-2016,1499.10,1499.10,1540.60,1499.10,1535.80,1535.65,1525.67,223737,24847,155024,69.29
25-Aug-2016,1535.65,1537.30,1548.00,1518.50,1520.00,1529.60,1531.88,180955,10166,126389,69.85
26-Aug-2016,1529.60,1529.60,1543.90,1505.60,1513.00,1518.20,1520.57,174770,20742,123093,70.43
29-Aug-2016,1518.20,1520.00,1540.00,1509.05,1534.20,1536.25,1526.57,127580,16030,89368,70.05
30-Aug-2016,1536.25,1539.20,1575.35,1539.00,1559.90,1562.65,1558.11,196471,16934,127091,64.69
31-Aug-2016,1562.65,1562.00,1580.00,1510.00,1517.15,1516.70,1536.41,384154,24353,292616,76.17
01-Sep-2016,1516.70,1530.00,1564.40,1520.05,1554.15,1556.15,1547.52,115721,14430,49353,42.65
02-Sep-2016,1556.15,1556.00,1582.25,1540.00,1568.00,1568.20,1561.28,168568,22144,95184,56.47
06-Sep-2016,1568.20,1575.00,1629.90,1570.00,1617.50,1623.05,1608.32,288959,24671,193973,67.13
07-Sep-2016,1623.05,1625.15,1685.00,1625.15,1666.10,1669.90,1668.10,649887,41062,421506,64.86
08-Sep-2016,1669.90,1670.00,1685.30,1669.10,1673.50,1680.70,1674.83,622971,10864,352996,56.66
09-Sep-2016,1680.70,1690.00,1690.00,1641.00,1652.70,1654.65,1667.86,274608,14922,138913,50.59
12-Sep-2016,1654.65,1645.00,1645.00,1604.10,1621.95,1611.60,1621.40,85390,11236,44610,52.24
14-Sep-2016,1611.60,1611.60,1665.00,1611.60,1644.35,1651.90,1651.43,235901,17506,165895,70.32
15-Sep-2016,1651.90,1651.00,1682.50,1650.95,1673.00,1672.95,1673.16,211933,14391,146358,69.06
