DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,358.50,358.50,359.70,352.20,353.75,353.95,354.91,78589,2249,50037,63.67
03-Aug-2016,353.95,353.90,355.50,350.00,350.45,351.70,351.19,75185,2185,57352,76.28
04-Aug-2016,351.70,351.80,354.15,345.00,346.60,346.70,347.99,516299,1407,491323,95.16
05-Aug-2016,346.70,349.90,364.90,347.95,363.15,363.50,354.14,239070,2867,175431,73.38
08-Aug-2016,363.50,363.50,375.00,362.10,371.00,372.05,368.90,298073,8382,199806,67.03
09-Aug-2016,372.05,374.00,385.90,360.35,377.00,377.80,375.37,1280187,22832,393177,30.71
10-Aug-2016,377.80,380.80,381.05,362.00,365.40,364.25,367.83,190474,4059,110875,58.21
11-Aug-2016,364.25,368.90,372.00,358.30,358.30,359.85,364.08,88345,2321,43069,48.75
12-Aug-2016,359.85,360.15,362.80,356.05,356.50,356.90,359.44,98177,1502,68966,70.25
16-Aug-2016,356.90,359.00,364.00,356.00,358.10,357.60,359.22,57875,1801,32496,56.15
17-Aug-2016,357.60,359.00,369.40,358.00,364.55,364.10,364.94,111421,3823,50259,45.11
18-Aug-2016,364.10,365.00,368.80,362.10,366.00,365.90,365.61,52612,3072,22005,41.83
19-Aug-2016,365.90,365.00,369.00,361.00,361.00,362.10,365.00,72499,2304,41717,57.54
22-Aug-2016,362.10,363.95,367.95,362.00,365.05,364.90,364.91,59783,1703,34402,57.54
23-Aug-2016,364.90,366.90,367.50,362.10,363.00,363.70,364.61,39365,1390,21859,55.53
24-Aug-2016,363.70,363.10,367.00,363.00,366.00,364.30,365.31,45312,1206,30184,66.61
25-Aug-2016,364.30,366.00,369.70,364.10,365.75,365.80,365.93,43920,1981,27418,62.43
26-Aug-2016,365.80,368.50,368.75,361.45,364.70,365.50,365.24,55660,4138,35879,64.46
29-Aug-2016,365.50,367.95,367.95,360.55,361.45,361.75,363.11,48002,2338,32352,67.40
30-Aug-2016,361.75,364.60,364.60,357.85,358.00,358.65,361.13,128139,2744,85062,66.38
31-Aug-2016,358.65,359.95,362.90,358.10,359.00,359.65,359.93,97092,3433,68995,71.06
01-Sep-2016,359.65,360.90,360.90,351.10,352.35,352.05,354.48,62891,1695,37803,60.11
02-Sep-2016,352.05,354.90,358.75,353.00,353.85,355.20,355.55,67822,1427,44426,65.50
06-Sep-2016,355.20,355.20,359.00,352.00,353.00,353.20,353.60,227507,2206,195190,85.80
07-Sep-2016,353.20,354.85,355.60,347.00,347.75,347.50,350.75,105444,3048,78343,74.30
08-Sep-2016,347.50,348.00,354.90,344.15,354.05,353.55,349.02,184378,2837,106354,57.68
09-Sep-2016,353.55,356.80,356.80,347.25,348.00,349.20,350.07,821983,8798,712818,86.72
12-Sep-2016,349.20,345.00,346.85,337.20,337.20,339.75,342.57,96095,2305,66284,68.98
14-Sep-2016,339.75,339.00,343.95,336.90,340.00,339.70,339.43,55529,3207,32742,58.96
15-Sep-2016,339.70,339.50,344.95,329.95,332.00,330.80,332.18,415142,3079,338237,81.48
16-Sep-2016,330.80,334.70,339.00,333.25,336.50,337.00,336.39,110811,2527,76600,69.13
19-Sep-2016,337.00,337.95,339.75,335.00,337.00,337.00,337.52,83692,2198,64560,77.14
20-Sep-2016,337.00,337.75,338.05,332.05,334.15,335.90,335.13,196686,1776,170960,86.92
21-Sep-2016,335.90,336.50,341.00,335.05,337.50,337.10,337.92,172118,1556,152717,88.73
22-Sep-2016,337.10,342.05,345.95,340.00,341.00,341.25,341.50,164059,4763,81878,49.91
23-Sep-2016,341.25,341.25,344.75,335.00,336.70,336.45,338.50,108519,4037,62488,57.58
26-Sep-2016,336.45,337.00,343.70,331.85,332.00,332.60,337.40,108431,2422,70565,65.08
27-Sep-2016,332.60,332.00,337.00,331.85,335.60,336.05,334.69,70206,2450,49090,69.92
28-Sep-2016,336.05,337.90,343.45,336.15,341.95,340.20,339.22,215104,1386,182748,84.96
29-Sep-2016,340.20,340.20,343.95,333.00,338.10,337.60,339.87,365673,3907,287785,78.70
30-Sep-2016,337.60,336.05,349.60,335.45,347.95,347.20,343.92,270686,3803,177746,65.67
03-Oct-2016,347.20,347.90,355.90,347.55,350.00,350.60,352.33,261143,3561,101496,38.87
04-Oct-2016,350.60,350.05,357.60,349.90,353.00,353.65,353.88,106250,1972,66826,62.90
05-Oct-2016,353.65,354.50,356.35,348.40,354.00,351.80,351.80,107276,1730,71634,66.78
06-Oct-2016,351.80,354.80,356.90,348.70,350.00,350.50,353.65,108332,1610,65662,60.61
07-Oct-2016,350.50,350.50,354.65,348.05,353.50,352.95,350.80,76845,1277,55521,72.25
10-Oct-2016,352.95,353.90,353.95,350.00,350.40,351.45,351.44,29554,934,18376,62.18
13-Oct-2016,351.45,350.00,351.30,345.00,350.30,349.90,349.57,223697,1384,198155,88.58
14-Oct-2016,349.90,350.20,351.90,348.05,350.65,350.65,349.99,64393,1000,50634,78.63
17-Oct-2016,350.65,348.20,356.05,348.20,351.00,351.50,353.26,145344,1768,116746,80.32
18-Oct-2016,351.50,351.00,361.25,351.00,355.20,356.40,357.96,226487,4643,111659,49.30
19-Oct-2016,356.40,360.00,363.80,351.10,353.00,354.50,358.56,101877,1970,56899,55.85
20-Oct-2016,354.50,355.90,363.00,353.95,358.10,358.65,359.07,115504,1840,80529,69.72
21-Oct-2016,358.65,358.55,369.00,358.55,363.00,362.45,365.75,251078,3777,118507,47.20
24-Oct-2016,362.45,363.00,366.75,362.45,366.00,365.65,365.27,78674,1331,59997,76.26
25-Oct-2016,365.65,367.00,368.00,360.60,365.00,364.55,364.33,90909,1763,59768,65.74
26-Oct-2016,364.55,363.60,367.25,360.15,361.65,362.60,363.85,73447,970,39162,53.32
27-Oct-2016,362.60,361.10,362.60,355.60,358.70,358.10,359.25,74911,945,35671,47.62
28-Oct-2016,358.10,362.00,364.00,350.00,358.00,359.05,359.61,55949,1157,36619,65.45
30-Oct-2016,359.05,361.00,365.00,361.00,365.00,364.35,363.88,23793,758,15431,64.86
01-Nov-2016,364.35,367.25,367.75,361.85,364.30,365.05,363.41,98146,1324,79514,81.02
02-Nov-2016,365.05,368.00,371.90,357.00,358.00,360.20,366.07,208072,5666,89516,43.02
03-Nov-2016,360.20,361.45,373.35,361.45,364.00,364.40,367.13,179063,3246,107829,60.22
04-Nov-2016,364.40,364.40,365.75,356.90,359.10,358.00,359.47,87468,1852,67112,76.73
07-Nov-2016,358.00,361.80,367.20,353.55,354.25,357.45,361.85,73676,2186,54303,73.71
08-Nov-2016,357.45,358.10,364.40,357.05,358.50,359.15,359.64,49081,1433,29926,60.97
09-Nov-2016,359.15,295.10,359.95,295.10,350.50,350.45,345.69,1596206,18111,1300176,81.45
10-Nov-2016,350.45,352.00,353.80,335.55,340.40,340.10,340.62,1086616,5285,971017,89.36
11-Nov-2016,340.10,334.10,336.70,315.50,323.00,323.45,326.60,401723,11920,310680,77.34
15-Nov-2016,323.45,326.00,327.00,288.45,307.95,305.70,300.92,373435,11441,232487,62.26
16-Nov-2016,305.70,306.00,314.90,302.55,310.00,305.50,308.33,104847,2858,70533,67.27
17-Nov-2016,305.50,306.10,314.40,305.00,309.00,306.25,306.81,97413,3375,60510,62.12
18-Nov-2016,306.25,305.00,310.50,300.00,308.00,305.65,304.10,73860,2709,37630,50.95
21-Nov-2016,305.65,307.15,307.15,291.00,295.00,293.75,296.14,78498,2823,41896,53.37
22-Nov-2016,293.75,293.00,303.00,290.05,300.00,299.30,295.06,88602,1923,63085,71.20
23-Nov-2016,299.30,302.00,303.00,297.25,302.70,301.35,300.30,43588,1119,27725,63.61
