DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,141.80,142.05,142.80,139.85,142.00,141.55,141.28,770989,6423,329143,42.69
03-Aug-2016,141.55,141.90,142.35,139.35,140.40,140.00,140.19,681620,8201,308433,45.25
04-Aug-2016,140.00,141.30,141.60,138.70,140.45,140.10,140.09,403894,3162,180742,44.75
05-Aug-2016,140.10,140.40,142.30,138.70,139.30,139.75,140.24,1057778,5020,576293,54.48
08-Aug-2016,139.75,140.25,144.10,137.30,143.45,143.55,141.07,1542240,8782,601654,39.01
09-Aug-2016,143.55,144.30,144.45,140.60,140.80,140.95,141.56,888307,6035,320943,36.13
10-Aug-2016,140.95,141.50,142.25,138.55,139.45,139.45,140.15,772181,5954,270839,35.07
11-Aug-2016,139.45,140.55,142.25,131.50,134.65,134.50,136.02,3589549,22674,1240371,34.56
12-Aug-2016,134.50,135.30,135.95,133.85,134.40,134.25,134.47,932139,10251,479891,51.48
16-Aug-2016,134.25,135.50,136.85,132.10,133.50,133.60,133.61,989120,9229,428495,43.32
17-Aug-2016,133.60,133.90,134.40,131.35,132.20,132.25,132.32,921194,12795,528901,57.41
18-Aug-2016,132.25,132.60,133.65,131.55,132.30,132.60,132.52,995003,11353,512861,51.54
19-Aug-2016,132.60,134.00,134.40,131.90,132.20,132.15,132.97,809618,6426,406258,50.18
22-Aug-2016,132.15,133.00,133.20,128.05,128.95,129.10,130.24,1132334,14960,593061,52.38
23-Aug-2016,129.10,128.00,128.00,125.25,126.50,126.60,126.66,1141342,6753,435322,38.14
24-Aug-2016,126.60,126.70,131.40,126.50,131.00,130.50,129.61,1885368,14705,873999,46.36
25-Aug-2016,130.50,131.35,131.90,127.85,129.50,128.80,129.90,2139187,13191,1351700,63.19
26-Aug-2016,128.80,129.40,129.80,127.00,127.50,127.65,127.77,903792,6488,447113,49.47
29-Aug-2016,127.65,127.70,129.00,125.60,126.25,126.55,127.32,1106269,7880,308181,27.86
30-Aug-2016,126.55,126.30,128.35,124.30,127.50,127.10,126.18,1757647,9042,660292,37.57
31-Aug-2016,127.10,127.90,129.95,125.90,129.85,129.00,128.14,1587467,9488,679892,42.83
