DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,256.90,259.15,260.50,255.95,257.30,256.70,258.26,35929,1449,22759,63.34
03-Aug-2016,256.70,263.95,263.95,248.25,250.80,252.10,255.77,82902,2028,41521,50.08
04-Aug-2016,252.10,255.00,258.50,245.55,249.00,248.50,250.92,89722,3690,40507,45.15
05-Aug-2016,248.50,249.20,254.80,248.10,253.00,253.35,251.42,66498,1638,39013,58.67
08-Aug-2016,253.35,259.00,268.80,257.05,265.70,266.40,262.97,270178,8216,147188,54.48
09-Aug-2016,266.40,266.65,267.20,257.00,265.40,263.70,258.87,881207,7962,732286,83.10
10-Aug-2016,263.70,263.00,266.95,261.05,265.45,265.50,264.98,65135,1907,43474,66.74
11-Aug-2016,265.50,264.70,265.60,262.55,264.40,264.10,263.80,46289,1085,33592,72.57
12-Aug-2016,264.10,264.65,266.75,261.00,266.50,265.40,265.27,36048,1156,23141,64.19
16-Aug-2016,265.40,265.65,269.00,261.50,261.50,263.55,266.43,26447,869,16517,62.45
17-Aug-2016,263.55,263.95,268.00,262.05,263.35,265.60,265.14,26201,1616,17548,66.97
18-Aug-2016,265.60,264.00,269.00,261.65,268.00,268.25,266.29,27913,979,21879,78.38
19-Aug-2016,268.25,267.65,273.30,265.60,272.00,270.95,270.15,52097,1365,35302,67.76
22-Aug-2016,270.95,275.40,275.40,269.00,269.05,269.20,271.57,48973,1625,23092,47.15
23-Aug-2016,269.20,269.95,269.95,262.00,266.75,265.60,266.07,16507,814,9179,55.61
24-Aug-2016,265.60,266.30,267.75,262.55,265.00,264.00,264.35,8120,503,4126,50.81
25-Aug-2016,264.00,264.75,271.25,264.00,270.00,268.40,266.79,26454,1078,15189,57.42
26-Aug-2016,268.40,269.30,270.90,265.25,270.30,269.40,267.90,23904,994,17472,73.09
29-Aug-2016,269.40,270.10,275.40,266.40,271.20,270.45,271.47,46553,2463,27929,59.99
30-Aug-2016,270.45,272.90,276.00,268.25,271.20,272.05,272.29,51613,1549,36764,71.23
31-Aug-2016,272.05,272.60,275.30,265.80,269.20,270.55,272.24,36103,1052,24059,66.64
01-Sep-2016,270.55,271.00,274.00,269.00,272.00,271.35,271.81,19844,631,11479,57.85
02-Sep-2016,271.35,272.10,272.30,265.00,270.50,270.95,270.05,21018,735,14618,69.55
06-Sep-2016,270.95,272.00,273.50,266.10,271.00,270.35,270.80,23109,1418,11150,48.25
07-Sep-2016,270.35,271.10,283.35,269.00,280.70,278.50,278.06,92924,2739,51026,54.91
08-Sep-2016,278.50,277.95,282.10,270.25,270.25,273.75,279.31,93253,3314,54831,58.80
09-Sep-2016,273.75,275.85,281.00,272.30,276.50,278.65,278.26,35424,1129,20395,57.57
12-Sep-2016,278.65,275.00,275.00,263.00,268.90,268.40,268.65,31592,1186,15449,48.90
14-Sep-2016,268.40,268.70,271.45,260.15,266.00,266.35,265.67,27604,1193,19337,70.05
15-Sep-2016,266.35,267.95,275.85,267.00,269.50,268.95,270.44,28204,870,17171,60.88
16-Sep-2016,268.95,268.95,276.50,268.95,271.00,270.80,272.80,26177,755,15956,60.95
19-Sep-2016,270.80,272.00,276.00,263.55,266.00,267.25,268.15,34126,1127,25092,73.53
20-Sep-2016,267.25,266.55,271.20,262.50,271.20,270.25,267.38,22879,722,11815,51.64
21-Sep-2016,270.25,270.00,270.85,265.75,270.00,269.10,267.88,13390,460,8247,61.59
22-Sep-2016,269.10,270.05,274.00,267.40,272.00,272.80,271.41,67046,856,60107,89.65
23-Sep-2016,272.80,270.80,276.00,269.00,269.00,270.00,272.61,25948,555,17885,68.93
26-Sep-2016,270.00,272.75,274.00,267.50,272.60,272.85,271.06,55697,3226,48486,87.05
27-Sep-2016,272.85,272.60,274.00,268.05,274.00,270.55,269.91,22983,772,15312,66.62
28-Sep-2016,270.55,271.05,273.90,268.95,271.00,271.75,271.20,10861,641,6473,59.60
29-Sep-2016,271.75,274.45,274.45,250.00,265.50,264.85,268.89,135190,996,121193,89.65
30-Sep-2016,264.85,260.65,270.30,252.55,270.00,267.65,263.21,28524,1140,20426,71.61
03-Oct-2016,267.65,268.55,275.60,265.25,274.00,272.00,271.74,544712,1881,527628,96.86
04-Oct-2016,272.00,275.00,278.00,270.60,273.00,272.30,273.17,324896,692,313398,96.46
05-Oct-2016,272.30,273.95,277.00,271.70,274.60,274.60,274.13,13779,411,10056,72.98
06-Oct-2016,274.60,275.00,278.00,268.15,269.25,270.30,274.20,17014,579,10563,62.08
07-Oct-2016,270.30,270.05,278.50,270.05,277.85,278.25,276.34,45197,952,35174,77.82
10-Oct-2016,278.25,281.90,281.90,270.10,272.45,271.95,276.31,43931,2226,24224,55.14
13-Oct-2016,271.95,276.95,276.95,266.00,267.10,267.00,268.13,28276,588,21096,74.61
14-Oct-2016,267.00,272.40,273.80,267.85,270.30,271.10,270.59,13810,642,7153,51.80
17-Oct-2016,271.10,270.00,273.95,267.00,268.00,268.15,269.78,13919,452,10339,74.28
18-Oct-2016,268.15,273.80,273.80,267.15,271.00,269.70,269.03,24272,524,17100,70.45
19-Oct-2016,269.70,269.00,275.10,269.00,273.45,273.15,273.30,18786,591,10594,56.39
20-Oct-2016,273.15,274.70,277.50,270.00,275.00,275.50,274.63,11924,753,7456,62.53
21-Oct-2016,275.50,271.10,278.85,271.10,274.10,276.45,276.05,25349,1074,17645,69.61
24-Oct-2016,276.45,278.65,287.90,275.80,285.00,283.95,283.57,324518,6445,55468,17.09
25-Oct-2016,283.95,287.40,287.40,281.00,283.00,283.10,283.63,43397,1744,20911,48.19
26-Oct-2016,283.10,281.00,289.40,279.70,287.00,287.15,287.01,173135,3290,145500,84.04
27-Oct-2016,287.15,289.00,294.00,286.25,287.00,288.85,288.23,99120,1500,78988,79.69
28-Oct-2016,288.85,289.65,294.00,286.15,289.35,290.05,290.25,33005,1232,16863,51.09
30-Oct-2016,290.05,290.00,293.45,290.00,290.30,291.90,292.03,6842,315,5923,86.57
01-Nov-2016,291.90,296.05,307.00,296.05,302.25,302.25,303.15,88390,3729,45975,52.01
02-Nov-2016,302.25,302.25,302.35,294.00,296.00,297.60,297.87,41619,2683,24447,58.74
03-Nov-2016,297.60,297.60,297.95,290.30,291.25,291.15,292.67,144277,1407,119696,82.96
04-Nov-2016,291.15,297.00,297.00,276.25,288.00,289.75,285.40,39360,1771,23318,59.24
07-Nov-2016,289.75,292.40,294.60,286.55,292.40,292.95,292.94,20310,1920,11439,56.32
08-Nov-2016,292.95,294.05,294.05,278.55,285.10,285.25,285.08,31189,1548,22620,72.53
09-Nov-2016,285.25,232.70,282.00,232.70,277.00,276.10,271.34,91104,5062,57883,63.54
10-Nov-2016,276.10,277.90,288.85,274.00,274.85,275.45,276.17,268574,1412,237163,88.30
11-Nov-2016,275.45,271.05,277.60,265.00,269.15,270.40,270.21,31101,1329,21921,70.48
15-Nov-2016,270.40,266.55,270.00,254.00,267.00,267.00,261.70,70655,3715,52318,74.05
16-Nov-2016,267.00,266.55,267.00,256.00,259.00,257.85,258.36,245517,1382,231291,94.21
17-Nov-2016,257.85,257.00,286.90,257.00,272.00,274.90,276.15,170245,18119,96643,56.77
18-Nov-2016,274.90,270.05,279.90,263.90,274.00,273.55,270.78,30399,1644,16022,52.71
21-Nov-2016,273.55,266.50,270.00,255.55,260.00,257.40,258.06,137646,6360,82198,59.72
22-Nov-2016,257.40,257.40,267.00,256.35,259.45,259.80,259.59,24918,1705,15910,63.85
23-Nov-2016,259.80,265.85,265.85,245.00,248.45,251.90,254.39,75853,3777,60877,80.26
24-Nov-2016,251.90,250.80,250.80,241.05,247.50,247.50,245.02,568698,6224,556021,97.77
25-Nov-2016,247.50,250.20,258.50,246.35,256.00,256.05,253.51,219529,5973,199348,90.81
28-Nov-2016,256.05,262.90,265.80,250.35,264.20,264.10,258.76,34066,1628,25992,76.30
29-Nov-2016,264.10,264.05,264.25,255.20,258.00,258.60,259.18,26753,2196,15866,59.31
30-Nov-2016,258.60,260.00,270.00,253.20,266.90,261.50,261.25,228782,5336,211728,92.55
01-Dec-2016,261.50,262.00,269.15,255.00,256.80,260.65,260.28,210083,1835,13648,6.50
02-Dec-2016,260.65,256.00,260.95,256.00,259.00,259.00,259.29,13310,663,8971,67.40
05-Dec-2016,259.00,261.40,263.80,257.00,260.50,259.80,260.09,9622,636,6522,67.78
