DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,69.45,69.60,70.55,69.00,69.15,69.15,69.75,418047,2260,242301,57.96
03-Aug-2016,69.15,69.10,69.15,66.85,67.45,67.65,67.97,378108,2519,225796,59.72
04-Aug-2016,67.65,67.60,68.80,67.50,68.20,68.05,68.17,289701,2033,176365,60.88
05-Aug-2016,68.05,68.40,70.40,68.40,69.95,69.85,69.53,365335,2457,178763,48.93
08-Aug-2016,69.85,70.50,71.25,70.35,70.80,70.60,70.75,267557,1580,171820,64.22
09-Aug-2016,70.60,70.90,71.95,69.90,70.20,70.35,70.74,537018,3356,284494,52.98
10-Aug-2016,70.35,70.40,71.20,69.85,70.20,70.05,70.38,252030,1482,162651,64.54
11-Aug-2016,70.05,69.65,71.55,69.60,70.95,70.80,70.86,265205,1651,147294,55.54
12-Aug-2016,70.80,70.90,71.95,70.45,70.80,70.70,71.20,249464,1602,126416,50.68
16-Aug-2016,70.70,70.75,71.95,70.50,71.40,71.30,71.25,300188,2191,127825,42.58
17-Aug-2016,71.30,71.30,72.50,71.30,71.90,71.75,71.97,283897,1770,124125,43.72
18-Aug-2016,71.75,71.95,72.80,71.60,71.60,71.70,72.10,209318,1816,131253,62.71
19-Aug-2016,71.70,71.75,72.50,71.60,72.05,71.95,71.95,352475,2705,186520,52.92
22-Aug-2016,71.95,72.40,74.30,71.70,74.25,73.85,73.15,768820,5321,407892,53.05
23-Aug-2016,73.85,74.30,79.30,74.20,77.20,77.10,77.59,4060882,19125,1578353,38.87
24-Aug-2016,77.10,77.50,78.50,77.15,77.60,77.45,77.81,966762,4608,483456,50.01
25-Aug-2016,77.45,77.50,78.00,76.15,76.50,76.55,76.97,619408,3553,341120,55.07
26-Aug-2016,76.55,76.90,77.20,75.00,76.30,76.40,76.01,492935,2771,257619,52.26
29-Aug-2016,76.40,76.65,78.40,76.15,77.70,77.30,77.50,490994,3244,244723,49.84
30-Aug-2016,77.30,77.35,78.50,76.55,77.10,76.85,77.24,470347,2775,274293,58.32
31-Aug-2016,76.85,76.85,77.45,75.35,76.15,75.90,76.34,711341,5248,502249,70.61
01-Sep-2016,75.90,73.75,74.40,72.65,73.00,72.85,73.42,449105,5489,307839,68.54
02-Sep-2016,72.85,72.50,73.50,72.10,72.20,72.20,72.49,370334,1922,270271,72.98
06-Sep-2016,72.20,72.65,73.65,71.10,72.50,72.50,72.70,426711,2646,218503,51.21
07-Sep-2016,72.50,72.55,73.00,71.85,72.10,72.10,72.26,382945,3362,249359,65.12
08-Sep-2016,72.10,72.20,77.40,72.15,75.75,76.00,75.52,1664652,7619,892421,53.61
09-Sep-2016,76.00,76.25,76.85,74.15,74.70,74.75,75.65,762572,4003,345554,45.31
12-Sep-2016,74.75,72.75,75.80,72.60,73.80,73.45,74.17,440172,3106,273863,62.22
14-Sep-2016,73.45,73.95,76.60,72.30,75.15,75.15,74.31,1189205,9873,567832,47.75
15-Sep-2016,75.15,75.30,76.40,74.20,75.20,75.00,75.25,493481,2708,256415,51.96
16-Sep-2016,75.00,75.35,75.95,73.60,74.00,73.95,74.86,747080,4903,408275,54.65
19-Sep-2016,73.95,74.30,75.05,73.25,73.60,73.60,74.07,409966,3602,257222,62.74
20-Sep-2016,73.60,74.30,74.60,73.50,74.10,74.00,74.05,414057,3237,261159,63.07
