DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,130.00,129.45,134.30,129.45,133.35,133.40,132.76,216507,10369,143034,66.06
03-Aug-2016,133.40,133.40,135.80,132.00,133.90,133.50,133.56,247818,4791,130469,52.65
04-Aug-2016,133.50,134.00,135.10,131.30,133.00,133.00,134.30,625957,2328,529122,84.53
05-Aug-2016,133.00,133.55,135.00,132.35,134.00,134.30,133.53,166353,3463,123372,74.16
08-Aug-2016,134.30,135.00,136.80,134.20,134.40,134.75,135.29,109866,1482,72996,66.44
09-Aug-2016,134.75,135.85,137.70,133.75,135.55,136.00,135.93,255275,6488,170585,66.82
10-Aug-2016,136.00,135.95,138.45,133.20,138.00,137.95,136.84,369447,9830,229736,62.18
11-Aug-2016,137.95,138.00,140.35,137.90,139.00,139.60,139.74,1231030,8445,1029098,83.60
12-Aug-2016,139.60,139.50,140.35,135.30,140.05,139.65,138.55,203898,2527,134967,66.19
16-Aug-2016,139.65,140.20,142.00,137.45,140.05,140.45,140.34,256065,3827,150729,58.86
17-Aug-2016,140.45,140.40,144.50,139.75,141.60,143.30,142.08,280137,5716,159063,56.78
18-Aug-2016,143.30,143.80,154.70,142.95,153.10,152.85,150.29,1076107,14285,615113,57.16
19-Aug-2016,152.85,153.40,164.40,149.30,152.00,151.60,157.65,1827233,24375,633339,34.66
22-Aug-2016,151.60,152.30,154.50,146.20,149.00,148.85,150.90,577453,12672,396660,68.69
23-Aug-2016,148.85,148.90,151.70,145.20,145.95,146.20,148.06,226264,2791,113204,50.03
24-Aug-2016,146.20,147.20,154.20,145.55,149.20,149.30,150.41,373369,7158,119787,32.08
25-Aug-2016,149.30,150.00,151.75,147.50,147.85,148.50,149.51,170576,3037,78009,45.73
26-Aug-2016,148.50,148.50,149.90,146.00,147.00,146.80,147.79,242636,11246,146184,60.25
29-Aug-2016,146.80,146.80,147.25,143.70,144.50,144.60,145.66,204214,5259,154292,75.55
30-Aug-2016,144.60,144.50,151.70,144.25,148.05,148.45,149.23,342963,4825,107882,31.46
31-Aug-2016,148.45,147.45,154.20,147.35,152.30,151.80,151.55,424251,5270,194098,45.75
01-Sep-2016,151.80,152.15,153.20,148.75,150.50,150.35,151.18,135535,2428,82697,61.02
