DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,585.85,593.50,639.85,586.00,625.30,631.25,619.80,187781,14006,66684,35.51
03-Aug-2016,631.25,632.45,632.45,603.60,605.10,609.75,610.98,139921,2942,117674,84.10
04-Aug-2016,609.75,612.40,623.50,601.00,618.50,611.00,614.58,46815,2794,15700,33.54
05-Aug-2016,611.00,611.75,632.70,611.75,621.55,624.50,624.42,42901,2616,17746,41.37
08-Aug-2016,624.50,621.00,635.00,617.05,627.55,631.30,629.52,42485,2885,23726,55.85
09-Aug-2016,631.30,634.05,634.90,616.75,624.80,623.10,623.54,14839,1044,6120,41.24
10-Aug-2016,623.10,623.00,624.20,614.50,616.00,616.70,617.00,7847,398,4693,59.81
11-Aug-2016,616.70,618.45,624.90,615.90,624.90,622.75,619.23,11558,1009,7106,61.48
12-Aug-2016,622.75,624.00,631.95,616.00,616.00,618.50,621.09,8244,898,3735,45.31
16-Aug-2016,618.50,618.00,641.05,612.00,618.65,621.45,621.74,156850,4189,126361,80.56
17-Aug-2016,621.45,620.65,651.00,619.45,640.00,640.70,639.55,73656,10634,37195,50.50
18-Aug-2016,640.70,641.00,661.70,641.00,657.00,653.90,651.89,39472,2100,12347,31.28
19-Aug-2016,653.90,655.00,690.00,653.00,676.90,677.45,677.89,78253,3608,31036,39.66
22-Aug-2016,677.45,670.20,680.00,656.00,658.00,660.20,661.35,124874,1700,111602,89.37
23-Aug-2016,660.20,663.90,682.80,658.00,660.00,660.35,669.63,30965,1896,8268,26.70
24-Aug-2016,660.35,662.00,666.50,648.50,652.00,652.95,659.04,36939,779,31155,84.34
25-Aug-2016,652.95,650.00,657.95,634.50,643.85,642.90,644.10,14769,1377,7525,50.95
26-Aug-2016,642.90,654.95,660.00,622.00,627.05,628.65,633.46,24520,1625,12628,51.50
29-Aug-2016,628.65,628.00,645.00,621.75,635.00,635.30,633.04,26350,3050,13400,50.85
30-Aug-2016,635.30,633.55,642.00,627.00,628.20,630.20,634.08,16186,1427,8049,49.73
