DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,6.45,6.50,6.50,6.10,6.15,6.15,6.32,1849766,1184,998315,53.97
03-Aug-2016,6.15,6.15,6.30,6.10,6.25,6.20,6.20,991191,818,543127,54.80
04-Aug-2016,6.20,6.35,6.35,6.15,6.15,6.15,6.21,957608,625,354262,36.99
05-Aug-2016,6.15,6.20,6.25,6.00,6.10,6.10,6.14,1773722,1153,975096,54.97
08-Aug-2016,6.10,6.15,6.20,6.05,6.15,6.10,6.12,1444994,689,715330,49.50
09-Aug-2016,6.10,6.15,6.20,6.05,6.10,6.10,6.14,984358,602,501882,50.99
10-Aug-2016,6.10,6.10,6.15,5.80,5.85,5.85,5.92,2354657,1327,1272907,54.06
11-Aug-2016,5.85,5.85,6.25,5.80,6.10,6.10,6.10,3196460,1247,1213350,37.96
12-Aug-2016,6.10,6.10,6.35,6.05,6.10,6.10,6.19,2090970,1060,880027,42.09
16-Aug-2016,6.10,6.20,6.25,5.90,6.00,6.00,6.03,1420393,801,622822,43.85
17-Aug-2016,6.00,6.00,6.10,5.85,5.90,5.90,5.97,1074300,752,435968,40.58
18-Aug-2016,5.90,5.95,6.20,5.90,5.95,5.95,5.95,9848762,1570,8273015,84.00
19-Aug-2016,5.95,6.00,6.20,6.00,6.15,6.10,6.12,1921961,1071,1073456,55.85
22-Aug-2016,6.10,6.10,6.20,6.05,6.15,6.10,6.13,935484,605,443751,47.44
23-Aug-2016,6.10,6.15,6.30,6.10,6.30,6.20,6.18,1670875,651,886715,53.07
24-Aug-2016,6.20,6.30,6.30,6.15,6.20,6.15,6.20,802175,455,408317,50.90
25-Aug-2016,6.15,6.20,7.00,6.20,6.65,6.65,6.66,7557593,4325,2945326,38.97
26-Aug-2016,6.65,6.75,7.00,6.50,6.55,6.55,6.71,3564359,1828,1409565,39.55
29-Aug-2016,6.55,6.50,6.50,6.25,6.25,6.25,6.29,1331195,814,816389,61.33
