DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,404.10,406.00,407.95,394.20,398.50,399.90,401.62,2052533,44651,984789,47.98
03-Aug-2016,399.90,400.00,400.70,385.65,390.35,389.95,391.50,1246630,29134,499380,40.06
04-Aug-2016,389.95,394.95,409.40,393.05,408.05,405.25,400.92,1951382,36851,914429,46.86
05-Aug-2016,405.25,408.85,411.00,404.15,404.40,406.50,407.43,1024135,19394,346751,33.86
08-Aug-2016,406.50,406.00,411.00,402.15,405.00,404.05,405.24,760819,21541,283952,37.32
09-Aug-2016,404.05,406.90,421.70,405.60,414.05,414.30,415.02,2930151,48057,877966,29.96
10-Aug-2016,414.30,414.55,415.90,403.00,405.95,404.70,406.66,819212,30352,280004,34.18
11-Aug-2016,404.70,404.90,406.05,396.60,398.80,399.80,400.76,987917,22541,248029,25.11
12-Aug-2016,399.80,401.00,409.45,395.80,397.80,398.60,401.83,954738,28980,385705,40.40
16-Aug-2016,398.60,399.20,411.20,396.25,411.00,410.05,407.93,1472054,50689,766313,52.06
17-Aug-2016,410.05,413.40,416.70,407.45,414.50,415.50,414.43,1490193,38169,731062,49.06
18-Aug-2016,415.50,415.50,417.80,408.50,409.05,409.65,411.59,713737,23572,233807,32.76
19-Aug-2016,409.65,411.50,417.00,407.50,414.55,415.25,414.39,758848,19247,198946,26.22
22-Aug-2016,415.25,416.95,421.00,411.80,415.70,415.75,416.89,1102828,22213,330438,29.96
23-Aug-2016,415.75,418.55,418.55,408.50,411.30,411.20,411.17,850550,23767,158491,18.63
24-Aug-2016,411.20,411.95,415.00,410.00,410.10,411.10,412.24,1026268,21636,440734,42.95
25-Aug-2016,411.10,412.00,420.00,410.40,415.00,415.70,416.51,2117785,26441,908207,42.88
26-Aug-2016,415.70,416.50,417.95,410.50,413.85,414.65,413.61,405096,15934,137968,34.06
29-Aug-2016,414.65,412.20,417.80,410.25,415.50,416.20,413.75,468604,12572,109500,23.37
30-Aug-2016,416.20,420.95,428.30,419.50,422.00,421.90,424.75,1261860,23797,343131,27.19
31-Aug-2016,421.90,421.50,425.45,416.30,418.60,417.60,420.00,1501428,31243,595378,39.65
01-Sep-2016,417.60,417.00,426.50,416.20,423.35,422.85,422.66,971310,22463,315881,32.52
02-Sep-2016,422.85,423.00,429.30,422.85,427.55,427.80,427.05,807951,21356,237827,29.44
06-Sep-2016,427.80,428.10,433.55,428.10,430.30,431.75,431.14,757069,18748,356482,47.09
07-Sep-2016,431.75,430.35,431.95,421.45,423.00,423.20,425.52,847761,30252,233796,27.58
08-Sep-2016,423.20,423.50,423.55,415.90,420.00,420.25,419.29,1359292,23341,812272,59.76
09-Sep-2016,420.25,420.00,424.60,416.00,418.00,417.70,420.72,832458,16921,293045,35.20
12-Sep-2016,417.70,414.00,415.00,402.60,408.00,408.45,408.31,549828,15132,135878,24.71
