DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1242.30,1247.00,1256.45,1240.40,1245.10,1243.30,1245.35,1332349,30516,818847,61.46
03-Aug-2016,1243.30,1241.10,1249.95,1231.00,1239.85,1240.45,1243.11,1183469,15957,772726,65.29
04-Aug-2016,1240.45,1246.60,1246.70,1233.60,1244.55,1241.00,1239.31,1165720,17692,783541,67.22
05-Aug-2016,1241.00,1247.40,1255.65,1241.75,1250.20,1249.25,1249.05,1446228,13522,939905,64.99
08-Aug-2016,1249.25,1252.90,1255.00,1244.55,1248.20,1249.60,1249.91,1182194,27746,909882,76.97
09-Aug-2016,1249.60,1252.90,1252.90,1237.70,1245.50,1247.20,1245.95,1052714,17029,704276,66.90
10-Aug-2016,1247.20,1245.00,1250.95,1219.75,1224.00,1226.90,1231.70,904930,12152,597502,66.03
11-Aug-2016,1226.90,1226.80,1235.00,1222.00,1229.00,1228.25,1229.93,714018,19268,475548,66.60
12-Aug-2016,1228.25,1231.05,1235.00,1219.40,1227.80,1228.70,1227.80,1160374,14889,654990,56.45
16-Aug-2016,1228.70,1233.00,1238.45,1213.80,1226.50,1227.30,1225.63,867142,15518,455081,52.48
17-Aug-2016,1227.30,1233.40,1237.50,1226.00,1236.25,1234.90,1231.98,1377759,23582,1022149,74.19
18-Aug-2016,1234.90,1238.00,1254.90,1234.55,1250.00,1252.50,1247.80,1527914,20416,1054938,69.04
19-Aug-2016,1252.50,1250.00,1250.00,1241.45,1249.00,1247.10,1246.73,1027659,18849,787850,76.66
22-Aug-2016,1247.10,1245.05,1254.45,1241.00,1251.95,1250.30,1247.87,1375323,26039,996127,72.43
23-Aug-2016,1250.30,1251.00,1254.00,1246.05,1254.00,1251.45,1249.58,1328631,24934,996873,75.03
24-Aug-2016,1251.45,1252.05,1264.20,1247.05,1262.25,1261.80,1253.34,1392734,25642,1005355,72.19
25-Aug-2016,1261.80,1264.00,1266.80,1254.30,1259.00,1258.55,1259.50,2182472,42590,1613038,73.91
26-Aug-2016,1258.55,1260.00,1261.90,1253.90,1254.15,1257.10,1257.34,630284,17382,401297,63.67
29-Aug-2016,1257.10,1255.50,1255.50,1236.20,1238.55,1238.10,1241.38,736046,20786,424033,57.61
30-Aug-2016,1238.10,1245.10,1270.50,1243.95,1270.50,1268.65,1260.07,2466902,42110,1795458,72.78
31-Aug-2016,1268.65,1269.00,1295.00,1265.50,1291.00,1291.20,1280.94,2790341,51707,2051083,73.51
01-Sep-2016,1291.20,1288.00,1290.00,1275.40,1285.55,1283.70,1283.34,1306169,23871,743006,56.88
02-Sep-2016,1283.70,1285.50,1289.00,1281.15,1286.10,1285.10,1285.30,988797,41785,593274,60.00
06-Sep-2016,1285.10,1290.05,1303.90,1290.05,1300.65,1300.40,1298.04,1377221,20035,825838,59.96
07-Sep-2016,1300.40,1301.00,1305.00,1283.10,1291.35,1286.75,1290.82,1004111,14781,600689,59.82
08-Sep-2016,1286.75,1290.00,1295.25,1283.60,1290.80,1289.40,1288.25,726345,13267,416910,57.40
09-Sep-2016,1289.40,1290.00,1294.50,1278.30,1290.00,1290.40,1286.50,1003442,18366,518737,51.70
12-Sep-2016,1290.40,1274.70,1284.40,1271.50,1279.60,1279.90,1278.70,996432,22924,642693,64.50
14-Sep-2016,1279.90,1275.00,1277.00,1265.40,1272.00,1269.45,1270.70,962377,29388,588057,61.10
15-Sep-2016,1269.45,1272.00,1283.90,1269.85,1282.90,1279.60,1277.55,875453,17311,438917,50.14
16-Sep-2016,1279.60,1283.80,1304.50,1283.80,1297.50,1297.85,1299.00,1631454,20805,956112,58.60
19-Sep-2016,1297.85,1297.00,1302.50,1288.00,1289.65,1290.15,1292.84,1473708,19964,877259,59.53
20-Sep-2016,1290.15,1292.65,1295.00,1284.05,1290.35,1288.45,1287.73,944562,24113,602166,63.75
21-Sep-2016,1288.45,1292.00,1298.00,1287.90,1292.20,1293.00,1292.90,1064100,15081,736133,69.18
22-Sep-2016,1293.00,1305.00,1316.95,1300.55,1305.05,1306.90,1307.09,1638950,28635,1088588,66.42
23-Sep-2016,1306.90,1306.05,1318.45,1301.50,1312.00,1312.70,1313.78,1219202,17341,810532,66.48
26-Sep-2016,1312.70,1306.10,1308.90,1293.70,1299.00,1296.15,1299.36,1394193,30025,927614,66.53
27-Sep-2016,1296.15,1299.00,1306.15,1294.85,1300.00,1298.05,1300.13,1014203,16739,633681,62.48
28-Sep-2016,1298.05,1299.90,1300.00,1289.00,1295.90,1295.25,1293.90,1247413,18159,891213,71.44
29-Sep-2016,1295.25,1297.95,1306.00,1267.95,1274.65,1277.50,1286.23,4112503,40928,2631309,63.98
30-Sep-2016,1277.50,1277.10,1281.00,1267.40,1275.00,1272.85,1274.04,1034607,17526,656138,63.42
03-Oct-2016,1272.85,1281.00,1289.90,1276.40,1288.25,1287.20,1285.29,975137,37847,646490,66.30
04-Oct-2016,1287.20,1288.60,1295.00,1282.30,1291.00,1289.55,1287.73,693878,8760,379221,54.65
05-Oct-2016,1289.55,1298.00,1300.05,1276.40,1285.85,1286.10,1282.96,911755,10082,623996,68.44
06-Oct-2016,1286.10,1287.10,1295.60,1279.05,1282.85,1281.95,1288.88,723928,16424,460882,63.66
07-Oct-2016,1281.95,1284.00,1287.75,1276.25,1281.70,1280.60,1280.57,834366,12895,582708,69.84
10-Oct-2016,1280.60,1285.00,1287.90,1278.75,1284.60,1284.35,1283.13,1179828,18299,817723,69.31
13-Oct-2016,1284.35,1279.00,1279.00,1256.45,1264.60,1262.75,1264.59,1129839,32564,745661,66.00
14-Oct-2016,1262.75,1265.75,1268.00,1254.00,1263.45,1261.80,1262.52,1016779,22831,534887,52.61
17-Oct-2016,1261.80,1265.50,1266.40,1232.75,1239.05,1237.70,1240.43,1283840,40697,690840,53.81
18-Oct-2016,1237.70,1243.20,1260.00,1239.00,1255.30,1257.85,1249.52,652742,21674,330809,50.68
19-Oct-2016,1257.85,1261.10,1263.00,1248.00,1257.65,1258.35,1256.12,761226,15551,414858,54.50
20-Oct-2016,1258.35,1260.25,1267.45,1251.00,1258.75,1255.50,1256.82,800089,20540,392105,49.01
21-Oct-2016,1255.50,1256.00,1272.95,1250.00,1269.00,1270.70,1262.49,989102,30754,730276,73.83
24-Oct-2016,1270.70,1271.75,1276.85,1261.05,1265.00,1263.55,1268.36,813916,15193,417403,51.28
25-Oct-2016,1263.55,1268.00,1268.00,1244.05,1247.55,1250.30,1253.22,1375449,31031,457737,33.28
26-Oct-2016,1250.30,1243.35,1265.00,1235.05,1244.95,1239.30,1243.37,1341635,27179,836559,62.35
27-Oct-2016,1239.30,1239.00,1257.00,1224.15,1249.00,1252.10,1239.38,2905965,32769,1795031,61.77
28-Oct-2016,1252.10,1254.50,1261.90,1240.10,1259.00,1259.05,1255.19,1330134,17769,912089,68.57
30-Oct-2016,1259.05,1263.30,1263.30,1250.00,1251.85,1253.30,1255.81,191554,5456,104344,54.47
01-Nov-2016,1253.30,1256.00,1263.85,1247.05,1260.00,1259.80,1258.64,850604,18123,550346,64.70
02-Nov-2016,1259.80,1251.10,1255.70,1241.50,1246.90,1246.15,1250.99,1618608,33950,1098455,67.86
03-Nov-2016,1246.15,1245.00,1260.00,1231.75,1253.00,1254.95,1252.72,1578953,39774,1205805,76.37
04-Nov-2016,1254.95,1252.80,1252.80,1241.75,1242.90,1243.70,1247.18,1433730,29700,1047005,73.03
07-Nov-2016,1243.70,1252.00,1254.85,1240.00,1250.30,1249.45,1246.08,1417848,26007,930814,65.65
08-Nov-2016,1249.45,1251.10,1258.00,1240.10,1255.05,1254.30,1248.47,1337041,34112,869565,65.04
09-Nov-2016,1254.30,1200.00,1257.40,1195.35,1255.10,1251.25,1240.03,3411367,57210,1409538,41.32
10-Nov-2016,1251.25,1263.75,1283.00,1254.10,1277.50,1278.55,1271.69,2675184,35751,1582774,59.17
11-Nov-2016,1278.55,1274.00,1282.00,1265.60,1278.00,1275.80,1275.07,1784830,29969,1026486,57.51
15-Nov-2016,1275.80,1277.50,1289.00,1250.65,1253.30,1254.75,1266.17,3128131,52081,2079319,66.47
16-Nov-2016,1254.75,1268.00,1268.00,1240.05,1242.00,1244.35,1246.95,2161936,43303,1347487,62.33
17-Nov-2016,1244.35,1238.30,1248.90,1225.15,1234.00,1230.20,1233.17,1203906,40898,713174,59.24
18-Nov-2016,1230.20,1236.00,1236.00,1209.20,1212.00,1211.40,1219.74,1719975,50664,1204073,70.01
21-Nov-2016,1211.40,1219.50,1219.50,1188.35,1199.95,1198.70,1197.85,1388130,36830,716391,51.61
