DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,191.30,195.45,196.00,185.20,186.25,187.40,191.39,28095,873,16828,59.90
03-Aug-2016,187.40,179.00,179.00,160.10,164.10,165.85,167.69,147963,4205,50985,34.46
04-Aug-2016,165.85,166.40,171.85,163.60,168.00,168.55,168.09,22270,942,11884,53.36
05-Aug-2016,168.55,169.00,173.80,168.00,173.45,172.40,170.56,19893,548,13461,67.67
08-Aug-2016,172.40,172.00,174.60,166.10,167.05,167.70,171.04,16067,575,8584,53.43
09-Aug-2016,167.70,165.30,169.90,165.30,165.95,166.40,166.73,9938,373,5052,50.84
10-Aug-2016,166.40,166.35,168.80,162.65,162.65,163.25,165.62,11083,402,6975,62.93
11-Aug-2016,163.25,164.00,164.65,161.50,162.80,162.30,162.66,7039,225,4111,58.40
12-Aug-2016,162.30,164.50,164.50,158.50,159.95,159.75,160.75,9054,429,5356,59.16
16-Aug-2016,159.75,158.55,163.95,156.20,158.60,159.00,159.29,10121,289,6738,66.57
17-Aug-2016,159.00,156.30,163.70,156.30,161.15,161.80,161.78,10674,418,6469,60.61
18-Aug-2016,161.80,163.50,164.40,158.70,162.45,162.05,162.40,9036,271,6243,69.09
19-Aug-2016,162.05,162.45,163.90,160.10,161.60,161.60,162.02,5845,201,3819,65.34
22-Aug-2016,161.60,161.65,165.00,160.00,160.10,160.30,161.76,13763,234,10461,76.01
23-Aug-2016,160.30,161.00,162.50,157.95,160.05,160.90,159.86,24088,336,13982,58.05
24-Aug-2016,160.90,161.00,162.95,159.00,161.00,161.75,161.65,7373,172,5680,77.04
25-Aug-2016,161.75,160.50,165.70,159.00,162.50,163.20,161.91,23259,761,12861,55.29
26-Aug-2016,163.20,162.00,168.60,161.50,166.80,166.35,165.18,17446,505,12439,71.30
29-Aug-2016,166.35,166.30,176.30,166.30,173.00,171.80,172.47,66914,1753,23214,34.69
30-Aug-2016,171.80,171.00,174.90,169.10,174.90,173.20,171.97,25523,555,15981,62.61
31-Aug-2016,173.20,173.50,178.80,171.00,178.00,177.75,175.59,31158,780,23420,75.17
01-Sep-2016,177.75,177.00,180.50,173.10,179.40,179.45,178.11,26551,823,18980,71.49
02-Sep-2016,179.45,180.00,182.90,175.15,176.25,176.35,177.77,14755,351,9672,65.55
06-Sep-2016,176.35,177.00,181.00,173.05,179.55,177.25,177.00,18068,477,9405,52.05
07-Sep-2016,177.25,179.00,188.00,177.05,179.80,180.75,183.60,48090,1619,20440,42.50
08-Sep-2016,180.75,179.00,183.00,176.60,178.20,178.75,180.28,11294,414,7368,65.24
09-Sep-2016,178.75,175.70,180.00,174.55,174.75,174.95,176.79,13822,403,9253,66.94
12-Sep-2016,174.95,171.20,174.90,165.95,172.85,171.60,171.75,22433,359,18536,82.63
14-Sep-2016,171.60,172.00,180.30,172.00,180.20,178.75,177.29,19672,494,11722,59.59
15-Sep-2016,178.75,178.50,185.60,175.20,184.20,185.15,183.31,32189,753,25913,80.50
16-Sep-2016,185.15,185.00,203.20,179.50,191.05,191.35,195.14,194291,4022,61853,31.84
19-Sep-2016,191.35,191.05,194.00,186.00,189.35,188.30,189.28,30602,582,24919,81.43
20-Sep-2016,188.30,189.70,201.80,186.25,192.15,193.55,197.13,97473,2935,29635,30.40
21-Sep-2016,193.55,193.95,197.00,190.05,193.65,193.35,193.28,19103,578,11236,58.82
22-Sep-2016,193.35,193.95,195.50,188.00,188.35,189.05,190.72,23275,807,12264,52.69
23-Sep-2016,189.05,190.80,190.85,184.40,185.50,185.30,186.64,17822,532,10420,58.47
26-Sep-2016,185.30,185.00,190.00,181.55,181.55,183.25,185.66,15285,517,8937,58.47
27-Sep-2016,183.25,183.90,187.00,182.05,185.50,185.60,184.93,17218,586,12870,74.75
28-Sep-2016,185.60,186.00,188.00,183.00,183.00,183.55,184.08,17293,322,12337,71.34
29-Sep-2016,183.55,185.00,188.00,170.50,173.00,172.25,177.15,14181,405,10591,74.68
30-Sep-2016,172.25,175.80,180.90,171.05,175.25,178.00,176.95,17391,520,10574,60.80
03-Oct-2016,178.00,178.90,184.30,177.75,178.35,178.35,179.08,5964,258,3697,61.99
04-Oct-2016,178.35,180.00,184.85,179.10,179.40,179.45,182.14,22057,620,5853,26.54
05-Oct-2016,179.45,180.00,183.90,178.10,181.00,180.60,180.81,12134,330,4490,37.00
06-Oct-2016,180.60,180.95,182.95,177.20,180.95,179.50,180.64,8074,302,4950,61.31
07-Oct-2016,179.50,178.00,180.85,176.60,177.75,177.75,178.31,10704,205,6647,62.10
10-Oct-2016,177.75,178.00,180.20,174.15,177.00,176.85,177.25,8339,236,5647,67.72
13-Oct-2016,176.85,176.30,177.95,170.20,171.00,170.95,172.88,9635,281,7103,73.72
14-Oct-2016,170.95,171.50,175.00,170.00,172.75,171.85,172.85,9900,217,7738,78.16
17-Oct-2016,171.85,171.15,173.40,170.00,170.20,170.20,170.79,6110,196,4873,79.75
18-Oct-2016,170.20,170.25,172.00,168.50,170.00,169.95,170.49,14580,379,9478,65.01
19-Oct-2016,169.95,172.00,175.90,171.00,174.00,174.45,173.48,9390,251,7552,80.43
20-Oct-2016,174.45,174.00,179.00,174.00,174.30,174.80,176.01,14084,399,9332,66.26
21-Oct-2016,174.80,173.05,175.00,170.30,171.00,171.45,172.72,14395,424,6766,47.00
24-Oct-2016,171.45,171.25,175.15,171.00,173.00,172.35,172.88,43793,593,33373,76.21
25-Oct-2016,172.35,171.50,174.60,171.00,172.00,171.70,172.72,13667,166,11869,86.84
26-Oct-2016,171.70,171.50,172.45,170.30,171.00,170.70,171.02,17150,173,14169,82.62
27-Oct-2016,170.70,172.30,173.00,169.85,173.00,172.10,171.18,6929,159,4242,61.22
28-Oct-2016,172.10,173.45,173.50,170.25,171.00,170.85,171.75,23235,286,19528,84.05
30-Oct-2016,170.85,173.80,175.50,173.00,174.10,174.60,174.42,5995,157,5086,84.84
01-Nov-2016,174.60,173.70,173.70,170.10,170.15,170.40,171.48,13936,285,10619,76.20
02-Nov-2016,170.40,170.00,173.15,168.50,172.00,170.65,171.60,11824,285,5259,44.48
03-Nov-2016,170.65,170.05,172.00,168.05,168.50,168.95,170.26,9301,250,5766,61.99
04-Nov-2016,168.95,168.50,174.00,165.00,165.50,165.35,167.83,9765,283,6726,68.88
07-Nov-2016,165.35,165.00,171.70,163.00,168.00,168.20,169.10,9914,278,5581,56.29
08-Nov-2016,168.20,173.90,178.70,170.50,172.70,173.95,174.79,43208,1453,15099,34.94
09-Nov-2016,173.95,154.00,170.25,148.55,165.10,165.50,159.85,37978,888,18704,49.25
10-Nov-2016,165.50,168.00,174.25,166.20,169.40,168.65,169.42,7706,285,4613,59.86
11-Nov-2016,168.65,168.80,168.80,163.15,166.75,164.95,165.67,3991,184,1998,50.06
15-Nov-2016,164.95,161.20,162.00,157.00,159.50,158.15,158.94,8096,275,5877,72.59
16-Nov-2016,158.15,160.50,162.85,145.30,157.65,157.80,156.81,5890,301,3538,60.07
17-Nov-2016,157.80,152.00,157.95,152.00,155.50,154.65,154.74,3878,172,2659,68.57
18-Nov-2016,154.65,156.00,168.60,155.00,155.00,155.70,156.48,3883,212,2335,60.13
21-Nov-2016,155.70,155.10,157.45,144.45,146.00,146.30,149.55,11976,447,7620,63.63
22-Nov-2016,146.30,151.90,151.90,146.40,148.20,148.30,148.21,5755,129,2815,48.91
23-Nov-2016,148.30,148.00,155.60,144.90,155.60,153.55,149.83,6469,298,2708,41.86
24-Nov-2016,153.55,153.90,153.90,150.00,152.90,152.15,151.75,8374,194,4160,49.68
25-Nov-2016,152.15,151.15,162.70,151.15,161.95,161.50,159.26,9825,295,5357,54.52
28-Nov-2016,161.50,160.00,163.40,157.00,158.20,159.00,159.55,1049,100,680,64.82
29-Nov-2016,159.00,159.00,164.00,156.15,156.30,156.70,160.45,6206,256,3520,56.72
30-Nov-2016,156.70,156.00,162.00,153.55,161.75,161.10,159.86,4127,119,3442,83.40
01-Dec-2016,161.10,159.20,161.95,158.00,160.00,160.05,159.70,1704,81,867,50.88
02-Dec-2016,160.05,157.00,160.70,155.50,155.85,156.80,156.65,3816,227,2222,58.23
05-Dec-2016,156.80,160.70,160.70,148.00,151.40,151.15,150.56,19208,496,7699,40.08
06-Dec-2016,151.15,151.15,155.00,151.15,153.30,153.80,153.93,2489,125,1279,51.39
07-Dec-2016,153.80,151.50,155.00,151.50,153.65,153.90,153.37,3427,174,2302,67.17
08-Dec-2016,153.90,154.00,157.00,150.80,154.95,154.70,154.79,3848,141,1687,43.84
09-Dec-2016,154.70,157.50,157.50,152.65,155.50,156.10,155.49,2235,109,1539,68.86
12-Dec-2016,156.10,155.55,157.75,154.65,156.30,155.80,155.52,1007,59,808,80.24
13-Dec-2016,155.80,156.00,160.00,150.20,159.20,159.00,156.97,2462,179,1492,60.60
14-Dec-2016,159.00,157.00,162.00,155.50,159.00,158.25,159.24,3058,173,1892,61.87
15-Dec-2016,158.25,159.00,160.85,157.10,160.10,157.80,159.49,3923,137,2744,69.95
16-Dec-2016,157.80,159.30,159.60,157.00,158.50,158.70,158.54,899,48,528,58.73
19-Dec-2016,158.70,158.30,160.00,151.60,152.90,152.90,154.24,7418,260,5399,72.78
20-Dec-2016,152.90,152.10,156.00,150.40,153.00,151.90,152.56,1871,82,933,49.87
21-Dec-2016,151.90,152.10,154.00,151.05,152.45,152.00,152.31,2864,142,1753,61.21
22-Dec-2016,152.00,152.45,152.45,149.05,151.90,151.75,150.77,1553,91,1138,73.28
23-Dec-2016,151.75,151.30,152.15,146.35,148.70,149.20,148.65,5503,282,3513,63.84
26-Dec-2016,149.20,147.50,152.00,146.50,147.95,148.45,149.48,3871,218,1961,50.66
27-Dec-2016,148.45,150.00,152.50,148.10,149.15,149.25,150.74,4570,143,2951,64.57
28-Dec-2016,149.25,150.00,152.85,149.50,150.00,150.40,150.94,1640,85,984,60.00
29-Dec-2016,150.40,149.00,150.00,147.35,149.60,149.60,149.04,1414,102,953,67.40
30-Dec-2016,149.60,148.50,151.00,147.00,150.95,150.10,149.68,1814,88,1360,74.97
02-Jan-2017,150.10,148.30,152.60,147.05,152.00,151.10,150.84,1504,98,1059,70.41
03-Jan-2017,151.10,152.00,157.00,151.80,155.30,155.55,155.23,3778,129,2015,53.34
04-Jan-2017,155.55,156.95,166.40,155.85,165.40,164.45,162.83,17668,537,8585,48.59
05-Jan-2017,164.45,163.45,171.00,163.45,170.00,167.60,166.54,15660,408,12789,81.67
06-Jan-2017,167.60,167.85,167.90,162.10,162.20,163.10,165.07,4438,131,3077,69.33
09-Jan-2017,163.10,163.00,189.45,163.00,179.70,179.85,182.37,305578,6541,62714,20.52
10-Jan-2017,179.85,179.00,184.70,176.10,183.50,182.70,181.43,99176,2052,32890,33.16
11-Jan-2017,182.70,181.65,192.70,179.00,189.00,187.85,188.32,150588,2223,59388,39.44
12-Jan-2017,187.85,188.00,189.00,183.50,185.90,185.55,185.69,32329,555,21259,65.76
13-Jan-2017,185.55,186.45,187.50,181.55,182.00,182.30,184.48,13633,410,8038,58.96
16-Jan-2017,182.30,182.30,189.90,179.60,180.00,180.50,183.08,10333,429,4541,43.95
17-Jan-2017,180.50,180.50,189.00,179.05,183.10,184.10,184.59,19705,626,9613,48.78
18-Jan-2017,184.10,183.30,191.95,182.25,185.05,185.50,188.75,47303,1405,19300,40.80
19-Jan-2017,185.50,185.45,195.00,184.05,186.00,187.00,191.47,67678,1389,16728,24.72
20-Jan-2017,187.00,187.45,189.00,180.95,181.95,182.80,185.19,15661,384,8302,53.01
23-Jan-2017,182.80,184.85,187.10,180.10,180.60,180.75,183.11,11477,447,6456,56.25
24-Jan-2017,180.75,185.00,185.15,181.40,184.50,183.55,183.43,10015,192,7402,73.91
25-Jan-2017,183.55,185.00,185.65,182.60,182.75,182.95,183.94,3886,101,2602,66.96
27-Jan-2017,182.95,184.05,184.90,179.00,179.10,179.30,181.05,9980,365,6432,64.45
30-Jan-2017,179.30,181.90,182.00,175.95,177.00,176.65,179.37,6086,213,5148,84.59
