DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,125.45,125.45,127.65,123.35,126.00,124.50,126.28,162045,2394,71739,44.27
03-Aug-2016,124.50,124.60,125.95,118.80,119.75,119.50,120.88,159593,2321,79401,49.75
04-Aug-2016,119.50,121.50,124.00,120.25,121.60,121.85,121.75,97995,1460,40343,41.17
05-Aug-2016,121.85,121.10,133.00,121.10,127.75,128.15,128.04,355085,3884,141848,39.95
08-Aug-2016,128.15,128.40,132.00,126.80,127.65,127.70,129.26,210017,3215,93572,44.55
09-Aug-2016,127.70,127.85,128.90,126.05,128.20,128.05,127.63,109270,2835,46568,42.62
10-Aug-2016,128.05,128.70,128.70,123.95,124.20,124.55,125.59,110053,2333,57944,52.65
11-Aug-2016,124.55,124.20,125.90,120.25,125.00,124.65,123.35,69827,1181,33683,48.24
12-Aug-2016,124.65,125.00,128.90,125.00,128.50,127.30,126.75,95825,1191,56255,58.71
16-Aug-2016,127.30,127.35,127.90,126.20,127.65,127.70,127.05,29970,398,14895,49.70
17-Aug-2016,127.70,127.30,128.50,124.75,128.00,127.75,126.39,81074,1335,38294,47.23
18-Aug-2016,127.75,127.90,134.05,126.05,132.90,133.10,132.13,359448,3996,235520,65.52
19-Aug-2016,133.10,134.35,143.50,134.35,138.30,138.45,138.77,811337,11535,272457,33.58
22-Aug-2016,138.45,138.30,141.80,132.10,132.50,132.70,135.91,386125,4646,238688,61.82
23-Aug-2016,132.70,132.60,144.90,132.60,136.50,136.20,138.73,1381324,13151,371126,26.87
24-Aug-2016,136.20,136.05,141.35,136.05,137.65,137.55,139.10,318902,3670,111063,34.83
25-Aug-2016,137.55,137.50,142.50,136.10,137.40,136.90,138.54,195829,2295,78895,40.29
26-Aug-2016,136.90,137.70,139.00,132.25,133.45,133.20,134.70,223448,2571,110482,49.44
29-Aug-2016,133.20,133.40,136.40,132.40,135.45,135.00,134.70,131203,1946,43246,32.96
30-Aug-2016,135.00,135.40,139.00,134.60,138.65,138.40,137.35,281735,3206,132489,47.03
31-Aug-2016,138.40,140.20,141.95,136.60,137.60,137.75,139.53,492078,5006,187897,38.18
01-Sep-2016,137.75,135.70,136.60,133.80,134.15,134.55,135.14,136213,2075,61037,44.81
02-Sep-2016,134.55,135.00,140.00,135.00,138.20,138.10,138.11,138313,1760,72068,52.11
06-Sep-2016,138.10,138.10,141.80,137.15,138.00,138.20,138.80,108582,1214,59141,54.47
07-Sep-2016,138.20,139.15,139.15,136.00,137.35,137.65,137.30,102322,1162,49789,48.66
08-Sep-2016,137.65,137.10,138.35,136.50,136.60,136.80,137.17,66156,723,34630,52.35
09-Sep-2016,136.80,137.00,137.00,133.25,134.50,134.50,134.91,97114,1273,47832,49.25
12-Sep-2016,134.50,131.80,132.35,128.00,128.60,128.80,129.53,235617,2564,153388,65.10
14-Sep-2016,128.80,128.80,134.70,128.75,134.50,133.45,131.95,112388,1844,64780,57.64
15-Sep-2016,133.45,134.45,136.80,133.70,135.00,135.60,135.22,111641,3644,61809,55.36
16-Sep-2016,135.60,136.50,138.25,131.00,133.20,133.10,135.71,135456,1320,68798,50.79
19-Sep-2016,133.10,133.50,135.60,129.35,130.90,130.45,131.98,125446,1203,79884,63.68
20-Sep-2016,130.45,131.25,134.95,131.25,134.95,134.00,133.18,163803,2060,102443,62.54
21-Sep-2016,134.00,134.70,136.20,132.70,133.55,134.10,134.84,84623,870,54287,64.15
22-Sep-2016,134.10,134.05,138.00,133.30,134.95,134.95,134.86,167453,1768,123334,73.65
23-Sep-2016,134.95,136.00,137.20,133.65,134.00,134.10,135.41,216975,2005,84761,39.06
26-Sep-2016,134.10,135.90,135.90,132.00,133.10,133.10,133.25,81454,1149,47041,57.75
27-Sep-2016,133.10,133.10,134.85,130.90,131.85,131.55,132.38,109938,2414,69031,62.79
28-Sep-2016,131.55,131.95,134.90,131.00,134.90,134.35,133.29,62824,860,40142,63.90
29-Sep-2016,134.35,133.15,134.90,123.60,132.40,131.85,130.74,331220,2357,250113,75.51
30-Sep-2016,131.85,128.05,133.85,128.05,131.85,131.70,131.70,112527,846,88614,78.75
