DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,645.25,649.05,651.95,619.85,624.65,623.65,637.11,60465,3331,42508,70.30
03-Aug-2016,623.65,627.70,627.70,610.50,613.80,615.70,617.78,34408,2330,22869,66.46
04-Aug-2016,615.70,623.70,623.80,599.95,617.00,616.35,610.79,30240,2048,13820,45.70
05-Aug-2016,616.35,618.05,644.95,617.00,637.00,640.40,635.08,90338,4070,62378,69.05
08-Aug-2016,640.40,640.40,648.90,635.00,644.90,641.90,640.76,22258,1459,11318,50.85
09-Aug-2016,641.90,639.80,649.90,628.15,629.00,631.05,639.82,20985,1605,11354,54.11
10-Aug-2016,631.05,631.05,634.95,602.50,629.05,619.90,613.38,70661,5167,49337,69.82
11-Aug-2016,619.90,620.00,629.00,610.70,620.00,620.00,619.10,39192,1689,26030,66.42
12-Aug-2016,620.00,622.70,643.70,621.00,641.00,640.45,634.45,37956,1712,21074,55.52
16-Aug-2016,640.45,645.00,646.85,631.05,642.95,640.15,638.65,65729,3115,49295,75.00
17-Aug-2016,640.15,644.90,674.00,631.00,665.90,663.20,660.59,72775,3894,32009,43.98
18-Aug-2016,663.20,664.00,670.00,654.00,668.00,667.15,664.29,42069,1199,25197,59.89
19-Aug-2016,667.15,672.00,674.90,652.10,658.00,657.60,664.94,16827,1136,6908,41.05
22-Aug-2016,657.60,662.50,725.00,645.00,700.00,704.60,701.58,178603,6845,50559,28.31
23-Aug-2016,704.60,700.00,773.85,692.00,720.00,721.00,735.32,399971,16616,107247,26.81
24-Aug-2016,721.00,720.00,757.20,719.35,733.00,731.60,740.74,153749,8261,59448,38.67
25-Aug-2016,731.60,736.80,748.30,721.50,726.00,725.55,731.95,43832,2463,20176,46.03
26-Aug-2016,725.55,729.85,742.80,715.00,718.00,718.35,727.79,32432,1926,12720,39.22
29-Aug-2016,718.35,721.70,752.00,710.00,749.00,743.40,738.16,116421,5555,28385,24.38
30-Aug-2016,743.40,747.65,776.95,743.00,752.70,755.45,761.88,146714,5550,32016,21.82
31-Aug-2016,755.45,757.50,762.80,736.25,753.00,752.60,750.71,40033,2058,17989,44.94
01-Sep-2016,752.60,754.00,764.00,750.85,751.00,751.40,755.58,32437,1495,11583,35.71
02-Sep-2016,751.40,751.50,768.60,751.00,753.00,753.20,757.58,146704,1965,10935,7.45
06-Sep-2016,753.20,758.00,767.00,751.00,755.00,754.25,758.50,32255,1583,13501,41.86
07-Sep-2016,754.25,756.00,791.40,752.50,773.00,772.90,773.79,150194,7404,42778,28.48
08-Sep-2016,772.90,774.00,779.00,765.00,776.00,775.10,774.16,39779,1586,16748,42.10
09-Sep-2016,775.10,776.05,779.00,758.90,765.00,765.60,764.40,36242,2251,24871,68.62
