DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,17.15,17.20,17.35,16.60,16.85,16.85,17.00,2406554,2174,1321164,54.90
03-Aug-2016,16.85,16.90,17.45,16.50,17.00,17.00,16.97,3216187,3300,1146366,35.64
04-Aug-2016,17.00,17.20,17.35,16.60,16.75,16.75,16.85,1700192,1496,864283,50.83
05-Aug-2016,16.75,16.85,17.25,16.80,16.95,16.95,16.98,1757953,1917,774148,44.04
08-Aug-2016,16.95,17.20,17.20,16.85,16.85,17.00,16.99,1504093,1445,684759,45.53
09-Aug-2016,17.00,17.00,17.40,16.75,17.15,17.15,17.05,1370045,1557,505926,36.93
10-Aug-2016,17.15,17.30,17.35,16.60,16.75,16.65,16.82,1826866,1687,952876,52.16
11-Aug-2016,16.65,16.75,16.85,16.50,16.55,16.55,16.65,1238106,1241,505118,40.80
12-Aug-2016,16.55,16.65,16.90,16.45,16.50,16.60,16.66,1633528,1441,760938,46.58
16-Aug-2016,16.60,16.55,16.65,16.20,16.45,16.40,16.39,1723661,1562,966231,56.06
17-Aug-2016,16.40,16.35,16.85,16.10,16.20,16.30,16.49,2310319,1989,1302470,56.38
18-Aug-2016,16.30,16.45,16.60,16.20,16.25,16.30,16.40,1620768,1647,771372,47.59
19-Aug-2016,16.30,16.35,16.45,16.15,16.25,16.25,16.27,2288208,1752,1204038,52.62
22-Aug-2016,16.25,16.30,17.25,16.20,16.90,16.90,16.87,4320699,4980,1674722,38.76
23-Aug-2016,16.90,16.25,16.65,16.05,16.35,16.35,16.37,3349842,2610,1625486,48.52
24-Aug-2016,16.35,16.45,16.50,16.20,16.35,16.25,16.32,2119701,1354,1127034,53.17
25-Aug-2016,16.25,16.45,16.65,16.20,16.30,16.30,16.39,2440292,1824,1326200,54.35
26-Aug-2016,16.30,16.35,16.45,15.85,16.05,16.05,16.17,3417779,1620,2298183,67.24
29-Aug-2016,16.05,16.15,16.25,15.95,15.95,15.95,16.06,1839262,1094,916818,49.85
30-Aug-2016,15.95,16.10,16.55,16.00,16.35,16.30,16.25,7842306,3063,3569857,45.52
31-Aug-2016,16.30,16.30,17.30,16.30,17.05,17.10,16.91,6584051,4325,3528368,53.59
01-Sep-2016,17.10,17.20,17.55,16.40,16.70,16.60,17.04,7095972,5651,2666948,37.58
02-Sep-2016,16.60,16.85,16.90,16.40,16.45,16.50,16.59,2050853,1964,1077712,52.55
06-Sep-2016,16.50,16.40,16.80,16.20,16.35,16.25,16.38,2090536,1703,1060512,50.73
07-Sep-2016,16.25,16.30,16.45,16.20,16.35,16.35,16.34,1269583,1259,613806,48.35
08-Sep-2016,16.35,16.45,16.80,16.35,16.55,16.55,16.57,2973608,2096,1580837,53.16
09-Sep-2016,16.55,16.65,17.25,16.40,16.85,16.85,16.93,6010389,4366,2895804,48.18
12-Sep-2016,16.85,16.45,17.15,16.40,16.40,16.50,16.76,3599587,2729,1484532,41.24
14-Sep-2016,16.50,16.30,17.10,16.30,16.60,16.65,16.77,3473874,3270,1402370,40.37
15-Sep-2016,16.65,16.70,16.85,16.40,16.40,16.45,16.57,1397243,1352,746308,53.41
16-Sep-2016,16.45,16.60,16.75,16.35,16.55,16.45,16.51,3390037,2596,1949384,57.50
19-Sep-2016,16.45,16.40,16.55,16.25,16.30,16.30,16.38,1152958,1327,631743,54.79
20-Sep-2016,16.30,16.30,16.45,16.10,16.30,16.25,16.28,1954569,1494,1042960,53.36
21-Sep-2016,16.25,16.40,17.40,16.25,16.65,16.65,16.92,8867491,8246,2443140,27.55
22-Sep-2016,16.65,16.90,17.00,16.40,16.50,16.50,16.61,1721681,1313,695125,40.37
23-Sep-2016,16.50,16.50,16.75,16.35,16.50,16.45,16.54,1713902,1452,721386,42.09
26-Sep-2016,16.45,16.45,16.60,16.10,16.30,16.20,16.30,2312477,1294,1206031,52.15
27-Sep-2016,16.20,16.50,16.50,15.95,16.05,16.00,16.15,1917364,1414,1171228,61.09
28-Sep-2016,16.00,16.10,16.35,15.80,15.95,15.90,16.04,3060974,2282,1612965,52.69
29-Sep-2016,15.90,16.15,16.15,14.75,15.15,15.00,15.44,4450827,3453,2624517,58.97
30-Sep-2016,15.00,15.00,15.40,14.60,14.90,14.85,14.86,5253788,4194,2326137,44.28
03-Oct-2016,14.85,14.90,15.40,14.90,15.05,15.15,15.16,2027327,2217,967506,47.72
04-Oct-2016,15.15,15.20,15.35,15.05,15.10,15.10,15.16,1491588,1275,675609,45.29
05-Oct-2016,15.10,15.15,15.35,14.95,15.10,15.15,15.14,2174571,1629,990999,45.57
