DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1268.00,1279.45,1279.95,1235.05,1245.95,1242.30,1259.92,1286554,42950,558565,43.42
03-Aug-2016,1242.30,1237.50,1238.05,1208.35,1223.00,1219.60,1222.14,1250405,36469,596571,47.71
04-Aug-2016,1219.60,1226.20,1230.00,1183.80,1212.00,1206.00,1203.78,1936238,42457,954813,49.31
05-Aug-2016,1206.00,1220.00,1262.10,1212.65,1258.00,1257.70,1238.73,1861772,53294,974792,52.36
08-Aug-2016,1257.70,1275.00,1321.90,1271.90,1314.10,1315.45,1300.87,2259522,58102,935216,41.39
09-Aug-2016,1315.45,1320.00,1328.00,1269.10,1270.30,1273.25,1291.34,2150852,51414,1123508,52.24
10-Aug-2016,1273.25,1280.50,1288.95,1218.15,1225.00,1225.00,1241.31,2716783,64711,1579611,58.14
11-Aug-2016,1225.00,1230.00,1252.65,1177.10,1215.35,1212.70,1207.15,3687615,81027,1962474,53.22
12-Aug-2016,1212.70,1214.40,1229.45,1190.00,1197.30,1198.55,1205.88,1898344,44020,796227,41.94
16-Aug-2016,1198.55,1198.00,1241.00,1191.60,1222.00,1221.95,1220.80,1825603,46770,656792,35.98
17-Aug-2016,1221.95,1213.25,1234.95,1211.00,1221.00,1218.35,1222.21,1305143,29637,543839,41.67
18-Aug-2016,1218.35,1229.00,1230.00,1212.40,1228.10,1227.90,1223.03,1156422,29881,446590,38.62
19-Aug-2016,1227.90,1225.00,1244.90,1215.50,1241.05,1239.70,1228.35,1140514,27673,444103,38.94
22-Aug-2016,1239.70,1247.00,1251.40,1205.05,1213.00,1215.15,1233.19,1576905,46931,557607,35.36
23-Aug-2016,1215.15,1210.00,1210.00,1141.00,1149.90,1150.70,1166.52,5456866,133307,2301723,42.18
24-Aug-2016,1150.70,1162.30,1175.75,1143.60,1172.00,1171.30,1165.15,2597249,52558,1336846,51.47
25-Aug-2016,1171.30,1180.00,1181.00,1162.00,1171.10,1169.95,1170.38,2743339,66379,1740111,63.43
26-Aug-2016,1169.95,1172.15,1186.15,1169.90,1181.00,1180.35,1179.77,1141703,35371,579118,50.72
29-Aug-2016,1180.35,1180.35,1187.75,1175.00,1184.75,1183.25,1182.08,792692,22552,367420,46.35
30-Aug-2016,1183.25,1188.00,1195.80,1185.05,1187.00,1189.25,1189.98,902659,28326,466126,51.64
31-Aug-2016,1189.25,1194.55,1229.20,1188.65,1222.05,1218.70,1215.87,1563288,50323,688706,44.05
01-Sep-2016,1218.70,1233.95,1235.75,1204.20,1214.90,1210.40,1217.71,1115956,54758,570618,51.13
02-Sep-2016,1210.40,1217.90,1235.00,1204.80,1231.75,1231.65,1223.57,1312575,36171,768053,58.51
