DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,9898.45,9969.95,9974.95,9845.00,9943.00,9897.40,9892.45,314,90,227,72.29
03-Aug-2016,9897.40,9903.00,9985.00,9798.40,9810.10,9888.15,9885.54,386,151,263,68.13
04-Aug-2016,9888.15,9995.00,9995.00,9800.00,9895.00,9906.65,9875.68,756,143,487,64.42
05-Aug-2016,9906.65,9906.00,9999.95,9852.05,9999.95,9967.25,9953.63,260,73,215,82.69
08-Aug-2016,9967.25,9890.00,9999.95,9801.00,9999.90,9980.95,9921.63,396,133,239,60.35
09-Aug-2016,9980.95,9900.00,9999.90,9880.00,9997.00,9991.95,9961.04,280,105,213,76.07
10-Aug-2016,9991.95,9990.95,9999.90,9710.00,9758.00,9787.15,9853.05,1426,528,366,25.67
11-Aug-2016,9787.15,9785.00,9810.00,9661.00,9751.00,9723.60,9726.22,344,136,231,67.15
12-Aug-2016,9723.60,9751.00,10093.35,9662.00,9912.00,9921.65,9906.35,935,205,597,63.85
16-Aug-2016,9921.65,9825.00,9915.00,9630.00,9630.05,9685.40,9732.73,516,170,280,54.26
17-Aug-2016,9685.40,9684.85,9888.00,9656.00,9884.90,9836.75,9772.23,364,125,264,72.53
18-Aug-2016,9836.75,9836.00,9998.00,9803.00,9998.00,9921.90,9894.77,250,91,188,75.20
19-Aug-2016,9921.90,9921.00,9999.00,9890.00,9999.00,9965.45,9957.47,325,127,259,79.69
22-Aug-2016,9965.45,9965.00,9999.00,9865.80,9865.80,9882.95,9930.76,171,60,130,76.02
23-Aug-2016,9882.95,9969.95,9969.95,9840.00,9840.00,9889.20,9905.07,165,43,123,74.55
24-Aug-2016,9889.20,9800.30,9950.00,9790.30,9948.00,9917.20,9907.00,264,106,231,87.50
25-Aug-2016,9917.20,9900.00,9950.00,9850.00,9890.00,9872.00,9883.59,239,90,169,70.71
26-Aug-2016,9872.00,9872.00,9979.85,9850.00,9900.00,9942.60,9917.05,131,58,86,65.65
29-Aug-2016,9942.60,9850.05,9980.00,9836.85,9836.85,9891.50,9916.79,191,47,126,65.97
30-Aug-2016,9891.50,9891.00,9930.00,9732.00,9760.00,9811.00,9839.68,286,110,220,76.92
31-Aug-2016,9811.00,9821.05,9869.00,9724.45,9740.00,9778.15,9794.96,394,163,321,81.47
01-Sep-2016,9778.15,9740.00,9787.95,9620.05,9779.00,9710.50,9701.81,332,98,215,64.76
02-Sep-2016,9710.50,9715.00,9878.00,9710.00,9870.00,9835.80,9801.29,127,43,66,51.97
06-Sep-2016,9835.80,9835.00,9911.70,9722.00,9911.50,9828.60,9801.08,239,85,134,56.07
07-Sep-2016,9828.60,9800.00,9800.00,9750.00,9800.00,9792.00,9788.14,165,38,135,81.82
08-Sep-2016,9792.00,9792.00,9820.00,9725.00,9750.00,9748.30,9767.20,364,81,244,67.03
09-Sep-2016,9748.30,9755.05,9785.00,9632.00,9785.00,9770.20,9745.67,248,92,174,70.16
12-Sep-2016,9770.20,9708.05,9749.95,9500.00,9500.00,9534.70,9580.54,626,157,396,63.26
14-Sep-2016,9534.70,9619.90,9619.90,9113.05,9150.00,9183.55,9296.53,1000,316,662,66.20
15-Sep-2016,9183.55,9190.15,9208.95,9012.00,9130.00,9125.70,9131.87,507,167,294,57.99
16-Sep-2016,9125.70,9125.00,9213.95,8851.15,8880.05,8938.55,9011.72,1068,345,651,60.96
