DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,311.50,312.90,315.95,303.25,315.80,310.50,308.81,82021,2632,57457,70.05
03-Aug-2016,310.50,312.25,314.95,295.15,302.05,300.45,303.74,151850,4257,108461,71.43
04-Aug-2016,300.45,307.00,313.90,300.60,313.90,311.40,307.00,51672,1492,36942,71.49
05-Aug-2016,311.40,312.00,334.55,311.50,323.50,322.05,325.90,453129,10388,219964,48.54
08-Aug-2016,322.05,325.00,340.90,324.95,340.20,338.90,335.92,377051,10154,173861,46.11
09-Aug-2016,338.90,338.90,346.30,335.00,337.00,337.40,340.24,179008,5512,97335,54.37
10-Aug-2016,337.40,337.00,345.00,331.50,338.15,338.60,338.28,185074,3687,134326,72.58
11-Aug-2016,338.60,340.00,348.70,315.60,330.00,326.85,332.69,314575,7194,99328,31.58
12-Aug-2016,326.85,329.00,343.00,328.00,341.35,340.80,337.75,187070,8442,110985,59.33
16-Aug-2016,340.80,340.00,343.80,331.55,338.05,339.95,339.68,101265,2808,54473,53.79
17-Aug-2016,339.95,340.00,345.95,335.80,340.70,340.05,341.64,110266,2931,71136,64.51
18-Aug-2016,340.05,342.95,343.75,339.50,343.00,342.60,342.04,61807,2346,42112,68.13
19-Aug-2016,342.60,342.00,345.80,336.10,344.50,344.55,343.28,75231,1471,45536,60.53
22-Aug-2016,344.55,348.00,357.00,345.60,357.00,354.50,351.83,212260,5323,116531,54.90
23-Aug-2016,354.50,358.95,368.00,357.10,363.30,363.55,363.27,267291,6602,130112,48.68
24-Aug-2016,363.55,364.00,369.70,361.30,363.00,363.65,367.20,130002,3257,68912,53.01
25-Aug-2016,363.65,365.00,367.50,362.30,363.50,363.55,364.47,58339,1410,33974,58.24
26-Aug-2016,363.55,365.90,365.90,355.10,361.10,359.75,358.28,149723,2147,127387,85.08
29-Aug-2016,359.75,359.75,362.90,353.50,354.40,355.10,356.51,36247,1015,21694,59.85
30-Aug-2016,355.10,348.05,358.60,348.05,352.60,351.40,353.82,33886,1059,21814,64.37
31-Aug-2016,351.40,352.50,354.35,346.10,346.10,347.20,349.80,30333,995,16897,55.71
01-Sep-2016,347.20,347.70,354.90,339.50,354.85,348.60,345.96,71414,1919,40034,56.06
02-Sep-2016,348.60,351.50,362.50,350.00,362.00,358.90,358.75,617942,4359,549747,88.96
06-Sep-2016,358.90,362.15,369.50,356.75,358.00,357.85,363.36,57263,1672,34050,59.46
07-Sep-2016,357.85,359.00,360.00,350.70,354.50,352.65,353.90,37196,1278,20178,54.25
08-Sep-2016,352.65,354.60,356.50,345.00,356.00,352.45,349.47,82309,2253,49909,60.64
09-Sep-2016,352.45,353.00,353.00,345.10,346.70,347.00,348.17,42537,1618,24602,57.84
12-Sep-2016,347.00,342.00,349.00,338.00,338.60,339.60,342.59,46176,2905,30605,66.28
14-Sep-2016,339.60,340.00,345.65,330.50,340.00,340.35,339.62,73510,2773,52150,70.94
15-Sep-2016,340.35,340.00,347.95,338.50,340.70,342.95,341.96,76551,2108,53397,69.75
16-Sep-2016,342.95,345.45,345.45,335.45,338.00,339.25,339.33,86800,2654,66238,76.31
19-Sep-2016,339.25,340.00,359.90,339.00,349.10,350.00,348.49,262620,6200,177366,67.54
20-Sep-2016,350.00,355.85,355.85,349.10,350.00,350.80,350.65,262293,2394,222990,85.02
21-Sep-2016,350.80,351.10,354.75,346.30,347.00,347.70,349.32,57660,2107,41154,71.37
22-Sep-2016,347.70,351.90,353.85,347.10,348.80,348.55,349.39,51271,3813,34641,67.56
23-Sep-2016,348.55,350.00,351.45,347.10,348.75,348.40,349.54,76253,1126,59531,78.07
26-Sep-2016,348.40,349.95,349.95,335.10,340.50,340.20,342.55,46419,1278,27959,60.23
27-Sep-2016,340.20,345.00,346.05,337.00,338.95,338.60,341.27,33085,2083,20229,61.14
28-Sep-2016,338.60,339.85,342.90,338.00,338.40,338.45,339.97,37185,914,24170,65.00
29-Sep-2016,338.45,342.00,343.00,326.00,335.00,334.95,335.14,147936,2098,122182,82.59
30-Sep-2016,334.95,332.35,342.00,332.30,341.25,340.00,336.26,94535,1478,79954,84.58
03-Oct-2016,340.00,342.00,344.95,337.10,341.00,341.25,341.23,75251,4162,56576,75.18
04-Oct-2016,341.25,342.05,352.15,340.00,348.35,349.10,349.53,254492,4511,180870,71.07
05-Oct-2016,349.10,351.70,353.50,346.40,348.70,348.30,348.63,115458,2452,99535,86.21
06-Oct-2016,348.30,348.30,349.10,344.50,345.00,345.40,347.05,108579,1015,98723,90.92
07-Oct-2016,345.40,347.50,349.90,337.65,341.50,342.60,342.85,50425,1566,35795,70.99
10-Oct-2016,342.60,343.40,346.15,341.05,344.90,344.65,344.27,63476,1602,56827,89.53
13-Oct-2016,344.65,344.65,347.00,341.00,347.00,346.05,343.27,39976,1881,30775,76.98
14-Oct-2016,346.05,346.90,349.50,343.00,348.00,344.45,345.58,35694,1508,26732,74.89
17-Oct-2016,344.45,351.40,358.75,347.00,351.05,352.05,353.94,105074,3254,65090,61.95
18-Oct-2016,352.05,353.85,356.45,352.05,354.00,354.45,354.27,83905,2711,61500,73.30
19-Oct-2016,354.45,356.00,358.00,350.00,351.90,351.90,354.77,35617,1539,22852,64.16
20-Oct-2016,351.90,355.30,355.30,348.00,349.00,349.75,350.33,65125,2087,47168,72.43
21-Oct-2016,349.75,351.45,353.95,350.00,350.85,350.80,351.45,29202,1458,17211,58.94
24-Oct-2016,350.80,348.45,353.70,347.00,350.00,350.25,349.60,21587,755,10942,50.69
25-Oct-2016,350.25,350.25,352.30,345.00,347.00,347.60,347.48,29087,605,17683,60.79
26-Oct-2016,347.60,346.50,355.90,346.00,352.00,353.00,351.31,34137,1096,21129,61.89
27-Oct-2016,353.00,347.80,353.40,347.80,350.00,349.90,350.70,14432,440,9199,63.74
28-Oct-2016,349.90,350.00,351.40,347.00,347.70,348.10,349.13,14101,412,9819,69.63
30-Oct-2016,348.10,356.00,356.00,348.00,350.00,349.65,350.90,7568,238,5227,69.07
01-Nov-2016,349.65,348.00,355.00,347.00,353.00,350.55,350.23,28789,1254,16425,57.05
02-Nov-2016,350.55,345.00,351.45,340.00,351.45,346.80,344.55,38553,1422,22770,59.06
03-Nov-2016,346.80,346.80,353.00,343.00,350.20,349.50,346.95,25492,1216,16837,66.05
04-Nov-2016,349.50,350.20,352.90,333.00,351.75,342.80,341.24,57334,1357,38183,66.60
07-Nov-2016,342.80,349.90,356.00,342.75,350.05,351.35,350.87,55537,2060,32961,59.35
08-Nov-2016,351.35,355.00,368.80,351.00,354.55,358.25,361.30,347199,7231,128926,37.13
09-Nov-2016,358.25,325.50,349.00,297.00,349.00,342.70,330.33,123126,4603,62705,50.93
