DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,28.90,29.00,29.50,28.35,28.50,28.60,28.76,695022,1725,413721,59.53
03-Aug-2016,28.60,28.50,28.50,27.10,27.20,27.25,27.73,1062790,1974,707067,66.53
04-Aug-2016,27.25,27.40,27.60,26.10,27.00,26.70,26.78,885223,2694,457582,51.69
05-Aug-2016,26.70,27.50,30.85,26.85,30.00,29.85,29.60,3502834,7788,1646522,47.01
08-Aug-2016,29.85,29.85,30.00,29.15,29.50,29.75,29.53,710655,1736,352550,49.61
09-Aug-2016,29.75,29.65,30.00,29.15,29.30,29.50,29.75,1121172,2120,594281,53.01
10-Aug-2016,29.50,29.65,29.70,28.30,28.50,28.45,28.80,350402,1130,206841,59.03
11-Aug-2016,28.45,28.50,29.20,27.80,28.10,28.10,28.41,481856,1214,243327,50.50
12-Aug-2016,28.10,28.40,28.60,27.60,27.60,27.75,28.11,392939,1127,219226,55.79
16-Aug-2016,27.75,27.65,28.30,27.40,28.05,28.00,27.90,445983,1095,246765,55.33
17-Aug-2016,28.00,28.30,29.60,28.00,29.50,29.25,28.87,766476,1518,512962,66.92
18-Aug-2016,29.25,29.35,29.95,29.10,29.40,29.35,29.50,867083,1811,554536,63.95
19-Aug-2016,29.35,29.95,29.95,29.10,29.40,29.45,29.56,485837,1461,279922,57.62
22-Aug-2016,29.45,29.30,29.80,28.65,28.75,28.75,29.14,299764,858,137167,45.76
23-Aug-2016,28.75,28.70,29.15,27.50,27.95,28.10,28.37,537598,1427,321996,59.90
24-Aug-2016,28.10,28.05,28.35,27.55,27.75,27.70,27.87,362353,1047,204251,56.37
25-Aug-2016,27.70,27.70,28.60,27.30,27.70,27.55,27.86,506238,1031,214748,42.42
26-Aug-2016,27.55,27.55,27.90,27.10,27.30,27.30,27.42,282775,768,165724,58.61
29-Aug-2016,27.30,27.70,27.80,26.80,27.80,27.55,27.27,473652,1482,252892,53.39
30-Aug-2016,27.55,27.75,28.50,27.60,27.80,27.90,27.86,314830,864,191039,60.68
31-Aug-2016,27.90,28.10,28.25,27.45,27.60,27.90,27.83,520306,1180,310793,59.73
01-Sep-2016,27.90,27.90,28.20,26.90,26.90,26.95,27.35,326578,1175,231780,70.97
02-Sep-2016,26.95,27.40,28.40,27.40,27.90,27.70,27.81,809204,2078,475112,58.71
06-Sep-2016,27.70,28.00,28.15,27.75,28.10,28.00,27.96,417911,1149,310264,74.24
07-Sep-2016,28.00,28.00,28.10,27.35,27.70,27.60,27.72,444254,1373,249607,56.19
08-Sep-2016,27.60,27.90,29.40,27.60,28.55,28.90,28.49,803974,2113,440185,54.75
09-Sep-2016,28.90,28.55,28.75,27.50,27.65,27.60,27.93,461183,1652,276414,59.94
12-Sep-2016,27.60,26.80,27.05,26.40,26.45,26.55,26.73,509734,1181,383085,75.15
14-Sep-2016,26.55,27.00,28.30,26.80,27.80,27.80,27.41,608966,1193,453724,74.51
15-Sep-2016,27.80,28.60,29.85,28.40,29.15,29.05,29.05,1685104,4661,890153,52.82
16-Sep-2016,29.05,29.35,29.40,28.00,28.10,28.15,28.59,621192,1719,367925,59.23
19-Sep-2016,28.15,28.30,28.60,28.00,28.10,28.30,28.30,337047,1064,183042,54.31
20-Sep-2016,28.30,28.30,28.30,27.60,27.60,27.65,27.83,306747,773,218444,71.21
21-Sep-2016,27.65,27.90,28.05,26.85,27.05,26.95,27.29,637521,1407,520292,81.61
22-Sep-2016,26.95,27.05,27.65,26.65,26.80,26.85,26.95,668848,1301,518411,77.51
23-Sep-2016,26.85,26.95,27.45,26.70,26.70,26.85,27.08,391369,978,224167,57.28
26-Sep-2016,26.85,26.90,27.50,26.60,27.05,27.00,27.01,288186,857,143503,49.80
27-Sep-2016,27.00,27.00,27.20,26.40,26.60,26.55,26.76,295459,1068,208584,70.60
28-Sep-2016,26.55,26.45,27.90,26.40,27.50,27.45,27.25,554550,1630,316345,57.05
29-Sep-2016,27.45,27.45,27.80,24.25,24.75,24.85,25.40,1351159,3243,912736,67.55
30-Sep-2016,24.85,25.60,25.60,24.60,25.05,25.10,25.01,870632,1553,564669,64.86
03-Oct-2016,25.10,25.35,27.50,25.35,27.30,27.25,26.83,1410641,3480,783121,55.52
04-Oct-2016,27.25,27.40,27.80,26.55,27.75,27.50,27.21,753547,2256,324627,43.08
05-Oct-2016,27.50,27.75,27.75,26.85,26.95,26.95,27.15,441907,1145,272858,61.75
06-Oct-2016,26.95,27.00,27.60,26.55,27.55,27.35,27.22,712990,1645,413346,57.97
07-Oct-2016,27.35,27.80,28.40,27.20,27.30,27.35,27.65,1388902,4102,624498,44.96
10-Oct-2016,27.35,27.70,28.00,27.15,27.30,27.30,27.57,347386,1048,179415,51.65
13-Oct-2016,27.30,27.20,27.20,26.30,26.80,26.70,26.69,575488,1291,380127,66.05
14-Oct-2016,26.70,26.85,26.85,26.20,26.35,26.25,26.44,314569,728,209081,66.47
17-Oct-2016,26.25,26.40,26.80,25.60,25.85,25.75,26.04,449459,1061,298404,66.39
18-Oct-2016,25.75,25.75,26.25,25.75,26.05,26.05,26.06,394397,1103,258495,65.54
19-Oct-2016,26.05,26.35,26.70,25.85,26.70,26.45,26.34,402167,1666,215497,53.58
20-Oct-2016,26.45,26.60,27.20,25.80,26.60,26.60,26.63,584633,1942,278345,47.61
21-Oct-2016,26.60,26.75,27.25,26.30,26.65,26.65,26.73,433712,1131,241540,55.69
24-Oct-2016,26.65,27.00,27.00,26.50,26.55,26.60,26.75,314719,806,222239,70.62
25-Oct-2016,26.60,26.80,26.85,26.25,26.35,26.35,26.43,263610,667,187206,71.02
26-Oct-2016,26.35,26.35,26.35,25.55,25.75,25.75,25.73,500228,1042,420910,84.14
27-Oct-2016,25.75,25.55,25.90,25.10,25.35,25.25,25.37,472505,1077,334518,70.80
28-Oct-2016,25.25,25.30,25.60,25.05,25.10,25.20,25.31,292747,764,187800,64.15
30-Oct-2016,25.20,25.30,26.20,25.30,26.00,25.95,25.83,246498,609,212593,86.25
01-Nov-2016,25.95,25.90,26.20,25.30,25.55,25.60,25.78,275486,803,222323,80.70
02-Nov-2016,25.60,25.45,25.45,24.40,24.50,24.55,24.87,630143,1642,445121,70.64
03-Nov-2016,24.55,24.50,25.10,23.95,24.20,24.05,24.38,481115,1287,301643,62.70
04-Nov-2016,24.05,24.50,24.50,23.00,23.40,23.35,23.39,440265,1266,292142,66.36
07-Nov-2016,23.35,23.75,24.35,23.50,23.65,23.75,23.85,202924,707,119013,58.65
08-Nov-2016,23.75,23.85,24.30,23.50,23.75,23.75,23.76,294211,675,218557,74.29
09-Nov-2016,23.75,22.00,22.40,19.00,22.35,22.30,21.32,1000013,2774,545138,54.51
10-Nov-2016,22.30,22.55,23.50,22.55,22.90,23.00,23.10,285613,809,169874,59.48
11-Nov-2016,23.00,22.50,23.00,22.00,22.25,22.10,22.37,289392,1105,161565,55.83
15-Nov-2016,22.10,22.30,22.30,20.30,20.35,20.55,20.77,449928,1508,306240,68.06
16-Nov-2016,20.55,20.90,22.00,19.90,20.20,20.05,20.52,483031,1439,314978,65.21
17-Nov-2016,20.05,20.40,20.40,19.50,19.80,19.70,19.95,325153,805,249266,76.66
18-Nov-2016,19.70,19.60,20.40,19.60,20.15,20.15,20.08,307157,680,236920,77.13
21-Nov-2016,20.15,20.55,20.55,19.00,19.15,19.05,19.34,548298,1146,398886,72.75
22-Nov-2016,19.05,19.45,19.95,18.95,19.50,19.35,19.31,277666,966,182768,65.82
23-Nov-2016,19.35,19.60,19.85,19.30,19.70,19.70,19.62,172228,542,95282,55.32
24-Nov-2016,19.70,19.90,20.40,19.30,20.20,19.85,19.72,282719,656,195102,69.01
25-Nov-2016,19.85,20.50,20.50,19.90,20.05,20.20,20.20,177898,795,111796,62.84
28-Nov-2016,20.20,20.10,20.85,19.80,20.80,20.50,20.21,305741,905,172614,56.46
29-Nov-2016,20.50,22.00,23.45,22.00,22.40,22.40,22.83,1223328,4551,480889,39.31
30-Nov-2016,22.40,22.85,22.85,21.85,22.20,22.25,22.21,315015,1147,168307,53.43
01-Dec-2016,22.25,22.60,22.75,22.00,22.40,22.50,22.43,300571,928,165132,54.94
02-Dec-2016,22.50,22.20,22.30,21.70,21.70,21.75,21.90,153828,716,101515,65.99
05-Dec-2016,21.75,21.75,21.85,21.30,21.70,21.60,21.58,83617,343,55903,66.86
06-Dec-2016,21.60,21.85,22.05,21.20,21.90,21.90,21.83,112893,452,76927,68.14
07-Dec-2016,21.90,22.00,22.45,21.25,21.45,21.40,21.81,163365,645,66406,40.65
08-Dec-2016,21.40,21.80,22.00,21.55,22.00,21.85,21.86,98024,313,75991,77.52
09-Dec-2016,21.85,22.00,22.55,21.65,22.00,22.00,22.10,164866,664,85946,52.13
12-Dec-2016,22.00,22.40,22.40,21.55,21.60,21.65,21.77,122219,425,78435,64.18
13-Dec-2016,21.65,21.70,22.00,21.40,21.55,21.50,21.56,417385,719,301908,72.33
14-Dec-2016,21.50,21.70,22.25,21.30,21.35,21.30,21.50,339039,784,240407,70.91
15-Dec-2016,21.30,21.15,21.65,21.05,21.40,21.25,21.35,133591,503,80049,59.92
16-Dec-2016,21.25,21.20,21.70,21.05,21.05,21.10,21.38,185038,544,128702,69.55
19-Dec-2016,21.10,21.10,21.30,21.00,21.10,21.00,21.11,144556,455,105638,73.08
20-Dec-2016,21.00,21.15,21.25,20.80,21.15,20.95,21.02,118397,354,91787,77.52
21-Dec-2016,20.95,21.20,21.45,20.95,21.05,21.05,21.13,218275,594,142185,65.14
22-Dec-2016,21.05,21.00,21.20,20.10,20.20,20.25,20.62,232775,706,153232,65.83
23-Dec-2016,20.25,20.35,20.50,19.75,20.00,20.00,20.20,276927,626,182803,66.01
26-Dec-2016,20.00,20.00,20.00,19.50,20.00,19.85,19.80,158902,552,108626,68.36
27-Dec-2016,19.85,20.00,20.00,18.50,19.50,19.40,19.27,337269,886,201256,59.67
28-Dec-2016,19.40,19.40,20.00,19.10,19.35,19.35,19.68,201003,676,126286,62.83
29-Dec-2016,19.35,19.65,19.70,19.10,19.35,19.25,19.38,147155,445,108813,73.94
30-Dec-2016,19.25,19.50,20.75,19.40,20.45,20.50,20.41,298141,1008,176225,59.11
