DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
27-Sep-2017,661.00,651.10,694.00,638.65,680.10,681.20,668.29,34610637,662982,14136337,40.84
28-Sep-2017,681.20,671.15,689.95,660.05,686.30,685.90,677.42,4535542,117380,2654105,58.52
29-Sep-2017,685.90,685.00,687.70,677.65,681.00,680.20,681.82,1367676,49088,804626,58.83
03-Oct-2017,680.20,677.10,688.45,674.10,685.50,684.50,682.69,1752630,113174,1089446,62.16
04-Oct-2017,684.50,681.50,686.85,679.75,680.30,681.70,682.74,545357,62236,410842,75.33
05-Oct-2017,681.70,676.10,680.95,665.15,666.10,666.20,669.66,486144,27798,295222,60.73
06-Oct-2017,666.20,665.00,680.50,663.00,680.00,680.00,676.14,568793,23371,458424,80.60
09-Oct-2017,680.00,670.00,686.00,670.00,685.90,683.95,681.30,647645,33774,515526,79.60
10-Oct-2017,683.95,680.00,690.00,680.00,687.00,686.45,685.38,750266,37002,586626,78.19
11-Oct-2017,686.45,683.60,689.90,683.60,687.50,687.45,686.52,351011,15355,277644,79.10
12-Oct-2017,687.45,682.20,702.00,682.20,701.10,700.35,695.36,938808,44799,590497,62.90
13-Oct-2017,700.35,693.20,701.00,693.20,695.00,695.05,695.50,239411,11814,193140,80.67
16-Oct-2017,695.05,691.55,697.50,674.25,696.05,696.15,692.77,237478,17785,178221,75.05
17-Oct-2017,696.15,695.00,719.90,690.20,716.50,718.25,711.33,962237,46362,590859,61.40
18-Oct-2017,718.25,711.25,720.80,703.80,713.90,715.25,713.92,338460,16529,190661,56.33
19-Oct-2017,715.25,709.60,723.00,708.05,715.20,722.20,720.52,154703,5955,116280,75.16
23-Oct-2017,722.20,710.00,715.00,690.00,693.00,693.10,699.24,450439,41724,340798,75.66
24-Oct-2017,693.10,693.15,705.00,685.30,704.95,696.20,695.31,643340,24227,574819,89.35
25-Oct-2017,696.20,696.20,699.95,675.55,678.55,683.30,687.08,1108214,33209,1029462,92.89
26-Oct-2017,683.30,679.10,690.00,679.10,684.00,684.95,685.60,221326,16782,155848,70.42
27-Oct-2017,684.95,682.00,685.00,679.05,683.00,682.90,681.70,342918,15484,310042,90.41
30-Oct-2017,682.90,679.90,686.00,675.75,681.00,680.20,682.44,287901,17499,250009,86.84
31-Oct-2017,680.20,675.15,689.00,674.50,681.00,677.00,676.24,949376,12267,910923,95.95
01-Nov-2017,677.00,677.00,686.00,676.90,680.00,680.60,680.23,200249,19774,165472,82.63
02-Nov-2017,680.60,675.15,689.00,675.00,677.00,681.00,680.28,234604,9874,197433,84.16
03-Nov-2017,681.00,681.00,689.50,671.00,677.00,674.60,682.36,302434,8158,251734,83.24
06-Nov-2017,674.60,671.00,684.25,671.00,680.50,681.15,680.89,186130,10974,157105,84.41
07-Nov-2017,681.15,680.00,682.95,679.20,680.10,680.30,680.30,171495,10471,143709,83.80
08-Nov-2017,680.30,674.10,682.50,674.10,680.50,678.80,678.64,105538,9955,84035,79.63
09-Nov-2017,678.80,675.30,681.00,667.65,679.85,678.80,676.22,120713,8362,84560,70.05
10-Nov-2017,678.80,670.00,680.95,670.00,680.50,680.30,679.54,114509,7199,95848,83.70
13-Nov-2017,680.30,680.50,687.00,676.20,686.80,685.45,683.18,274626,11086,240495,87.57
