DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,878.00,885.00,885.00,871.00,882.00,879.50,879.09,55770,2559,27927,50.08
03-Aug-2016,879.50,880.05,893.75,874.90,878.00,877.50,883.34,40214,2015,11548,28.72
04-Aug-2016,877.50,876.00,883.10,870.00,876.00,873.45,875.08,58219,1885,44763,76.89
05-Aug-2016,873.45,885.00,891.95,874.00,884.00,885.45,884.49,49247,2082,29168,59.23
08-Aug-2016,885.45,888.00,895.00,870.50,876.80,875.05,875.34,76777,5306,39518,51.47
09-Aug-2016,875.05,886.80,886.80,874.00,876.75,876.05,877.19,22878,2628,11368,49.69
10-Aug-2016,876.05,887.00,887.00,851.00,859.00,859.55,860.41,118063,8082,52295,44.29
11-Aug-2016,859.55,859.60,870.25,842.20,866.95,867.40,857.85,46583,2387,12159,26.10
12-Aug-2016,867.40,868.20,889.00,863.00,877.50,878.45,878.07,70617,2687,35442,50.19
16-Aug-2016,878.45,890.00,894.95,879.95,892.05,890.65,888.87,46279,3100,30415,65.72
17-Aug-2016,890.65,889.95,897.80,886.00,891.75,889.75,890.04,34592,2007,16315,47.16
18-Aug-2016,889.75,895.00,899.65,887.70,899.65,897.65,893.09,33397,1883,18304,54.81
19-Aug-2016,897.65,900.00,914.00,900.00,913.00,908.80,908.44,51018,2973,23615,46.29
22-Aug-2016,908.80,914.90,941.00,905.05,935.00,935.50,933.73,243262,7912,159955,65.75
23-Aug-2016,935.50,937.40,949.00,750.30,794.00,794.40,832.89,1812957,59561,331769,18.30
24-Aug-2016,794.40,816.00,869.00,780.00,843.80,850.20,828.07,1156614,41511,154000,13.31
25-Aug-2016,850.20,848.00,865.00,828.85,851.00,857.25,849.72,296546,11846,66681,22.49
26-Aug-2016,857.25,852.10,867.80,847.00,857.00,855.80,857.54,198868,14073,107611,54.11
29-Aug-2016,855.80,855.95,875.00,825.15,830.55,833.50,849.03,347850,11263,231327,66.50
30-Aug-2016,833.50,833.00,839.80,809.00,814.95,813.05,822.57,224025,7368,127055,56.71
31-Aug-2016,813.05,817.00,831.50,812.10,814.95,817.60,820.46,157354,5848,84891,53.95
01-Sep-2016,817.60,812.05,824.00,786.90,805.00,799.15,808.48,141173,5947,47060,33.33
02-Sep-2016,799.15,805.00,818.15,800.05,803.00,804.50,808.46,106104,8647,55128,51.96
06-Sep-2016,804.50,816.00,818.00,803.05,807.45,806.90,811.19,59666,4457,28749,48.18
07-Sep-2016,806.90,810.50,827.00,807.05,818.35,817.75,820.53,107326,4719,54428,50.71
08-Sep-2016,817.75,822.05,829.55,809.00,810.10,811.45,813.84,60891,3876,34628,56.87
09-Sep-2016,811.45,815.00,815.20,798.00,804.00,804.40,804.50,63483,4646,20826,32.81
12-Sep-2016,804.40,800.00,800.00,779.35,782.00,781.15,788.60,57989,3682,30144,51.98
14-Sep-2016,781.15,789.00,797.30,775.95,778.00,779.15,782.01,71174,3544,28555,40.12
15-Sep-2016,779.15,783.15,792.95,753.65,755.50,763.00,773.84,84637,3763,31441,37.15
16-Sep-2016,763.00,769.85,784.90,762.45,773.50,772.70,772.12,148465,7170,48710,32.81
19-Sep-2016,772.70,780.95,782.75,730.60,743.00,742.20,761.11,224966,7078,154462,68.66
20-Sep-2016,742.20,742.00,755.00,738.85,746.00,745.50,747.82,74235,3299,26874,36.20
21-Sep-2016,745.50,749.55,801.00,745.00,782.10,784.40,778.41,201915,7894,53606,26.55
22-Sep-2016,784.40,790.05,815.00,780.00,805.00,809.30,796.87,185690,8330,48706,26.23
23-Sep-2016,809.30,810.00,813.90,782.00,790.00,787.55,793.04,128331,7452,44808,34.92
26-Sep-2016,787.55,790.00,795.00,766.75,770.00,770.85,780.51,73870,4552,35358,47.87
27-Sep-2016,770.85,768.20,784.05,762.15,765.00,766.00,770.95,56719,2677,23949,42.22
28-Sep-2016,766.00,768.00,775.70,757.45,760.30,760.05,765.62,89324,3405,47923,53.65
29-Sep-2016,760.05,768.00,768.75,702.20,722.00,718.05,732.57,206658,8926,86897,42.05
30-Sep-2016,718.05,725.00,736.70,718.25,723.00,726.15,724.87,71573,4345,28684,40.08
03-Oct-2016,726.15,730.00,741.95,726.35,726.80,730.40,733.10,75698,4092,47384,62.60
04-Oct-2016,730.40,737.00,739.00,712.10,720.40,716.25,722.58,161726,6379,75545,46.71
05-Oct-2016,716.25,725.35,758.00,722.45,733.50,738.15,741.10,267674,12328,101349,37.86
06-Oct-2016,738.15,741.70,741.70,715.15,719.00,718.90,722.90,151917,8161,57882,38.10
07-Oct-2016,718.90,720.00,724.75,705.00,709.00,706.75,711.52,119321,5768,54464,45.64
10-Oct-2016,706.75,708.50,713.45,701.60,709.20,707.45,706.63,277385,4324,234298,84.47
13-Oct-2016,707.45,719.90,719.90,693.50,698.05,695.60,699.54,95885,4482,37441,39.05
14-Oct-2016,695.60,701.00,737.75,696.00,729.00,727.95,717.06,275302,8684,125315,45.52
