DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,103.90,104.10,105.35,102.30,104.25,103.95,104.06,6967098,37688,3558224,51.07
03-Aug-2016,103.95,105.00,105.90,103.55,104.45,104.60,105.18,3480606,29779,1187685,34.12
04-Aug-2016,104.60,105.25,105.80,103.45,105.65,105.50,104.59,3439492,20632,1561082,45.39
05-Aug-2016,105.50,105.50,107.00,105.00,106.00,106.20,106.15,2739460,13718,1043704,38.10
08-Aug-2016,106.20,106.20,106.25,102.50,102.95,103.10,103.15,10388827,39971,5590998,53.82
09-Aug-2016,103.10,98.00,99.50,96.75,96.95,97.15,97.86,28022969,91574,12445174,44.41
10-Aug-2016,97.15,96.95,98.00,92.50,93.00,92.95,95.31,14646758,66067,6722275,45.90
11-Aug-2016,92.95,93.50,96.20,93.20,95.55,95.45,94.99,15064131,50210,6965977,46.24
12-Aug-2016,95.45,96.00,96.00,93.15,93.75,93.95,94.30,10140224,43509,5294287,52.21
16-Aug-2016,93.95,94.80,95.00,92.95,95.00,94.75,93.95,7629195,31745,3893853,51.04
17-Aug-2016,94.75,95.00,95.30,92.90,93.20,93.25,93.92,9323631,35309,5131732,55.04
18-Aug-2016,93.25,94.05,94.55,93.45,93.70,93.65,93.89,4512314,25439,2142406,47.48
19-Aug-2016,93.65,93.90,94.20,93.10,93.75,93.60,93.62,4599433,35227,2395210,52.08
22-Aug-2016,93.60,95.00,95.00,93.50,94.55,94.50,93.99,5088037,25264,2292726,45.06
23-Aug-2016,94.50,95.00,102.00,94.55,102.00,101.00,98.95,26221467,87173,7806882,29.77
24-Aug-2016,101.00,98.60,98.90,97.00,98.00,98.35,97.91,14394808,54934,4392937,30.52
25-Aug-2016,98.35,98.05,98.55,95.20,95.70,95.65,96.60,9490949,30201,4246146,44.74
26-Aug-2016,95.65,95.15,95.70,93.20,94.00,93.95,94.33,6069746,33843,1903386,31.36
29-Aug-2016,93.95,93.50,95.25,93.10,94.70,94.45,94.25,4411536,20774,1146883,26.00
30-Aug-2016,94.45,94.95,95.20,93.30,93.85,93.80,94.00,5065951,20051,2007527,39.63
31-Aug-2016,93.80,93.70,94.45,93.20,93.40,93.45,93.71,7054599,29860,3787649,53.69
01-Sep-2016,93.45,93.10,93.70,83.10,83.25,83.65,85.99,62238716,183548,19218510,30.88
02-Sep-2016,83.65,82.10,85.15,80.60,84.35,84.45,82.53,50448831,163982,7605101,15.07
06-Sep-2016,84.45,83.75,85.30,82.25,84.50,84.85,84.22,24026589,72319,8254797,34.36
07-Sep-2016,84.85,83.65,84.85,83.25,83.70,83.70,83.96,13850658,43353,4253670,30.71
08-Sep-2016,83.70,83.70,85.35,83.60,84.30,84.50,84.63,12383247,34130,5677760,45.85
09-Sep-2016,84.50,84.50,85.15,83.45,83.60,83.60,84.23,6334864,27096,1556918,24.58
12-Sep-2016,83.60,82.50,83.80,82.05,82.70,82.80,83.16,8544887,33576,3558268,41.64
14-Sep-2016,82.80,82.85,84.15,82.80,83.85,83.75,83.65,5343815,19156,2704419,50.61
15-Sep-2016,83.75,83.60,85.10,83.05,84.25,84.50,84.08,6273150,25525,2095983,33.41
16-Sep-2016,84.50,84.65,86.05,83.50,84.80,85.15,84.86,9389129,26187,5101121,54.33
19-Sep-2016,85.15,84.30,85.70,84.30,84.70,84.85,85.10,3340291,14367,949983,28.44
20-Sep-2016,84.85,85.20,85.20,83.65,84.00,83.90,84.26,3768779,15319,971945,25.79
21-Sep-2016,83.90,84.30,84.70,83.80,84.50,84.45,84.27,5714051,21327,2920763,51.12
22-Sep-2016,84.45,84.90,84.90,83.00,83.15,83.35,83.71,6186887,28607,3000271,48.49
