DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,53.70,53.55,58.75,53.50,57.80,57.95,57.11,32449715,62104,9336930,28.77
03-Aug-2016,57.95,57.95,58.95,56.05,57.00,56.90,57.45,21360603,34903,6338313,29.67
04-Aug-2016,56.90,57.20,57.85,56.25,56.95,56.80,57.04,6830943,11742,1370400,20.06
05-Aug-2016,56.80,57.50,59.10,56.65,58.20,58.30,57.88,10331989,18124,2446324,23.68
08-Aug-2016,58.30,58.50,58.95,57.80,58.20,58.40,58.42,5530114,10943,832806,15.06
09-Aug-2016,58.40,58.40,59.60,57.85,58.80,58.60,58.55,6106274,12259,1463686,23.97
10-Aug-2016,58.60,58.50,58.95,56.70,56.85,57.05,57.64,4232671,9761,904471,21.37
11-Aug-2016,57.05,56.90,57.65,56.00,56.80,56.75,56.83,4849465,8715,1317826,27.17
12-Aug-2016,56.75,56.80,58.10,56.55,56.75,56.80,57.28,4503323,8907,935588,20.78
16-Aug-2016,56.80,56.85,57.30,54.95,56.30,56.30,55.84,5557270,9139,2196509,39.52
17-Aug-2016,56.30,56.25,57.65,56.00,57.60,57.45,56.96,3336334,6324,912439,27.35
18-Aug-2016,57.45,57.80,58.50,57.30,58.20,58.20,58.03,3521530,7093,917424,26.05
19-Aug-2016,58.20,58.00,59.00,57.90,58.80,58.80,58.60,3226526,6443,1033362,32.03
22-Aug-2016,58.80,59.05,59.30,57.65,57.85,57.95,58.22,3200737,5724,1331910,41.61
23-Aug-2016,57.95,57.95,58.20,57.40,57.90,57.95,57.87,2459337,4857,461452,18.76
24-Aug-2016,57.95,57.90,58.35,57.50,57.55,57.65,57.74,3000983,6060,1058891,35.28
25-Aug-2016,57.65,57.70,58.05,56.55,57.20,56.95,57.33,4578367,10709,1775549,38.78
26-Aug-2016,56.95,57.15,57.60,55.80,55.90,56.00,56.49,2498445,8179,737349,29.51
29-Aug-2016,56.00,55.40,56.35,54.90,56.25,55.95,55.37,2774770,6513,726662,26.19
30-Aug-2016,55.95,56.00,59.25,55.95,58.75,58.50,57.80,6071315,11561,3099365,51.05
31-Aug-2016,58.50,58.60,64.85,57.75,63.30,63.20,61.65,24797175,40585,8611211,34.73
01-Sep-2016,63.20,63.75,63.75,60.05,60.80,61.00,62.14,9904484,23257,1968391,19.87
02-Sep-2016,61.00,61.00,62.20,60.55,61.10,61.15,61.43,3565560,10105,965707,27.08
06-Sep-2016,61.15,61.55,62.65,61.25,62.30,62.35,61.89,4029216,14123,1302359,32.32
07-Sep-2016,62.35,62.50,63.90,61.65,62.80,62.65,62.97,6305695,12340,2057644,32.63
08-Sep-2016,62.65,62.90,64.40,62.35,63.70,63.70,63.66,4269353,8237,1416119,33.17
09-Sep-2016,63.70,63.75,63.95,62.55,62.75,62.95,63.14,3030258,7434,994512,32.82
12-Sep-2016,62.95,61.00,61.50,58.90,59.65,59.20,60.10,5345619,11322,2032997,38.03
14-Sep-2016,59.20,59.05,61.50,59.05,60.40,60.40,60.56,3381732,10554,718614,21.25
15-Sep-2016,60.40,60.70,61.20,59.80,60.00,60.10,60.35,2587052,5471,659858,25.51
16-Sep-2016,60.10,60.75,61.20,59.70,60.25,60.15,60.61,3087880,8575,955705,30.95
19-Sep-2016,60.15,60.40,60.75,59.95,60.40,60.10,60.30,2077931,4908,811219,39.04
20-Sep-2016,60.10,60.30,61.20,59.40,60.30,60.35,60.23,3476375,7292,940497,27.05
21-Sep-2016,60.35,60.90,60.90,59.70,59.95,59.95,60.35,3156169,5598,1467842,46.51
22-Sep-2016,59.95,61.70,61.70,60.70,61.05,61.05,61.10,3897453,9671,2002560,51.38
23-Sep-2016,61.05,61.10,62.70,60.70,61.45,61.50,61.82,4192757,9781,1188536,28.35
26-Sep-2016,61.50,61.35,61.75,60.30,60.60,60.55,60.99,2373233,5499,926627,39.04
27-Sep-2016,60.55,61.20,63.60,60.70,63.55,63.15,62.45,10941935,25202,3669034,33.53
28-Sep-2016,63.15,63.50,68.50,63.40,68.10,67.75,66.12,27466655,65715,5857493,21.33
29-Sep-2016,67.75,68.70,70.45,63.10,64.85,64.45,66.29,50161831,67288,14783138,29.47
30-Sep-2016,64.45,63.50,67.70,63.50,67.00,67.20,66.60,12782110,26881,3531710,27.63
03-Oct-2016,67.20,67.65,69.00,67.40,68.20,68.20,68.35,6863986,16874,2295610,33.44
04-Oct-2016,68.20,68.85,68.95,67.00,68.20,68.00,67.69,4938252,12109,1042799,21.12
05-Oct-2016,68.00,68.75,70.70,67.05,69.90,70.15,69.21,9105858,19011,2712449,29.79
06-Oct-2016,70.15,70.60,70.75,67.30,68.15,68.15,69.23,5945226,22660,1487713,25.02
07-Oct-2016,68.15,68.60,69.50,68.15,68.60,68.75,68.74,5270817,10793,1317081,24.99
10-Oct-2016,68.75,68.80,69.55,68.15,68.40,68.35,68.74,2515495,8365,749811,29.81
13-Oct-2016,68.35,68.00,68.40,65.40,65.95,66.00,66.54,4374947,9278,1689815,38.62
14-Oct-2016,66.00,66.50,67.50,65.90,67.25,67.25,66.66,5173404,9577,1861679,35.99
17-Oct-2016,67.25,67.35,67.90,65.75,65.90,66.00,66.68,3300339,7936,775430,23.50
18-Oct-2016,66.00,66.40,67.50,66.20,66.95,67.15,66.82,3601239,11138,1258994,34.96
19-Oct-2016,67.15,67.95,70.70,66.95,69.00,69.20,69.34,8751143,21392,1953429,22.32
20-Oct-2016,69.20,70.00,70.35,68.95,69.15,69.10,69.55,3659310,11978,817182,22.33
21-Oct-2016,69.10,69.50,69.55,67.90,68.80,68.65,68.41,3649275,8322,1737615,47.62
24-Oct-2016,68.65,69.00,70.45,68.80,69.75,69.85,69.80,4437434,12682,1592140,35.88
25-Oct-2016,69.85,70.00,70.25,68.30,68.65,68.55,69.19,2290316,8162,732383,31.98
26-Oct-2016,68.55,68.60,71.30,68.60,69.40,69.50,70.17,6804564,27339,1597723,23.48
27-Oct-2016,69.50,69.70,69.90,67.30,67.90,68.20,68.12,5045361,19302,1611153,31.93
28-Oct-2016,68.20,68.20,70.90,67.55,70.15,69.90,69.77,20916408,38374,7987969,38.19
30-Oct-2016,69.90,70.40,70.70,68.70,69.15,69.40,69.30,1981566,6144,876997,44.26
01-Nov-2016,69.40,69.85,69.85,68.10,68.40,68.40,68.84,3318929,10914,827690,24.94
02-Nov-2016,68.40,67.80,67.80,65.15,66.10,65.65,66.18,4179522,11904,1600968,38.31
03-Nov-2016,65.65,65.60,66.55,63.65,64.00,64.05,65.35,3581819,13051,918316,25.64
04-Nov-2016,64.05,64.20,64.55,60.90,62.85,62.65,62.72,5307452,14305,1456213,27.44
07-Nov-2016,62.65,63.10,64.65,63.10,63.50,63.60,63.96,3080471,10413,1246731,40.47
08-Nov-2016,63.60,64.30,64.45,62.75,63.15,63.15,63.24,2547224,8553,610892,23.98
