DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
23-Oct-2017,1650.00,1500.00,1660.00,1500.00,1625.00,1629.15,1614.23,3345798,184049,986150,29.47
24-Oct-2017,1629.15,1615.00,1635.05,1595.25,1598.00,1603.40,1607.88,216428,22349,74868,34.59
25-Oct-2017,1603.40,1600.00,1601.00,1545.65,1556.95,1563.05,1562.62,140748,17036,64238,45.64
26-Oct-2017,1563.05,1552.45,1590.00,1531.10,1560.00,1562.65,1560.84,87150,8754,40525,46.50
27-Oct-2017,1562.65,1560.00,1574.80,1551.10,1565.00,1565.10,1563.72,31148,4276,18655,59.89
30-Oct-2017,1565.10,1565.10,1581.15,1558.50,1561.00,1567.15,1565.83,46909,5745,26431,56.35
31-Oct-2017,1567.15,1561.00,1572.85,1541.00,1550.55,1554.25,1558.81,23592,4302,15997,67.81
01-Nov-2017,1554.25,1550.30,1570.00,1538.80,1552.05,1559.35,1551.26,93185,6727,82187,88.20
02-Nov-2017,1559.35,1560.00,1575.00,1550.00,1560.00,1563.15,1561.64,28883,5173,18250,63.19
03-Nov-2017,1563.15,1553.00,1620.00,1553.00,1590.90,1592.30,1582.61,94783,8943,54483,57.48
06-Nov-2017,1592.30,1580.10,1619.00,1580.00,1607.00,1602.65,1600.99,48041,8308,31579,65.73
07-Nov-2017,1602.65,1610.00,1618.50,1590.10,1602.80,1607.00,1603.87,51383,7845,33909,65.99
08-Nov-2017,1607.00,1602.00,1618.50,1511.00,1580.00,1586.00,1606.71,24765,4412,13982,56.46
09-Nov-2017,1586.00,1586.00,1611.75,1558.00,1601.00,1600.15,1587.38,26379,3914,15518,58.83
10-Nov-2017,1600.15,1582.00,1610.00,1582.00,1595.10,1596.65,1597.30,17040,2593,11539,67.72
13-Nov-2017,1596.65,1588.50,1601.15,1569.05,1570.00,1572.85,1575.97,12678,1509,8754,69.05
14-Nov-2017,1572.85,1575.00,1583.65,1540.50,1540.50,1542.85,1553.49,10919,1932,8133,74.48
15-Nov-2017,1542.85,1554.90,1554.90,1509.00,1509.05,1511.45,1524.82,12266,2435,8604,70.15
16-Nov-2017,1511.45,1533.00,1533.00,1490.00,1506.20,1508.35,1521.43,105149,2155,96452,91.73
17-Nov-2017,1508.35,1515.00,1524.90,1505.00,1516.00,1513.85,1513.86,10358,1603,7000,67.58
20-Nov-2017,1513.85,1523.70,1547.95,1500.00,1501.10,1504.15,1516.47,17188,2641,7533,43.83
21-Nov-2017,1504.15,1505.10,1522.00,1505.10,1514.50,1515.60,1516.19,8316,1121,5267,63.34
22-Nov-2017,1515.60,1506.00,1579.00,1506.00,1565.00,1557.85,1548.94,21525,2602,12745,59.21
23-Nov-2017,1557.85,1566.60,1573.00,1537.10,1550.00,1556.70,1552.91,38539,2923,28416,73.73
24-Nov-2017,1556.70,1546.05,1564.00,1541.30,1545.00,1549.50,1555.78,23869,1116,21941,91.92
27-Nov-2017,1549.50,1540.05,1570.00,1537.55,1559.00,1553.00,1559.13,9920,1206,7126,71.83
28-Nov-2017,1553.00,1564.80,1564.80,1538.00,1555.00,1546.90,1550.19,6162,867,4642,75.33
29-Nov-2017,1546.90,1547.00,1553.15,1511.60,1530.00,1526.85,1534.11,8069,1165,6462,80.08
30-Nov-2017,1526.85,1525.00,1552.00,1521.05,1536.90,1534.05,1538.28,6616,901,4573,69.12
01-Dec-2017,1534.05,1535.00,1555.00,1525.00,1532.00,1530.35,1543.65,11152,1293,8755,78.51
04-Dec-2017,1530.35,1530.35,1538.40,1504.00,1512.00,1506.90,1511.36,9133,1155,7192,78.75
05-Dec-2017,1506.90,1505.00,1526.40,1494.05,1505.25,1505.55,1507.54,6014,1082,3525,58.61
06-Dec-2017,1505.55,1510.00,1522.40,1504.00,1515.05,1513.90,1513.59,5223,761,4086,78.23
07-Dec-2017,1513.90,1503.20,1545.00,1503.20,1530.30,1527.95,1523.53,5525,780,4503,81.50
08-Dec-2017,1527.95,1520.00,1553.00,1520.00,1550.00,1550.00,1548.32,14963,1512,12185,81.43
11-Dec-2017,1550.00,1536.05,1563.50,1530.00,1558.00,1555.80,1553.09,27035,1524,24344,90.05
12-Dec-2017,1555.80,1597.00,1618.55,1571.00,1614.00,1607.45,1613.51,344785,5982,317245,92.01
13-Dec-2017,1607.45,1635.00,1650.00,1595.05,1595.05,1603.60,1628.49,52307,5283,27507,52.59
14-Dec-2017,1603.60,1605.00,1630.00,1575.20,1580.20,1586.95,1597.86,12913,1327,7854,60.82
15-Dec-2017,1586.95,1599.00,1613.05,1556.00,1560.00,1575.20,1591.44,10698,1464,8234,76.97
18-Dec-2017,1575.20,1550.10,1604.00,1537.00,1590.00,1590.00,1585.10,17881,2160,11723,65.56
19-Dec-2017,1590.00,1591.00,1592.00,1571.00,1580.00,1580.45,1580.42,8832,1128,6385,72.29
20-Dec-2017,1580.45,1571.10,1628.90,1549.30,1627.15,1588.65,1570.76,16249,2005,11654,71.72
21-Dec-2017,1588.65,1600.00,1619.00,1582.00,1583.05,1587.75,1598.30,16688,2025,14110,84.55
22-Dec-2017,1587.75,1590.00,1624.00,1586.05,1600.00,1603.50,1599.04,122171,6515,112471,92.06
26-Dec-2017,1603.50,1596.00,1624.80,1586.00,1590.00,1601.25,1610.29,19344,1899,14770,76.35
27-Dec-2017,1601.25,1588.20,1615.00,1580.00,1590.00,1585.00,1605.53,31171,1483,28458,91.30
28-Dec-2017,1585.00,1580.00,1640.00,1580.00,1620.00,1620.10,1617.79,170538,3807,155820,91.37
29-Dec-2017,1620.10,1642.80,1645.00,1605.55,1611.00,1610.05,1620.29,19630,2128,13755,70.07
