DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,28.65,28.65,28.95,28.00,28.10,28.10,28.44,5727650,9201,1093221,19.09
03-Aug-2016,28.10,28.10,28.60,27.80,27.90,27.90,28.17,5827161,8198,770103,13.22
04-Aug-2016,27.90,28.10,28.30,27.75,27.95,28.00,27.97,4175357,7723,700990,16.79
05-Aug-2016,28.00,28.15,28.60,27.90,28.35,28.45,28.29,4999273,10057,1325721,26.52
08-Aug-2016,28.45,27.60,27.65,26.55,26.65,26.65,26.94,9980512,12991,2916516,29.22
09-Aug-2016,26.65,26.60,26.95,26.25,26.85,26.80,26.68,6848938,9120,2155446,31.47
10-Aug-2016,26.80,26.95,26.95,26.05,26.15,26.10,26.33,7348296,7015,2560729,34.85
11-Aug-2016,26.10,26.50,26.65,25.95,26.50,26.30,26.31,6018252,6351,1428406,23.73
12-Aug-2016,26.30,26.50,26.65,26.20,26.45,26.50,26.45,4340271,4678,1281439,29.52
16-Aug-2016,26.50,26.50,27.10,26.30,26.95,26.95,26.74,6410658,7997,1659001,25.88
17-Aug-2016,26.95,26.75,27.20,26.75,27.05,27.05,26.99,3939716,5424,914693,23.22
18-Aug-2016,27.05,27.10,27.50,27.10,27.35,27.35,27.35,4125673,6224,1800470,43.64
19-Aug-2016,27.35,27.40,28.20,27.25,28.15,28.15,27.95,12520789,14119,5581778,44.58
22-Aug-2016,28.15,28.00,28.85,27.60,28.10,28.15,28.31,12818090,12408,4581200,35.74
23-Aug-2016,28.15,28.00,28.70,27.95,28.30,28.30,28.36,5311102,11662,993619,18.71
24-Aug-2016,28.30,28.25,28.60,28.10,28.40,28.35,28.34,3538991,9568,835493,23.61
25-Aug-2016,28.35,28.75,28.80,27.40,27.55,27.60,27.83,11058509,13245,4795308,43.36
26-Aug-2016,27.60,27.70,27.75,26.90,27.15,27.25,27.28,6116251,9539,1090395,17.83
29-Aug-2016,27.25,27.25,27.90,26.75,27.85,27.80,27.45,6724125,9564,1279286,19.03
30-Aug-2016,27.80,27.90,28.15,27.70,28.05,28.00,27.98,5946697,12741,1631832,27.44
31-Aug-2016,28.00,28.05,28.75,27.85,28.40,28.35,28.32,8117872,12592,2301322,28.35
01-Sep-2016,28.35,28.45,28.70,27.80,27.90,27.85,28.25,6158346,8975,1550349,25.17
02-Sep-2016,27.85,27.90,28.50,27.85,28.40,28.35,28.26,3867933,5295,1262650,32.64
06-Sep-2016,28.35,28.50,28.80,28.40,28.75,28.70,28.60,4218338,7117,1807605,42.85
07-Sep-2016,28.70,28.80,29.55,28.40,28.95,29.00,28.99,8553244,16339,2535497,29.64
08-Sep-2016,29.00,29.00,29.45,28.60,28.95,29.00,29.10,5753004,9001,1652335,28.72
09-Sep-2016,29.00,29.00,29.25,28.55,28.75,28.75,28.88,5021393,8935,1130605,22.52
12-Sep-2016,28.75,28.30,28.30,27.55,27.60,27.65,27.85,4952828,7973,1337836,27.01
14-Sep-2016,27.65,27.70,28.25,27.60,28.15,28.10,27.95,2625537,4343,570076,21.71
15-Sep-2016,28.10,28.15,28.45,27.75,28.15,28.15,28.08,4056732,7350,656743,16.19
16-Sep-2016,28.15,28.25,28.55,27.75,28.15,28.05,28.09,6990504,7530,2953969,42.26
19-Sep-2016,28.05,28.60,28.85,28.40,28.50,28.55,28.59,5349248,9783,1252062,23.41
20-Sep-2016,28.55,28.60,30.35,28.50,29.45,29.60,29.73,36432932,43804,6433021,17.66
21-Sep-2016,29.60,29.60,30.15,29.05,29.45,29.45,29.70,17643582,30421,3910487,22.16
22-Sep-2016,29.45,29.90,30.60,29.65,30.25,30.05,30.09,20287475,26431,3271649,16.13
23-Sep-2016,30.05,30.40,30.90,30.30,30.40,30.45,30.57,14796219,27767,3173323,21.45
26-Sep-2016,30.45,29.00,29.50,28.65,28.70,28.80,29.07,16359054,24321,2456149,15.01
27-Sep-2016,28.80,28.95,29.00,28.10,28.45,28.35,28.49,7649302,15659,1485351,19.42
28-Sep-2016,28.35,28.35,28.75,28.25,28.35,28.40,28.49,6899733,11473,1267754,18.37
29-Sep-2016,28.40,28.40,28.60,25.30,26.15,25.70,26.34,29215191,22531,12171755,41.66
30-Sep-2016,25.70,25.50,26.50,25.50,26.40,26.30,26.15,8397291,14946,1483299,17.66
03-Oct-2016,26.30,26.55,26.90,26.25,26.85,26.70,26.62,7465053,10379,1535404,20.57
04-Oct-2016,26.70,26.70,27.20,26.40,27.05,26.95,26.78,5632027,12366,1175964,20.88
