DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,649.70,647.65,659.00,642.60,648.60,647.85,648.99,308011,11094,53292,17.30
03-Aug-2016,647.85,647.50,657.75,644.60,652.90,653.20,650.33,725721,18075,426870,58.82
04-Aug-2016,653.20,652.50,675.90,651.05,675.90,672.10,666.27,675640,20990,295407,43.72
05-Aug-2016,672.10,675.80,676.10,657.90,660.85,664.75,667.27,435161,11591,107737,24.76
08-Aug-2016,664.75,667.00,689.70,666.10,688.00,687.90,678.82,536388,12019,179545,33.47
09-Aug-2016,687.90,688.00,689.40,675.10,683.00,683.30,682.58,293012,12622,99856,34.08
10-Aug-2016,683.30,689.80,689.80,669.05,669.60,670.55,675.84,469579,12234,255374,54.38
11-Aug-2016,670.55,671.90,691.05,665.50,681.00,678.60,679.84,713128,16865,351627,49.31
12-Aug-2016,678.60,679.95,684.85,672.80,677.50,676.05,679.44,465139,9082,330850,71.13
16-Aug-2016,676.05,676.10,682.65,671.30,676.30,675.15,675.15,224526,9174,106802,47.57
17-Aug-2016,675.15,677.10,687.90,676.45,682.00,682.95,682.46,373265,18904,168077,45.03
18-Aug-2016,682.95,684.90,701.05,684.30,694.00,691.65,694.73,732230,13226,340554,46.51
19-Aug-2016,691.65,696.00,702.75,687.45,697.90,699.20,695.47,332580,7394,90948,27.35
22-Aug-2016,699.20,700.00,734.90,688.35,734.00,729.70,712.31,3262307,71990,286282,8.78
23-Aug-2016,729.70,738.95,786.60,735.00,758.00,756.30,765.98,6247113,117413,1554559,24.88
24-Aug-2016,756.30,758.10,765.00,748.65,756.10,757.60,756.15,1709277,46949,500778,29.30
25-Aug-2016,757.60,761.00,761.00,745.80,754.60,749.80,750.63,959827,22523,512689,53.41
26-Aug-2016,749.80,754.40,790.90,751.50,784.20,783.65,777.43,2208893,45291,468800,21.22
29-Aug-2016,783.65,784.80,787.00,760.80,764.85,763.75,768.16,1377578,44804,799297,58.02
30-Aug-2016,763.75,767.40,778.45,765.50,775.00,774.10,774.25,517985,21983,262164,50.61
