DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,288.05,291.40,295.00,270.15,274.95,273.20,282.15,305099,7126,126049,41.31
03-Aug-2016,273.20,274.00,279.00,269.40,276.50,277.55,274.72,154930,3992,94139,60.76
04-Aug-2016,277.55,281.90,281.90,267.50,278.15,273.50,271.05,991123,5009,905572,91.37
05-Aug-2016,273.50,275.05,311.80,275.05,302.10,302.60,299.55,724016,15153,182199,25.17
08-Aug-2016,302.60,310.00,310.00,292.30,301.55,302.05,301.22,257056,5609,140227,54.55
09-Aug-2016,302.05,299.90,302.00,295.05,298.25,297.40,297.69,115268,3105,59005,51.19
10-Aug-2016,297.40,298.00,305.95,285.00,286.50,288.95,295.30,489531,3469,392711,80.22
11-Aug-2016,288.95,288.90,298.95,272.00,293.00,292.45,286.48,117901,3747,47080,39.93
12-Aug-2016,292.45,290.90,294.75,278.50,284.00,286.00,287.56,71163,2533,32207,45.26
16-Aug-2016,286.00,286.05,303.10,286.05,294.65,294.65,298.01,202209,4698,85034,42.05
17-Aug-2016,294.65,295.00,296.00,290.25,291.15,291.95,292.75,45667,1638,24311,53.24
18-Aug-2016,291.95,292.05,293.90,282.90,284.65,284.25,288.26,388424,6486,344246,88.63
19-Aug-2016,284.25,287.00,291.10,278.00,281.25,282.40,284.80,94531,4812,50560,53.49
22-Aug-2016,282.40,287.90,287.90,278.10,279.15,279.60,280.59,66378,2897,40254,60.64
23-Aug-2016,279.60,283.90,283.95,269.10,280.55,276.65,275.61,133906,4430,74550,55.67
24-Aug-2016,276.65,278.50,289.00,273.00,273.50,275.65,279.74,210631,12335,129141,61.31
25-Aug-2016,275.65,277.90,281.00,274.05,274.70,275.05,278.87,81628,2930,61008,74.74
26-Aug-2016,275.05,278.80,281.35,272.50,274.00,276.75,278.03,64895,2844,43630,67.23
29-Aug-2016,276.75,279.35,279.35,272.50,272.70,274.45,274.95,87812,2761,73205,83.37
30-Aug-2016,274.45,275.05,285.95,275.05,282.00,284.20,283.53,151514,3228,83155,54.88
31-Aug-2016,284.20,284.90,292.00,275.00,279.20,278.85,284.43,233268,4763,164224,70.40
01-Sep-2016,278.85,278.80,301.95,275.00,297.20,298.90,294.11,455857,10991,201925,44.30
02-Sep-2016,298.90,298.00,301.80,290.00,293.10,293.45,293.58,106064,7091,49213,46.40
06-Sep-2016,293.45,298.00,298.00,287.55,293.20,294.10,291.87,94581,4723,48511,51.29
07-Sep-2016,294.10,292.00,294.95,285.05,285.20,285.90,289.64,76821,2619,55299,71.98
08-Sep-2016,285.90,287.00,288.80,283.50,285.00,285.55,285.59,89231,5928,58504,65.56
09-Sep-2016,285.55,282.00,288.20,280.00,281.05,280.80,281.87,33078,1543,22662,68.51
12-Sep-2016,280.80,275.00,278.65,268.50,272.00,271.70,272.01,88515,3026,63030,71.21
14-Sep-2016,271.70,271.95,272.00,260.85,262.00,263.95,265.13,467651,3869,424499,90.77
15-Sep-2016,263.95,264.05,264.40,260.85,261.75,262.25,262.70,130714,2107,88600,67.78
16-Sep-2016,262.25,267.95,268.00,240.05,244.00,248.20,251.09,1267337,18301,945877,74.64
19-Sep-2016,248.20,245.15,269.50,244.95,266.00,264.95,258.17,1678603,14020,1262002,75.18
20-Sep-2016,264.95,264.50,272.40,264.50,272.40,268.55,267.40,202658,6351,134206,66.22
21-Sep-2016,268.55,271.00,273.00,265.40,266.95,267.85,270.49,149260,4582,105677,70.80
22-Sep-2016,267.85,270.00,279.00,268.00,274.20,275.75,274.57,475156,7556,356928,75.12
23-Sep-2016,275.75,274.50,277.70,270.45,272.00,273.00,274.03,59376,2184,34752,58.53
26-Sep-2016,273.00,271.00,274.50,265.40,270.05,270.95,270.21,112369,2647,74411,66.22
27-Sep-2016,270.95,281.95,282.25,273.65,278.20,276.70,275.88,241227,6334,129251,53.58
28-Sep-2016,276.70,277.50,280.00,272.90,275.00,274.90,275.24,98802,2416,77997,78.94
29-Sep-2016,274.90,278.90,278.90,262.20,266.50,264.60,270.96,401387,5576,345533,86.08
30-Sep-2016,264.60,263.00,287.00,263.00,270.00,272.30,271.71,146029,4793,108926,74.59
03-Oct-2016,272.30,277.70,282.00,272.70,279.15,279.65,276.76,203357,6101,152997,75.24
04-Oct-2016,279.65,279.60,282.70,271.00,275.15,273.85,274.42,84610,3064,49902,58.98
05-Oct-2016,273.85,277.90,278.50,268.50,272.05,272.25,272.12,116053,2811,65510,56.45
06-Oct-2016,272.25,271.05,278.25,266.80,275.00,273.90,274.96,52678,1882,27477,52.16
07-Oct-2016,273.90,272.10,278.00,270.10,271.50,271.95,273.84,26874,959,17916,66.67
10-Oct-2016,271.95,270.10,276.10,269.90,274.00,274.80,273.30,30387,893,19017,62.58
13-Oct-2016,274.80,274.80,274.80,262.85,271.00,269.05,268.70,90945,2320,62045,68.22
14-Oct-2016,269.05,272.90,272.90,268.65,270.25,271.40,270.73,39675,965,29775,75.05
17-Oct-2016,271.40,266.50,273.10,266.50,270.00,269.85,270.26,25009,758,16850,67.38
18-Oct-2016,269.85,271.30,276.00,265.60,275.90,274.90,271.33,57393,1951,34004,59.25
19-Oct-2016,274.90,273.80,289.70,270.40,287.00,287.30,285.08,200614,4074,83972,41.86
20-Oct-2016,287.30,289.90,289.90,281.50,286.45,285.90,286.25,63795,2370,37015,58.02
21-Oct-2016,285.90,287.95,288.05,277.10,278.95,279.65,280.85,73883,1480,49217,66.61
24-Oct-2016,279.65,280.75,291.40,276.00,284.10,283.60,284.11,142822,2621,96776,67.76
25-Oct-2016,283.60,286.60,290.00,281.00,288.25,287.35,286.99,88034,1351,71032,80.69
26-Oct-2016,287.35,282.20,293.00,282.20,288.00,284.95,289.96,110118,1828,62132,56.42
27-Oct-2016,284.95,293.90,313.50,290.20,306.50,307.65,302.10,1425805,17838,760977,53.37
28-Oct-2016,307.65,309.35,342.40,307.90,335.30,334.00,324.22,1035568,16642,285162,27.54
30-Oct-2016,334.00,332.20,334.00,320.60,328.40,327.75,328.58,71521,1906,24433,34.16
01-Nov-2016,327.75,328.55,328.55,309.45,317.25,315.75,315.61,234322,7056,122692,52.36
02-Nov-2016,315.75,314.00,320.00,296.80,320.00,317.80,316.19,259934,3726,147332,56.68
03-Nov-2016,317.80,323.80,324.80,314.25,317.00,317.15,318.41,99324,2786,62737,63.16
04-Nov-2016,317.15,316.95,319.00,300.00,302.00,303.80,307.77,87247,2984,56592,64.86
07-Nov-2016,303.80,313.30,315.00,303.05,305.00,306.00,309.20,62208,2527,35351,56.83
08-Nov-2016,306.00,308.50,314.90,301.70,310.00,310.35,308.85,48457,1951,30408,62.75
09-Nov-2016,310.35,290.00,305.05,271.00,290.00,289.65,285.86,543303,7616,320081,58.91
10-Nov-2016,289.65,295.00,304.45,291.05,292.00,294.05,297.89,78718,3504,51486,65.41
11-Nov-2016,294.05,290.85,294.15,275.00,276.05,277.90,278.27,206908,4078,160461,77.55
15-Nov-2016,277.90,280.65,280.65,246.60,248.00,252.05,254.59,290158,5721,223227,76.93
16-Nov-2016,252.05,259.70,264.00,237.80,249.15,253.20,250.17,880036,4303,786003,89.31
17-Nov-2016,253.20,257.00,258.40,246.15,252.00,250.75,251.26,135557,2647,110336,81.39
18-Nov-2016,250.75,254.80,256.50,247.75,256.40,255.65,253.10,85365,3254,58479,68.50
