DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,71.35,71.60,74.45,71.40,73.45,73.35,73.20,539387,2444,348776,64.66
03-Aug-2016,73.35,73.50,73.50,71.45,71.80,72.00,72.67,247321,1147,186506,75.41
04-Aug-2016,72.00,72.95,74.00,70.70,71.00,70.90,71.53,315956,3596,217436,68.82
05-Aug-2016,70.90,71.50,72.05,70.75,71.85,71.55,71.43,265728,1799,194888,73.34
08-Aug-2016,71.55,72.45,74.10,71.50,73.40,73.65,72.99,364410,2988,245181,67.28
09-Aug-2016,73.65,73.65,74.65,72.15,72.50,72.40,73.13,361789,2941,235277,65.03
10-Aug-2016,72.40,72.75,72.75,70.70,70.75,71.05,71.31,249838,1979,192652,77.11
11-Aug-2016,71.05,71.30,71.80,69.65,69.80,69.90,70.10,258378,2314,194038,75.10
12-Aug-2016,69.90,69.95,70.65,69.75,69.80,69.95,69.95,291241,6546,218531,75.03
16-Aug-2016,69.95,71.20,71.20,68.20,68.40,68.70,69.41,280369,3029,192990,68.83
17-Aug-2016,68.70,69.00,69.40,67.50,67.55,67.75,68.22,343078,2959,261498,76.22
18-Aug-2016,67.75,68.15,68.75,65.95,66.05,66.20,66.84,642753,5194,479774,74.64
19-Aug-2016,66.20,66.70,69.10,65.80,67.80,68.00,67.80,658742,8342,453358,68.82
22-Aug-2016,68.00,69.15,69.25,67.45,67.80,67.80,68.26,403244,7439,251427,62.35
23-Aug-2016,67.80,68.50,68.50,66.65,66.90,66.90,67.50,295862,2293,227800,77.00
24-Aug-2016,66.90,66.90,71.80,66.90,70.25,70.10,69.24,1396196,5520,962493,68.94
25-Aug-2016,70.10,70.25,73.65,70.25,71.40,71.35,72.09,1106347,7303,503168,45.48
26-Aug-2016,71.35,71.85,73.20,71.05,71.20,71.40,71.90,487056,2771,269145,55.26
29-Aug-2016,71.40,71.50,72.50,70.55,71.15,71.25,71.55,397966,2809,265311,66.67
30-Aug-2016,71.25,72.00,72.80,71.20,72.15,72.35,72.01,420105,2295,292084,69.53
31-Aug-2016,72.35,73.00,75.70,71.65,73.95,73.70,73.82,905418,6042,458919,50.69
01-Sep-2016,73.70,73.50,74.55,70.75,71.65,71.85,72.98,394999,2577,221432,56.06
02-Sep-2016,71.85,72.65,73.60,72.00,73.25,72.80,72.70,466039,2619,274655,58.93
06-Sep-2016,72.80,73.40,77.70,73.05,75.30,75.70,75.85,1173504,6610,684390,58.32
07-Sep-2016,75.70,76.00,77.40,74.65,76.45,76.00,76.03,732505,3369,442987,60.48
08-Sep-2016,76.00,77.90,80.80,77.70,79.80,79.50,79.13,2087639,10202,1051902,50.39
09-Sep-2016,79.50,79.00,95.40,78.85,92.75,94.50,89.57,10379879,41080,3542174,34.13
12-Sep-2016,94.50,89.05,93.35,87.20,87.55,87.90,90.29,3258116,23624,1069695,32.83
14-Sep-2016,87.90,89.50,94.70,88.30,91.60,91.40,91.94,3496604,21284,1177494,33.68
15-Sep-2016,91.40,91.75,94.70,89.60,92.20,92.15,92.27,2240708,13437,834854,37.26
16-Sep-2016,92.15,92.60,96.70,90.00,95.85,94.65,93.54,2497401,13208,1086424,43.50
19-Sep-2016,94.65,95.80,108.60,95.60,106.70,106.80,104.29,7309196,50654,2097862,28.70
20-Sep-2016,106.80,107.00,108.35,100.35,101.60,101.15,103.29,2142322,16057,723987,33.79
21-Sep-2016,101.15,102.00,109.30,99.65,103.70,103.30,105.43,4006359,26506,854510,21.33
22-Sep-2016,103.30,104.60,106.90,103.10,105.25,105.35,105.16,1319235,10352,463399,35.13
23-Sep-2016,105.35,106.40,106.45,101.60,102.50,102.30,104.34,834841,6553,387306,46.39
26-Sep-2016,102.30,102.05,104.95,99.50,100.35,100.60,101.79,1112163,11814,417886,37.57
27-Sep-2016,100.60,101.25,102.45,98.80,100.20,100.60,100.93,778256,6418,267674,34.39
28-Sep-2016,100.60,101.20,106.30,101.00,103.00,102.85,103.35,990499,7236,300521,30.34
