DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,121.35,121.10,122.00,116.75,117.85,117.70,119.25,3149072,15289,697413,22.15
03-Aug-2016,117.70,118.40,118.90,115.45,116.40,116.20,116.74,3416991,19696,1141787,33.41
04-Aug-2016,116.20,117.30,118.15,115.55,116.45,116.55,116.86,3018009,12402,941309,31.19
05-Aug-2016,116.55,117.40,124.35,117.35,122.90,123.15,121.35,6070030,23974,1793730,29.55
08-Aug-2016,123.15,124.10,126.60,122.60,126.60,125.05,124.34,3760540,15164,1621662,43.12
09-Aug-2016,125.05,125.95,128.40,124.50,124.60,125.30,126.58,5602635,26852,1494742,26.68
10-Aug-2016,125.30,124.60,125.55,117.20,118.95,119.55,120.48,4828936,20241,1208606,25.03
11-Aug-2016,119.55,119.55,123.00,117.55,122.30,122.35,121.24,3983809,21029,562852,14.13
12-Aug-2016,122.35,122.20,122.70,119.95,120.80,121.55,121.23,2134931,10275,661239,30.97
16-Aug-2016,121.55,121.00,122.20,118.10,120.00,120.90,120.38,2145036,12475,382835,17.85
17-Aug-2016,120.90,121.30,125.00,119.10,124.85,123.80,122.62,2791537,14785,901207,32.28
18-Aug-2016,123.80,124.95,130.85,123.80,125.65,125.70,127.32,22373409,80763,4680971,20.92
19-Aug-2016,125.70,126.50,132.75,126.30,132.30,132.05,130.52,11918010,52903,2766283,23.21
22-Aug-2016,132.05,132.70,133.70,129.00,129.25,129.50,131.12,5032629,28619,1064141,21.14
23-Aug-2016,129.50,129.30,142.75,128.40,140.50,140.10,138.88,28256178,137262,5892030,20.85
24-Aug-2016,140.10,140.60,147.45,139.75,145.65,144.75,144.18,17261352,87963,3547055,20.55
25-Aug-2016,144.75,146.10,149.00,142.55,143.90,143.75,146.34,11634333,53458,3454070,29.69
26-Aug-2016,143.75,145.30,147.35,143.25,144.65,144.70,145.34,5851204,28029,867216,14.82
29-Aug-2016,144.70,144.95,144.95,140.30,143.90,143.25,142.13,3717175,21365,641173,17.25
30-Aug-2016,143.25,143.90,152.00,143.90,151.85,151.40,150.04,11905174,52768,2465417,20.71
31-Aug-2016,151.40,152.00,153.95,149.05,150.55,149.80,151.79,6219472,32802,1614341,25.96
01-Sep-2016,149.80,145.75,152.70,145.55,152.50,151.15,149.41,8778966,37433,1399181,15.94
02-Sep-2016,151.15,152.45,154.60,150.85,152.15,152.35,152.61,4695553,20277,840514,17.90
06-Sep-2016,152.35,153.75,156.25,153.55,155.65,155.70,155.40,4030277,19652,993303,24.65
07-Sep-2016,155.70,156.20,156.40,152.45,154.00,153.75,154.45,3193607,12878,395164,12.37
08-Sep-2016,153.75,153.75,155.60,152.20,154.20,154.10,153.70,2675193,10001,540666,20.21
09-Sep-2016,154.10,154.00,154.45,148.55,149.50,149.40,150.52,4102515,19062,800529,19.51
12-Sep-2016,149.40,144.50,145.45,140.20,142.10,142.25,142.97,5059492,23092,1797655,35.53
14-Sep-2016,142.25,142.10,150.65,142.10,150.40,150.20,147.09,4268566,19143,589752,13.82
15-Sep-2016,150.20,150.85,151.00,146.00,147.55,147.85,147.78,2909944,16406,283147,9.73
16-Sep-2016,147.85,148.85,153.10,146.55,149.40,149.55,150.61,4560568,20035,901664,19.77
19-Sep-2016,149.55,148.60,152.55,147.85,152.35,152.00,150.40,3008955,15909,563947,18.74
20-Sep-2016,152.00,152.40,152.80,149.00,149.85,150.00,150.31,1989166,11972,450419,22.64
21-Sep-2016,150.00,150.80,151.95,148.35,149.00,149.30,150.11,1899373,11756,323587,17.04
22-Sep-2016,149.30,151.00,152.35,148.40,151.25,151.25,150.58,2331717,14151,480135,20.59
23-Sep-2016,151.25,152.00,152.75,149.25,149.25,150.10,151.11,2015067,12866,427803,21.23
26-Sep-2016,150.10,149.00,149.75,147.15,148.50,148.45,148.56,1679625,7511,223404,13.30
27-Sep-2016,148.45,148.45,149.30,146.50,147.45,147.05,147.95,1779587,9079,233717,13.13
28-Sep-2016,147.05,147.70,150.70,146.85,149.75,150.00,148.99,1740280,10293,353974,20.34
29-Sep-2016,150.00,150.35,151.00,138.60,140.50,139.80,142.65,5377357,12024,1933224,35.95
30-Sep-2016,139.80,138.00,144.95,138.00,144.00,144.00,142.54,2003145,7181,536244,26.77
03-Oct-2016,144.00,145.40,151.35,145.00,151.30,150.95,148.91,2578885,10449,641685,24.88
04-Oct-2016,150.95,152.20,152.75,149.00,151.75,151.50,150.90,3402867,12589,981915,28.86
05-Oct-2016,151.50,152.00,158.50,151.85,157.10,157.65,156.13,8066796,30909,2390898,29.64
06-Oct-2016,157.65,158.60,161.00,156.30,157.25,157.30,159.16,4598217,22836,967008,21.03
07-Oct-2016,157.30,158.45,162.20,157.25,162.05,160.65,159.37,3385695,20305,839450,24.79
10-Oct-2016,160.65,163.30,164.20,158.75,159.15,159.25,161.17,4177445,24509,1162842,27.84
13-Oct-2016,159.25,158.75,158.75,151.50,154.40,154.45,154.99,3540306,17099,1062550,30.01
14-Oct-2016,154.45,155.00,158.65,153.10,158.15,158.10,155.96,3318847,19590,737372,22.22
17-Oct-2016,158.10,158.00,159.20,153.25,153.75,153.70,155.80,2804147,24505,861733,30.73
18-Oct-2016,153.70,155.10,157.60,154.10,157.15,156.85,155.75,2169551,12216,442220,20.38
19-Oct-2016,156.85,157.85,159.50,155.00,155.50,156.35,156.80,1883076,8419,197180,10.47
20-Oct-2016,156.35,156.35,158.10,155.05,155.85,156.25,156.57,2557308,12398,571428,22.34
21-Oct-2016,156.25,156.80,156.80,152.95,154.40,154.60,154.65,2208065,7805,798237,36.15
24-Oct-2016,154.60,155.80,158.00,154.10,157.20,156.70,156.29,2272301,18225,771642,33.96
25-Oct-2016,156.70,158.00,159.00,155.25,158.50,158.50,157.23,2391423,14990,691417,28.91
26-Oct-2016,158.50,158.00,161.85,154.75,155.65,156.35,158.63,3575108,22677,975741,27.29
27-Oct-2016,156.35,155.55,156.80,151.75,154.50,154.40,153.88,3273746,17526,678050,20.71
28-Oct-2016,154.40,154.25,157.50,154.20,157.25,157.05,156.68,2891228,14991,1534995,53.09
30-Oct-2016,157.05,158.55,159.25,157.50,158.40,158.20,158.31,911306,5823,618750,67.90
01-Nov-2016,158.20,159.00,162.70,158.25,160.40,159.90,160.27,2725963,17540,733428,26.91
02-Nov-2016,159.90,157.75,159.65,154.75,155.25,155.15,156.73,2008499,11802,561189,27.94
03-Nov-2016,155.15,155.95,157.20,150.10,150.90,151.50,153.61,2646298,12353,547540,20.69
04-Nov-2016,151.50,151.50,152.95,142.65,149.00,147.70,147.02,3006291,15817,697762,23.21
07-Nov-2016,147.70,150.65,153.45,150.45,151.50,151.50,152.10,1794371,9460,397979,22.18
08-Nov-2016,151.50,152.70,156.60,149.80,155.75,155.55,153.01,2290860,12023,506088,22.09
09-Nov-2016,155.55,141.10,148.55,132.50,146.25,147.30,139.86,9740906,39286,3095209,31.78
10-Nov-2016,147.30,149.90,151.75,141.65,142.70,142.65,147.42,3621833,15327,1273047,35.15
11-Nov-2016,142.65,142.00,142.00,130.00,132.00,131.85,133.96,5755924,27451,1303663,22.65
15-Nov-2016,131.85,130.00,131.85,117.25,118.90,118.35,121.61,6467670,29861,2628020,40.63
16-Nov-2016,118.35,120.00,123.10,114.65,115.35,115.65,118.01,6371046,28652,2180574,34.23
17-Nov-2016,115.65,116.75,117.20,110.60,112.80,112.00,113.16,5875639,39993,1861088,31.67
18-Nov-2016,112.00,112.10,118.00,109.50,116.20,116.75,114.59,7470848,50059,1653702,22.14
21-Nov-2016,116.75,119.90,121.00,104.30,107.70,106.55,112.01,13358928,63490,2757191,20.64
22-Nov-2016,106.55,109.65,115.50,108.05,114.95,114.50,112.22,12336321,57072,2344048,19.00
23-Nov-2016,114.50,116.80,117.50,112.90,114.85,114.65,114.70,4713919,27396,973625,20.65
24-Nov-2016,114.65,114.40,116.85,110.90,113.85,114.15,113.90,6309357,22326,2152616,34.12
25-Nov-2016,114.15,114.55,118.85,113.90,117.50,117.90,116.98,5092752,23748,1469532,28.86
28-Nov-2016,117.90,117.40,120.70,116.50,117.50,117.85,118.67,6847579,49017,2507338,36.62
29-Nov-2016,117.85,118.05,121.30,116.60,116.75,117.00,119.16,5827176,44846,1420861,24.38
30-Nov-2016,117.00,118.00,120.20,117.40,119.65,119.65,119.14,5529714,39941,1857602,33.59
01-Dec-2016,119.65,120.60,120.70,117.00,117.80,117.65,118.01,3972629,19418,1737061,43.73
02-Dec-2016,117.65,116.15,116.75,109.80,111.10,110.95,112.95,5541698,33343,1812530,32.71
05-Dec-2016,110.95,111.00,112.90,106.30,111.90,112.10,110.08,7186020,38284,1549701,21.57
06-Dec-2016,112.10,113.60,115.75,112.90,114.70,114.50,114.61,4198035,21768,760083,18.11
07-Dec-2016,114.50,115.50,115.80,111.15,112.40,112.05,113.86,3179257,15004,1249518,39.30
08-Dec-2016,112.05,113.95,115.70,113.00,114.20,114.25,114.52,2978520,13721,822367,27.61
09-Dec-2016,114.25,114.90,117.80,114.10,117.15,117.00,116.61,4022328,19698,1046863,26.03
12-Dec-2016,117.00,117.45,117.45,113.25,114.20,114.35,115.24,2768502,16808,927071,33.49
13-Dec-2016,114.35,114.05,116.80,113.00,116.50,116.10,114.55,2112203,12026,450319,21.32
14-Dec-2016,116.10,116.00,116.05,111.05,112.00,112.30,112.67,4754147,17073,2294080,48.25
15-Dec-2016,112.30,111.70,114.80,110.50,112.70,112.85,112.94,2684684,11611,443991,16.54
16-Dec-2016,112.85,113.30,113.65,110.45,111.70,111.45,111.76,2350539,11864,676104,28.76
19-Dec-2016,111.45,111.00,112.95,109.10,110.90,110.95,110.93,1828280,9578,279550,15.29
20-Dec-2016,110.95,110.90,114.90,110.60,112.50,112.25,112.96,4497894,23985,880730,19.58
21-Dec-2016,112.25,113.00,114.35,112.30,113.10,113.30,113.32,1919299,11901,310408,16.17
22-Dec-2016,113.30,112.80,113.40,110.55,111.80,111.65,111.88,2544947,13931,558085,21.93
23-Dec-2016,111.65,111.50,113.30,109.80,111.80,112.15,111.62,3104304,16040,622770,20.06
26-Dec-2016,112.15,111.80,111.80,107.50,107.70,107.80,109.27,2328882,9841,470268,20.19
27-Dec-2016,107.80,107.80,112.40,105.10,112.40,111.45,108.71,3285750,16161,668669,20.35
28-Dec-2016,111.45,112.25,114.40,110.60,110.95,111.15,112.52,3595952,18224,1572865,43.74
29-Dec-2016,111.15,111.00,113.40,111.00,112.85,112.70,112.41,3706054,12814,1411329,38.08
30-Dec-2016,112.70,113.00,117.50,113.00,116.55,116.60,116.06,4499501,18428,1461110,32.47
02-Jan-2017,116.60,118.80,123.20,118.15,122.90,122.65,120.78,6260380,28659,1186860,18.96
03-Jan-2017,122.65,123.00,123.75,121.50,122.50,122.60,122.80,3042059,14236,496204,16.31
04-Jan-2017,122.60,122.95,124.70,121.00,121.90,122.00,122.57,2242091,11456,370216,16.51
05-Jan-2017,122.00,123.00,126.65,122.55,125.85,125.85,124.86,3533726,15975,978515,27.69
06-Jan-2017,125.85,126.10,127.60,123.55,125.60,125.40,125.78,3990823,18481,1162846,29.14
09-Jan-2017,125.40,125.90,127.00,124.95,126.75,126.50,125.89,1296044,10246,318399,24.57
10-Jan-2017,126.50,127.80,129.80,126.25,129.40,129.20,128.07,2581852,16464,666121,25.80
11-Jan-2017,129.20,131.00,135.20,130.05,133.60,133.90,132.82,4497969,20935,1555052,34.57
12-Jan-2017,133.90,134.55,134.80,132.10,134.25,134.20,133.35,2516056,15106,688381,27.36
13-Jan-2017,134.20,134.20,135.45,130.05,131.25,131.60,131.80,2454692,13582,649897,26.48
16-Jan-2017,131.60,131.00,136.60,130.25,135.70,135.65,134.46,3888490,18596,962041,24.74
17-Jan-2017,135.65,136.30,137.20,133.00,134.15,134.40,134.66,2655673,13907,873677,32.90
18-Jan-2017,134.40,134.60,138.80,134.45,138.80,137.90,137.26,3085523,15712,927286,30.05
19-Jan-2017,137.90,138.70,139.85,136.70,137.80,138.40,138.20,2536399,14048,613981,24.21
20-Jan-2017,138.40,137.20,139.50,134.50,136.00,135.85,136.83,3725606,17649,1170287,31.41
23-Jan-2017,135.85,135.50,139.80,135.40,139.25,139.10,138.61,3558253,16846,1375179,38.65
24-Jan-2017,139.10,139.80,144.05,138.35,143.70,143.30,141.96,5200041,30584,2015093,38.75
25-Jan-2017,143.30,144.05,144.30,141.10,142.25,142.85,142.64,3715632,24110,1418561,38.18
27-Jan-2017,142.85,143.50,148.95,140.80,145.50,144.90,145.75,10816913,63090,1242183,11.48
30-Jan-2017,144.90,145.40,147.70,143.05,146.70,146.50,145.94,5015868,30462,1759208,35.07
31-Jan-2017,146.50,146.50,148.45,144.50,145.25,145.70,146.32,3564582,22686,950242,26.66
01-Feb-2017,145.70,146.25,161.50,144.75,160.90,159.20,154.39,12028754,57137,2409284,20.03
02-Feb-2017,159.20,160.90,164.20,158.15,158.90,159.20,160.51,8097720,43780,2039202,25.18
03-Feb-2017,159.20,160.20,163.50,159.20,162.60,162.40,161.53,4773289,30254,1398670,29.30
06-Feb-2017,162.40,163.50,166.80,162.75,164.05,164.25,164.68,5073655,28091,1334245,26.30
07-Feb-2017,164.25,164.30,165.95,160.50,165.20,164.40,163.29,2692085,18197,501424,18.63
08-Feb-2017,164.40,164.95,165.90,162.00,164.65,164.20,163.80,3315331,16108,883307,26.64
09-Feb-2017,164.20,163.85,167.20,160.35,162.50,162.25,163.01,3671912,21037,613430,16.71
10-Feb-2017,162.25,162.85,164.25,161.60,163.15,163.30,163.06,1912957,13521,633841,33.13
13-Feb-2017,163.30,164.00,164.25,157.45,160.00,160.05,160.38,3191829,17886,983088,30.80
14-Feb-2017,160.05,160.20,160.80,154.65,155.80,157.40,157.19,1949228,12213,303705,15.58
15-Feb-2017,157.40,156.80,159.30,152.00,152.70,153.20,155.32,2896419,17906,463601,16.01
16-Feb-2017,153.20,152.90,165.20,152.75,164.50,164.40,160.54,6446446,31442,1780448,27.62
17-Feb-2017,164.40,163.05,164.50,161.15,162.50,162.35,162.77,2701412,15948,492056,18.21
20-Feb-2017,162.35,162.00,164.15,160.55,163.15,162.85,162.77,2155666,13915,714699,33.15
21-Feb-2017,162.85,163.95,173.80,161.70,172.20,172.25,169.35,13120721,69643,3637632,27.72
22-Feb-2017,172.25,172.95,172.95,166.60,167.15,167.45,169.15,4416946,29588,1159602,26.25
23-Feb-2017,167.45,167.50,169.70,165.80,166.45,166.50,167.52,2430647,12276,659800,27.15
27-Feb-2017,166.50,165.50,167.40,162.70,164.00,164.20,164.59,1766569,9027,589916,33.39
28-Feb-2017,164.20,164.60,171.95,162.80,170.20,170.10,167.94,4548963,26534,1307015,28.73
01-Mar-2017,170.10,170.90,171.75,168.25,168.70,169.05,169.75,2506870,16144,388214,15.49
02-Mar-2017,169.05,170.40,171.15,160.10,161.35,161.55,166.24,3483973,17693,789180,22.65
03-Mar-2017,161.55,162.05,166.20,161.50,165.40,165.65,164.60,2595991,13830,496282,19.12
06-Mar-2017,165.65,167.00,167.60,164.20,165.90,165.95,166.13,2191062,12480,282568,12.90
07-Mar-2017,165.95,165.10,166.80,162.60,163.80,163.75,164.41,1325381,8501,287486,21.69
08-Mar-2017,163.75,163.75,164.60,156.20,159.65,159.95,159.86,3816443,16949,1150326,30.14
09-Mar-2017,159.95,160.00,162.70,159.10,159.20,159.65,160.65,2532487,16978,571361,22.56
10-Mar-2017,159.65,160.20,161.00,156.00,156.25,156.60,158.29,3562146,24822,1189768,33.40
