DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,155.30,153.30,186.35,145.00,186.35,186.35,172.52,7287904,56484,1233773,16.93
03-Aug-2016,186.35,194.00,199.00,177.70,180.85,180.10,186.19,4381357,46297,734824,16.77
04-Aug-2016,180.10,180.75,213.80,178.60,199.00,197.80,200.86,11695369,105541,1513083,12.94
05-Aug-2016,197.80,200.70,204.50,193.25,203.00,202.00,199.98,3502439,46506,493625,14.09
08-Aug-2016,202.00,203.00,206.20,195.20,196.20,197.40,201.11,1840944,17801,480572,26.10
09-Aug-2016,197.40,197.05,205.05,195.80,204.20,203.40,201.26,2885448,26601,749231,25.97
10-Aug-2016,203.40,204.15,204.35,197.00,198.00,198.55,200.55,866371,14903,206231,23.80
11-Aug-2016,198.55,199.00,202.70,186.40,192.90,192.90,197.79,896430,13565,388540,43.34
12-Aug-2016,192.90,194.20,205.80,193.95,205.00,204.20,201.89,1385095,18055,449917,32.48
16-Aug-2016,204.20,203.90,206.50,200.20,205.05,204.80,204.79,1138624,14987,425141,37.34
17-Aug-2016,204.80,204.10,219.70,202.95,217.15,217.40,214.16,2798834,27840,707793,25.29
18-Aug-2016,217.40,219.30,236.80,219.25,228.25,228.15,229.79,6741356,61905,2210518,32.79
19-Aug-2016,228.15,229.00,232.00,225.50,228.85,229.20,228.59,1777772,21344,472266,26.57
22-Aug-2016,229.20,231.00,231.00,222.30,224.50,223.80,225.50,773781,10789,256999,33.21
23-Aug-2016,223.80,225.00,233.00,219.15,227.70,228.65,226.52,1388941,15392,304140,21.90
24-Aug-2016,228.65,229.80,234.50,225.75,229.00,228.35,229.64,1061589,18703,304094,28.65
25-Aug-2016,228.35,230.00,231.20,220.10,223.00,223.80,227.45,651480,8070,222528,34.16
26-Aug-2016,223.80,223.25,226.95,221.05,223.00,222.60,223.86,428205,6672,134203,31.34
29-Aug-2016,222.60,222.60,228.30,219.90,223.90,225.05,224.75,607093,12332,204925,33.76
30-Aug-2016,225.05,225.00,231.50,224.00,227.00,229.10,227.80,827407,11090,241240,29.16
31-Aug-2016,229.10,229.80,230.90,223.00,224.50,224.95,227.66,541528,11163,206762,38.18
01-Sep-2016,224.95,224.00,229.85,219.30,220.00,223.60,225.97,482133,8689,164661,34.15
02-Sep-2016,223.60,223.65,224.50,215.00,219.25,219.45,221.47,392782,5287,136113,34.65
06-Sep-2016,219.45,221.45,240.65,221.00,236.95,235.10,232.19,1370997,13822,512909,37.41
07-Sep-2016,235.10,236.70,242.00,231.00,232.90,233.50,237.83,1641621,23915,388914,23.69
08-Sep-2016,233.50,234.00,240.50,233.00,234.30,234.75,236.36,634522,8291,165179,26.03
09-Sep-2016,234.75,235.40,236.00,227.00,228.40,228.65,231.09,454957,6013,167796,36.88
12-Sep-2016,228.65,223.00,223.40,215.00,216.90,216.55,219.08,639730,14616,263679,41.22
14-Sep-2016,216.55,217.00,223.45,216.00,218.55,218.55,219.95,488165,7470,149369,30.60
15-Sep-2016,218.55,222.00,222.00,212.10,213.50,214.40,217.01,319725,3729,127743,39.95
16-Sep-2016,214.40,216.80,220.65,213.00,217.30,216.95,217.55,605730,12973,266106,43.93
19-Sep-2016,216.95,217.20,220.75,215.45,217.30,216.60,217.93,290464,5182,88871,30.60
20-Sep-2016,216.60,216.60,218.40,215.80,215.85,216.50,217.04,193067,4840,81459,42.19
21-Sep-2016,216.50,216.00,218.80,213.50,214.35,214.15,215.82,236001,6203,115527,48.95
22-Sep-2016,214.15,218.05,220.05,215.50,216.30,216.60,217.50,206790,3343,61356,29.67
23-Sep-2016,216.60,217.10,217.20,213.00,214.50,213.80,215.06,143062,2252,43982,30.74
26-Sep-2016,213.80,214.55,216.50,208.20,208.85,209.20,211.42,355967,7903,163908,46.05
27-Sep-2016,209.20,210.00,210.85,204.65,206.35,206.90,207.18,321901,7521,129990,40.38
28-Sep-2016,206.90,208.75,235.50,206.60,230.50,227.70,221.16,1559454,15253,494446,31.71
29-Sep-2016,227.70,230.50,235.75,206.00,208.95,209.90,220.42,1181434,14255,316683,26.80
30-Sep-2016,209.90,210.00,216.25,207.55,211.00,211.10,212.54,617101,8050,175247,28.40
03-Oct-2016,211.10,214.30,229.75,213.20,222.10,223.80,223.39,1382954,14237,279327,20.20
