DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,311.80,312.10,329.65,307.15,310.50,310.65,312.45,39863,2023,21226,53.25
03-Aug-2016,310.65,310.00,315.00,305.20,312.10,312.55,310.91,26622,918,18762,70.48
04-Aug-2016,312.55,314.95,315.00,308.00,313.20,314.15,313.67,30167,445,27005,89.52
05-Aug-2016,314.15,315.00,316.00,313.10,315.00,315.10,314.79,14723,435,11153,75.75
08-Aug-2016,315.10,314.05,315.85,309.90,311.00,311.25,312.89,9217,403,5382,58.39
09-Aug-2016,311.25,311.25,323.90,311.25,322.00,321.90,319.82,24979,1009,17884,71.60
10-Aug-2016,321.90,323.90,326.20,312.30,323.00,322.25,321.27,32514,1429,22040,67.79
11-Aug-2016,322.25,324.00,325.00,313.05,320.00,318.65,318.01,8393,531,5385,64.16
12-Aug-2016,318.65,323.95,323.95,308.60,309.00,311.00,314.30,7786,493,4965,63.77
16-Aug-2016,311.00,312.00,316.90,301.05,307.75,307.20,307.71,8541,454,6584,77.09
17-Aug-2016,307.20,308.00,311.00,302.00,311.00,307.90,306.22,14533,869,11573,79.63
18-Aug-2016,307.90,309.50,313.95,303.60,305.60,305.65,308.35,10450,410,8540,81.72
19-Aug-2016,305.65,307.00,310.00,303.00,309.95,306.35,305.24,16660,350,13967,83.84
22-Aug-2016,306.35,310.00,313.00,297.00,302.00,300.30,303.75,14136,523,11622,82.22
23-Aug-2016,300.30,302.05,307.95,301.95,305.00,305.15,304.90,22523,435,18723,83.13
24-Aug-2016,305.15,307.50,320.00,306.75,317.00,317.10,315.55,274102,2093,232220,84.72
25-Aug-2016,317.10,319.50,323.00,316.80,320.00,320.00,319.82,80204,2767,61265,76.39
26-Aug-2016,320.00,323.55,326.80,306.00,309.55,309.90,313.65,43059,1601,25491,59.20
29-Aug-2016,309.90,312.35,325.00,305.40,315.00,314.90,319.05,46604,1017,27781,59.61
30-Aug-2016,314.90,318.95,321.20,310.35,321.20,319.75,316.86,18291,1123,11105,60.71
31-Aug-2016,319.75,321.50,321.75,314.00,315.00,315.05,317.14,8535,411,4567,53.51
01-Sep-2016,315.05,310.60,323.45,309.05,315.00,319.15,320.00,368745,1009,335520,90.99
02-Sep-2016,319.15,318.95,324.90,317.05,322.20,322.75,320.98,34913,700,29337,84.03
06-Sep-2016,322.75,324.90,324.90,317.55,321.50,321.60,320.12,49158,510,45592,92.75
07-Sep-2016,321.60,321.65,362.00,296.90,331.00,332.60,327.47,1083207,16890,378524,34.94
08-Sep-2016,332.60,326.10,331.00,319.55,322.90,323.15,324.67,43138,1786,15422,35.75
09-Sep-2016,323.15,325.00,325.95,317.05,320.00,320.05,320.34,24237,716,14791,61.03
12-Sep-2016,320.05,316.00,318.50,311.40,315.20,314.20,314.79,14456,575,10457,72.34
14-Sep-2016,314.20,308.00,320.05,308.00,314.20,315.95,313.75,18485,606,11506,62.25
15-Sep-2016,315.95,314.70,319.00,312.10,318.50,317.55,316.40,18078,952,10260,56.75
16-Sep-2016,317.55,320.35,324.50,313.00,315.00,314.95,318.82,33428,808,26331,78.77
19-Sep-2016,314.95,315.00,324.00,307.10,323.00,322.40,317.70,22393,880,13699,61.18
20-Sep-2016,322.40,322.00,333.00,318.35,327.90,328.00,328.60,40855,1509,15593,38.17
