DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,705.85,691.10,741.00,691.10,727.90,727.40,723.41,707116,8082,92072,13.02
03-Aug-2016,727.40,728.00,737.40,705.15,734.00,725.85,723.16,626667,6284,56833,9.07
04-Aug-2016,725.85,730.00,768.80,730.00,758.10,759.60,750.41,438345,8478,68332,15.59
05-Aug-2016,759.60,762.55,844.00,752.10,820.00,823.35,791.49,656589,15890,109153,16.62
08-Aug-2016,823.35,828.00,831.50,796.65,809.95,810.15,812.01,558120,10529,79948,14.32
09-Aug-2016,810.15,811.80,812.15,785.30,798.00,798.30,801.81,508116,10295,68450,13.47
10-Aug-2016,798.30,805.00,814.50,795.50,802.85,803.00,808.27,534668,10188,65914,12.33
11-Aug-2016,803.00,782.00,815.00,782.00,803.50,805.00,806.22,426194,14141,57747,13.55
12-Aug-2016,805.00,803.25,833.45,797.15,812.00,821.00,821.32,544449,12033,95942,17.62
16-Aug-2016,821.00,830.00,844.90,800.00,803.00,805.70,821.70,622801,23952,113488,18.22
17-Aug-2016,805.70,807.00,823.95,802.70,810.60,813.25,815.98,557478,7812,93938,16.85
18-Aug-2016,813.25,815.70,823.00,783.15,789.95,788.00,804.22,471356,6787,132035,28.01
19-Aug-2016,788.00,790.00,803.00,783.05,788.10,791.05,796.64,509204,7408,108936,21.39
22-Aug-2016,791.05,790.00,814.35,785.50,803.50,804.25,804.51,501365,7825,104628,20.87
23-Aug-2016,804.25,809.95,829.80,804.00,807.00,808.30,811.70,477048,10305,72474,15.19
24-Aug-2016,808.30,800.00,822.70,800.00,809.00,809.60,816.14,460320,9247,72760,15.81
25-Aug-2016,809.60,815.60,826.40,805.00,810.00,809.20,815.00,468815,8930,110456,23.56
26-Aug-2016,809.20,812.25,827.00,809.90,819.90,823.20,819.88,491602,30139,66759,13.58
29-Aug-2016,823.20,858.00,860.00,815.00,834.00,826.60,825.70,441828,19964,67127,15.19
30-Aug-2016,826.60,830.00,843.60,825.00,834.70,827.40,832.49,511107,17968,102392,20.03
31-Aug-2016,827.40,835.45,851.00,826.10,830.00,829.15,834.75,436543,8994,59783,13.69
01-Sep-2016,829.15,837.65,939.80,830.55,888.00,903.75,860.05,628055,21195,80085,12.75
02-Sep-2016,903.75,894.20,915.00,851.50,882.80,886.80,892.33,541511,10556,58904,10.88
06-Sep-2016,886.80,888.00,908.00,887.00,893.00,891.75,897.07,467303,6915,65131,13.94
07-Sep-2016,891.75,895.00,908.00,886.70,900.00,898.00,897.47,480992,6219,58820,12.23
08-Sep-2016,898.00,904.95,916.90,873.00,875.25,881.40,896.02,448123,6139,77727,17.35
09-Sep-2016,881.40,885.00,890.00,846.00,858.10,858.40,871.64,465139,6613,73556,15.81
12-Sep-2016,858.40,846.90,860.00,841.60,849.00,847.60,852.94,474785,6328,54389,11.46
14-Sep-2016,847.60,836.05,859.10,836.05,853.05,851.05,852.27,500869,6877,71135,14.20
15-Sep-2016,851.05,857.00,864.80,848.05,864.50,854.55,856.97,354212,6062,56513,15.95
16-Sep-2016,854.55,868.00,905.00,852.30,880.00,889.10,876.47,461021,9161,73325,15.90
19-Sep-2016,889.10,892.30,911.90,874.25,891.00,884.55,894.60,541593,7472,62284,11.50
20-Sep-2016,884.55,892.65,917.00,885.10,904.00,904.10,900.91,507924,7155,57325,11.29
21-Sep-2016,904.10,909.00,961.75,905.00,937.00,938.30,918.10,565165,9347,71467,12.65
22-Sep-2016,938.30,949.00,1074.00,927.05,936.60,938.50,944.89,575037,8820,92379,16.06
23-Sep-2016,938.50,945.00,962.00,910.00,956.00,947.90,929.49,549165,7443,92177,16.78
26-Sep-2016,947.90,947.70,950.05,897.00,897.00,903.15,928.30,574128,7903,96961,16.89
