DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1085.25,1079.90,1085.00,1075.00,1085.00,1083.80,1079.83,3411251,74776,2617201,76.72
03-Aug-2016,1083.80,1085.65,1086.50,1070.30,1085.00,1084.90,1078.92,3606730,93756,2647344,73.40
04-Aug-2016,1084.90,1086.40,1086.90,1070.05,1071.45,1071.80,1074.90,2118639,64592,1505266,71.05
05-Aug-2016,1071.80,1072.00,1073.45,1060.00,1065.05,1068.00,1066.86,2804984,98969,1697874,60.53
08-Aug-2016,1068.00,1069.00,1081.00,1062.55,1074.40,1078.70,1074.88,2321532,86035,1538673,66.28
09-Aug-2016,1078.70,1077.00,1084.50,1071.50,1080.40,1083.40,1079.81,3596332,79692,2669754,74.24
10-Aug-2016,1083.40,1076.00,1087.90,1075.20,1079.95,1082.35,1080.96,2788227,72781,2075895,74.45
11-Aug-2016,1082.35,1081.70,1095.00,1075.25,1078.75,1077.35,1081.51,2519276,68282,1777921,70.57
12-Aug-2016,1077.35,1075.05,1078.80,1060.00,1061.60,1062.55,1069.52,3724964,116371,3085743,82.84
16-Aug-2016,1062.55,1042.00,1058.05,1028.00,1052.20,1051.80,1046.71,8214704,177774,5903358,71.86
17-Aug-2016,1051.80,1049.95,1052.65,1030.50,1034.40,1033.30,1037.78,3299658,134252,2205748,66.85
18-Aug-2016,1033.30,1036.50,1039.10,1021.50,1023.00,1023.40,1028.77,4217000,113563,3276027,77.69
19-Aug-2016,1023.40,1030.00,1039.00,1018.45,1022.15,1021.30,1026.81,2843008,132229,1815522,63.86
22-Aug-2016,1021.30,1018.00,1030.00,1009.10,1015.90,1015.45,1014.33,5126759,184159,3990981,77.85
23-Aug-2016,1015.45,1020.10,1042.00,1020.10,1039.95,1039.65,1033.85,3703069,135014,2009540,54.27
24-Aug-2016,1039.65,1047.00,1062.05,1047.00,1055.15,1057.40,1056.00,3064983,118286,1918920,62.61
25-Aug-2016,1057.40,1055.00,1057.60,1032.10,1036.90,1036.15,1041.32,2398281,67028,1496593,62.40
26-Aug-2016,1036.15,1036.00,1046.00,1017.05,1019.70,1020.25,1028.03,3440527,144271,2349851,68.30
29-Aug-2016,1020.25,1017.60,1030.00,1011.00,1029.05,1022.80,1018.39,2610141,137001,1817146,69.62
30-Aug-2016,1022.80,1032.45,1045.00,1025.00,1040.25,1040.40,1035.23,2187719,76218,1290759,59.00
31-Aug-2016,1040.40,1037.10,1045.75,1027.80,1033.85,1035.85,1037.31,5569907,131672,4051768,72.74
01-Sep-2016,1035.85,1038.00,1040.45,1032.00,1037.00,1037.55,1036.28,1438913,48366,926487,64.39
02-Sep-2016,1037.55,1039.05,1040.00,1026.20,1030.00,1031.85,1032.75,1666296,67456,1008397,60.52
