DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,219.55,219.90,225.00,216.75,219.00,219.05,220.64,211857,3301,88489,41.77
03-Aug-2016,219.05,220.00,221.00,216.10,216.40,216.65,218.04,87974,1666,50082,56.93
04-Aug-2016,216.65,218.25,219.00,215.05,215.25,215.80,216.86,93998,2540,55936,59.51
05-Aug-2016,215.80,217.00,222.00,216.30,218.95,218.60,219.51,139863,2353,66525,47.56
08-Aug-2016,218.60,220.55,222.75,206.10,209.20,208.75,212.41,658692,9455,214274,32.53
09-Aug-2016,208.75,210.00,211.90,199.30,200.75,200.75,203.47,515926,13390,280302,54.33
10-Aug-2016,200.75,201.00,201.20,193.00,194.00,193.85,197.07,391105,9193,178412,45.62
11-Aug-2016,193.85,194.70,196.90,190.35,190.80,190.95,193.80,335040,8565,179752,53.65
12-Aug-2016,190.95,191.00,193.30,183.65,184.00,184.70,188.23,258851,6187,162596,62.81
16-Aug-2016,184.70,183.60,186.00,181.30,182.00,182.20,182.96,205666,3179,110830,53.89
17-Aug-2016,182.20,183.00,195.70,181.15,188.75,188.85,190.22,472753,8632,222523,47.07
18-Aug-2016,188.85,190.45,192.00,186.50,188.15,188.15,188.86,124066,3484,63242,50.97
19-Aug-2016,188.15,188.60,198.00,188.15,193.00,193.65,194.29,726817,9182,436448,60.05
22-Aug-2016,193.65,194.70,203.00,193.00,194.00,193.80,197.62,599896,13065,264059,44.02
23-Aug-2016,193.80,194.75,195.55,188.05,191.00,190.95,191.75,202475,6156,96538,47.68
24-Aug-2016,190.95,191.85,195.00,188.30,189.70,189.40,191.33,299153,5507,188188,62.91
25-Aug-2016,189.40,190.15,193.50,187.60,188.40,188.75,190.16,593936,8139,443845,74.73
26-Aug-2016,188.75,189.00,191.95,188.10,189.05,188.85,189.77,156031,2666,79068,50.67
29-Aug-2016,188.85,190.00,190.35,183.55,183.90,184.50,186.80,192956,5156,110691,57.37
30-Aug-2016,184.50,185.90,188.90,183.10,185.00,185.05,185.07,281376,3464,181911,64.65
31-Aug-2016,185.05,186.85,190.50,185.25,188.20,188.25,188.09,218029,3374,115209,52.84
01-Sep-2016,188.25,189.65,190.25,184.20,185.15,186.10,187.50,378379,5697,174781,46.19
02-Sep-2016,186.10,187.00,193.00,185.85,190.00,191.65,190.04,423840,5146,223602,52.76
06-Sep-2016,191.65,163.00,184.40,163.00,182.10,180.45,179.06,2744933,32580,1207354,43.98
07-Sep-2016,180.45,181.00,182.90,178.10,179.20,180.00,180.29,548721,8787,367448,66.96
08-Sep-2016,180.00,180.00,180.10,167.40,170.50,171.05,175.69,639352,6220,510995,79.92
09-Sep-2016,171.05,170.00,183.00,166.00,178.50,179.10,175.64,1034648,13509,430686,41.63
12-Sep-2016,179.10,175.00,184.40,173.95,177.25,177.35,181.04,1548781,27916,1250424,80.74
14-Sep-2016,177.35,178.00,204.40,176.10,197.65,198.45,196.21,3186362,38645,813686,25.54
15-Sep-2016,198.45,199.30,204.50,191.20,194.00,194.05,197.67,856188,12638,301231,35.18
16-Sep-2016,194.05,195.05,201.95,192.00,197.50,199.05,198.12,1157870,12365,574409,49.61
