DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,27.00,27.10,27.25,26.85,26.90,26.90,27.02,837864,1676,370904,44.27
03-Aug-2016,26.90,26.90,27.20,26.55,26.70,26.65,26.86,1154053,2118,545363,47.26
04-Aug-2016,26.65,26.80,27.05,26.45,26.70,26.75,26.77,1132662,2587,374415,33.06
05-Aug-2016,26.75,26.90,28.10,26.80,27.60,27.55,27.61,3305979,4027,1841934,55.72
08-Aug-2016,27.55,27.70,27.95,27.05,27.60,27.50,27.49,970531,1898,374859,38.62
09-Aug-2016,27.50,27.55,27.70,27.05,27.35,27.25,27.37,1056726,2178,391623,37.06
10-Aug-2016,27.25,25.90,26.90,25.85,26.35,26.45,26.30,3175079,6016,887645,27.96
11-Aug-2016,26.45,26.40,26.50,26.15,26.20,26.20,26.25,870261,1785,401475,46.13
12-Aug-2016,26.20,26.40,26.75,26.10,26.25,26.30,26.40,1663819,2731,644407,38.73
16-Aug-2016,26.30,26.40,26.45,26.10,26.25,26.25,26.26,747261,1409,292592,39.16
17-Aug-2016,26.25,26.25,26.50,26.15,26.35,26.30,26.33,1023242,2041,362607,35.44
18-Aug-2016,26.30,26.35,26.55,26.35,26.45,26.40,26.44,533659,1533,276591,51.83
19-Aug-2016,26.40,26.45,26.70,26.40,26.65,26.65,26.59,867218,1725,433432,49.98
22-Aug-2016,26.65,27.50,27.50,26.65,26.70,26.70,26.85,1077701,1768,423741,39.32
23-Aug-2016,26.70,26.70,26.75,26.35,26.55,26.50,26.51,1033018,1622,442362,42.82
24-Aug-2016,26.50,26.50,26.65,26.40,26.60,26.55,26.53,539272,1085,251360,46.61
25-Aug-2016,26.55,26.60,26.75,26.30,26.40,26.35,26.52,694582,1701,351089,50.55
26-Aug-2016,26.35,26.45,26.60,26.30,26.35,26.40,26.44,967124,1596,435099,44.99
29-Aug-2016,26.40,26.50,26.55,26.30,26.40,26.40,26.43,671717,1482,259481,38.63
30-Aug-2016,26.40,26.45,26.95,26.40,26.60,26.75,26.67,1603856,1999,827875,51.62
31-Aug-2016,26.75,26.75,26.90,26.55,26.55,26.60,26.69,951226,1624,363228,38.19
01-Sep-2016,26.60,26.65,26.65,26.20,26.30,26.25,26.41,915389,1638,349383,38.17
02-Sep-2016,26.25,26.30,26.45,26.25,26.40,26.40,26.37,456653,1007,180934,39.62
06-Sep-2016,26.40,26.60,26.65,26.40,26.45,26.40,26.48,772967,1644,374404,48.44
07-Sep-2016,26.40,26.50,27.35,26.40,26.80,26.90,26.90,3132984,4481,1258215,40.16
08-Sep-2016,26.90,26.90,28.55,26.85,28.35,28.40,28.10,8716268,13073,3735506,42.86
09-Sep-2016,28.40,28.95,29.15,27.90,28.00,28.00,28.33,5399500,8193,2646041,49.01
12-Sep-2016,28.00,28.00,28.05,26.95,27.10,27.05,27.39,3753734,9051,2133027,56.82
14-Sep-2016,27.05,26.90,27.60,26.85,27.50,27.50,27.33,1425877,2915,552462,38.75
15-Sep-2016,27.50,27.20,27.75,27.15,27.40,27.40,27.48,1155133,2071,480354,41.58
16-Sep-2016,27.40,27.65,27.90,27.15,27.40,27.35,27.52,2576950,3781,1062000,41.21
19-Sep-2016,27.35,27.55,27.55,26.90,27.10,27.10,27.27,1231414,2289,533191,43.30
20-Sep-2016,27.10,27.20,27.25,26.95,27.00,27.00,27.07,478687,1086,279327,58.35
21-Sep-2016,27.00,27.00,27.30,26.90,26.95,26.95,27.11,545147,1378,244618,44.87
22-Sep-2016,26.95,27.20,27.40,27.10,27.20,27.20,27.23,657928,1459,326357,49.60
23-Sep-2016,27.20,27.40,27.40,26.65,26.70,26.75,26.97,1025278,1988,646943,63.10
26-Sep-2016,26.75,26.75,26.80,26.40,26.50,26.50,26.53,923969,1873,490439,53.08
