DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,510.35,511.00,518.80,508.20,513.00,513.55,513.97,398618,9262,281889,70.72
03-Aug-2016,513.55,510.10,517.00,505.50,508.95,509.40,510.39,143765,4582,64986,45.20
04-Aug-2016,509.40,511.20,529.15,510.00,517.50,518.40,522.19,446730,10727,208095,46.58
05-Aug-2016,518.40,521.95,524.85,515.50,517.75,518.40,520.63,140634,4466,71019,50.50
08-Aug-2016,518.40,519.00,523.00,510.15,514.00,512.25,515.40,127765,3846,73013,57.15
09-Aug-2016,512.25,514.95,515.50,502.00,508.25,507.35,508.33,110681,4874,40702,36.77
10-Aug-2016,507.35,508.95,515.00,496.75,501.00,501.75,503.28,186565,5643,99175,53.16
11-Aug-2016,501.75,505.00,537.30,493.10,523.70,524.35,526.00,1910728,39271,458314,23.99
12-Aug-2016,524.35,529.95,534.75,525.00,528.55,531.60,530.43,454559,9559,210435,46.29
16-Aug-2016,531.60,530.20,533.95,511.75,514.00,517.55,519.70,205550,5160,98103,47.73
17-Aug-2016,517.55,518.75,526.40,515.10,519.20,520.40,521.20,171475,9733,73346,42.77
18-Aug-2016,520.40,521.75,524.00,516.60,517.45,517.40,519.67,84878,3573,40112,47.26
19-Aug-2016,517.40,517.65,522.80,510.05,513.20,513.15,517.09,77603,2726,37795,48.70
22-Aug-2016,513.15,517.00,519.85,508.65,509.00,511.70,513.70,66817,6256,36347,54.40
23-Aug-2016,511.70,511.70,517.65,509.10,509.10,511.45,512.91,76565,6096,35690,46.61
24-Aug-2016,511.45,514.50,547.85,513.05,547.00,544.00,536.16,687762,14899,286009,41.59
25-Aug-2016,544.00,550.50,559.90,537.05,539.10,543.40,551.77,422769,12160,164059,38.81
26-Aug-2016,543.40,545.90,552.80,540.10,552.00,550.75,548.39,198778,5638,90673,45.62
29-Aug-2016,550.75,555.00,557.20,545.10,548.65,548.95,550.90,105769,4513,49032,46.36
30-Aug-2016,548.95,550.00,553.00,540.10,540.55,542.80,546.81,88008,3418,41365,47.00
31-Aug-2016,542.80,543.15,551.80,538.00,538.00,541.20,545.45,110106,5584,59729,54.25
01-Sep-2016,541.20,541.20,546.85,532.30,538.35,536.90,539.06,77102,3116,38922,50.48
02-Sep-2016,536.90,540.00,544.00,537.50,540.10,541.25,540.52,66606,2108,26119,39.21
06-Sep-2016,541.25,543.80,578.00,541.30,570.00,572.95,563.12,635167,14442,393483,61.95
07-Sep-2016,572.95,573.00,576.00,560.20,564.25,566.50,565.26,225017,7229,120812,53.69
08-Sep-2016,566.50,565.40,583.05,561.65,579.65,578.70,574.61,192655,9486,70772,36.74
09-Sep-2016,578.70,584.35,595.35,582.00,588.00,587.60,588.44,350061,7508,161758,46.21
12-Sep-2016,587.60,579.75,584.60,568.00,574.00,573.10,575.33,94584,4118,49333,52.16
14-Sep-2016,573.10,572.50,591.00,570.00,576.00,576.15,577.68,247422,5979,89232,36.06
15-Sep-2016,576.15,582.00,583.70,575.00,575.00,576.45,578.37,54624,1793,27646,50.61
16-Sep-2016,576.45,578.95,594.70,578.95,589.00,590.00,589.61,225497,10841,145053,64.33
19-Sep-2016,590.00,595.00,600.95,585.10,589.10,591.35,593.75,211049,8181,103333,48.96
20-Sep-2016,591.35,591.00,596.90,590.00,590.05,591.45,591.46,103285,2871,62746,60.75
21-Sep-2016,591.45,591.50,598.00,588.00,591.00,590.00,592.19,283023,7656,249043,87.99
22-Sep-2016,590.00,599.50,617.80,590.85,615.00,614.30,606.06,274203,14241,126702,46.21
23-Sep-2016,614.30,618.90,618.95,595.00,595.00,596.30,601.44,355206,5284,299966,84.45
26-Sep-2016,596.30,596.40,599.90,577.20,592.00,592.75,590.72,196113,10874,137399,70.06
27-Sep-2016,592.75,595.00,605.00,594.00,600.00,599.20,598.87,244211,5298,198464,81.27
28-Sep-2016,599.20,601.95,609.70,601.95,609.50,608.70,606.05,132907,3605,59498,44.77
29-Sep-2016,608.70,608.75,609.90,587.00,608.50,604.45,601.11,248924,8644,182405,73.28
30-Sep-2016,604.45,601.00,604.45,588.00,599.20,599.50,595.50,296699,6292,254716,85.85
03-Oct-2016,599.50,599.55,609.55,599.55,606.00,608.90,604.95,173285,7875,140427,81.04
04-Oct-2016,608.90,603.00,624.85,603.00,620.30,620.35,615.93,110195,4178,41612,37.76
05-Oct-2016,620.35,620.35,628.90,612.00,614.30,617.40,621.98,103876,4215,38937,37.48
06-Oct-2016,617.40,617.45,625.00,606.00,611.00,610.65,615.79,66185,3548,31173,47.10
07-Oct-2016,610.65,610.65,615.85,603.50,603.50,606.85,608.39,37755,1545,22459,59.49
10-Oct-2016,606.85,606.85,626.00,605.50,619.30,621.50,617.57,78619,5330,46629,59.31
13-Oct-2016,621.50,622.00,638.00,604.20,611.45,616.50,623.16,332408,6202,257493,77.46
14-Oct-2016,616.50,619.00,627.40,613.80,618.05,619.95,621.79,77936,2494,47969,61.55
17-Oct-2016,619.95,620.55,630.80,606.70,608.00,612.50,620.37,76493,3215,46033,60.18
18-Oct-2016,612.50,614.00,625.00,611.00,619.40,619.80,618.17,49799,2424,32203,64.67
19-Oct-2016,619.80,612.10,629.25,612.10,623.50,626.25,623.05,38600,2893,22505,58.30
20-Oct-2016,626.25,615.10,626.15,612.05,613.05,614.05,617.07,110493,3256,78704,71.23
21-Oct-2016,614.05,615.05,633.95,608.00,624.00,627.00,622.07,71730,2896,30857,43.02
24-Oct-2016,627.00,626.95,639.00,618.50,627.05,633.15,628.76,87264,3366,49055,56.21
25-Oct-2016,633.15,634.00,644.00,630.10,631.00,632.65,634.87,47805,2078,25698,53.76
26-Oct-2016,632.65,630.00,638.00,615.05,628.00,620.30,622.84,76063,3351,44986,59.14
27-Oct-2016,620.30,626.70,627.15,613.05,616.90,618.10,618.56,40579,1593,24680,60.82
28-Oct-2016,618.10,618.10,620.05,606.00,610.00,609.65,614.04,87014,2688,53749,61.77
30-Oct-2016,609.65,622.00,623.00,614.45,619.00,620.80,619.90,21533,1511,14574,67.68
01-Nov-2016,620.80,620.80,621.00,605.00,615.00,613.80,613.43,80601,4656,47072,58.40
