DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,214.95,215.20,216.20,210.60,212.00,211.85,212.44,1995519,31714,1208481,60.56
03-Aug-2016,211.85,212.00,212.90,206.15,206.55,206.60,208.39,1020552,10618,438426,42.96
04-Aug-2016,206.60,208.10,210.70,205.60,210.60,209.90,208.77,1027128,16407,348340,33.91
05-Aug-2016,209.90,211.60,212.50,210.80,211.15,211.10,211.65,987732,9126,540473,54.72
08-Aug-2016,211.10,212.90,214.75,209.80,213.35,213.55,212.36,789810,11902,205578,26.03
09-Aug-2016,213.55,213.55,214.40,209.90,210.80,210.70,211.32,759719,14277,235107,30.95
10-Aug-2016,210.70,211.00,211.80,205.50,206.00,206.15,207.79,642368,7599,180634,28.12
11-Aug-2016,206.15,205.95,212.00,202.60,210.65,210.30,209.08,3507518,34740,710039,20.24
12-Aug-2016,210.30,211.10,215.50,204.30,206.25,205.90,208.69,3676293,23819,1671683,45.47
16-Aug-2016,205.90,208.00,209.25,204.55,208.90,208.55,207.49,1295251,21253,524432,40.49
17-Aug-2016,208.55,209.00,211.70,208.05,211.30,211.15,210.24,1979200,23236,904507,45.70
18-Aug-2016,211.15,211.50,221.30,211.10,221.00,220.35,217.33,2472376,23820,708691,28.66
19-Aug-2016,220.35,221.90,232.00,220.70,231.50,230.50,227.93,5136745,50272,1229397,23.93
22-Aug-2016,230.50,230.60,237.30,226.20,235.15,235.55,232.62,2456130,20825,566417,23.06
23-Aug-2016,235.55,235.30,238.30,231.80,234.15,234.40,235.53,1751825,24694,505245,28.84
24-Aug-2016,234.40,233.00,238.35,232.15,235.90,235.80,235.36,1259934,17423,478880,38.01
25-Aug-2016,235.80,236.60,238.30,231.30,232.50,232.20,233.41,1023264,8201,397846,38.88
26-Aug-2016,232.20,234.50,238.70,232.10,232.35,233.05,235.21,1453567,18042,241431,16.61
29-Aug-2016,233.05,231.50,234.80,229.30,232.55,233.55,231.91,821258,12859,116061,14.13
30-Aug-2016,233.55,235.50,235.50,231.80,232.70,232.55,233.29,699987,8616,137732,19.68
31-Aug-2016,232.55,234.00,235.50,225.15,227.00,226.65,231.15,2951080,26796,1090150,36.94
01-Sep-2016,226.65,228.05,232.50,225.10,227.25,227.10,229.40,1224286,16947,314254,25.67
02-Sep-2016,227.10,229.50,231.80,227.40,230.30,230.90,229.46,847535,16828,161320,19.03
06-Sep-2016,230.90,232.40,233.80,229.05,230.50,230.65,231.66,1241738,15627,333077,26.82
07-Sep-2016,230.65,231.15,233.50,229.10,231.35,230.60,231.18,1199859,20030,259862,21.66
08-Sep-2016,230.60,230.80,253.45,230.70,251.15,252.00,246.12,8197446,70634,1222635,14.91
09-Sep-2016,252.00,254.00,254.40,244.10,245.75,246.20,248.88,2961268,36950,505713,17.08
12-Sep-2016,246.20,243.00,246.00,234.05,243.85,241.30,239.22,4255652,33293,1719347,40.40
14-Sep-2016,241.30,241.00,248.50,241.00,245.90,246.45,246.08,4680813,41206,2188773,46.76
15-Sep-2016,246.45,247.30,250.50,242.05,244.30,244.10,245.06,1516661,19081,371516,24.50
16-Sep-2016,244.10,246.80,252.80,244.00,247.00,247.35,248.90,3083731,34936,1205577,39.09
19-Sep-2016,247.35,248.00,249.00,242.25,244.90,244.60,244.98,1798851,23394,665790,37.01
20-Sep-2016,244.60,245.50,251.80,242.25,247.00,248.15,248.02,2923927,38542,696028,23.80
