DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
30-Dec-2016,212.30,229.00,234.00,210.20,211.00,213.10,221.36,122798,2985,31566,25.71
02-Jan-2017,213.10,215.25,219.90,203.00,216.00,217.20,214.15,32691,1253,6337,19.38
03-Jan-2017,217.20,221.00,222.90,210.60,217.00,213.95,217.50,25486,1027,4190,16.44
04-Jan-2017,213.95,216.80,221.00,209.60,210.45,210.95,214.00,9640,360,2956,30.66
05-Jan-2017,210.95,218.70,219.00,210.50,212.40,211.25,213.95,10361,441,3799,36.67
06-Jan-2017,211.25,210.00,219.00,209.00,213.00,214.80,213.96,12546,400,4227,33.69
09-Jan-2017,214.80,215.90,218.50,211.05,213.20,215.85,216.09,10936,354,5797,53.01
10-Jan-2017,215.85,216.75,219.40,211.10,217.05,218.65,217.07,10119,287,6585,65.08
11-Jan-2017,218.65,217.00,222.00,213.50,216.00,217.60,218.15,9030,322,6409,70.97
12-Jan-2017,217.60,212.50,220.00,212.50,214.90,214.85,217.92,4306,190,3414,79.28
13-Jan-2017,214.85,235.00,257.80,222.00,257.80,257.80,249.86,208418,4291,74969,35.97
16-Jan-2017,257.80,277.00,308.80,260.15,301.00,301.95,288.37,1097128,25686,108796,9.92
17-Jan-2017,301.95,301.25,326.00,296.10,313.20,313.45,314.09,872218,23095,87597,10.04
18-Jan-2017,313.45,308.60,312.40,292.20,294.80,296.30,301.47,182377,4928,44660,24.49
19-Jan-2017,296.30,299.70,299.95,277.00,279.70,279.50,286.19,71994,2508,32310,44.88
20-Jan-2017,279.50,262.10,293.60,262.10,277.80,278.55,285.23,118830,4056,27539,23.18
23-Jan-2017,278.55,280.00,290.00,273.00,275.00,276.55,280.84,77473,1702,36150,46.66
24-Jan-2017,276.55,279.00,283.00,270.35,271.20,271.85,275.86,36294,1067,11470,31.60
25-Jan-2017,271.85,278.05,299.00,275.00,278.50,280.50,289.76,244063,3594,71513,29.30
27-Jan-2017,280.50,282.00,288.30,277.00,279.40,278.90,282.42,43995,1364,22091,50.21
30-Jan-2017,278.90,281.90,281.90,274.35,278.50,278.10,278.32,15447,397,9732,63.00
31-Jan-2017,278.10,275.15,280.40,272.30,272.80,275.10,276.02,13831,509,8046,58.17
01-Feb-2017,275.10,273.50,285.00,268.15,271.00,272.65,278.49,38386,1313,15253,39.74
02-Feb-2017,272.65,275.05,276.35,261.70,264.25,264.90,268.02,43606,1178,24540,56.28
03-Feb-2017,264.90,267.00,291.35,263.25,289.50,286.00,286.52,205928,3471,81992,39.82
06-Feb-2017,286.00,296.00,307.90,293.50,300.00,298.45,301.80,118672,2728,55023,46.37
07-Feb-2017,298.45,301.40,325.55,298.70,310.40,309.00,314.02,107271,2940,41301,38.50
08-Feb-2017,309.00,312.10,324.80,310.10,315.00,315.80,317.78,60349,1702,27229,45.12
09-Feb-2017,315.80,318.00,361.05,308.00,348.30,348.60,343.20,469469,12730,122146,26.02
10-Feb-2017,348.60,351.00,369.95,340.00,357.00,352.85,357.74,145485,5056,50944,35.02
13-Feb-2017,352.85,358.00,423.40,358.00,423.40,423.40,407.53,704739,18431,165796,23.53
14-Feb-2017,423.40,448.00,460.00,409.00,417.00,421.90,441.10,702183,18415,150990,21.50
15-Feb-2017,421.90,418.70,419.00,381.10,382.00,386.70,395.95,239236,7380,77841,32.54
16-Feb-2017,386.70,385.05,415.00,383.00,411.00,409.15,404.68,172365,5918,44984,26.10
17-Feb-2017,409.15,414.75,425.50,401.40,408.10,407.95,415.13,102186,4107,39028,38.19
20-Feb-2017,407.95,410.00,428.00,391.35,417.30,415.50,415.66,150271,7325,29894,19.89
21-Feb-2017,415.50,419.90,421.05,408.75,412.00,414.40,415.48,35639,1327,12723,35.70
22-Feb-2017,414.40,414.00,418.40,397.00,404.45,403.30,410.08,33306,1374,14068,42.24
23-Feb-2017,403.30,407.70,418.00,407.55,407.85,408.20,411.32,45276,1575,15836,34.98
27-Feb-2017,408.20,409.05,410.95,390.35,392.00,392.75,398.52,35183,1546,16735,47.57
28-Feb-2017,392.75,391.00,406.65,385.00,397.15,398.65,399.02,31811,1307,12599,39.61
01-Mar-2017,398.65,402.90,408.75,391.30,394.95,395.20,399.82,35888,1373,13710,38.20
02-Mar-2017,395.20,395.45,399.90,383.10,385.00,384.30,390.82,22975,1091,13919,60.58
03-Mar-2017,384.30,375.55,392.05,375.55,383.00,383.80,383.66,23300,980,10263,44.05
06-Mar-2017,383.80,384.00,403.00,377.65,393.90,392.80,394.47,46505,2056,17450,37.52
07-Mar-2017,392.80,393.90,398.90,388.00,388.20,390.15,393.50,10976,536,5113,46.58
08-Mar-2017,390.15,389.50,393.15,380.30,386.00,384.75,386.13,15880,706,6459,40.67
