DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,267.20,271.80,271.80,263.65,265.00,264.60,267.08,35577,1567,27380,76.96
03-Aug-2016,264.60,265.85,283.00,264.00,279.00,280.05,277.40,336446,4090,259547,77.14
04-Aug-2016,280.05,285.00,287.50,268.05,280.60,281.50,279.31,336522,5855,147503,43.83
05-Aug-2016,281.50,284.70,288.10,281.00,283.50,283.00,284.47,110239,3397,61597,55.88
08-Aug-2016,283.00,283.75,287.75,281.00,284.50,285.30,284.55,55264,1655,36915,66.80
09-Aug-2016,285.30,285.50,290.25,282.25,288.50,288.15,286.92,102599,2284,59439,57.93
10-Aug-2016,288.15,290.00,290.10,280.35,282.50,281.95,284.52,54548,1484,36592,67.08
11-Aug-2016,281.95,281.20,285.00,279.15,281.00,281.00,281.54,31891,955,22659,71.05
12-Aug-2016,281.00,283.80,283.95,280.00,281.25,281.20,281.86,17547,697,8583,48.91
16-Aug-2016,281.20,281.20,284.90,272.80,273.85,274.95,278.85,46235,2371,33503,72.46
17-Aug-2016,274.95,275.00,283.80,275.00,276.30,276.95,278.85,36635,2028,17104,46.69
18-Aug-2016,276.95,280.00,284.00,275.15,275.30,277.60,279.91,45786,2323,29187,63.75
19-Aug-2016,277.60,277.00,279.95,275.65,276.90,277.25,278.00,49588,1834,34915,70.41
22-Aug-2016,277.25,277.30,280.00,274.00,276.20,275.10,276.11,104521,2508,83417,79.81
23-Aug-2016,275.10,275.30,282.00,275.00,280.00,280.55,279.22,46776,1775,30134,64.42
24-Aug-2016,280.55,282.00,322.00,280.60,312.00,311.80,306.93,874305,19567,233506,26.71
25-Aug-2016,311.80,313.05,323.65,306.00,316.55,312.40,315.37,421776,11701,174933,41.48
26-Aug-2016,312.40,316.00,356.00,311.85,335.85,336.50,340.07,4396003,72604,568412,12.93
29-Aug-2016,336.50,339.35,342.40,287.75,332.90,333.25,333.57,981859,20294,177769,18.11
30-Aug-2016,333.25,332.40,339.50,330.30,331.95,331.80,334.65,331014,8091,117250,35.42
