DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,430.95,431.40,436.95,419.95,420.15,421.70,427.13,40082,1531,23364,58.29
03-Aug-2016,421.70,420.00,426.50,415.50,419.05,417.50,419.04,30406,1061,15580,51.24
04-Aug-2016,417.50,418.90,430.95,416.60,420.20,421.25,425.14,54119,2175,20335,37.57
05-Aug-2016,421.25,421.25,425.85,418.10,419.90,420.45,422.24,33928,965,19655,57.93
08-Aug-2016,420.45,423.65,427.00,413.80,416.80,416.10,420.55,33673,1098,18105,53.77
09-Aug-2016,416.10,417.75,426.00,415.00,420.25,421.60,421.85,51618,2787,22369,43.34
10-Aug-2016,421.60,421.40,428.00,415.90,417.65,417.40,420.90,67588,2560,19415,28.73
11-Aug-2016,417.40,419.90,421.05,412.00,412.00,413.95,416.68,19857,788,11904,59.95
12-Aug-2016,413.95,414.05,420.90,410.70,412.90,412.65,414.60,32644,1000,16352,50.09
16-Aug-2016,412.65,413.80,419.80,406.20,406.20,408.55,411.84,25545,1198,12880,50.42
17-Aug-2016,408.55,411.00,417.50,409.40,410.90,411.75,413.60,25800,1245,10393,40.28
18-Aug-2016,411.75,414.00,415.05,409.00,410.50,410.15,411.67,38233,896,18318,47.91
19-Aug-2016,410.15,411.00,420.00,411.00,412.35,413.35,415.99,45051,1559,17784,39.48
22-Aug-2016,413.35,416.00,434.00,415.50,424.50,423.80,425.03,99354,2865,43522,43.80
23-Aug-2016,423.80,425.80,432.35,420.55,422.00,422.35,426.24,56213,1859,26505,47.15
24-Aug-2016,422.35,424.35,424.80,339.60,418.00,416.80,414.26,39716,1218,20223,50.92
25-Aug-2016,416.80,419.95,426.00,416.50,418.00,419.25,420.88,28986,1174,10414,35.93
26-Aug-2016,419.25,421.50,423.90,412.00,413.00,413.60,416.56,18379,929,8968,48.79
29-Aug-2016,413.60,416.45,421.60,412.80,415.00,414.85,416.74,22015,976,10236,46.50
30-Aug-2016,414.85,416.00,418.45,415.10,416.05,416.30,416.48,31989,1109,16360,51.14
31-Aug-2016,416.30,418.45,429.30,416.80,420.00,419.25,423.50,68593,2077,26668,38.88
01-Sep-2016,419.25,421.70,425.60,414.05,418.00,415.85,420.23,44902,1528,22676,50.50
02-Sep-2016,415.85,417.00,424.95,417.00,421.60,421.05,421.72,19270,831,10817,56.13
06-Sep-2016,421.05,422.00,432.00,420.00,430.50,430.35,428.03,101492,2630,61785,60.88
07-Sep-2016,430.35,414.50,418.50,404.00,410.05,411.20,410.79,168790,4097,56662,33.57
08-Sep-2016,411.20,413.00,417.40,408.00,411.90,411.05,412.42,57329,1772,39423,68.77
09-Sep-2016,411.05,409.00,414.00,405.00,408.10,409.10,409.81,37541,1033,25348,67.52
12-Sep-2016,409.10,401.00,410.90,397.75,400.00,398.90,402.15,38721,1282,28454,73.48
14-Sep-2016,398.90,396.55,404.00,393.25,395.40,396.50,399.35,31255,1283,16181,51.77
15-Sep-2016,396.50,397.00,400.00,395.10,398.00,397.35,397.13,26462,977,10619,40.13
16-Sep-2016,397.35,400.10,406.90,381.00,382.20,382.80,389.61,131804,4453,98323,74.60
19-Sep-2016,382.80,387.40,419.80,384.50,405.25,406.35,409.16,361690,9542,87830,24.28
20-Sep-2016,406.35,408.30,416.25,405.00,407.00,407.15,409.74,97679,3113,29719,30.43
21-Sep-2016,407.15,409.00,414.50,401.20,402.00,403.90,408.81,55389,1764,23588,42.59
22-Sep-2016,403.90,405.00,411.80,403.75,406.45,405.65,406.95,40627,1230,17913,44.09
23-Sep-2016,405.65,406.00,414.20,402.00,406.00,406.50,409.64,47444,1727,20085,42.33
26-Sep-2016,406.50,407.50,416.60,403.05,404.35,404.85,410.76,70427,1650,23965,34.03
27-Sep-2016,404.85,409.00,411.90,402.30,405.45,404.80,407.09,24105,993,10331,42.86
28-Sep-2016,404.80,407.20,409.60,403.10,404.00,404.55,406.05,18308,673,7670,41.89
29-Sep-2016,404.55,406.60,409.10,383.00,387.90,386.85,392.49,55034,1588,32476,59.01
30-Sep-2016,386.85,389.85,396.80,385.70,391.25,392.15,392.98,34523,1499,13991,40.53
03-Oct-2016,392.15,396.95,406.95,396.05,401.25,402.85,402.60,31539,1084,13469,42.71
04-Oct-2016,402.85,402.00,418.00,401.20,415.85,415.75,413.37,106023,2857,46008,43.39
05-Oct-2016,415.75,416.00,419.85,407.45,416.45,415.60,416.43,47397,1487,28081,59.25
06-Oct-2016,415.60,414.20,428.40,409.25,418.95,418.40,423.49,303845,5109,125062,41.16
07-Oct-2016,418.40,420.00,424.40,411.10,415.00,415.30,416.54,51887,1737,24576,47.36
10-Oct-2016,415.30,415.30,421.40,412.35,415.00,414.90,417.32,35360,903,21565,60.99
13-Oct-2016,414.90,415.45,417.90,403.00,405.50,405.35,407.39,44766,1131,27682,61.84
14-Oct-2016,405.35,406.00,417.90,405.35,410.50,410.45,412.23,42555,1443,16141,37.93
17-Oct-2016,410.45,411.60,414.90,405.00,406.25,406.70,410.09,26014,1087,10352,39.79
18-Oct-2016,406.70,409.55,421.00,407.25,414.00,414.10,414.56,51660,1857,22880,44.29
19-Oct-2016,414.10,415.10,437.00,412.10,434.10,433.65,431.47,291524,7044,99644,34.18
20-Oct-2016,433.65,433.25,447.10,433.25,436.15,436.60,440.54,169313,3955,82287,48.60
21-Oct-2016,436.60,438.95,445.90,431.30,434.40,434.80,440.25,105399,2870,35980,34.14
24-Oct-2016,434.80,438.75,442.90,429.95,432.55,431.50,434.96,62496,1861,22122,35.40
25-Oct-2016,431.50,431.45,441.00,426.25,431.10,432.55,433.77,47405,1922,15833,33.40
26-Oct-2016,432.55,432.55,434.90,426.00,427.00,427.05,429.52,39784,951,21649,54.42
27-Oct-2016,427.05,426.90,429.00,413.60,418.05,417.60,420.70,48240,1626,13115,27.19
28-Oct-2016,417.60,420.80,427.00,416.00,421.00,418.85,421.67,33095,1032,13364,40.38
30-Oct-2016,418.85,418.70,427.00,418.65,422.80,424.40,424.04,16385,630,5374,32.80
01-Nov-2016,424.40,426.40,428.00,422.00,422.00,423.25,425.27,31609,851,15383,48.67
02-Nov-2016,423.25,423.25,423.25,412.20,412.50,412.80,415.81,49400,1544,29672,60.06
03-Nov-2016,412.80,415.75,421.00,408.00,409.00,409.70,414.69,56995,1622,27430,48.13
04-Nov-2016,409.70,411.00,414.00,401.95,407.00,405.60,406.91,62703,1170,33604,53.59
07-Nov-2016,405.60,407.05,414.05,405.15,408.85,408.05,410.48,27889,950,12507,44.85
08-Nov-2016,408.05,408.00,413.95,398.50,403.90,403.95,405.82,24567,867,11366,46.27
09-Nov-2016,403.95,380.00,393.95,360.05,388.05,391.15,382.69,66764,1873,34338,51.43
10-Nov-2016,391.15,397.80,407.70,396.00,402.50,401.55,402.61,24587,784,9766,39.72
11-Nov-2016,401.55,391.00,398.80,385.00,387.00,387.25,390.70,37252,1107,14700,39.46
15-Nov-2016,387.25,387.90,387.90,368.15,370.05,370.50,373.71,32994,1232,17428,52.82
16-Nov-2016,370.50,374.70,380.00,365.00,368.00,367.10,372.27,20602,606,11088,53.82
17-Nov-2016,367.10,367.10,372.20,353.85,359.80,358.00,361.64,46832,1593,28979,61.88
18-Nov-2016,358.00,359.95,363.95,350.00,356.00,354.70,355.33,18552,636,9263,49.93
21-Nov-2016,354.70,353.95,356.75,335.00,340.05,337.15,344.38,39946,1056,21138,52.92
22-Nov-2016,337.15,342.05,353.00,322.00,330.90,327.95,335.10,47320,1813,25991,54.93
23-Nov-2016,327.95,335.50,342.00,329.30,341.95,340.90,336.15,22741,792,11115,48.88
24-Nov-2016,340.90,344.35,352.50,332.25,352.50,350.40,347.15,40427,1512,16004,39.59
25-Nov-2016,350.40,342.00,347.00,335.50,340.00,339.35,340.59,87287,2358,34719,39.78
28-Nov-2016,339.35,339.35,346.00,336.90,343.00,343.10,342.88,30342,2316,12107,39.90
29-Nov-2016,343.10,347.75,352.00,342.60,347.00,345.85,347.00,35109,1524,16714,47.61
30-Nov-2016,345.85,346.55,351.55,344.00,349.40,347.85,347.39,24827,1061,10912,43.95
01-Dec-2016,347.85,346.00,362.95,346.00,351.00,352.05,355.02,49066,2206,22179,45.20
02-Dec-2016,352.05,346.55,354.40,341.75,342.10,342.75,346.29,15616,688,9954,63.74
05-Dec-2016,342.75,342.00,347.00,340.35,344.00,342.55,342.86,20339,968,12315,60.55
06-Dec-2016,342.55,347.00,385.80,342.30,368.00,367.25,374.34,288763,9624,50509,17.49
07-Dec-2016,367.25,366.00,373.00,355.55,360.35,359.15,365.91,58302,2463,24785,42.51
08-Dec-2016,359.15,361.00,371.40,358.20,358.50,360.50,365.54,53658,2586,16509,30.77
09-Dec-2016,360.50,361.00,367.00,350.05,353.25,355.90,358.95,49447,2029,21614,43.71
12-Dec-2016,355.90,351.00,358.65,349.15,351.20,350.80,354.90,56220,2469,15475,27.53
13-Dec-2016,350.80,350.80,355.00,346.65,347.65,349.05,351.08,24026,1051,11022,45.88
14-Dec-2016,349.05,350.05,355.95,344.80,346.50,346.30,350.71,23558,861,8202,34.82
15-Dec-2016,346.30,342.25,353.10,340.00,346.00,345.15,346.29,32357,1472,10595,32.74
16-Dec-2016,345.15,348.00,348.70,343.25,344.00,345.55,346.10,18652,668,10268,55.05
19-Dec-2016,345.55,344.05,346.15,338.65,339.00,339.90,342.10,15967,614,10972,68.72
20-Dec-2016,339.90,341.30,341.55,334.50,335.15,335.50,338.49,23957,733,16790,70.08
21-Dec-2016,335.50,336.70,338.80,328.40,332.60,333.45,334.72,11679,603,4086,34.99
22-Dec-2016,333.45,333.35,333.70,326.00,330.00,328.70,329.22,16458,596,9423,57.25
23-Dec-2016,328.70,325.05,330.00,319.00,325.10,325.10,323.78,26521,993,13965,52.66
26-Dec-2016,325.10,325.10,325.95,304.95,308.10,308.10,313.66,42606,1414,25364,59.53
27-Dec-2016,308.10,310.65,318.95,299.00,317.40,317.30,309.59,42703,1886,12523,29.33
28-Dec-2016,317.30,326.00,326.00,310.10,310.45,312.05,318.11,27156,975,14575,53.67
29-Dec-2016,312.05,312.00,320.00,310.15,316.00,315.45,315.61,13116,536,4860,37.05
30-Dec-2016,315.45,315.00,324.50,315.00,318.30,319.60,320.84,15507,627,7658,49.38
02-Jan-2017,319.60,319.15,323.00,316.95,322.50,321.50,319.96,27080,1770,14571,53.81
03-Jan-2017,321.50,324.40,338.85,321.10,333.00,333.25,334.08,46612,2342,17562,37.68
04-Jan-2017,333.25,331.90,348.70,330.60,342.00,341.65,343.23,56678,2887,22673,40.00
05-Jan-2017,341.65,342.00,347.00,341.10,344.00,344.30,344.80,30634,1489,17953,58.60
06-Jan-2017,344.30,343.30,348.75,340.55,344.50,344.65,345.74,36091,2087,18034,49.97
09-Jan-2017,344.65,344.00,348.30,340.65,342.80,342.15,344.58,27951,1194,9573,34.25
