DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,70.20,70.40,73.50,70.40,73.00,72.95,72.19,7372354,24908,2954368,40.07
03-Aug-2016,72.95,73.20,75.10,72.35,73.10,73.05,73.55,12730491,27206,4790617,37.63
04-Aug-2016,73.05,73.90,74.50,73.25,74.00,74.05,73.89,4134127,14442,1705386,41.25
05-Aug-2016,74.05,74.50,74.90,73.60,74.05,74.05,74.11,2727124,9117,1162947,42.64
08-Aug-2016,74.05,74.50,75.70,73.85,74.25,74.55,74.67,3315429,9083,1287500,38.83
09-Aug-2016,74.55,74.55,77.80,73.85,77.50,77.35,76.43,10248366,27596,3358261,32.77
10-Aug-2016,77.35,77.95,78.45,74.05,74.25,74.55,75.76,8401524,24746,2705864,32.21
11-Aug-2016,74.55,74.50,74.50,71.20,73.70,73.10,72.99,6611156,21216,2770165,41.90
12-Aug-2016,73.10,73.45,74.75,72.90,74.25,74.05,74.02,4745433,17692,2336012,49.23
16-Aug-2016,74.05,76.30,79.15,75.70,76.95,78.00,77.63,19006119,50181,8138433,42.82
17-Aug-2016,78.00,77.70,81.90,76.75,81.20,81.30,80.06,18424037,50067,6613522,35.90
18-Aug-2016,81.30,81.25,83.00,79.60,80.20,80.15,81.51,12006204,41745,4892962,40.75
19-Aug-2016,80.15,80.45,81.70,79.85,81.35,81.20,80.94,7367355,18367,3260386,44.25
22-Aug-2016,81.20,81.50,84.50,80.40,83.50,83.70,82.85,13219302,37939,4228061,31.98
23-Aug-2016,83.70,84.10,84.55,82.50,83.45,83.65,83.78,8677351,39575,3252103,37.48
24-Aug-2016,83.65,83.90,83.90,82.50,83.10,83.20,83.23,5380771,21815,2742089,50.96
25-Aug-2016,83.20,83.65,85.85,82.80,85.20,85.40,85.02,13025604,46723,6984433,53.62
26-Aug-2016,85.40,85.95,86.70,85.10,86.25,86.00,85.99,8989666,33147,4149236,46.16
29-Aug-2016,86.00,85.60,85.80,83.55,84.60,84.55,84.45,4217600,13257,1464757,34.73
30-Aug-2016,84.55,85.00,86.40,82.55,83.50,83.50,84.57,10101451,23069,3319966,32.87
31-Aug-2016,83.50,84.35,86.00,83.85,84.15,84.20,84.82,5904160,15979,2682247,45.43
01-Sep-2016,84.20,84.70,88.40,83.95,87.65,87.15,86.69,7866531,20840,2675266,34.01
02-Sep-2016,87.15,88.00,89.25,87.70,88.30,88.35,88.47,4683538,15215,1201075,25.64
06-Sep-2016,88.35,88.90,89.90,87.90,89.10,89.40,89.20,5579598,14739,2281039,40.88
07-Sep-2016,89.40,92.00,97.90,91.90,96.35,96.40,95.11,13579686,46422,2952486,21.74
08-Sep-2016,96.40,96.55,96.75,93.05,95.00,94.85,94.47,6785908,29371,2589285,38.16
09-Sep-2016,94.85,94.10,95.60,91.55,92.00,92.55,94.04,6265648,16917,2654670,42.37
12-Sep-2016,92.55,90.30,90.30,86.65,87.20,87.30,88.27,6529600,26308,3065737,46.95
14-Sep-2016,87.30,87.30,98.00,87.00,94.45,94.80,93.90,20576430,67032,7499087,36.45
15-Sep-2016,94.80,95.00,99.00,94.85,98.70,98.30,97.17,13939339,41411,4812502,34.52
16-Sep-2016,98.30,99.30,101.40,96.35,98.00,97.90,99.09,17193604,69049,5597951,32.56
19-Sep-2016,97.90,98.20,99.60,96.15,98.05,98.35,98.00,5546928,29313,1800466,32.46
20-Sep-2016,98.35,97.50,98.75,96.65,96.90,97.10,97.43,2654706,13104,657113,24.75
21-Sep-2016,97.10,96.25,97.00,93.25,94.00,93.95,94.91,5284756,22764,1879736,35.57
22-Sep-2016,93.95,95.20,97.00,94.45,96.15,96.50,96.06,5283432,20740,1371921,25.97
23-Sep-2016,96.50,97.05,98.45,95.35,96.70,96.60,96.96,3843995,19627,1072768,27.91
26-Sep-2016,96.60,96.60,97.40,94.25,94.50,94.70,95.80,5727115,23484,2007616,35.05
27-Sep-2016,94.70,94.70,95.35,91.60,92.45,92.20,92.90,5126981,25682,2139450,41.73
28-Sep-2016,92.20,92.25,95.75,91.60,94.80,94.70,94.44,4441006,15822,1223098,27.54
29-Sep-2016,94.70,95.25,96.90,82.65,85.80,85.00,89.12,19653614,40190,8981365,45.70
30-Sep-2016,85.00,85.45,89.85,85.45,89.45,89.55,88.39,7623215,23997,1946769,25.54
03-Oct-2016,89.55,91.35,96.50,90.20,96.20,95.75,93.83,8078140,26650,2672026,33.08
04-Oct-2016,95.75,97.20,98.85,95.10,96.85,96.65,96.81,7280516,32033,1902666,26.13
05-Oct-2016,96.65,97.15,98.00,95.35,95.55,95.75,96.57,5857772,14264,2751699,46.98
06-Oct-2016,95.75,96.30,97.05,92.95,94.20,93.85,95.04,3332132,11737,878157,26.35
07-Oct-2016,93.85,94.35,96.00,92.75,95.60,95.80,94.53,3272512,11819,870384,26.60
10-Oct-2016,95.80,96.30,97.80,94.30,96.90,97.20,96.16,4271086,14507,961780,22.52
13-Oct-2016,97.20,96.20,96.20,91.70,93.05,92.95,93.80,4946510,17243,1387586,28.05
14-Oct-2016,92.95,93.45,95.00,93.30,94.70,94.70,94.09,2762849,9755,652839,23.63
17-Oct-2016,94.70,94.70,94.95,91.65,92.25,92.20,93.15,3529120,9413,630262,17.86
18-Oct-2016,92.20,93.00,96.15,92.85,95.90,95.95,94.64,3650336,12707,1247493,34.17
19-Oct-2016,95.95,96.45,97.50,95.40,95.80,95.80,96.33,4440392,15695,925850,20.85
20-Oct-2016,95.80,96.50,103.20,96.25,102.00,101.85,100.58,12969137,42328,3239935,24.98
21-Oct-2016,101.85,102.25,105.25,101.45,104.15,104.35,103.42,11429715,48726,2659903,23.27
24-Oct-2016,104.35,104.90,107.40,104.50,106.30,106.20,106.08,8111370,34365,2438386,30.06
25-Oct-2016,106.20,106.25,106.50,103.75,104.80,105.00,105.03,3667285,15815,1205846,32.88
26-Oct-2016,105.00,105.00,106.50,103.10,103.70,104.00,105.07,4187852,24128,816586,19.50
27-Oct-2016,104.00,103.70,107.50,101.25,107.00,106.65,104.25,6478066,20999,1300695,20.08
28-Oct-2016,106.65,106.90,108.55,106.20,107.45,107.50,107.38,6110831,21884,1183520,19.37
30-Oct-2016,107.50,108.00,108.60,106.70,106.95,107.25,107.67,996970,4828,501901,50.34
01-Nov-2016,107.25,107.00,107.50,103.50,103.95,104.05,105.74,6042447,26721,3067228,50.76
02-Nov-2016,104.05,102.75,102.95,100.60,101.50,101.55,101.82,4627716,18215,1206894,26.08
03-Nov-2016,101.55,101.90,104.10,100.00,100.05,100.50,102.25,5386358,16313,664057,12.33
04-Nov-2016,100.50,101.00,101.50,96.25,99.00,98.65,98.61,5773209,20464,1111658,19.26
07-Nov-2016,98.65,100.00,103.30,100.00,100.80,101.20,102.05,2995703,15551,896821,29.94
08-Nov-2016,101.20,102.00,102.65,99.80,102.10,102.20,101.44,3160173,16106,721435,22.83
09-Nov-2016,102.20,92.00,99.40,86.90,98.25,98.20,92.72,10580790,36105,2507212,23.70
10-Nov-2016,98.20,99.60,102.30,98.00,99.50,99.60,100.45,4061254,19013,961783,23.68
11-Nov-2016,99.60,100.10,104.80,97.00,97.90,98.05,101.64,12189174,48996,2609680,21.41
15-Nov-2016,98.05,98.65,98.65,83.70,86.00,86.45,89.29,10614885,45990,2648046,24.95
16-Nov-2016,86.45,89.00,91.40,84.20,88.30,88.35,88.71,8444374,31847,1775127,21.02
17-Nov-2016,88.35,89.60,90.10,87.50,88.90,88.50,88.74,3971558,15999,795969,20.04
18-Nov-2016,88.50,88.90,90.25,88.00,89.25,89.35,89.21,6694336,17724,2926229,43.71
21-Nov-2016,89.35,89.80,90.20,83.50,83.65,83.80,85.79,5494281,22737,1432925,26.08
22-Nov-2016,83.80,85.60,87.40,84.20,85.70,85.60,85.75,5296772,21638,1813119,34.23
23-Nov-2016,85.60,86.60,86.95,84.50,85.20,85.20,85.39,3539601,16534,833891,23.56
24-Nov-2016,85.20,84.50,85.45,82.55,83.85,83.90,84.21,6325292,22653,2118546,33.49
25-Nov-2016,83.90,84.55,86.25,83.70,85.55,85.60,85.25,3688157,17928,722459,19.59
28-Nov-2016,85.60,85.45,91.20,84.40,89.85,89.85,88.25,5984847,21865,1061289,17.73
29-Nov-2016,89.85,90.70,91.95,87.85,88.50,88.45,90.16,5735201,21724,1637783,28.56
30-Nov-2016,88.45,89.40,90.70,87.80,89.75,89.85,89.46,4499709,18674,853480,18.97
01-Dec-2016,89.85,90.50,90.65,87.55,88.40,88.20,88.70,3043824,13267,856222,28.13
02-Dec-2016,88.20,88.00,89.90,85.75,87.20,87.35,88.33,4310975,15549,1288435,29.89
05-Dec-2016,87.35,87.10,88.75,86.00,87.70,87.55,87.18,2724013,10468,587001,21.55
06-Dec-2016,87.55,87.00,88.45,86.55,87.00,86.95,87.51,2211883,9950,574792,25.99
07-Dec-2016,86.95,87.30,87.80,84.50,86.50,86.05,86.34,2542111,8195,754175,29.67
08-Dec-2016,86.05,87.20,90.90,87.20,90.50,90.05,89.70,5760747,25284,1656215,28.75
09-Dec-2016,90.05,90.95,91.20,89.35,89.60,89.80,90.02,2125742,8409,374169,17.60
12-Dec-2016,89.80,89.50,89.60,86.80,87.30,87.45,87.79,1840066,11744,465785,25.31
13-Dec-2016,87.45,87.90,87.90,86.50,87.15,87.10,86.95,1566823,12377,601927,38.42
14-Dec-2016,87.10,87.55,87.55,85.35,85.70,85.65,86.27,2880789,13149,584738,20.30
15-Dec-2016,85.65,85.00,87.85,84.20,86.80,86.60,86.54,2257549,11665,335976,14.88
16-Dec-2016,86.60,85.60,86.65,84.80,85.60,85.40,85.48,1853853,11093,556781,30.03
19-Dec-2016,85.40,85.45,85.65,83.80,84.10,84.20,84.62,2953229,20613,1458013,49.37
20-Dec-2016,84.20,84.90,84.90,80.60,81.00,81.05,82.14,3857798,14171,1112599,28.84
21-Dec-2016,81.05,81.55,82.85,80.60,81.65,81.90,81.97,2459994,10192,677972,27.56
22-Dec-2016,81.90,81.40,83.50,79.70,83.30,82.60,81.18,3206233,11330,545851,17.02
23-Dec-2016,82.60,83.50,85.90,83.10,84.85,84.85,85.04,7307297,27487,1023161,14.00
26-Dec-2016,84.85,84.85,84.85,81.10,81.35,81.75,82.49,2422419,8884,446242,18.42
27-Dec-2016,81.75,82.35,83.35,80.15,83.20,83.05,82.14,2482876,9785,461714,18.60
28-Dec-2016,83.05,86.50,86.50,84.45,85.25,84.85,85.67,5860675,22381,1143003,19.50
29-Dec-2016,84.85,85.20,86.60,84.50,86.30,86.15,85.67,3449641,19389,1360444,39.44
30-Dec-2016,86.15,87.00,88.60,86.65,88.40,88.10,87.60,3685999,14248,1147922,31.14
02-Jan-2017,88.10,88.85,89.40,87.50,88.95,88.75,88.48,2708647,9683,465263,17.18
03-Jan-2017,88.75,88.95,91.75,88.00,91.70,91.35,90.29,4699690,18516,1039890,22.13
04-Jan-2017,91.35,92.10,95.45,92.05,93.10,92.90,93.76,10306492,45290,2409786,23.38
05-Jan-2017,92.90,93.65,94.15,92.80,93.20,93.15,93.38,2841652,13820,465973,16.40
06-Jan-2017,93.15,93.15,93.45,91.25,91.90,91.95,92.21,2492945,19269,537163,21.55
09-Jan-2017,91.95,92.45,94.20,91.00,94.00,93.80,93.14,3068979,15814,647639,21.10
10-Jan-2017,93.80,94.05,96.00,93.25,95.85,95.80,94.99,4915199,23919,2046451,41.64
11-Jan-2017,95.80,96.45,96.45,94.75,95.40,95.80,95.65,4308119,29108,1535652,35.65
12-Jan-2017,95.80,95.80,95.85,94.00,94.40,94.30,94.71,2529224,12506,891205,35.24
13-Jan-2017,94.30,94.50,94.75,92.40,93.30,93.40,93.46,2609936,13705,906384,34.73
16-Jan-2017,93.40,92.90,95.20,92.55,93.85,94.10,94.09,3406564,15667,1260442,37.00
17-Jan-2017,94.10,95.05,95.85,93.80,94.85,94.75,94.75,4310575,34424,1384211,32.11
18-Jan-2017,94.75,94.90,95.60,93.90,94.35,94.40,94.75,2618782,16406,861452,32.90
19-Jan-2017,94.40,94.25,95.50,93.50,95.25,94.85,94.31,3641452,13730,1511197,41.50
20-Jan-2017,94.85,94.70,95.00,87.50,88.80,89.05,90.76,6882423,24868,2136497,31.04
23-Jan-2017,89.05,89.00,90.20,88.50,89.25,89.45,89.40,4783629,15382,1756838,36.73
24-Jan-2017,89.45,89.85,91.70,89.65,90.90,90.60,90.67,5172550,20280,1920310,37.13
25-Jan-2017,90.60,91.10,94.90,91.10,94.50,94.30,93.87,9378421,21566,2798550,29.84
27-Jan-2017,94.30,93.70,96.30,93.70,95.05,95.10,95.26,4040226,15027,1041420,25.78
30-Jan-2017,95.10,95.30,95.80,94.15,94.90,95.00,94.81,2676519,10504,672005,25.11
31-Jan-2017,95.00,95.50,96.25,93.90,94.30,94.40,94.89,4839293,25457,1929221,39.87
01-Feb-2017,94.40,95.05,97.70,93.65,95.90,95.90,96.05,15648547,57281,2602057,16.63
02-Feb-2017,95.90,95.90,98.20,95.15,97.55,97.50,97.04,7287688,37726,2422760,33.24
03-Feb-2017,97.50,97.20,97.95,95.90,96.20,96.15,96.77,2855948,10190,955117,33.44
06-Feb-2017,96.15,96.80,97.75,95.80,97.10,96.80,96.77,3247409,15494,900217,27.72
07-Feb-2017,96.80,97.10,97.30,94.10,95.55,95.50,95.79,2315852,11053,654310,28.25
08-Feb-2017,95.50,95.60,99.00,94.85,98.30,98.35,97.04,5223352,18974,1635200,31.31
09-Feb-2017,98.35,98.85,99.00,95.40,96.60,96.60,96.80,3523272,16856,959757,27.24
10-Feb-2017,96.60,97.20,98.20,96.20,96.95,97.10,97.23,2571700,11166,702947,27.33
13-Feb-2017,97.10,97.45,97.55,95.00,96.05,96.15,95.85,3073516,19710,1167548,37.99
14-Feb-2017,96.15,95.65,96.00,93.90,94.20,94.50,94.93,2815078,18849,988797,35.13
15-Feb-2017,94.50,95.70,96.75,94.05,94.55,94.65,95.14,5756041,29153,1625125,28.23
16-Feb-2017,94.65,94.50,94.90,92.70,93.15,93.00,93.35,5297608,18654,2434910,45.96
17-Feb-2017,93.00,93.25,94.30,92.85,93.35,93.45,93.56,2344061,13623,682374,29.11
20-Feb-2017,93.45,93.00,96.05,92.80,95.10,95.15,94.89,3712007,13165,1088094,29.31
21-Feb-2017,95.15,95.40,96.25,94.85,96.00,96.00,95.64,2320013,16455,746234,32.17
22-Feb-2017,96.00,96.00,96.35,94.15,94.45,94.80,95.28,2381303,10930,525490,22.07
23-Feb-2017,94.80,95.00,95.45,93.20,93.45,93.60,93.84,6288500,10791,3884664,61.77
27-Feb-2017,93.60,93.60,93.90,92.25,92.60,92.65,93.04,1466074,5809,427297,29.15
28-Feb-2017,92.65,92.95,94.30,92.50,93.85,93.90,93.51,1751192,6440,500676,28.59
01-Mar-2017,93.90,94.00,94.85,93.35,94.15,94.00,94.06,1143800,4806,411307,35.96
02-Mar-2017,94.00,94.30,95.20,92.10,92.20,92.35,93.38,1972898,6342,507729,25.74
03-Mar-2017,92.35,92.30,92.30,88.30,89.30,89.65,89.39,5772137,19711,2146303,37.18
06-Mar-2017,89.65,89.75,91.30,89.00,91.25,91.05,90.38,2524931,8950,568589,22.52
07-Mar-2017,91.05,91.30,91.75,90.55,91.40,91.30,91.23,2265004,6760,577946,25.52
08-Mar-2017,91.30,91.45,93.45,91.15,91.90,92.05,92.32,4336299,12895,775437,17.88
09-Mar-2017,92.05,92.05,92.25,90.40,91.15,91.40,91.56,1430910,6130,245249,17.14
10-Mar-2017,91.40,91.80,92.00,89.25,89.55,89.65,90.37,1814111,6127,535347,29.51
14-Mar-2017,89.65,92.90,93.45,91.15,92.10,91.95,91.94,3131144,13206,1436748,45.89
15-Mar-2017,91.95,92.00,94.20,91.50,93.50,93.60,93.44,2262944,9562,752213,33.24
16-Mar-2017,93.60,94.00,95.40,94.00,95.40,94.85,94.56,1721667,6372,814114,47.29
17-Mar-2017,94.85,95.30,95.80,93.00,94.25,94.60,94.50,2109151,8392,587860,27.87
20-Mar-2017,94.60,94.95,96.20,94.55,95.50,95.50,95.49,1549584,5677,450326,29.06
21-Mar-2017,95.50,95.50,96.65,95.20,95.65,95.90,95.92,3550423,9791,1406789,39.62
22-Mar-2017,95.90,95.00,95.50,93.30,93.60,93.85,94.12,1824931,8952,551253,30.21
23-Mar-2017,93.85,94.20,94.40,92.85,94.30,93.80,93.39,1927940,6424,959669,49.78
24-Mar-2017,93.80,94.10,95.90,93.90,95.35,95.20,95.07,2966712,19878,1243612,41.92
27-Mar-2017,95.20,95.30,95.90,93.55,94.00,94.20,94.77,4946718,9736,1697267,34.31
28-Mar-2017,94.20,94.50,95.60,94.20,94.70,94.50,94.78,2659820,14966,928240,34.90
29-Mar-2017,94.50,94.50,95.25,93.85,94.45,94.45,94.55,1091603,4685,440088,40.32
30-Mar-2017,94.45,94.50,95.20,92.70,92.95,93.00,93.26,8928869,16231,5807973,65.05
31-Mar-2017,93.00,93.00,94.95,92.75,93.65,93.85,93.84,3117285,7926,845459,27.12
03-Apr-2017,93.85,94.35,99.90,93.10,99.80,99.10,96.99,7847542,27680,3494800,44.53
05-Apr-2017,99.10,101.00,103.40,101.00,102.45,102.65,102.44,9726067,45100,2813494,28.93
06-Apr-2017,102.65,102.40,103.10,100.30,101.65,101.50,101.53,2674624,12379,774267,28.95
07-Apr-2017,101.50,102.40,103.00,99.70,100.90,100.55,101.88,3092354,14455,731993,23.67
10-Apr-2017,100.55,102.00,102.00,100.35,101.65,101.45,101.27,2008296,9536,726708,36.19
11-Apr-2017,101.45,101.40,104.55,101.40,104.05,104.15,103.38,4300070,16950,1314840,30.58
12-Apr-2017,104.15,104.75,104.75,100.35,101.85,101.80,102.15,2386707,10751,570222,23.89
13-Apr-2017,101.80,101.80,102.15,99.40,99.95,99.85,100.47,2083567,8483,669649,32.14
17-Apr-2017,99.85,100.25,101.90,99.10,101.30,101.35,100.82,2515565,7539,727472,28.92
18-Apr-2017,101.35,101.80,103.50,98.40,98.75,99.45,101.59,3070191,12456,914622,29.79
19-Apr-2017,99.45,99.65,109.90,99.50,108.10,107.90,106.69,28250579,102182,3803132,13.46
20-Apr-2017,107.90,108.45,115.90,106.05,113.40,113.90,112.02,34505994,114438,6347249,18.39
21-Apr-2017,113.90,113.50,115.50,110.55,111.10,111.85,113.11,12626315,41770,3026023,23.97
24-Apr-2017,111.85,112.00,115.50,109.60,110.35,111.35,113.03,7947784,26109,2107490,26.52
25-Apr-2017,111.35,112.90,119.70,112.85,116.20,115.95,117.28,15322439,54709,3140160,20.49
26-Apr-2017,115.95,116.95,117.75,111.10,113.35,113.40,114.32,4914327,18035,1003272,20.42
27-Apr-2017,113.40,114.00,114.80,111.85,113.05,113.00,113.08,4960807,12122,1973386,39.78
28-Apr-2017,113.00,113.30,114.00,110.70,111.60,112.00,111.99,3731375,12308,1485249,39.80
02-May-2017,112.00,112.00,112.10,107.25,108.90,108.90,109.29,5267937,20660,2482933,47.13
03-May-2017,108.90,109.20,110.90,108.60,109.35,109.40,109.61,4541940,19413,1838587,40.48
04-May-2017,109.40,109.30,110.20,106.60,107.40,107.40,107.94,4901019,14756,2746702,56.04
05-May-2017,107.40,108.25,108.25,100.10,100.85,101.40,103.83,7349703,30031,3650971,49.68
08-May-2017,101.40,101.60,105.00,101.25,103.90,103.85,103.74,4083047,14736,1266262,31.01
09-May-2017,103.85,104.05,104.50,103.10,104.00,103.70,103.84,1762166,6342,561730,31.88
10-May-2017,103.70,104.85,109.00,104.50,104.95,105.10,106.40,7153764,21709,2748448,38.42
11-May-2017,105.10,105.50,106.25,102.80,103.50,103.70,103.91,4060587,9907,2115409,52.10
12-May-2017,103.70,103.50,103.65,99.30,100.00,100.00,100.59,6428862,22635,2393060,37.22
15-May-2017,100.00,101.40,101.50,96.25,98.00,97.50,98.10,5978406,20376,2681391,44.85
